awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02491,国立研究開発法人産業技術総合研究所,二橋 亮,トンボにおける色覚・体色進化の分子基盤の解明,トンボは、基本的に視覚で相手を認識することから、雌雄や近縁種間で成虫の体色・斑紋に際立った多様性が見られる。トンボの体色形成に関する分子基盤は、ほとんど不明であったが、本研究では最初に各種トンボ類で幼虫から成虫になる際の形態変化を記載し、終齢幼虫前半のステージ1に局所的RNAiを行うことで、表皮の場合はほぼ100%の効率で遺伝子機能阻害が可能であることを見出した。この系を用いて、成虫への変態に必須な遺伝子や、体色・斑紋形成に重要な遺伝子を複数同定することに成功した。,基盤研究(B),小区分45020:進化生物学関連,トンボ,体色形成,色覚,変態,紫外線反射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02490,国立研究開発法人理化学研究所,隅山 健太,哺乳類鋤鼻器進化におけるDlx4遺伝子コオプション進化の解析,多くが謎に包まれている鋤鼻器の発生において重要な役割を持つと考えられるDlx3/Dlx4遺伝子の発現調節を担う非コード領域（エンハンサー）を明らかにした。この領域をゲノム編集によって欠失したノックアウトマウスは鋤鼻器で完全にDlx3/4遺伝子発現を失うことが示された。この鋤鼻器特異的遺伝子発現欠失マウスは、今後の鋤鼻器発生と機能研究のために重要なリソースとなる。このエンハンサー欠失による組織特異的遺伝子ノックアウトマウス作製法はあらゆる遺伝子機能研究に応用可能な技術成果である。,基盤研究(B),小区分45020:進化生物学関連,エンハンサー進化,鋤鼻器,ゲノム編集,Dlx遺伝子群,エンハンサーノックアウト,エンハンサー,Dlx3-4遺伝子,ノックアウトマウス,Dlx4遺伝子,発現制御,進化,発生,Dlx遺伝子,遺伝子コオプション進化,ゲノム編集マウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02489,麻布大学,永澤 美保,ヒトとの共進化を支えたイヌの社会認知能力に関わる遺伝基盤の解明,本研究は、遺伝的にオオカミに近い柴犬に代表される日本固有種の研究を通して、イヌのヒトとの共生を可能とする社会的認知能力（指差し二者選択課題、解決不可能課題）に関連した遺伝子の解明を目的に行われた。その結果、柴犬において解決不可能課題でのヒトを見る行動と有意に関連するSNPを発見した。また、GWAS解析により社会行動との関連が見られたSNPの付近には、神経系や脳で発現している遺伝子がいくつか見られた。さらにイヌの家畜化の候補遺伝子の多型を調べた結果、イヌが家畜化に関与していると考えられているグルココルチコイド分泌に関わるメラノコルチン2受容体の多型が解決不可能課題に関連していることを見出した。,基盤研究(B),小区分45020:進化生物学関連,イヌ,日本犬,遺伝子,家畜化,社会認知,社会的認知能力,犬種差,進化,認知能力,柴犬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02488,名古屋大学,石川 由希,異性への好みの進化をもたらす神経分子基盤,"本研究は、配偶者選好性の進化の神経基盤を解き明かすために、キイロショウジョウバエとオナジショウジョウバエの求愛歌に対する選好性に着目し、その種間差の神経基盤を解明することを目的とした。本研究は、２種の聴覚1-3次ニューロン群と求愛コマンドニューロンの形態的特徴が種間でよく保存されていることを明らかにした。また、聴覚1, 2次ニューロンの神経活動のパルス間隔選好性を種間比較し、2次ニューロンの応答性に僅かな種間差が存在することを示した。このことから、聴覚情報処理の種間差はすでに2次ニューロンの神経活動レベルにお いて存在していることが初めて示された。",基盤研究(B),小区分45020:進化生物学関連,ショウジョウバエ,求愛歌,行動進化,聴覚,配偶者選好性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02487,名古屋大学,鈴木 孝幸,四肢動物において後肢の位置の多様性を生み出した進化的な分子基盤の解明,本研究では、後肢の位置の異なる様々な動物胚を用いてGdf11の機能メカニズムを調べることで、脊椎動物の後肢の位置の多様性を生み出すメカニズムを解明する事を目的とした。Gdf11は予定後肢領域である側板中胚葉では発現せず、脊椎骨の原器である前体節中胚葉の末端で発現していた。Gdf11 が発現すると、そこに仙椎が形成されると同時に、後肢の形成も誘導することが分かった。Gdf11の発現開始タイミングは種によって異なり、これにより脊椎動物に後肢の位置の多様性が生み出されることが分かった。この発現開始タイミングの違いを誘導するメカニズムとして種特異的なエンハンサー領域の存在が示唆された。,基盤研究(B),小区分45020:進化生物学関連,脊椎動物,骨格,パターン,後肢,進化,遺伝子発現,ヘテロクロニー,エンハンサー,進化発生,転写調節,骨格パターン,分泌因子,仙椎,発現制御,脊椎骨,前後軸,多様性,非モデル動物,発生,進化発生学,分子生物学,肢芽,遺伝子発現制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02486,北海道大学,越川 滋行,ゲノム編集で明らかにするショウジョウバエの模様形成機構,本研究ではミズタマショウジョウバエの翅の模様形成に関わるすべての主要な遺伝子を同定し、遺伝子機能を解析して、模様形成機構を理解することを目指した。蛹期の翅を切り取ってトランスクリプトーム解析を行い、着色が生じる領域で発現が高く（または低く）、かつwinglessの制御下にある遺伝子群を同定することができた。それらのうちいくつかについて、ゲノム編集により着色に関する機能の解析を行なった。またGAL4/UASシステムによる遺伝子機能の解析法の開発を行なった。着色を制御する遺伝子制御ネットワークを明らかにするため、種特異的なwingless遺伝子の発現を制御するエンハンサーの機能を解析した。,基盤研究(B),小区分45020:進化生物学関連,進化,発生,ショウジョウバエ,模様,着色,cis制御領域,ゲノム編集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03277,国立遺伝学研究所,石川 麻乃,生活史戦略の改変と多様化をもたらす分子遺伝基盤,生物の生活史、つまり、どのように生まれ、成長し、繁殖し、死ぬのかは、ある個体がある環境で生き残り、子孫を残すことができるかを決めるとても重要な戦略である。この戦略は、それ自体がたくさんの形質が統合されて成立する複雑なもので、これらがどのような突然変異によって進化するのか、そしてその突然変異がどう集団中に広まっていくのかはほとんど分かっていない。本研究では、進化学のモデル生物であるトゲウオ科イトヨを使って、これを解明する。,基盤研究(B),小区分45020:進化生物学関連,季節性繁殖,生活史,季節性,日長応答,繁殖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03276,首都大学東京,高橋 文,産卵基質への適応が引き起こす種分化の遺伝的基盤の解析,環境への適応が引き金となって種が多様化するという考え方は、ダーウィンフィンチの例にあるように広く受け入れられている。しかし、環境へ適応するために進化した形質が生殖的隔離を直接引き起こした例は非常に少ない。これまでの研究により、多くの近縁種が成熟・発酵した果実に産卵する中で、未熟な固い果実に産卵するという新たな形質を獲得したオウトウショウジョウバエの産卵管の特異な形状が、同胞種との交尾の障壁になっていることがわかった。そこで本研究では、この産卵管や交尾の成功に影響する雄の交尾器の形態進化についてその遺伝的背景を明らかにし、生態学的種分化の過程で自然選択の標的となった遺伝的変異の実態を解明する。,基盤研究(B),小区分45020:進化生物学関連,種分化,交尾器,外部生殖器,ショウジョウバエ,遺伝子マッピング,ゲノムシークエンス,生殖的隔離,産卵,生殖器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03275,琉球大学,松浦 優,自然免疫と内部共生の境界線を探る -非自己の許容がもたらす細胞内共生の進化-,動物は病原菌などの有害な外来微生物を排除する自然免疫系を有しているが、昆虫などの無脊椎動物は体内さらには細胞内にまで有益な微生物を積極的に取り込んで維持し、それらの生物機能を丸ごと獲得する細胞内共生を進化させている。ところが、動物の自然免疫と細胞内共生という一見相反する非自己制御機構が生体内でどのように線引きされ、進化してきたのかについては理解が進んでいない。本研究では昆虫の細胞内共生の成立と自然免疫系の制御に着目し、さまざまな遺伝学・細胞生物学的解析を駆使して、昆虫にとって非自己であるはずの共生細菌がいかなる免疫学的な制御機構により許容されるのかを解明し、細胞内共生の進化の謎に迫る。,基盤研究(B),小区分45020:進化生物学関連,細胞内共生,菌細胞,昆虫,共生細菌,自然免疫,胚発生,ナガカメムシ,RNAi,脂肪体,細胞内共生細菌,ヒメナガカメムシ,自然免疫系,ゲノム,カメムシ,進化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03274,京都大学,神川 龍馬,光合成補助色素フコキサンチンの未知なる生合成系の解明とその誕生の謎を紐解く,海洋の多くの藻類が有するフコキサンチンと呼ばれる光合成補助物質は、その光合成における重要性に加え、ヒトの健康への維持に有用であることが知られている。しかし、藻類細胞内でどのように合成されているのか、詳細は分かっていなかった。フコキサンチンの合成経路を同定することを目的とした本申請研究は、進化学研究・光合成研究・生態学・地球化学分野への直接的な学術的重要性のみならず、健康増進物質を安価かつ大量に人工合成する手法の開発を可能とする社会的な波及効果が極めて大きい研究である。,基盤研究(B),小区分45020:進化生物学関連,珪藻,ゲノム,光合成,色素体,フコキサンチン,トランスクリプトーム,葉緑体,珪藻類,カロテノイド,従属栄養性藻類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
