awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02532,国立研究開発法人理化学研究所,風間 北斗,高次嗅覚中枢における匂い嗜好の情報処理と回路メカニズム,本研究では、少数の細胞で構成され、ほ乳類と類似した構造や機能を備えるショウジョウバエ成虫の嗅覚回路に着目し、匂い嗜好の決定に重要とされる二次嗅覚中枢である側角における情報処理様式を解析した。二次嗅覚中枢のほぼ全ての細胞群から活動を記録・解析する技術を開発し、様々な匂いに対する応答を解析した結果、仮説の通り快いあるいは不快な匂いカテゴリ特異的に応答する細胞が存在することを見出した。,基盤研究(B),小区分46010:神経科学一般関連,嗅覚情報処理,カルシウムイメージング,ショウジョウバエ,イメージング,パッチクランプ法,光遺伝学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02531,東京大学,杉山 陽子,学習能力を決定する臨界期の経験依存的神経回路形成のメカニズムの解明,歌を学習するトリ、ソングバードの一種であるキンカチョウは発達期に聴く成鳥の歌を覚え、これを模倣することで歌を学習する。この時、キンカチョウのヒナは自身の種の歌を聴き分けて学習する。本研究ではこのキンカチョウの歌学習をモデルとして用い、自身の種の歌を聴き分け選択的に学習する神経メカニズムを明らかにすることを目的とした。そのため、高次聴覚野の神経細胞がどの様に特定の歌を認知するのか明らかにするため、電気生理学的研究を行った。これにより高次聴覚野には様々な細胞があり、その中の一部の細胞が、歌の要素の特定のコンビネーションを認知していることを明らかにした。,基盤研究(B),小区分46010:神経科学一般関連,歌学習,可塑性,発達,臨界期,学習,記憶,ソングバード,聴覚,神経回路発達,キンカチョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02530,同志社大学,坂場 武史,哺乳類中枢シナプス伝達・短期可塑性メカニズムの解明,哺乳類中枢シナプスの伝達、可塑性メカニズムを明らかにするため、海馬苔状線維-CA3シナプスの前後部記録を中心技術として研究をおこなった。①伝達物質放出のCa依存性を調べたところ、ほかの中枢シナプスと差がなかった。伝達物質放出確率の低さはCaチャネルクラスターと伝達物質放出部位の緩いカップリングによるものであることがわかった。②短期・長期シナプス可塑性と関連するcAMP依存性伝達物質放出量の増大は、Caチャネルが集積することによってCaチャネルクラスターが拡大し、伝達物質放出部位付近の局所Ca濃度が増大するためであることがわかった。,基盤研究(B),小区分46010:神経科学一般関連,シナプス,神経,可塑性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02529,熊本大学,福田 孝一,Gap junctionが形成する樹状突起の網を脳の神経回路に正しく組み込む,GABAニューロンは脳の各部位の局所回路で制御システムを担っていますが、その代表であるパルブアルブミン陽性ニューロンは、樹状突起間に豊富にGap junctionを形成し、電気シナプスによる樹状突起の網状構造を作っています。しかしこの顕著な構造は、各部位の神経回路にはまだ組み込まれていません。本研究では、記憶に重要な海馬と大脳皮質の体性感覚野における樹状突起のネットワークを目に見える形でとらえ、それぞれの場所における既存の神経回路に正しく組むこむことを目的としました。それぞれの場所への情報入力と出力を制御するのに適した形で、樹状突起ネットは既存の回路に組み込まれていることを明らかにしました。,基盤研究(B),小区分46010:神経科学一般関連,ギャップ結合,海馬,歯状回,パルブアルブミン,バレル,GABA,インターニューロン,樹状突起,gap junction,バレル野,体性感覚皮質,feedforward,feedback,ニューロン,Gap junction,パルブルブミン,フィードバック,大脳皮質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02528,京都大学,実吉 岳郎,記憶の形成・維持におけるCaMKIIが構成する自己活性型タンパク質複合体の解析,本研究は、シナプス単位の記憶が、Tiam1とCaMKIIからなるRAKECとして形成、維持されるメカニズムとその個体での役割を明らかにした。この成果をもとにわれわれは記憶分子が、タンパク質間相互作用として存在するという新しいコンセプトを提案している。CaMKIIはホモ12量体として存在しているため、Tiam1と結合したCaMKIIは同時に11個の別のRAKECを形成できることになる。今後は、CaMKIIや他のキナーゼが形成するRAKEC分子を同定／解析することにより、一過的な刺激を長期持続シグナルへ変換する分子機構が明らかになり、長期記憶の理解が深まることが期待される。,基盤研究(B),小区分46010:神経科学一般関連,シナプス可塑性,記憶,CaMKII,分子間相互作用,酵素基質複合体,アクチン細胞骨格,リン酸化,記憶学習,タンパク質間相互作用,自己活性化型タンパク質複合体,シグナル複合体,学習,Tiam1,酵素活性,行動,カルシウム,タンパク質複合体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02527,京都大学,川口 真也,記憶をつくるシナプス・細胞集団の光技術による可視化と動態解析,動物の記憶・学習を実現する神経回路の機能変化の実体は、未だに良く分かっていない。本研究では、申請者が独自開発を続けている学習の細胞基盤であるシナプス可塑性を検出する蛍光プローブと細胞膜電位の蛍光イメージングを組み合わせ、シナプス可塑性がいかに個々の神経細胞の情報処理を変化させ、それが神経回路レベルでどのような演算変化を生み出すかを明らかにすることを目指した。,基盤研究(B),小区分46010:神経科学一般関連,シナプス,可塑性,学習,蛍光イメージング,長期抑圧,プルキンエ細胞,軸索,活動電位,シナプス可塑性,細胞膜電位,受容体,イメージング,神経回路,IP3受容体,伝達物質放出,小脳,軸索終末,可視化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02526,京都大学,平野 丈夫,シナプス小胞膜タンパク質挙動の高時空間分解能解析,シナプス前部からのシナプス小胞のエキソサイトーシスと小胞膜タンパク質のエンドサイトーシスによる細胞内への回収過程を、新蛍光ライブイメージング手法で研究した。エキソサイトーシスにより細胞膜へ移行した小胞膜タンパク質は細胞膜上で拡散してから回収されること、エキソサイトーシスが起こる部位はシナプス前部アクテイブゾーン細胞膜上に数か所存在し、刺激直後に起こる時と刺激から遅れて起こる時では部位が異なること、小胞膜タンパク質のエンドサイトーシスはアクテイブゾーンの周辺部で起こり、刺激後1秒以内で起こるエンドサイトーシスと数秒後に起こるエンドサイトーシスでは温度依存性が異なること、等を明らかにした。,基盤研究(B),小区分46010:神経科学一般関連,シナプス,神経伝達物質,エキソサイトーシス,エンドサイトーシス,ライブイメージング,蛍光タンパク質,脳・神経,蛍光ライブイメージング,神経科学,生理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02525,名古屋大学,木下 専,セプチン欠損マウスの空間認知・弁別障害から未知のシナプス制御機構を解明する,Sept3欠損マウスを多階層的に精査し、以下の知見を得た。系統的行動解析では空間文脈弁別課題のみ低成績であった。AAVベクター定位注入による発現・枯渇実験により、その責任領域を同定した。ssTEM法による3D形態計測ではシナプス分布密度やスパイン体積は正常であったが、滑面小胞体含有スパインが少なかった。この異常は初代培養顆粒細胞で再現された。培養顆粒細胞に後期長期増強を誘発するとシナプス拡大後のER伸展が再現された。さらに、SEPT3欠乏はシナプス拡大には影響せずER伸展を阻害したことから、顆粒細胞スパインへのER侵入は神経活動依存的かつSEPT3依存的であると結論づけた。,基盤研究(B),小区分46010:神経科学一般関連,シナプス,樹状突起棘,滑面小胞体,セプチン,長期記憶,長期増強,海馬,スパイン,空間文脈,空間文脈記憶,シナプス伝達,電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02524,名古屋大学,桐生 寿美子,上皮組織損傷をスイッチとして稼働する神経依存性の新たな創傷治癒メカニズム,神経損傷応答遺伝子探索の中から発見した分子DINE (Damage-induced neuronal endopeptidase) は、中枢・末梢神経系の様々な神経損傷に応答し発現誘導されるユニークな特徴を持つ。皮膚などの上皮組織損傷はそこに豊富に分布する知覚神経を同時に障害する。組織損傷をスイッチとして傷ついた神経で発現誘導されるDINEは、ペプチド切断を介して周囲の損傷微小環境を神経制御し組織修復を促すことが明らかになった。,基盤研究(B),小区分46010:神経科学一般関連,組織修復,神経再生,ペプチド,プロテアーゼ,神経制御,創傷治癒,神経変性,神経損傷,免疫応答,組織再生,神経損傷応答性,損傷ニューロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02523,名古屋大学,山中 章弘,睡眠時の記憶制御の分子・神経メカニズムの解明,MCH神経特異的に光遺伝学や化学遺伝学を適用して、神経活動を操作し、記憶を評価したところ、MCH神経活動を活性化させると、記憶が悪くなり、MCH神経活動を抑制すると記憶が良くなることが分かった。光遺伝学を用いて脳状態依存的にMCH神経活動を抑制して記憶を評価した。その結果レム睡眠時に活動するMCH神経を抑制することで記憶が良くなることが明らかになった。このことは、レム睡眠時に活動するMCH神経が記憶を悪く（消去）していることを示している。レム睡眠に記憶消去の役割があることを提唱し、また、記憶消去に関わる神経回路の同定と動作原理について明らかにした。,基盤研究(B),小区分46010:神経科学一般関連,睡眠覚醒,記憶,海馬,光遺伝学,化学遺伝学,マウス,遺伝子改変動物,カルシウムイメージング,メラニン凝集ホルモン産生神経,視床下部,メラニン凝集ホルモン,遺伝子改変マウス,睡眠,オレキシン,神経ペプチド,アデノ随伴ウイルスベクター,メラニン凝集ホルモン（MCH)神経,脳波筋電図,レム睡眠,nVista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
