awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02559,静岡県立大学,浅井 章良,IDO/TDO二重阻害に基づく新規がん免疫治療薬の開発に向けた創薬基盤研究,抗PD-1抗体など免疫チェックポイント阻害薬の腫瘍微小環境における作用を妨げる要因のひとつとして、トリプトファン代謝酵素IDOとTDOを中心とするキヌレニン経路による免疫寛容が注目されている。研究代表者らは、これまでに独自の細胞系アッセイ系によって複数の阻害化合物を発見してきた。本研究ではIDOとTDOを標的とした創薬基盤の構築を目的として、IDO1/TDO二重阻害作用を有するS-ベンジルチオウレア誘導体の活性向上を達成し、作用機序解析に基づくドッキングモデルを構築し化合物デザインに活用した。IDO1/TDO二重阻害化合物の機能と有用性を検証するためのアッセイ系など創薬基盤技術を確立した。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,抗がん剤,トリプトファン,キヌレニン,IDO,TDO,腫瘍微小環境,がん免疫療法,がん免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02558,九州大学,佐々木 茂貴,人工核酸によるRNAピンポイント化学修飾法の確立とRNAコード編集技術への展開,mRNAはDNAの遺伝情報をタンパク質に受け渡す役割を担っている。mRNAの塩基の脱アミノ化は編集反応として以前から知られていたが、近年、翻訳を制御するメチル化などの化学修飾が明らかになっている。我々は、RNAとハイブリッド錯体を形成することによって官能基転移を誘起し、部位特異的および塩基特異的に化学修飾する化学反応性人工核酸の開発に成功した。本研究では、この反応によってmRNAを部位特異的に化学修飾し，編集機能の実現を目指した。本研究の成果は、mRNAを標的にした編集機能をもつ新しい核酸医薬の創製に繋がるものである。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,核酸化学,RNA,化学修飾,翻訳,ペプチド,変異,編集,化学反応性人工核酸,RNA化学修飾,リードスルー,非細胞翻訳,RNA編集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02557,九州大学,新藤 充,"剛直な1,8,9,13-四置換トリプチセンを土台とする有機分子の精密構築",立体配座が固定化されたトリプチセンを土台として、そこから支柱となるユニットを結合させ有機立体構造の精密構築を目的とした。イノラートとベンザインとのトリプル環化付加によるトリプチセン合成法を見出し、さらにアントラノキシドにベンザインを反応させることでも9－ヒドロキシトリプチセンが高収率で得られた。３－シリルベンザインとイノラートの反応で1、8，13－トリシリルトリプチセンが選択的に得られ、これは容易に1，8，13－トリブロモトリプチセンに変換できた。これに対して各種金属触媒反応を施して支柱ユニットを高収率で導入した。この手法でトリプチセンを含むかご型分子や大環状分子の構築に成功した。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,トリプチセン,ベンザイン,かご分子,大環状化合物,環化付加,イノラート,環化付加反応,パラジウム移動,ヘキサフェニレン,キラリティー,イプチセン,酸化反応,環歪,脱ベンジル化,ジメチルスルホキシド,環歪み,アライン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02556,大阪大学,赤井 周司,酵素と金属触媒の協働による多工程ワンポット不斉合成,"我々は，メソポーラスシリカの細孔内にバナジウムを固定した触媒V-MPS4を開発し, V-MPS4と加水分解酵素リパーゼを1つのフラスコ内で同時に用いることでラセミ体の第二級アルコールの動的速度論的光学分割DKRを達成した。本法はラセミ体の第二級アルコールを光学的に純粋なエステルにほぼ100%で変換できる。本研究の目的は，我々の知見をアルコール類と軸不斉ビアリール類の2種類の化合物群に適用拡張することである。以下の3種の反応を開発した：1)プロパルギルアルコールのDKRによって両エナンチオマーを高収率，2)高光学純度で作り分ける方法；3)第三級アルコールのDKR；軸不斉ビアリール類の不斉合成法",基盤研究(B),小区分47010:薬系化学および創薬科学関連,加水分解酵素,遷移金属触媒,不斉合成,動的速度論的光学分割,ワンポット合成,アルコール,軸不斉ビアリール化合物,プロパルギルアルコール,リパーゼ,金属触媒,連続フロー合成,第三級アルコール,クロスカップリング,ビアリール化合物,酵素,軸不斉ビアリール,動的光学分割,多工程ワンポット合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02555,京都大学,大石 真也,生体分子の鏡映変換による医薬品探索技術の開発と応用,天然物・天然資源の鏡像体からの感染症治療薬の探索に向けて、標的タンパク質の鏡像型タンパク質を利用する生物活性評価系の確立に向けた検討を行った。2種類のウイルスのウイルスカプシドを構成するタンパク質化学合成プロセスを確立し、カプシド粒子の形成に必要なフォールディング条件を見出した。麻疹ウイルスのFタンパク質の標的とするスクリーニング系の構築に向けた検討の過程で、強力な抗ウイルス活性を示すペプチド配列を同定した。また、ピロリ菌のライフサイクルに必要な代謝酵素の化学合成プロセスを確立し、酵素活性を示す鏡像型酵素を調製するための条件を明らかにした。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,スクリーニング,抗体様分子,鏡像型タンパク質,創薬,モダリティ,天然物,ペプチド,キラル化合物,医薬品探索,抗ウイルス薬,抗菌薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02554,京都薬科大学,古田 巧,脂肪族アルデヒドの直接的不斉交差アルドール反応の新展開,"異種の脂肪族アルデヒドを直接的かつ触媒的に炭素ー炭素結合で連結する不斉交差アルドール反応は、キラルな 1,3-ジオールを不斉構築する最も有望な方法の一つである。本研究は、アルデヒドのわずかな反応性の差を触媒により識別することで、この交差アルドール反応を精密に制御することを目的に実施した。その結果、アニリン性の酸塩基触媒を用いると、基質に制限はあるものの、脂肪族アルデヒド間の直接的な不斉交差アルドール反応が可能になることを明らかにした。また、この知見を非対称脂肪族ジケトンの分子内不斉交差アルドール反応に展開した。",基盤研究(B),小区分47010:薬系化学および創薬科学関連,交差アルドール反応,触媒的不斉合成,軸性不斉,アニリン,基質認識,アニリン性酸塩基触媒,基質選択性,分子認識,酸塩基触媒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02553,名古屋工業大学,柴田 哲男,フッ素化学：未解決課題の顕在化と方略,"特異な性質を持つフッ素官能基群にまつわる未解決課題について，「負の超共役」を制御する観点から検討を行った結果，これまで困難であった様々なフッ素官能基導入法を開発することに成功した。即ち，フッ化アシル基の直接導入試薬の開発，フッ化アシル基部位の新しい合成手法の開発，ペンタフルオロスルファニル基の新合成法の開発，HFC23, HFC125といったフロンガスを用いたトリフルオロメチル化反応，ペンタフルオロエチル化法の開発に成功した。また，トリフルオロメトキシ基，ジフルオロメトキシ基やトリフルオロメチルチオ基を不斉4置換炭素上に持つ化合物を脱炭酸型不斉アリル化反応にて，不斉合成することに成功した。",基盤研究(B),小区分47010:薬系化学および創薬科学関連,アシルフロリド,トリフルオロメチル基,ペンタフルオロスルファニル基,トリフルメチルチオ基,ペンタフルオロエチル基,ジフルオロメチルチオ基,トリフルオロメトキシ基,フッ素,フルオロホルミル基,不斉合成,トリフルオロメチル,トリフルオロメトキシ,ペンタフルオロスルファニル,ペンタフルオロエチル,ジフルオロメトキシ基,ジフルオロメチル化,トリフルオロエチル基,合成,脱炭酸型不斉アリル化,塩化テトラフルオロスルファニル基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02552,東京大学,大和田 智彦,柔軟な構造を持つ生体分子の構造化手法の確立と応用,本研究課題は分子に規則構造を作り出し機能を創製することにある。生体内リガンドをミミックする分子を構築するための「構造化の有機化 学」という基礎サイエンスの確立とメディシナルケミストリーやケミカルバイオロジーへの応用を目的とする「機能創出のサイエンス」の連携である。構造有機化学の基礎研究に加えて実際の生物活性物質の取得によって本研究の仮説を評価した。特に生体内で見られる、構造柔軟性の高い回転しやすい３級アミド結合の シスートランス平衡を動的に固定して堅牢な規則構造を構築し、タンパク質-タンパク質相互作用を制御することが可能であることを示した。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,ペプチド,ヘリックス構造,ストランド構造,MDM2-p53,MDMX-p53,タンパク質-タンパク質相互作用,リゾリン脂質,リゾリン脂質」,アミノ酸,プロリン,βーストランド構造,MDM2-P53,脂肪酸,動的構造,創デザイン,ヘリックス,不飽和脂肪酸,生体内リガンド,脂質,アミド,コンフォメーション,βストランド,脂質メディエーター,分子シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02551,東京大学,石川 稔,疾患関連タンパク質のタグ化を誘導する新創薬モダリティ,本研究では、疾患関連タンパク質のリガンドとタグ(もしくはタグ化誘導分子)を連結させたハイブリッド分子を創製し、この連結分子が疾患関連タンパク質の「タグ化」を誘導し、疾患関連タンパク質を人工的に制御することを研究目的とした。最初に、神経変性タンパク質に対して特異的にユビキチンタグを付与するPROTACについて、ハンチントン病原因タンパク質以外へ適用できることを示し、また構造展開によって脳移行性の獲得を達成した。この他、ヒスチジン残基選択的な生体直交型反応を共同研究によって開発した。更にこの応用として、生体直交型反応を用いた神経変性タンパク質のタグ化に成功し、本成果を学会発表した。,基盤研究(B),小区分47010:薬系化学および創薬科学関連,タンパク質タグ化,創薬化学,ハイブリッド分子,タグ化,疾患関連タンパク質,翻訳後修飾,タンパク質のタグ化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02550,千葉大学,根本 哲宏,脱芳香化・再芳香化を活用した革新的有機合成法の開発と展開,"本研究では、脱芳香化・再芳香化プロセスに着目した有機合成法についての系統的な研究を進めることで、薬学研究の推進に資する新しい有機化学技術の開発を進めてきた。特に、銀カルベン種をはじめとした金属カルベン種の新しい反応性を基盤とした様々な脱芳香化関連反応、安定分子結合の直接変換反応の開発や、遷移金属触媒やラジカル反応を用いる3,4位中員環縮環インドール、ベンゾフラン類の新しい合成法の開発、独自の手法を活用した生物活性天然物の合成研究、DFT計算を活用する開発手法の詳細な反応メカニズム解析などを行った。",基盤研究(B),小区分47010:薬系化学および創薬科学関連,脱芳香化,インドール,カルベン,遷移金属触媒,天然物合成,ベンゾフラン,レスベラトロールダイマー,遷移金属触媒反応,カルベノイド,ラジカル,光反応,ラジカル反応,再芳香化,ヘテロ環,全合成,銀カルベン,ヘテロ環状化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
