awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02594,大阪大学,原田 彰宏,細胞の極性を制御する遺伝子の組織、個体での機能とその分子機構の解明,"赤芽球の脱核の際リソソームと異なる多数の小胞が認められ、EHBP1L1KOマウスと野生型マウスの赤血球細胞膜の間で異なる蛋白質を同定した。EHBP1L1結合蛋白の候補分子同定を同定した。SNAP23結合分子としてVAMP8,syntaxin1Bを同定し、SNAP23, VAMP8, syntaxin1B KD全てでcadherinの細胞表面への輸送が低下した。live imagingにより、VAMP8とcadherinが同じ小胞で輸送されることを示した。新規のRab11結合蛋白RELCHを同定しRELCHはOSBPと結合してコレステロールをTGNへと輸送することを示した。",基盤研究(B),小区分48010:解剖学関連,細胞極性,極性輸送,上皮細胞,Rab,SNARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02593,大阪大学,古川 貴久,網膜神経回路の構築と機能発現の解析,我々は、中枢神経系の一部である網膜の視細胞の発生と維持の遺伝子制御機構の解明やシナプス形成の分子機構、さらには網膜色素変性症などの発症機構の解析を行ってきた。我々が同定した視細胞に優位に発現し、回路形成や機能に関わる候補遺伝子について機能解析を行った。候補遺伝子のノックアウトマウスやダブルノックアウトマウスを作製し、電気生理学的解析や組織学的な解析を行った。視細胞特異的なSamd7とSamd11遺伝子のダブルノックアウトマウスの解析から、これらの分子が桿体視細胞の光受容感度制御と視細胞のシナプス伝達の制御に必要であることを見出し、論文として報告した。,基盤研究(B),小区分48010:解剖学関連,網膜,神経回路,視細胞,シナプス,ノックアウトマウス,脳・神経,発生分化,神経科学,遺伝子,発生・分化,マウス,神経活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02592,新潟大学,竹林 浩秀,動物モデルを用いたジストニアの発生機序の解明と症状回復の試み,本研究では、筋肉型ジストニン遺伝子（Dst-b）特異的な遺伝子改変マウスを作製し、遅発性の筋原線維性ミオパチーが起こることを明らかにした。この結果は、新たな遺伝性筋疾患の存在を示唆するものである。,基盤研究(B),小区分48010:解剖学関連,不随意運動,Dst-b,遺伝性感覚性自律神経性ニューロパチー,筋原線維性ミオパチー（MFM）,ジストニン,ジストニア,dystonia,神経回路,筋肉,dystonin,Dystonin,Bpag1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03398,国立研究開発法人国立循環器病研究センター,渡邉 裕介,胸部大血管および心室筋形成における細胞分化の分子機構,胎児期における心血管系の正常な構築は、個体の血液循環にとって不可欠な要素である。しかしながら、心血管構造の形成機構については分子経路や細胞系譜の面から未知な点が多い。本研究では、Notch/Rbpjシグナリングの標的遺伝子として知られるHeyファミリー因子に着目し、心血管系におけるHeyファミリー因子の発現制御機構と分子機能の理解および、胸部大血管および心室筋の形成における転写ネットワークや細胞分化制御の新たな知見を得ることを目指す。本研究は、形態形成の原理解明を命題とする発生生物学的にも、疾患の発症機構を分子的・解剖学的に理解して診断や治療に応用する臨床医学的にも重要な課題である。,基盤研究(B),小区分48010:解剖学関連,心臓,胸部大血管,発生,細胞分化,転写制御,エンハンサー,心筋,転写,細胞系譜,心室筋,Notch/Rbpjシグナル伝達経路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03397,慶應義塾大学,久保田 義顕,臓器特異的血管パターニングの制御機構,あらゆる臓器の生存、恒常性維持に血管は必須である。発生過程にこの血管ネットワークが張り巡らされる過程は、極めて秩序だったプロセスを以て進行する。教科書的にこの過程は、①脈管形成、②血管新生、③リモデリングという3つの素過程に分け、説明される。しかしながら、臓器によって異なる血管パターニングの多様性がいかにして獲得されるかは、この3つのステップでは説明できず不明である。本研究は、解剖学・細胞生物学・生化学にin vivoイメージングを取り入れ、各臓器における組織成長よって生じる物理的な力、場の不均衡性および流動性、VEGF受容体の使い分けの観点から、血管多様性獲得の普遍原理を解明する。,基盤研究(B),小区分48010:解剖学関連,血管新生,VEGF,歯,がん,FLRT2,腫瘍,血管,血管内皮細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03396,神戸大学,仁田 亮,細胞の形態・極性制御を司る微小管ネットワーク形成の構造基盤,微小管は、細胞の形態形成・細胞分裂・細胞内物質輸送など、生命の根幹に関わる現象を司るタンパク質重合体である。本研究では微小管ネットワーク制御の鍵分子、微小管重合開始の起点形成を司るCAMSAPおよび微小管重合後のネットワーク形成を司るTauファミリータンパク質MAP4を切り口とし、構造生物学的手法を軸に微小管ネットワーク形成の構造基盤を解明する。本研究の推進により微小管の重合開始・続いて微小管の配向決定・さらに微小管の配列によるネットワーク形成、その制御機構を原子レベルで解明し、その破綻による疾患発症の分子機構および分子標的治療にも繋がる。,基盤研究(B),小区分48010:解剖学関連,細胞骨格,非中心体性微小管,極性形成,CAMSAP,クライオ電子顕微鏡,TIRF,微小管,重合,微小管結合タンパク質,全反射照明蛍光顕微鏡,MAP4,Katanin,重合反応,クライオ電子線トモグラフィー,X線結晶構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03395,名古屋大学,木山 博資,損傷神経再生における脂質リモデリングと脂質シグナリングの役割の解明,研究代表者が行ってきた損傷神経のバイオロジーの全体像の解明において、神経損傷による神経やグリアでの脂質の動態が不明であった。そこで本研究では、脂質分子や膜リモデリングが損傷後の神経再生や変性に与える影響やそのメカニズムを明らかにすることをめざす。本研究の成果は、神経変性疾患や損傷による運動機能の修復や神経障害性疼痛からの開放など出口戦略にむけ、治療法の開発にも新たな切り口を提供すると期待される。,基盤研究(B),小区分48010:解剖学関連,軸索再生,脂質,神経変性,神経再生,ATF3,コレステロール,GPR34,ABCA1,microglia,グリア,神経損傷,脂質受容体,リン脂質,疼痛,末梢神経,ミクログリア,再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03394,東京大学,岡田 康志,神経軸索での小胞輸送速度が速いのはなぜか？,神経細胞の軸索輸送を担うモーター分子としてキネシンが単離同定されて30年以上が経つ。しかし、これまでの研究により解明されたキネシンの運動機構から細胞内の物質輸送を定量的に説明することは未だに困難である。たとえば、速度は輸送を考える上で最も基本的なパラメータである。実際、遺伝性痙性対麻痺などでは、輸送速度の低下による輸送障害により、神経細胞が傷害されると考えられている。しかし、細胞内のいわゆる分子混雑環境の中でも、高速な小胞輸送を実現する機構は全く不明である。本研究では、一分子イメージングや超解像ライブイメージングなどの先端的イメージング手法を用いてこの問題にアプローチする。,基盤研究(B),小区分48010:解剖学関連,軸索輸送,分子モーター,分子混雑,キネシン,小胞輸送,微小管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03415,福島県立医科大学,和栗 聡,p62変異による液－液相分離異常の微細形態とその分子基盤,様々な分子がひしめく細胞内では、液―液相分離によりできる分子の集合体が重要な役割りを担う。しかし生体における相分離の同定は困難であり、化学固定した組織で認められる集合体が液体様の「液滴」か、それよりも固い「ゲル」か「凝集体」かを区別する術はない。そこで本研究では、相分離を引き起こすp62タンパク質を対象とし、その疾患関連遺伝子変異とp62集合体の微細構造を対比させることで、その形態学的検出法を開発する。これにより、凝集体構造を伴う病態の理解を深める。,基盤研究(B),小区分48010:解剖学関連,p62液滴,SQSTM1,液－液相分離,ストレス顆粒,高浸透圧ストレス,選択的オートファジー,Keap1,液滴,CLEM,免疫電顕,液-液相分離,オートファジー,高浸透圧,p62,乳癌,ゲル,凝集,電子顕微鏡解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03414,大阪大学,佐藤 真,単一ニューロンレベル解析による大脳皮質頭葉間回路網研究の新展開,脳は感覚情報を記憶などの情報と統合し、新たな情報として出力する。なかでも大脳皮質はこの知的活動の中心的な場の一つである。そして、大脳皮質では異なる頭葉は異なる機能を担う。そのため、頭葉間をつなぐ長連合線維はこの知的活動（情報統合から出力への過程）に、重要な役割を担う。しかしながら、長連合線維を構成する頭葉間神経回路についての回路網研究や機能研究、回路を形成する仕組みについての研究は十分には進んでいない。そこで本研究では、我々が独自に開発した方法を用い、「個々のニューロンを単位とする軸索投射様式と入力出力回路の同定も含めた神経回路網の実体およびその形成・発達を制御する分子メカニズムを解明する。,基盤研究(B),小区分48010:解剖学関連,神経科学,解剖学,脳・神経,大脳皮質,神経回路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
