awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02600,京都府立医科大学,八木田 和弘,概日リズム制御系の機能発生学,"これまで我々は、概日時計が細胞分化と共役することを発見し、概日時計の発生に新たな概念を提供した（Yagita et al, PNAS, 2010; Umemura et al, PNAS, 2014)。さらに、概日時計と細胞分化の共役関係の生理的意義を明らかにするため、マウスの個体発生過程とES細胞のin vitro分化過程を対比させながら分子メカニズムの解明を進めたところ、概日時計の発生に伴う成立は、必須の時計タンパク質であるCLOCKの転写後メカニズムなどにより厳密に概日時計発生のタイミングがコントロールされている可能性を見出した(Umemura et al, PNAS, 2017)。",基盤研究(B),小区分48020:生理学関連,概日リズム,体内時計,発生学,細胞分化,母子同調,機能発生学,体節形成,分節時計,発生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02599,熊本大学,魏 范研,修飾ヌクレオシドを基軸とする新規ヌクレオシドシグナルの解明,RNAには様々な化学修飾が施されており、転写後遺伝子発現に重要であることが知られているが、RNAの代謝によって生じる修飾を含む塩基（以後、修飾ヌクレオシド）の生理意義については未解明であった。本研究はヒトを含む様々な生物種の細胞外液で存在する修飾ヌクレオシドの受容体活性能を調べたところ、修飾ヌクレオシドのうち、N6-methyladenosine (m6A)がアデノシンA3受容体に対する高い活性を有していることを発見した。その活性能は未修飾のアデノシンの約10倍以上も強力であった。また、m6Aは生体内で肥満細胞に作用し、Ⅰ型アレルギー反応や炎症性サイトカインの産生を誘導することを明らかにした。,基盤研究(B),小区分48020:生理学関連,RNA修飾,液性因子,GPCR,RNA,化学修飾,受容体,Modification,Receptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02598,神戸大学,和氣 弘明,ミクログリアによる高次脳機能維持機構とその破綻,本研究ではミクログリアに着目し、そのシナプスや血管に対する生理機能から精神病態を解き明かすことを目的とした。本研究期間内にまず、生体イメージングを用いて、全身炎症に伴ってミクログリアが脳血管に遊走し、タイトジャンクション関連因子や貪食因子などの発現を変化させることで、時期特異的に血液脳関門の透過性に寄与することを明らかにした。さらにミクログリアが高次脳機能過程（運動学習）において、その突起動態を制御することでシナプスに対する作用を変化させることを明らかにした。またこれらのシナプス修飾機構は感覚野において、感覚入力依存性があることを基に異種感覚の可塑性に対するミクログリアの役割を明らかにした。,基盤研究(B),小区分48020:生理学関連,ミクログリア,血液脳関門,シナプス,学習,免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02597,京都大学,竹島 浩,TRICおよびMG23チャネルに関する研究,小胞体Ca2+ストアにおけるTRICまたはMG23の解析実験にて、以下に示す細胞内Ca2+シグナルに関する主要な成果が得られた。1)TRIC-Aによるリアノジン受容体の機能亢進は正常な心機能維持に不可欠であり、その機能亢進は両者の直接相互作用に起因することが示唆された。2)TRIC-Bでは協調的なチャネル間同時開口が高確率で観察され、IP3受容体の活性化に寄与する可能性が考察される。3)成長板軟骨細胞と腹腔マクロファージにおいてTRPファミリーチャネルによる自発的Ca2+流入機序を見出した。,基盤研究(B),小区分48020:生理学関連,小胞体,Ca2+ストア,Ca2+シグナリング,Ca2+シグナル,カウンターイオン,TRICチャネル,MG23チャネル,Ca2+放出,イオンチャネル,カルシウムストア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02596,福井大学,清水 啓史,膜電位存在下におけるイオンチャネルの機能と構造変化の１分子同時計測,イオンチャネル開閉構造変化の全体像を明らかにするため、1分子電流と1分子構造変化の同時計測法開発を目的とした。本研究では、デバイス中への脂質二重膜形成のため、パターンニング可能な新素材を採用し膜穴形成のプロセスを開発した。脂質二重膜を形成し電気容量計測を行った。電気容量の低減プロセスを開発した。次に、電極のパターンニングプロセスを行いデバイス上への電極を配置した。放射線照射実験を行い、照射に伴う電気ノイズレベルの計測と散乱X線の遮蔽方法を検討した。さらに、金ナノ結晶のサイズ制御法を改良し、蛋白質との複合体形成の効率を高めた。,基盤研究(B),小区分48020:生理学関連,1分子計測,蛋白質,X線回折,Ｘ線回折,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02595,筑波大学,桜井 武,大脳辺縁系と睡眠覚醒制御系との構造的・機能的連関の解明,扁桃体におけるドーパミンの動態がレム睡眠制御にあたえる影響を明らかにしたほか、脊髄前角に投射する延髄腹側部のグリシン作動性ニューロンがレム睡眠時の筋緊張低下に必須であること、これらのニューロンはSLDからの興奮性ニューロンによる制御を受けていることを明らかにした。またこの経路がカタプレキシーの発現にも関与することを示した。また、オレキシンニューロンとヒスタミンニューロンは大脳辺縁系や報酬系、視索前野などから、非常に似通った入力を受けていることが明らかになった。強い関係をもつこれら二つのニューロン群は並列に同様の制御を受けていることが示された。,基盤研究(B),小区分48020:生理学関連,扁桃体,レム睡眠,ドパミン,筋緊張,グリシン,大脳辺縁系,ノンレム睡眠,覚醒,脳幹,ドーパミン,睡眠,ナルコレプシー,オレキシン,カタプレキシー,筋弛緩,モノアミン,分界条床核,情動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03405,国立研究開発法人国立循環器病研究センター,Pearson James,Influence of non-vascular cells in accelerated coronary aging in diabetes,"We will establish how prediabetic changes in various heart cell lines predispose the coronary circulation to vascular aging and moreover, why vascular aging is accelerated by diabetes and ameliorated by regular high intensity exercise using synchrotron imaging and proteomics analyses on rodents.",基盤研究(B),小区分48020:生理学関連,coronary circulation,diabetes,senescence,inflammation,oxidative stress,nitric oxide,coronary,coronary vessels,aging,vasodilators,ageing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03404,順天堂大学,村山 尚,新規リアノジン受容体作用薬を利用したサブタイプ特異的チャネル制御の分子機構,リアノジン受容体(RyR)は小胞体膜の超巨大Ca2+遊離チャネルで、細胞内Ca2+調節機構に重要な役割を果たしている。RyRには機能と制御機構が異なる3種類のサブタイプが存在するが、その分子基盤については不明である。申請者らは独自のスクリーニング技術により、サブタイプ選択的RyR作用薬を網羅的に同定することに成功した。本研究では、これらの薬物の作用機序を解析し、結合部位とその構造変化を同定することにより、サブタイプ特異的制御機構を原子レベルで解明する。本研究の成果はRyRチャネル制御機構の構造基盤の理解を深めるとともに、創薬にも直結するため社会的にも大きな意義を持つ。,基盤研究(B),小区分48020:生理学関連,リアノジン受容体,カルシウムチャネル,興奮収縮連関,小胞体,サブタイプ,骨格筋,悪性高熱症,筋小胞体,構造解析,創薬,機能解析,カルシウムイオン,イオンチャネル,クライオ電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03403,香川大学,藤原 祐一郎,電位依存性H+チャネルが膜電位とpHを感じる仕組みの解明,我々の体では、外界の環境情報を受容し恒常性を維持するためにセンサー分子が働いています。電位依存性H+チャネルは、膜電位変化とpH変化を感知するイオンチャネル分子として知られていますが、その仕組みは全く分かっておりません。本研究では、種々の最先端の手法を用いて、H+チャネルのセンサー機能・ダイナミックな構造変化を解析します。他のイオンチャネル一般にも理論を展開し、イオンチャネルが膜の電気的・化学的シグナルを受容して生体機能として出力する、一連の分子センサー駆動メカニズムを明らかにすることを目的に行います。,基盤研究(B),小区分48020:生理学関連,イオンチャネル,電位センサー,pHセンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03402,山口大学,美津島 大,ストレス経験により記銘される海馬内経験情報の可視化と符号化ルールの解明,ストレスを伴うエピソード経験は海馬内に強い記憶を形成し、個体は回避行動に役立てる。ラットを用いストレス回避学習を行うと、海馬CA1ニューロンに対する興奮性シナプスと抑制性シナプスの可塑性が高まり、多様な入力特性が保持されること、CA1ニューロン群により多様なリップル様同期発火活動が維持されることを発見した。本研究では、GABAA受容体β3 subunitのSer408-409リン酸化阻止実験を行い、シナプス・分子レベルの影響を解析し、学習との因果関係を引き続き立証する。さらに、経験前後や異経験間の違いをAI機械学習システムにより網羅的に比較分析し、学習の符号化ルール解明を目指す。,基盤研究(B),小区分48020:生理学関連,エピソード学習,AMPA受容体,GABAA受容体,super burst,ripple firings,synaptic diversity,memory encoding,entropy,エピソード記憶,海馬CA1,リップル発火,アセチルコリン,学習・記憶,シナプス可塑性,リップル波,興奮性シナプス,抑制性シナプス,decoding,neural code,AMPA receptor,GABAA receptor,episodic experience,contextual learning,self-entropy,多ニューロン発火活動,海馬CA1ニューロン,自己エントロピー,AI・深層学習,AI機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,
