awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02620,国立研究開発法人理化学研究所,香城 諭,Runx依存性遺伝子サイレンサーを介した遺伝子発現制御の新たな作動原理,RUNXは、血液細胞分化に重要な役割を担う転写因子である。RUNXを介した遺伝子発現制御機構の一つに、RUNX依存性遺伝子サイレンサーによる標的遺伝子の発現抑制があるが、その制御機構についてはほとんど解明されていない。,基盤研究(B),小区分48040:医化学関連,転写因子RUNX,胸腺細胞分化,Cd4遺伝子,サイレンサー,エンハンサーRNA,遺伝子発現,enhancer RNA,CD4,RUNX,Silencer,Runx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02619,大阪市立大学,徳永 文稔,炎症・免疫シグナル制御に関与する２種の新規ユビキチンリガーゼの解析,本研究で我々は、直鎖状ユビキチン鎖を生成するLUBACユビキチンリガーゼ(E3)と会合し、付加的に複雑なユビキチン鎖生成に関わる2種の新規RING型E3を見出した。そのうちLUBAC-associated protein 1(LAP1)はLUBAC機能を抑制し、細胞死応答に影響を与えるが、LAP2はLys63鎖生成を介してNF-κBシグナルをさらに亢進させることを突き止めた。,基盤研究(B),小区分48040:医化学関連,タンパク質,酵素,細胞,炎症,ユビキチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02618,熊本大学,中尾 光善,エピゲノム因子による核小体－ミトコンドリアのネットワーク機構の解明,細胞内の核小体とミトコンドリアの連動性に着目し、新規のエピゲノム機構を明らかにすることを目的とした。siRNAライブラリーを用いて、核小体とミトコンドリアの構造・機能に関わる15分子を見出し、その解析を実施した。NSD2/WHSC1/MMSETメチル化酵素が細胞老化を防御して、細胞周期を促進する遺伝子群の発現を維持する役割を見出した。また、代謝とエピゲノムの観点から細胞老化の表現型に多様性があることを提唱した。LSD1/KDM1A脱メチル化酵素が骨格筋分化において、またLSD2/KDM1Bが褐色脂肪細胞・ベージュ細胞の分化において、エピゲノムとミトコンドリアを連動させることを明らかにした。,基盤研究(B),小区分48040:医化学関連,エピゲノム,核小体,ミトコンドリア,遺伝子,クロマチン,代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02617,徳島大学,米村 重信,上皮バリア機能を担うタイトジャンクションにおける隣接する細胞の死の感知,本課題は、隣接する細胞の死の感知にタイトジャンクションが関与するという仮説の検証を行い、その機構について掘り下げることを目標とした。タイトジャンクションを持つ上皮細胞では、隣接する細胞が死ぬとその細胞に接する面にアクトミオシンが集積し、その収縮が上皮シートの修復を助けるが、そのアクトミオシンの集積は、その上皮細胞が隣接する細胞とタイトジャンクションを形成できないと促進することを見出した。アクトミオシンが集積する際に、ミオシンのリン酸化、すなわち活性化を行うキナーゼであるRock2の集積、またRock2を呼び寄せるShroom3が集積することも見出し、分子機構の一端が明らかになった。,基盤研究(B),小区分48040:医化学関連,タイトジャンクション,損傷修復,ミオシン,上皮細胞,細胞間接着,細胞死,上皮細胞シート,ミオシン集積,上皮シート,上皮修復,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02616,神戸大学,金川 基,新規リビトールリン酸糖鎖の修飾機序の解明と生理活性の治療応用,リビトールリン酸は申請者らが発見した翻訳後修飾体で、その異常は筋ジストロフィーや精神発達遅滞などの疾患に直結する。しかし、リビトールリン酸糖鎖の機能不全がどのように細胞障害や疾患を引き起こすか、その機序は不明であった。本研究では、リビトールリン酸不全マウスを作出し、リビトールリン酸修飾の程度が脳病変の重篤度に関与すること、リビトールリン酸が心筋細胞の生理機能と細胞骨格の維持に関与すること、などを明らかにし、病態機序にもとづく治療戦略を提唱した。,基盤研究(B),小区分48040:医化学関連,糖鎖,筋ジストロフィー,疾患モデル,ジストログリカン,リビトールリン酸,フクチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02615,大阪大学,瀬川 勝盛,細胞膜におけるリン脂質の膜動態の分子基盤とその生理・病態的意義の解明,生物膜は、非対称に分布するリン脂質の二重層で構成される。例えば、細胞膜のホスファチジルセリン(PS)やホスファチジルエタノールアミンは内層に限局する。この定常状態におけるリン脂質の非対称的な分布は、リン脂質の脂質二重層間、オルガネラ間におけるダイナミックな“動き”の動的平衡状態として樹立・維持される。しかし、細胞が、何のために、そしてどのようにリン脂質の動的平衡を制御し、生物膜の非対称性を維持しているのか、そのメカニズムの大部分が不明である。本研究では、リン脂質フリッパーゼを中心としたPSの非対称分布の分子機構を明らかにした。,基盤研究(B),小区分48040:医化学関連,細胞膜,リン脂質,フリッパーゼ,ホスファチジルセリン,フロッパーゼ,細胞相互作用,リン脂質移層分子,非対称性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02614,大阪大学,西川 恵三,Physioxiaを対象にした酸素に対する真の生体応答機構の解析技術の創出,酸素は、多彩な細胞応答機構を通じて生体の恒常性維持にかかわる生命にとって必要不可欠な生体ガスである。しかしながら、生体内で個々の細胞が晒されている酸素濃度の情報は曖昧な現状にある。そこで、本研究では多光子励起顕微鏡を用いた最新の生体イメージング技術を発展・改良することで、生きた動物の組織内の個々の細胞が晒されている酸素濃度を1細胞レベルで解析した。本研究では、りん光寿命イメージング法を用いて、骨髄内の破骨細胞を蛍光標識したマウスを生かした状態で観察することで、りん光寿命の計測を行なった。その結果、破骨細胞の生理的な酸素濃度の範囲は2～5%であることを明らかにした。,基盤研究(B),小区分48040:医化学関連,破骨細胞,酸素,寿命イメージング,二光子励起顕微鏡,りん光,時間相関単一光子計数,イリジウム錯体,エネルギー代謝,Physioxia,イメージング,生体イメージング,低酸素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02613,京都大学,横林 しほり,哺乳類始原生殖細胞におけるクロマチン高次構造と核内動態変化の分子的理解,哺乳類の生殖細胞発生の起源となる始原生殖細胞では、ゲノムワイドなDNAメチル化変化を伴うエピゲノム再編成が起きる。本研究では、マウス多能性幹細胞から始原生殖細胞への試験管内分化系と精子幹細胞培養系を用いて、エピゲノム、クロマチン高次構造、核ダイナミクス変化を包括的に解析した。その結果、始原生殖細胞では生殖細胞系列に特徴的なクロマチン高次状態変化が誘導され、その特徴は精子幹細胞まで継続的に維持されることが明らかになった。,基盤研究(B),小区分48040:医化学関連,始原生殖細胞,哺乳類,エピゲノム,クロマチン高次構造,多能性幹細胞,in vitro誘導系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02612,名古屋大学,花房 洋,ROCOファミリーキナーゼLRRK1/2によるメンブレントラフィック制御の解明,本研究では、主にLRRK1に焦点を当て（１）EGFR細胞内トラフィックにおける機能解析及び（２）損傷ミトコンドリア除去機構（マイトファジー）における機能解析を行なった。（１）に関して、LRRK1とフォスファターゼPTENは、低分子量GタンパクRab7をリン酸化・脱リン酸化することでEGFR細胞内輸送を制御することを明らかにした。（２）に関して、LRRK1はULK1によってリン酸化・活性化され、損傷ミトコンドリア上のRab7をリン酸化することで、隔離膜形成に重要なATG9をリクルートすることを明らかにした。またLRRK1は、LRRK2と競合的にマイトファジーを制御する可能性を見出した。,基盤研究(B),小区分48040:医化学関連,LRRK1,EGFR,Mitophagy,Rab7,membrane traffic,Rab,endosome,LRRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02611,新潟大学,小松 雅明,次世代測定技術を用いた生体内オートファジー動態解析,本研究課題から、世界初の選択的オートファジー阻害マウスの開発に成功した。本マウスは、オートファジーにおける選択的オートファジーの割合、選択的オートファジー生理的意義、新規オートファジー基質のスクリーニングなどオートファジー研究の強力なツールとなる。分子メカニズムに基づいた強力なNrf2活性化剤KMN003を開発し、in vivo（塗布）においてもその効果を確かめた。Nrf2活性化剤は、多発性硬化症や糖尿病性腎症の治療薬となることから、これら病態マウスモデルを用いた薬効検証が期待される。,基盤研究(B),小区分48040:医化学関連,オートファジー,選択的オートファジー,Nrf2,LC3,Keap1,オートファジープローブ,低分子化合物,プローブ,p62,化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
