awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02628,中部大学,古川 鋼一,スフィンゴ糖脂質と膜分子との複合体による細胞膜と微小環境のシグナル制御機構の解明,糖脂質が局在する膜脂質ラフトの動態と機能解明のため、その会合分子の同定と複合体形成及び細胞制御機能を解析した。さらに、分泌顆粒EVとの構造・機能との関連を検討した。まず癌関連糖脂質の会合分子をEMAR/MS法により同定し、その複合体形成を明らかにした。さらに、脂質ラフトとEVの化学組成、EV含有分子のプロテオミクス質量分析を行い、EVの生成・分泌・取込における脂質ラフトの重要性が明らかになった。脂質ラフトにおけるスフィンゴ糖脂質と膜分子との複合体によるシグナル調節機構、EVによる微小環境の制御機能を検討し、EVがラフトとともに癌の悪性形質を増強し、悪性シグナルの活性化を誘導することが分かった。,基盤研究(B),小区分49010:病態医化学関連,脂質ラフト,スフィンゴ糖脂質,ミクロドメイン,クラスター,複合体,細胞外小胞,微小環境,セラミド、,セラミド,膜分子,シグナル,細胞膜,細胞外顆粒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02627,順天堂大学,横溝 岳彦,ロイコトリエンB4産生酵素と受容体の疾患モデルにおける役割,"生理活性脂質ロイコトリエンB4の産生酵素(LTA4H)と受容体(BLT1, 2)の生体内での役割を明らかにする目的で以下の実験を行った。樹状細胞特異的なBLT1欠損マウスとLTA4Hのアミノペプチダーゼ活性のみを欠失させたE297Qノックインマウスを作製し、これらのマウスと全身性BLT1欠損マウスを用いて以下を明らかにした。1) BLT1の発現によって規定される樹状細胞サブセットを同定し、炎症性疾患モデルにおける役割の違いを明らかにした。2)LTA4H欠損マウスでは甲状腺ホルモンの分泌が亢進する結果、「痩せ」の表現系を来すがこの表現系はLTA4Hのアミノペプチダーゼ活性の欠損に由来する。",基盤研究(B),小区分49010:病態医化学関連,生理活性脂質,生体分子,遺伝子改変マウス,炎症性疾患,生理活性,シグナル伝達,ロイコトリエンB4,受容体,産生酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02626,九州大学,馬場 義裕,I型インターフェロンが誘導するB細胞機能の二面性と自己免疫疾患病態の理解,I型インターフェロン(IFN-I)が、自己免疫疾患に対して病態の増悪と抑制の二面性を持つことが知られるが、その分子機序は不明である。本研究では、IFN-Iに対するB細胞応答を検証することで、その疑問にアドレスした。その結果、ヒトB細胞がIFN-I の刺激でIL-10を産生するプラズマブラストを誘導することを見出し、その性状を明らかにした。また、このIL-10産生B細胞がT細胞増殖を抑制することを示した。マウスB細胞において、TLRアゴニストによるプラズマ細胞分化の仕組みは不明な点が多いが、IFN-Iが協調して働くIL-10産生と非産生プラズマ細胞分化シグナルの存在を示唆する知見を得た。,基盤研究(B),小区分49010:病態医化学関連,B細胞,インターフェロン,IL-10,自己免疫疾患,制御性B細胞,I型インターフェロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02625,山口大学,中井 彰,HSF1による新規転写調節機構を介したプロテオスタシス維持機構の解明,熱ショック応答を制御する転写因子HSF1は、熱ショックタンパク質HSP70などの発現調節を介してプロテオスタシス容量を維持する鍵因子であり、その調節異常は神経変性疾患やがんと関連する。本研究により、熱ストレスでリン酸化されたHSF1がシュゴシンSGO2を介してRNAポリメラーゼIIと相互作用することで転写開始前複合体形成を促進し、HSP70転写誘導を引き起こすことが明らかとなった。また、同時にリクルートされるメディエーターMED12-CDK8はこのHSF1リン酸化と転写開始前複合体形成を促進していた。これらの新規機構はプロテオスタシス容量の維持に寄与していることも分かった。,基盤研究(B),小区分49010:病態医化学関連,熱ショック応答,熱ショックタンパク質,転写因子,RNAポリメラーゼ,シュゴシン,メディエーター,リン酸化,プロテオスタシス,熱ショック,転写,転写開始前複合体,RNAポリメラーゼII,染色体分配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02624,広島大学,宮本 達雄,DNA二重鎖切断応答シグナルに応じた神経病態の決定機構の解明,DNA二本鎖切断修復酵素MRE11ヌクレアーゼをコードするMRE11遺伝子は、変異タイプによって「運動失調」または「小頭症」の原因遺伝子となる。本研究では、ゲノム編集技術を用いて、MRE11 c.658A>Cスプライシング変異（小頭症型）とp.A47V変異（運動失調型）を導入したマウスを作製した。MRE11 c.658A>Cスプライシング変異ホモマウスは、ヒトと異なり、正常発生をした。一方で、MRE11 p.A47V変異ホモマウスは、ヒト同様にミオクローヌス様症状を示しており、神経変性疾患研究の有用な疾患モデル動物であることが示された。,基盤研究(B),小区分49010:病態医化学関連,DNA修復欠損症,DNA修復遺伝子欠損症,ゲノム編集技術,DNA損傷修復欠損症,DNA修復遺伝子,ゲノム編集,疾患モデル,DNA損傷修復,遺伝子改変動物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02623,神戸大学,中村 俊一,S1Pシグナルを介したエキソソーム放出の分子機構の解析,エキソソームは多少砲エンドソーム（MVE）が細胞膜と融合することで内部の小胞が細胞外に放出されたもので、細胞間情報伝達の手段として注目を集める。我々はMVE膜上にスフィンゴシン１リン酸（S1P）の産生酵素スフィンゴシン・キナーゼ2が集積し、持続的にS1P受容体を活性化することがMVEへの積荷輸送に重要であることを見出した。またS1Pは直接プロテイン・キナーゼCζに結合し、活性化することでMVEのリソゾーム活性を調節している可能性を示した。更にパーキンソン病の原因タンパク質αシヌクレインはS1P受容体に作用し、Gタンパク質との脱連関を引き起こすことで病気の進展に関与している可能性を見出した。,基盤研究(B),小区分49010:病態医化学関連,S1P,スフィンゴシンキナーゼ,ホスホイノシタイド,エキソソーム,パーキンソン病,マクロピノサイトーシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02622,三重大学,島岡 要,エキソソームによる腸管特異的リンパ球ホーミングの制御機序の解明,感染症防御の最前線である粘膜組織へのエフェクター/メモリー・リンパ球ホーミングが過少であれば生体防御能が低下する、一方過剰であれば組織障害につながる可能性がある。本研究ではリンパ球自身が分泌するエキソソームが先回りして遠隔臓器に作用し、リンパ球ホーミングを制御する新規メカニズムを見出した。粘膜指向性リンパ球が分泌するエキソソームはホーミング受容体インテグリンa4b7を高発現し、マイクロRNAを介したエピジェネティックな様式で、遠隔臓器の血管内皮に作用しMAdCAM-1を含むインテグリンリガンド発現抑制により、ホーミングを負に制御する重要なブレーキとして機能することを明らかにした。,基盤研究(B),小区分49010:病態医化学関連,インテグリン,エキソソーム,細胞外小胞,細胞接着,炎症,細胞接着分子,免疫,エクソソーム,マイクロRNA,ホーミング,腸管免疫,リンパ球ホーミング,粘膜免疫,血管内皮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02621,東北大学,本橋 ほづみ,NRF2依存性がんの発症メカニズムの解明,転写因子NRF2は、正常な状態では生体防御に関わる様々な遺伝子を活性化することで私達の健康維持において重要な役割を果たしているが、異常に活性化すると極めて予後不良な非小細胞肺がん（NRF2活性化がん）の原因となる。本研究では、正常細胞でのNRF2機能とは関係がなく、NRF2が異常に活性化しているNRF2活性化肺がん細胞においてのみ、NRF2の標的遺伝子として活性化され、かつ、がんの悪性化に寄与する因子を、理想的な治療標的として探索し、NOTCH3が新たな治療標的になりえることを見出した。,基盤研究(B),小区分49010:病態医化学関連,NRF2,がん,悪性化,硫黄,酸化酵素,Nrf2,硫黄代謝,NRF2活性化がん,ミトコンドリア,イオウ代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03440,国立研究開発法人国立がん研究センター,市村 幸一,網羅的ゲノム解析と生殖細胞発生機構の理解に基づく中枢神経系胚細胞腫発生機序の解明,中枢神経系胚細胞腫(CNSGCT)は小児・AYA世代に好発し、小児脳腫瘍の中ではわが国において2番目に頻度の高い悪性脳腫瘍であるが、その発生機序は謎に包まれている。本研究ではCNSGCTに対して全ゲノムシークエンスを行い、ゲノム全領域において点突然変異からゲノム構造異常まで網羅的な解析を行い、CNSGCTの発生機序を解明する。またCNSGCTで多く見られる遺伝子変異をヒトiPS細胞に導入し、これをCNSGCTの起源細胞とされる始原生殖細胞に誘導することにより、CNSGCTのモデルを作成することを目指す。,基盤研究(B),小区分49010:病態医化学関連,中枢神経系胚細胞腫,全ゲノム解析,iPS細胞,ロングリード解析,生殖細胞,iPSC,ロングリードシークエンス,レトロトランスポゾン,胚細胞腫,脳腫瘍,全ゲノムシークエンス,生殖細胞発生,始原生殖細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03439,関西医科大学,中邨 智之,生体組織の伸縮性を生み出すしくみの研究,我々の生体組織の伸縮性は、弾性線維という細胞外マトリックスが担っている。弾性線維の分解・劣化が肺気腫、動脈中膜硬化などの老化関連疾患や皮膚のたるみなどの直接原因であるため、弾性線維の形成・維持の機構解明は高齢化社会における極めて重要な課題である。しかし弾性線維のターンオーバーは極めて遅く、その再生は困難とされている。これまで申請者は弾性線維形成に必要なプロセスを研究し、それぞれのプロセスに必須のタンパク質を同定してきた。本研究では、それらの生体内での機能と動態を明らかにするとともに、弾性線維の維持機構、弾性線維再生がおこる条件等を解明する。,基盤研究(B),小区分49010:病態医化学関連,細胞外マトリックス,弾性線維,膠原線維,老化,組織再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
