awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02659,国立感染症研究所,大西 真,常在ナイセリア属菌の耐性遺伝子プールに着目した淋菌の耐性遺伝子の起源に関する研究,淋菌の薬剤耐性遺伝子の起源を明らかにするために、セフトリアキソン耐性非病原性ナイセリア属菌を12株分離しゲノム配列を明らかにした。その耐性遺伝子の性状解析を行った。これらの耐性遺伝子は、いずれも感受性淋菌を耐性に変化させることが可能であることを示した。N. subflavaは直接淋菌を耐性に変化させることはできなかったが、他の菌を経由することで淋菌を耐性に変化させることが可能であることが示された。,基盤研究(B),小区分49050:細菌学関連,淋菌,形質転換,薬剤耐性,セフトリアキソン,自然形質転換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02658,国立研究開発法人農業・食品産業技術総合研究機構,大倉 正稔,豚レンサ球菌の表層抗原変換による病原性への影響,豚レンサ球菌 (Streptococcus suis)の血清型の相違に寄与する遺伝子領域を他の血清型に交換した血清型変換株を実験的に作出し、マウス及びブタへの接種試験やブタ上皮細胞への付着侵入能、マウスマクロファージ細胞による貪食抵抗性、マウス及びブタの血中生残性などについて親株と比較することにより、本菌の血清型の相違が動物への病原性や宿主細胞との相互作用に影響しうること、そして、その影響が血清型により多様であることを明らかにした。,基盤研究(B),小区分49050:細菌学関連,細菌,表層抗原,血清型,抗原変換,細菌学,人獣共通感染症,人獣共通感染症起因菌,レンサ球菌,表層抗原変換,抗原性変換,Streptococcus suis,莢膜型,リポタイコ酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02657,京都薬科大学,小田 真隆,新規水溶性糖脂質の細菌性肺炎制御における有効性とそのメカニズムの解明,薬剤耐性菌の出現に伴い、抗菌薬に頼ってきた我が国の医療体制に危機が迫っている。特に高齢者の割合が増加する近年では、他の疾病で入院した高齢者の耐性菌による院内感染が問題となっている。そこで本研究では、肺炎起因菌、特に院内肺炎で問題となっている緑膿菌に対する水溶性糖脂質の効果について解析した。その結果、我々が独自に開発した水溶性糖脂質が緑膿菌を死滅させること無く、菌体運動に関わる遺伝子の発現を低下させることにより、べん毛の動きを抑制していることが判明した。今後は、インビボ実験や他菌種に対する水溶性糖脂質の効果について解析を進める。,基盤研究(B),小区分49050:細菌学関連,薬剤耐性菌,水溶性糖脂質,緑膿菌,ベン毛,バイオフィルム,肺炎,ミュータンス菌,LPS,ビザンチン,皮膚疾患,TLR4/MD2,エンドトキシンショック,機能性糖脂質,水様性ビザンチン,TLR4/MD-2受容体,肺炎球菌,ガン転移,細菌性肺炎,インフルエンザ菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02656,東京薬科大学,新崎 恒平,宿主細胞内におけるレジオネラの多彩な生存戦略の解明,本研究は肺炎を引き起こすレジオネラの細胞内輸送機構の解明を目的として行なった。具体的には細胞内に形成されたレジオネラ含有小胞（LCV）の小胞体への移行機構の解明、小胞体に到達したレジオネラの小胞体定着化機構の解明、LCVのリソソーム輸送阻害機構の解明の３つのテーマを中心に研究に行なった。本研究の遂行により、３つのテーマ全てにおいて当該機構に関連する宿主因子及びレジオネラエフェクター（レジオネラが宿主細胞に分泌するバクテリア因子）の同定に成功した。今後はそれら宿主因子とレジオネラエフェクターの間の分子機構の解明を行う。,基盤研究(B),小区分49050:細菌学関連,レジオネラ,レジオネラエフェクター,小胞輸送,小胞体,Rabタンパク質,膜輸送,膜融合,細胞内小胞輸送,エフェクター,Rab5,Rab33B,Bap31,climp-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02655,琉球大学,Toma Claudia,腎近位尿細管上皮細胞を足場とするレプトスピラの感染機構の解明,レプトスピラ症の原因細菌であるレプトスピラは、皮膚から血流に入り、肺や腎臓などの標的臓器へと拡がる。一方、臓器にはもともと細胞間接着装置が隣り合う細胞どうしを密着させることで、臓器の構造と感染阻止を含む生理機能を維持する。,基盤研究(B),小区分49050:細菌学関連,レプトスピラ,上皮細胞,細胞間接着装置,尿細管,腎臓,定着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02654,金沢大学,藤永 由佳子,ボツリヌス菌の病原性関連遺伝子領域に存在する機能未知遺伝子群の解析,ボツリヌス菌は、ボツリヌス神経毒素と無毒成分の複合体であるボツリヌス神経毒素複合体を産生することにより、ボツリヌス症を引き起こす。無毒成分中の HA(Hemagglutinin)は神経毒素の腸管吸収を著しく高 めることで神経毒素の病原性に寄与している。一方で、ha遺伝子を持たないボツリヌス菌も存在しているが、そのような菌はこれまでのところ例外なくorfx1~3 および p47遺伝子をha遺伝子の代わりに持っている。これらの遺伝子産物はHAのようにボツリヌス症の病態形成に重要であると考えられているが、それらの機能 については未知である。そこで本研究では遺伝子産物の生物活性の解析を主に行なった。,基盤研究(B),小区分49050:細菌学関連,Clostridium botulinum,botulinum neurotoxin,hemagglutinin,ボツリヌス菌,botulinum,病原性,ボツリヌス,Clostridium,細菌毒素,C. botulinum,クロストリジウム属,Clostridia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02653,千葉大学,知花 博治,PATHOME解析による病原酵母カンジダ・グラブラータの病原性解明,カンジダ・グラブラータは、有性世代が見つかっていない一倍体生物である。系統分類学的にパン酵母に近縁な種であるが、致死的な感染症の原因菌である。近年既存薬に対する耐性菌の増加が問題となっており、本菌の病原性の理解と薬剤開発は重要な研究課題である。生育に非必須な遺伝子の改変株を用いてマウス感染時における各遺伝子の感染における重要性を評価した。その結果、肝臓や腎臓などの臓器へ到達し維持されなかった株が見出された。これらの遺伝子ついて、様々な培養条件による生育状況を調査し、カンジダ・グラブラータの病原因子の特定を行った。,基盤研究(B),小区分49050:細菌学関連,真菌,病原性,薬剤標的,病原因子,病原真菌,真菌感染,深在性真菌症,常在菌,日和見感染,in vivo解析,生育必須遺伝子,次世代シークエンサー,感染経路,カンジダ症,Candida,ハイスループット,腸管定着,カンジダ・アルビカンス,アスペルギルス・フミガタス,クリプトコックス・ネオホルマンス,血流感染,感染メカニズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02652,筑波大学,森川 一也,限定的発現遺伝子群espが担う新たな細菌特性の解明,私たちは亜集団で発現する遺伝子を黄色ブドウ球菌に見出し、esp(expression in minor subpopulation)遺伝子と名付けました。私たちはesp発現細胞で他にどのような遺伝子群が発現しているかを明らかにし、その情報から各espの機能を推定することを目指しています。本研究ではそのための実験系を完成させました。さらにesp15(com遺伝子：DNA取り込みに関係する)についての研究が進み、本菌はバイオフィルム中で複雑なシグナル伝達系に制御されつつcom遺伝子群を発現させて自然形質転換によって遺伝子を良く取り込むことを明らかにしました。,基盤研究(B),小区分49050:細菌学関連,黄色ブドウ球菌,MRSA,薬剤耐性菌,esp,不均一性,限定的発現,限定的発発現,限定的発言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03474,北里大学,松井 英則,ヘリコバクター・ハイルマニイ感染とその対策,ハイルマニイ菌感染症において、3年計画で全国の協力医療機関から臨床検体を収集し、新規除菌剤の検証および分離培養法と迅速感染診断法を確立する。本邦における地域性、生活環境、年齢、疾患、性別、愛玩動物との接触の有無などで感染率を算出し、その関連性を明らかにする（リスク分析）。同時に、臨床分離株のゲノム解析を基盤とした遺伝子型判定、薬剤耐性、病原性などの情報のデータベースを構築する。,基盤研究(B),小区分49050:細菌学関連,ヘリコバクター・スイス,ヘリコバクター・ハイルマニイ,胃MALTリンパ腫,人獣共通感染症,難培養性細菌,マウス感染モデル,コッホの4原則,ゲノム解析,コッホの原則,パーキンソン病,迅速診断,Helicobacter suis,MALTリンパ腫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03473,大分大学,山岡 吉生,新規2次元胃上皮細胞培養系を用いた疾患特異的ピロリ菌病原因子の追及,1) 一部のヘリコバクター・ピロリ (ピロリ菌)感染者だけが疾患を発症し、しかも人によって発症する疾患に違いがでるのはなぜだろう？ 2) 胃癌発症率に地域差が生じるのはなぜだろう？という２つの「問い」に答えるため、我々が確立した2次元化したオルガノイド(胃ではガストロイドと呼ぶ)とT細胞を共培養する系を用いて、既知の病原因子の真の機能の探求、さらに、菌の全ゲノム解析を行い、疾患の発症に関与する新規病原因子の発見を目指す研究を展開する。,基盤研究(B),小区分49050:細菌学関連,ヘリコバクター・ピロリ,胃がん,オルガノイド,病原因子,病原性,全ゲノム解析,次世代シーケンス,胃上皮細胞,胃癌,ヘリコバクター・ピロリ（ピロリ菌）,オルガノイド（ガストロイド）,ゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
