awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02705,国立研究開発法人産業技術総合研究所,高橋 淳子,５－アミノレブリン酸による放射線力学的がん治療法の臨床応用のための基盤研究,プロトポルフィリンIX(PpIX)前駆体の5-アミノレブリン酸(5-ALA)は生体に取り込まれ、腫瘍特異的にPpIXが蓄積する。我々はX線照射によりPpIXが活性酸素生成を増強することを見出し、5-ALAを放射線治療に併用する放射線力学療法(RDT)の開発を目指している。RDTは放射線療の治癒率の向上、また低線量治療の可能性を有する、本課題では、作用機序の解明および放射線治療の臨床条件に近い試験条件での有効性を評価した。その結果、低酸素状態での活性酸素生成能の増強効果、また悪性神経膠腫担癌マウスによる60Gy/30分割/6週間試験での腫瘍抑制効果および腫瘍再増殖抑制効果を観察した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,放射線治療,放射線増感剤,5-アミノレブリン酸,プロトポルフィリンIX,活性酸素,放射線力学療法,光線力学診断,光線力学療法,5－アミノレブリン酸,放射線増刊,有機化合物,プロトポルフィリン,担癌マウス,５－アミノレブリン酸,担癌動物,増感剤,がん治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02704,国立研究開発法人国立がん研究センター,牛島 俊和,lnc162によるDNA脱メチル化剤感受性増強の分子機構の解明,本研究では、DNA脱メチル化剤（5-aza-dC）の高感受性と関連するlong-noncoding RNA linc00162 (lnc162)の分子機構の解明と、他の固形腫瘍における役割を解析した。lnc162と相互作用する因子としてHNRP1を同定した。HNRP1はアポトーシス関連遺伝子のスプライシングを調節し、5-aza-dC感受性を制御していた。lnc162はin vivoにおいても5-aza-dC治療の感受性に関与した。脂肪肉腫においては5-aza-dC投与でlnc162の発現が誘導され、その普遍性が示された。本研究成果を原著論文として発表した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,DNA脱メチル化治療,効果予測マーカー,lncRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02703,国立研究開発法人国立がん研究センター,土屋 直人,細胞間情報伝達による肉腫特異的血清マイクロRNAプロファイル成立機構の解明,細胞内non-coding RNAであるマイクロRNA（miRNA）の機能異常が発がんと深く関連することは明らかであるが、如何にして腫瘍組織の成立に貢献するか、そのメカニズムは不明である。本研究では、細胞外miRNAプロファイルの成立が、主としてがん細胞由来ではないことを明らかにし、血液細胞や他の組織由来のmiRNAの貢献が大きいことを明らかにした。さらに、細胞外からも検出されるmiRNA構造アイソフォームの生物学的意義についても検討を行い、特定miRNAのアイソフォーム生成が、miRNAのがん促進的細胞内ネットワークの活性化を反映することを見出した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,miRNA,細胞外分泌,細胞内ネットワーク,細胞外miRNA,細胞間情報伝達,細胞外小胞,微小環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02702,国立研究開発法人国立がん研究センター,安永 正浩,高感度ナノESI式１細胞質量分析による薬理薬効評価法の創出と革新的新薬の開発,ナノESI(Electrospray　Ionization)にCE-MS（capillary electrophoresis mass spectrometry）を組み合わせた１細胞レベルでのマルチオミックス解析法を開発した。これにより、生細胞や組織検体中の薬剤・生体分子を高感度で測定・分析が可能になった。さらに、in situ型質量分析により、従来困難であったがん細胞と間質細胞を区別した分析も可能になった。また、抗体医薬（ADCや抗CD20抗体など）のPK/PD/MOA解析法も確立した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,ドラッグデリバリー,抗体,質量分析,分子イメージング,ADC,抗体医薬,薬理薬効,1細胞質量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02701,地方独立行政法人宮城県立病院機構宮城県立がんセンター(研究所),田中 伸幸,癌幹細胞性と微小環境を制御するS100A10の分子基盤解明による革新的治療戦略,癌幹細胞は効果的な治療標的であるが、標的遺伝子が未解明であるため有効な治療法開発に結びついていない。プロテオミクス解析により、我々はS100A10が癌幹細胞に特異性が高いことを見出した。本研究ではS100A10が果たす機能を明らかにする研究を展開し以下の結果を得た。１）S100A10は偽足形成に重要であり、細胞遊走と浸潤に大きな役割を果たす。２）S100A10は造腫瘍性を正に制御する。３）癌幹細胞性遺伝子の発現には必須ではない。４）細胞骨格維持に重要であり、S100A10を欠失させると明確な形態異常を起こす。以上の結果よりS100A10は悪性度の高い癌の治療標的として妥当であると考えられる。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,がん,細胞骨格,癌幹細胞,造腫瘍性,微小環境,癌,分子標的治療,幹細胞,がん微小環境,細胞接着運動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02700,東京大学,武田 伸一郎,最先端宇宙センサ技術で切り開く「がん幹細胞」の生体内可視化,本研究では、がん幹細胞をターゲットとした次世代の薬剤輸送システムの研究や、抗がん剤や放射線治療が生体内のがん幹細胞にもたらす効果の定量化を可能にするために、がん幹細胞の生体内での分布の可視化を実現する技術的基盤の創出を目指した。最先端の宇宙観測用の検出器技術を応用し、放射性同位体分布の三次元画像化を可能とする、小動物用イメージャーを完成させた。世界最高性能の感度と分解能を生かして、がんを移植した部位からリンパ節へと転移した1mmに満たない微小転移の検出に成功した。がん幹細胞性を備えた細胞が転移に寄与していることが示唆されており、がん幹細胞の生体内可視化の実現に向けて大きな一歩を踏み出した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,がん幹細胞,放射線,半導体検出器,放射性プローブ,半導体,プローブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02699,神戸学院大学,角田 慎一,免疫制御シグナルTNFR2-APP3経路の機能解明と低分子がん免疫治療薬開発,本研究では、Treg/MDSCの機能に関わることが示唆されているTNFR2及びTNFR2-APP3シグナルに着目し、免疫制御の分子メカニズムを明らかにすることを目指した。また、新規がん免疫治療薬の開発を念頭に、TNFR2-APP3シグナルの低分子制御薬の探索を試みた。研究の結果、TNFR2-APP3シグナルがTreg/MDSCの増殖やTregの免疫抑制機能に関わっていることが明らかとなった。また、TNFR2がin vivoでの腫瘍免疫抑制機構に関与することが示唆された。これらの結果から、TNFR2-APP3シグナルは、がん免疫治療の標的になることが示唆された。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,TNFR2,APP3,Treg,MDSC,がん免疫療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02698,藤田医科大学,鈴木 元,肺がん転移を制御するセラミドホメオスタシス解明とその応用,がん転移の主要プロセス細胞遊走にはCERS6が必要である。本研究では、CERS6結合たんぱく質群を同定し、その内一つが、CERS6酵素活性をラメリポディアにリクルートし、セラミド合成を介してaPKCζたんぱく質を活性化、細胞遊走を促進する機能があることを示した。一方、CEBPγとYBX1がCERS6発現誘導を行い、セラミド依存性のラメリポディア形成とがん細胞遊走活性を介して肺がん遊走に関与していることを示した。さらに、肺がん転移予防薬開発を目指した低分子化合物スクリーニング及び化学合成による構造最適化研究を行った。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,肺癌,CERS6,転移,セラミド,細胞遊走,スフィンゴ脂質,創薬,細胞骨格,アクチン,転写因子,肺がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02697,金沢医科大学,岡崎 俊朗,SMS2欠損による腫瘍免疫活性化の分子機構解明とその新規AML療法への応用,免疫応答性SMS2-KOマウスにMLL/AF9遺伝子改変急性骨髄性白血病（AML）細胞を移植したところ、一旦増殖するが、その後次第に排除され、コントロールAMLマウスに比べて有意に長期生存した。移植前の放射線照射により免疫不全となったマウスはSMS2-KO状態であっても 白血病を発症し生存期間の延長も認められなかった。このAML進展抑制の機序として、SMS2欠損状態による同時的CTLの活性化とMDCの抑制による腫瘍免疫の活性化を認めた。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,スフィンゴミエリン合成酵素,セラミドスフィンゴミエリン,腫瘍免疫,ミクロドメイン,セラミド,スフィンゴミエリン,白血病,スフィンゴ脂質,治療,マウスモデル,ＳＭＳ２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02696,帝京大学,白石 憲史郎,アブスコパル効果のメカニズム解明－腫瘍免疫に基づく画期的腫瘍治療戦略－,生体に備わる免疫応答を意図的に増幅し全身的アブスコパル効果を惹起することは腫瘍学上大変魅力的であり、革新的な次世代の治療法となる。近年最大の注目を集め続ける腫瘍免疫に着目し、免疫チェックポイント阻害薬を用いて放射線照射を局所から全身治療へと発展させる治療戦略開発を見据えた科学的根拠を確立することが本研究の目的であった。バイオマーカー/特異的ネオアンチゲン/至適照射法が不明なため、SBRT併用前向き臨床研究を検討した。,基盤研究(B),小区分50020:腫瘍診断および治療学関連,アブスコパル,腫瘍免疫,放射線治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
