awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02725,国立研究開発法人国立長寿医療研究センター,篠原 充,ヒト脳内での２段階にわたるアミロイドβ蓄積の機序の解明,"全長型AβやN末端が短いAβ測定のためのELISA、超高感度ELISAを導入、開発するとともに、疾患段階の異なるヒト剖検脳の複数の脳領域について各種Aβの測定を行った。各種神経炎症マーカー測定とともに、タウの蓄積を精度よく捉えるELISAの開発を行い、各疾患段階、各脳領域でのタウの蓄積を測定し、学術誌に報告した(Shinohara et al., J Neuropathol & Exp Neurol 2021)。さらに網羅的遺伝子発現解析を行い、各種Aβやタウに相関する遺伝子、パスウェイを同定した（未発表）。それらの関与を検証する研究を引き続き行っている。",基盤研究(B),小区分51030:病態神経科学関連,アルツハイマー病,認知症,アミロイドβ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02724,国立研究開発法人理化学研究所,片岡 洋祐,脳内神経炎症を機軸とした癌関連疲労および悪液質病態の解明,担がんマウスを作製し、体重減少や骨格筋の萎縮から悪液質の誘発を評価した。ファイバー型顕微内視鏡技術により腫瘍内の微小環境や腫瘍細胞増殖活性と悪液質の惹起との関係を調べたところ、腫瘍内の低酸素領域の形成などの不均一性の出現が悪液質の誘発と関係することが見いだされた。特に、腫瘍内微小環境の変化が脳内神経炎症などを介して自律神経機能を低下させ、がん性疲労や悪液質を惹起することが示唆された。,基盤研究(B),小区分51030:病態神経科学関連,がん性悪液質,がん関連疲労,神経炎症,中枢神経,顕微内視鏡,広域電子顕微鏡,がん性疲労,癌性悪液質,癌性疲労,疲労,悪液質,がん,イメージング,脳,ファイバー型顕微内視鏡,細胞増殖,代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02723,同志社大学,山中 智行,変性神経細胞におけるダイナミックなクロマチン構造変化の同定,ハンチントン病で起こる遺伝子発現異常について、障害神経細胞に着目した詳細な解析をおこなった。まず、ハンチントン病で障害される転写因子NF-Yについて、これをマウス脳内でノックダウンし、FACSによりこれら細胞を回収しRNA－seq解析を行った。その結果、NF-Y阻害は小胞体関連遺伝子を優先的に発現抑制することを見出した（Sci Rep. 2020）。また、ハンチントン病モデルマウスから、線条体の有棘神経細胞のみをFACSで回収しDNA microarray解析を行い、この神経細胞特異的なトランスクリプトーム変化を同定し共著で発表した（J Biol Chem. 2020）。,基盤研究(B),小区分51030:病態神経科学関連,ハンチントン病,トランスクリプトーム,クロマチン,転写因子,神経変性疾患,クロマチン免疫沈降,クロマチン構造,トランスクリプトミクス,次世代シーケンス解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02722,東京慈恵会医科大学,加藤 総夫,脊髄－腕傍核－扁桃体－下行性疼痛制御系ループの痛み依存的シナプス可塑性,慢性の痛みの機構を解明するため，その成立における痛覚制御システムの可塑的な変調の役割の解明を目指した．顔面口唇部炎症性疼痛モデルが，約２週間持続する両側性下肢痛覚過敏を示す事実を見出した．この持続的痛覚過敏は，右扁桃体中心核（CeA）ニューロン活動の選択的抑制によって一過性に軽減した．一方，無傷動物において，右CeAニューロンの選択的興奮は，両側下肢に痛覚過敏を生じさせた．右扁桃体中心核の活動が，炎症や傷害の非存在下でも離れた広汎な部位に両側性の痛覚過敏を成立させる事実を示しており，これが心理的・社会的な要因による脳内の可塑的変調によって生じる身体のさまざまな部位の痛みの機構であると結論した．,基盤研究(B),小区分51030:病態神経科学関連,慢性疼痛,扁桃体中心核,痛覚変調性疼痛,化学遺伝学,中枢性感作,広汎性痛覚過敏,カルシトニン遺伝子関連ペプチド,腕傍核,炎症性疼痛,光遺伝学,シナプス伝達,FosTRAP法,痛み,扁桃体,三叉神経節,三叉神経脊髄路核,痛み特異的ニューロン,三叉神経,慢性痛,痛み情動,脊髄後角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02721,宮崎大学,新 竜一郎,ヒトプリオン持続感染培養細胞樹立による増幅機構の解明と新たな予防・治療法の創出,本研究では、１）ヒトプリオンの培養細胞への感染様式と持続感染機構の解明、２）昆虫細胞由来組換えプリオンタンパクを用いたプリオン自発生成系の開発を目的とした。１）では複数の培養細胞の増殖特性その他の解析を行った後、持続的にヒトプリオンに感染するかについて検証した。その結果、数回の継代まではプリオンシード活性が検出されたが、その後、徐々に消失することが判明した。２）では45 ℃の反応により複数の亜型プリオンが自発生成したが、反応を継続すると亜型の特徴は消失し、単一のものに収束した。本研究によりヒトプリオンの培養細胞における消失過程と複数のプリオン亜型の自発生成機構とその競合過程が明らかとなった。,基盤研究(B),小区分51030:病態神経科学関連,プリオン病,RT-QuIC法,PMCA法,孤発性クロイツフェルトヤコブ病,異常型PrP,クロイツフェルト・ヤコブ病,培養細胞,RT-QUIC法,クロイツフェルトヤコブ病,異常型プリオンタンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02720,長崎大学,岩田 修永,痙攣性神経疾患関連遺伝子PRRT2のシナプスにおける病態生理学的役割の解明,発作性運動誘発性ジスキネジア (PKD) はProline-rich transmembrane protein 2 (PRRT2) の変異により発症するが、原因となる脳領域や神経回路を含め、その発症機序は未解明である。本研究では、PKD患者に最も高頻度に見られる変異を導入したPrrt2 KIマウスを作製し、Prrt2変異により線条体において神経活動誘導性のドパミン放出が過剰になることを見出した。,基盤研究(B),小区分51030:病態神経科学関連,ジスキネジア,PRRT2,大脳基底核,ドパミン,ドパミントランスポーター,シナプス,マイクロダイアリシス,カルパイン,ノックインマウス,けいれん,痙攣,ディスキネジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02719,岡山大学,井上 剛,ケトン食由来代謝産物に基づく難治性てんかん治療薬の開発,ケトン食療法は、既存薬が効かない難治性てんかんに有効であり、アルツハイマー病等の神経疾患への有効性も示唆されている。本研究では、ケトン食療法に基づく治療薬開発を目指し、以下３項目を実施した。まず第一に、ケトン食の主要代謝産物であるβヒドロキシ酪酸に着目し、その作用点として電位依存性カルシウムチャネルα1サブユニットを決定した。第二に、ケトン食による抗てんかん作用を担う乳酸脱水素酵素に関し、その LDHA サブユニットがてんかん発作で増加することを明らかにした。最後に、アルツハイマー病モデルマウスにおける認知機能障害をβヒドロキシ酪酸が予防することを見出し、その作用メカニズムを検討した。,基盤研究(B),小区分51030:病態神経科学関連,ケトン食,治療薬開発,難治性てんかん,乳酸脱水素酵素,電位依存性カルシウムチャネル,βヒドロキシ酪酸,アルツハイマー病,ケトン体,脳神経疾患,電気生理学,代謝物質,てんかん,アセチルコリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02718,大阪大学,津田 浩史,神経変性疾患の核病態を新規の蛋白質の品質管理機構より明らかにする,細胞内小器官の間の相互作用という先駆的な観点から、神経変性疾患における核の恒常性の破綻の分子メカニズムについて研究を進めた。細胞は恒常性を保つために細胞内の蛋白質の品質を管理している。その管理機構の破綻が神経変性疾患の病態に関与する。我々は、細胞内小器官（小胞体(ER)やミトコンドリアなど）の蛋白質の品質管理機構を解析し、その破綻が筋萎縮性側索硬化症(ALS)や脊髄小脳変性症(SCA)の病態に関与することを明らかにした。これらの成果により、核内の変性蛋白質が、核膜から形成される小胞により核外に排出されるという新しい現象を見出した。この核膜の小胞形成はERからのシグナルで制御され、ER-核の相互作用が核の蛋白質の品質を管理するという細胞生物学的にも新規のコンセプトである。本研究は、神経変性疾患の核病態を、ショウジョウバエモデルを用いて明らかにしてきた。今後、神経疾患のマウスモデルなどを用いて、加齢や神経変性の進行に伴った核病態が明らかにされることが期待される。また、本研究で解明した核内の蛋白質品質管理に関する分子メカニズムが、神経変性疾患だけでなく、他の疾患の病態にどのように関与するか明らかにされることが期待される。,基盤研究(B),小区分51030:病態神経科学関連,蛋白質の品質管理機構,神経変性疾患,蛋白質品質管理,細胞内小器官相互作用,プロテオスタシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02717,京都大学,井上 治久,生体内リプログラミングによるALS 神経再生研究,筋萎縮性側索硬化症(Amyotrophic lateral sclerosis: ALS)は、運動神経細胞が進行性に変性・脱落する難治性の疾患である。現在のところ根治的に症状を改善しうる治療法はない。ALSの治療法として、失われた運動機能を回復する根本的治療となりうる、再生医療が重要である。,基盤研究(B),小区分51030:病態神経科学関連,ALS,生体内ダイレクトリプログラミング,運動神経細胞,再生医療,ウイルスベクター,ダイレクトリプログラミング,細胞移植,神経再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02716,新潟大学,松井 秀彰,異所性のミトコンドリアDNAがもたらす神経変性,本研究では、パーキンソン病の状態を模した培養細胞やゼブラフィッシュでミトコンドリアDNAが細胞質に漏出していることを明らかにした。また細胞質に漏出したミトコンドリアDNAのセンサー阻害や細胞質ミトコンドリアDNAの分解促進により炎症反応や神経変性が改善することを示した。さらにヒトパーキンソン病剖検脳でも細胞質に漏出したミトコンドリアDNAやそのセンサーであるIFI16の蓄積を認めた。以上の結果は、ミトコンドリアDNAの細胞質漏出がパーキンソン病の神経変性の重要な原因となる可能性を示唆してる。,基盤研究(B),小区分51030:病態神経科学関連,ミトコンドリアDNA,パーキンソン病,リソソーム,IFI16,DNaseII,神経変性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
