awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02821,慶應義塾大学,石井 誠,リプログラミングによるヒト肺上皮細胞の直接誘導法の開発と分子基盤の解明,本研究では、代表者らがマウスで特異的4因子を用いて初めて成功した2型肺胞上皮細胞への直接誘導（直接リプログラミング）に関して、ヒトSFTPCリポーター線維芽細胞を用いてヒト2型肺胞上皮細胞の直接誘導を試みた。選定した16の候補因子から転写因子の組み合わせによる条件検討により、最終的にリプログラミング因子として3 因子を選定した。本誘導SFTPC陽性細胞に関して、詳細な遺伝子プロファイルを今後検討していく予定である。,基盤研究(B),小区分53030:呼吸器内科学関連,直接リプログラミング,肺上皮細胞,再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02820,自治医科大学,萩原 弘一,日本人特異的肺障害に関与するMUC4分子内責任配列同定に関する研究,本研究は，薬剤性肺障害および特発性肺線維症急性増悪に関与する遺伝因子の同定を目的としている．日本人肺の脆弱性が指摘されている（1）薬剤性肺障害が他国（西洋や他のアジア人）より高頻度で見られ，高率に致死的な経過をたどること（2）肺線維症を有する患者で他国より高頻度に急性増悪が起こり，高い致死率を示すと推定されることが典型例である．薬剤性肺障害および特発性肺線維症急性増悪は医療に伴って発症するため，安全な医療の障害になる．我々は，それらに関与する遺伝因子を同定し，予防法，治療法を確立することを目的とした．患者，健常人の比較により，MUC4遺伝子が関連している可能性が示唆された．,基盤研究(B),小区分53030:呼吸器内科学関連,薬剤性肺障害,EGFR,EGFR-TKI,MUC4,日本人特異的,EGFR阻害薬,肺障害,日本人,肺癌,疾患感受性遺伝子,MUC4遺伝子,チロシンキナーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02819,名古屋大学,佐藤 光夫,ドライバー癌遺伝子により誘導される細胞老化 (OIS) を利用した肺癌治療の開発,本課題は増殖を停止させる癌遺伝子誘導細胞老化（oncogene-induced senescence; OIS）という現象に基づく変異KRASの治療開発を目的とした。OIS誘導標的遺伝子の同定を目的として、変異KRASを制御下に発現する不死化正常気管支上皮細胞におけるプール型shRNAライブラリースクリーニングを実施した。スクリーニングから遺伝子Xを有望な標的として同定した。続いて、コンパウンドライブラリーによるハイスループットスクリーニングから遺伝子Xの阻害候補コンパウンドを複数特定した。しかし、阻害効果を評価するアッセイ系の確立が困難であったため継続を一旦中断とした。,基盤研究(B),小区分53030:呼吸器内科学関連,変異KRAS,細胞老化,肺癌,創薬,創薬研究,ドライバー癌遺伝子,ドライバー遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02818,浜松医科大学,須田 隆文,免疫チェックポイント分子阻害を利用した細胞内寄生菌感染に対する新規ワクチンの開発,本課題は，免疫のブレーキ役を果たす免疫チェック分子を抗体などで阻害することによって，結核をはじめとした細胞内寄生菌感染症に対する強力な細胞ワクチンの開発に挑む研究である．マウスの骨髄から培養した樹状細胞（BMDC）はPD-L1を強発現しており，このBMDCにリステリア菌の優勢エピトープLLO91-99をパルスした細胞ワクチンをマウスに接種すると，抗PD-1抗体を投与したマウスでは，抗原特異的な細胞傷害性T細胞が効率よく誘導され，抗原特異的IFNγ産生能も高まった．しかし，リステリア菌感染実験においては，抗PD-1抗体投与による感染防御能の増強効果を確認できなかった．,基盤研究(B),小区分53030:呼吸器内科学関連,免疫チェックポイント,ワクチン,樹状細胞,PD1/PD-L1,細胞内寄生菌,免疫チェックポイント分子,PD-1/PD-L1,結核,免疫チェックポイント阻害薬,PD-1/PD-L,細胞内寄生菌感染症,免疫チェックポイント療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02817,新潟大学,西條 康夫,異種動物間キメラを用いた多能性幹細胞による肺臓器創出,FGF10遺伝子変異複合ヘテロマウスにマウスＥS細胞を移入したキメラマスを成獣まで飼育したマウス肺を解析した。得られた肺上皮細胞の80％以上はＥS細胞由来であった。一方、間質細胞は50%前後がES細胞由来であった。これらの研究成果はCell Rep. （2020 ;31:107626）に発表した。またFGF10遺伝子変異複合ヘテロマウスにラットＥS細胞を移入したキメラマスを作出した。キメラ率は低いが、肺の発生が確認され、ラットＥS細胞により、肺発生が回復することが明らかとなった。,基盤研究(B),小区分53030:呼吸器内科学関連,肺再生,胚盤胞補完法,ＥＳ細胞,異種間キメラ,FGF10,ES細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02816,千葉大学,中島 裕史,アレルゲン感作における気道上皮細胞ー樹状細胞間相互作用の網羅的探索,気管支喘息の病態形成には気道上皮細胞などの組織構築細胞とT細胞、樹状細胞(DCs)、自然リンパ球などの免疫細胞との相互作用が重要なことが示唆されているがその詳細は依然不明である。本研究では、気道上皮細胞、及びDCsの高純度単離法と、RNAシークエンス、クロマチン免疫沈降シークエンスなどの解析技術を用いて、アレルゲン刺激下の気道上皮細胞とDCsの相互作用の分子機構を解析した。その結果、アレルギー性気道炎症の成立過程では、気道上皮細胞とDCsの複雑な細胞間相互作用が連鎖的に誘導され、樹状細胞の形質変化と1型炎症、2型炎症、2型+3型炎症の動的変化をもたらすことが明らかになった。,基盤研究(B),小区分53030:呼吸器内科学関連,気管支喘息,気道上皮細胞,樹状細胞,スーパーエンハンサー,上皮細胞,相互作用,網羅的解析,喘息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03671,慶應義塾大学,副島 研造,稀少な遺伝子異常を有する肺癌に対する治療戦略の開発,申請者らは、以前より新奇な遺伝子変異を有する肺癌に注目し、我国最大の癌ゲノム解析ネットワークであるSCRUM-Japanとの共同研究により、肺癌における新奇な遺伝子異常の頻度と分布の把握を行うともに、得られた遺伝子変異情報を用いて各 遺伝子変異の薬剤感受性試験を行うシステムの構築を行ってきた。,基盤研究(B),小区分53030:呼吸器内科学関連,肺癌,稀な遺伝子変異,EGFR遺伝子変異,医師主導治験,オルガノイド,KRAS遺伝子変異,multiomics解析,臨床試験,薬剤感受性,稀な遺伝子編,臨床研究,EGFR exon 20挿入遺伝子,稀な遺伝子異常,スーパーコンピューター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03670,杏林大学,佐藤 徹,新規遺伝子異常検出法を用いた難病疾患肺高血圧症遺伝子診断カタログ作成と臨床的発展,本研究では最新の遺伝子変異検出法を応用し、PAHでスプライシング異常や発現異常を起こす変異の網羅的探索が達成されるか、結合組織病や先天性心疾患に合併するPAHにおいて新たな原因/感受性遺伝子や合併の有無を分ける遺伝的背景が存在するのか、について検証する。さらに、これら疾患の遺伝的背景の全容を解明し、統合的な遺伝子診断カタログを作成し、情報共有化・発症予防法/早期発症予知法の開発に繋げ、臨床的寄与を目指す。,基盤研究(B),小区分53030:呼吸器内科学関連,肺動脈性肺高血圧症,原因遺伝子,遺伝子,肺高血圧症,オミクス解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03669,自治医科大学,鈴木 拓児,ゲノム編集技術を用いた難治性遺伝性呼吸器疾患の病態解析と次世代新規治療法開発,遺伝性肺胞蛋白症は、GM-CSF受容体遺伝子変異により肺サーファクタントが肺の末梢気腔内に貯留し呼吸不全に至る難治性呼吸器疾患である。これまでなかったマウス疾患モデルであるCsf2ra欠損マウスを作製し、肺へ直接マクロファージを移植する治療(PMT)について、(1)前臨床試験としてドナー細胞の種類や細胞数など詳細な治療条件検討を行い、(2)iPS細胞由来マクロファージの特徴を解析し同細胞のPMT治療への可能性を探り、(3)ゲノム編集技術を用いた病態解析とPMT治療への応用について研究する。本研究により肺サーファクタントの病態生理機構の解明と難治性呼吸器疾患の次世代細胞治療の基盤を構築する。,基盤研究(B),小区分53030:呼吸器内科学関連,遺伝性肺胞蛋白症,肺サーファクタント,肺マクロファージ移植治療,ゲノム編集,肺胞蛋白症,サーファクタント,マクロファージ,細胞治療,肺サーファクタト,遺伝子治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03668,徳島大学,西岡 安彦,肺がん・中皮腫に対する新規複合がん免疫療法の免疫学的基盤確立から臨床への展開,肺がんの標準治療薬となった免疫チェックポイント阻害薬（抗PD-1/PD-L1抗体）を主軸として、併用療法（複合がん免疫療法）の企業治験が急速に進んでいる。しかしながらこれらの併用療法は免疫学的基盤を踏まえた併用療法となっていない。より有効な複合がん免疫療法の確立には、免疫学的抗腫瘍メカニズムの理解に基づく併用プロトコールの立案と臨床試験の実施が不可欠である。,基盤研究(B),小区分53030:呼吸器内科学関連,肺がん,がん免疫療法,線維細胞,骨髄由来抑制細胞,樹状細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
