awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02850,国立研究開発法人国立成育医療研究センター,斎藤 博久,アレルギー疾患発症予防法の開発,妊娠期のマウスに抗IgE抗体を投与すると、仔マウスにおいて抗原特異的IgE抗体の産生が抑制されること、その結果、食物アレルギーの発症を抑制することを明らかにした。抗原特異的T細胞応答や、IgG抗体の産生等、他の免疫応答は同等に維持されることから、抗IgE抗体による効果はB細胞のIgE抗体の産生系を抑制した結果であると考えられた。IgE抗体産生抑制の持続期間は、マウスの系統間で異なるが、どの系統でも仔におけるIgE抗体産生抑制効果は認められた。また、新生児期における抗IgE抗体の投与も、妊娠期の母親マウスへの抗IgE抗体の投与と同等に、仔におけるIgE抗体の産生を抑制することも見出した。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,発症予防,アレルギー疾患,抗IgE抗体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02849,東京医科歯科大学,高地 雄太,免疫細胞におけるsplicing QTLを介した自己免疫疾患病因メカニズムの解明,"ゲノムワイド関連解析によって、これまで100を超える自己免疫疾患の候補遺伝子領域が同定されてきた。本研究では、ロングリードシークエンシング技術を用いて、29種の免疫細胞サブセットにおいてRNA-seqを行うことによって、計159,369 のアイソフォーム同定を行った。これらの一部は遺伝子多型によって発現量が制御されるスプライシングQTL(sQTL）であり、関節リウマチや全身性エリテマトーデスなどの原因となっていることが明らかになった。",基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,自己免疫疾患,sQTL,ゲノムワイド関連解析,ロングリードシークエンス,long-read RNA-seq,GWAS,splicing QTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02848,山梨大学,中尾 篤人,「時間アレルギー学」推進のための基盤研究,時間アレルギー学とはアレルギーと概日時計との関連を解明する新しい領域である。時間アレルギー学をさらに発展させることを目的として、本研究では(1)マスト細胞における概日時計制御遺伝子(群)の網羅的同定とその機能解析(2)老化がマスト細胞概日時計リズムとアレルギー反応に及ぼす影響(3)マスト細胞概日時計リズムに影響を与える化合物の同定とアレルギー反応への効果の３項目について検討した。その結果マスト細胞内で概日リズム性の転写制御を受ける約100個の遺伝子群の同定、老化による概日時計リズムの減衰とアレルギー反応の低下、時計遺伝子Rev-ERBアゴニストのアレルギー反応抑制作用を見出した。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,アレルギー,概日時計,マスト細胞,時間医学,老化,circadian clock,mast cells,allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02847,東京大学,中江 進,上皮バリア機能の破壊に伴う炎症の誘導に関わるサイトカインの機能解析,正常な気道では、上皮細胞間の強固な接着によるバリアにより、外来抗原の侵入が防がれている。このバリアが破壊されると、抗原が体内に侵入し、炎症が惹起される。その要因の一つとして、主要なアレルゲンであるダニや花粉などのプロテアーゼがあげられる。マウスにプロテアーゼを吸入させると、気道上皮細胞がプロテアーゼにより破壊され、好酸球の浸潤を伴う炎症を誘導する。ここの炎症時に発現するサイトカイン遺伝子として、IL-17B、IL-31、IL-36を同定した。また、これらの遺伝子欠損マウスを用いた結果、IL-17B、IL-31、IL-36aがプロテアーゼによる気道炎症に関与していることが明確になった。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,アレルギー,喘息,サイトカイン,マウス疾患モデル,IL-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02846,東京大学,藤尾 圭志,関節リウマチ滑膜線維芽細胞における炎症メディエーター産生エピゲノム機構の解明,滑膜線維芽細胞（SFs）は、IL-6に代表される炎症メディエーターを高発現することで、関節リウマチ（RA）の滑膜炎の惹起と持続に寄与する。本課題において申請者は、SFsからの炎症メディエーターの遺伝子発現とクロマチン構造変化および疾患感受性多型の関連を、世界に先駆けてカタログ化した。更に、統合的機能ゲノム解析を通じて、複合的な炎症環境下におけるSFsのクロマチン構造変化が、RAの疾患感受性やIL-6の発現亢進と関連することを明らかにした。また、この病的な構造形成に重要な転写因子コンプレックスを同定し、その構成因子であるMTF1が関節炎形成にかかわることを明らかにした。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,関節リウマチ,遺伝素因,エピゲノム修飾,滑膜線維芽細胞,トランスクリプトーム,スーパーエンハンサー,炎症性サイトカイン,疾患感受性多型,転写因子複合体,炎症メディエーター,エピゲノム制御,ChIPシークエンス,ノックアウトマウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20061,筑波大学,金丸 和正,アトピー性皮膚炎におけるC型レクチン受容体の機能の解明,アトピー性皮膚炎の病態の全容は未だ解明されていない。アトピー性皮膚炎モデルマウスであるマウスAではC型レクチン受容体の発現が消失している。マウスAのC型レクチン受容体の発現を修復した結果、皮膚炎が改善したことから、C型レクチン受容体の機能不全が病態の原因の1つであることが示唆された。本研究ではアトピー性皮膚炎におけるC型レクチン受容体の機能を明らかにすると共に、受容体のリガンドを同定する。また、ヒトにおける機能的相同分子の同定と、ヒトアトピー性皮膚炎への関与を検証する。これにより糖鎖成分のアトピー性皮膚炎の病態における役割を解明し、新規制御法開発に向けた基盤的知見を得る。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,アトピー性皮膚炎,C型レクチン受容体,ハウスダストマイト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03700,横浜市立大学,桐野 洋平,ベーチェット病のゲノムワイド亜型解析によるエビデンス創出とレジストリー構築,完全型ベーチェット病と腸管型ベーチェット病が異なる疾患集団であることを、遺伝学・疫学・免疫学の統合的解析により証明し、診断基準の改訂や個別化医療の開発に資するエビデンスを構築する。本多施設共同研究によってBDの疾患レジストリを構築してさらに症例数を増加させて検出力を上げることは世界的にみても独自性が高い研究といえる。個々の亜型と関連する疾患感受性遺伝子が判明すれば、病態の相違、類似性の手がかりになり、将来的には診断基準の改訂、予後予測因子の同定、亜型毎の診療ガイドライン作成、病態に応じた治療につながるものと期待される。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,ベーチェット病,レジストリ研究,疾患活動性,予後不良病型,レジストリ,ゲノム解析,クラスター解析,GWAS,疾患活動性指標,難病プラットフォーム,疾患レジストリ,遺伝学的解析,亜型解析,サイトカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03699,徳島大学,松本 満,AIREを基軸とする自己免疫疾患の病態解明、ならびに新規治療法の開発,AIRE欠損症は比較的稀な自己免疫疾患であるが、AIREという単一遺伝子の異常による自己免疫病態を示すため、疾患モデルマウスを作製して病気のメカニズムを研究できるメリットがある。主としてAIRE欠損マウスを用いた研究から、AIREは胸腺における負の選択とTregの産生にはたらくと考えられているが、詳細なメカニズムは依然、不明である。AIREの真の機能を明らかにするためには、転写調節因子であるAIREの標的遺伝子が何であるかを明らかにする必要がある。本申請ではAIREの標的遺伝子を同定するための遺伝子改変マウスを樹立するとともに、最先端の方法論を導入し、AIRE機能の全貌解明を図る。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,自己免疫疾患,AIRE,遺伝子改変マウス,胸腺,I型糖尿病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03698,神戸大学,児玉 裕三,指定難病「IgG4関連疾患」の自己抗原同定による病態解明と新しい診療体系の確立,IgG4関連疾患は、血清IgG4高値に加え、IgG4陽性の形質細胞浸潤による全身臓器の腫大と線維化をきたす原因不明の難病である。最近申請者らは、IgG4関連疾患の膵病変である自己免疫性膵炎において、その病因自己抗原がラミニン511であることを発見した。本研究では、IgG4関連疾患の各臓器病変における自己抗原を同定し、同疾患の全体像の病態解明を目指す。本研究により、我が国から世界へ発信してきた難病の病態解明が進み、新たな診断基準・診療体系の確立につながるものと期待される。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,IgG4関連疾患,自己免疫性膵炎,自己抗原,自己抗体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03697,東京大学,岡村 僚久,エピゲノム解析による自己免疫性間質性肺炎発症機構の解明と新規バイオマーカーの探索,本課題において申請者は、自己免疫性間質性肺炎病態形成の中心を担うT細胞、B細胞、マクロファージ、線維芽細胞を用いたエピゲノム解析を行い、TGF-βを介した相互作用という観点から疾患発症メカニズムを解明し、疾患層別化バイオマーカーの探索および個別化医療開発の基盤となる創薬ターゲットの探索を目指す。,基盤研究(B),小区分54020:膠原病およびアレルギー内科学関連,間質性肺炎,自己免疫性疾患,T細胞,TGF-β1,膠原病,CD4陽性T細胞,TGF-β,自己免疫疾患,肺線維症,Egr2,自己免疫性間質性肺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
