awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02968,九州大学,二ノ宮 裕三,口腔脳腸・味情報-内分泌連関食調節系の酸化ストレスによる変調と修復の分子生理基盤,レプチン、アンギオテンシンIIは、脳で飲食欲を、末梢で甘味塩味感度を調節し、エネルギー・Na恒常性維持に働くホルモンであるが、高濃度で酸化ストレスを誘導し、調節能低下を導くことも知られる。本研究は、マウス味応答と分子発現の解析を基に、酸化ストレスの味細胞標的分子を検索した。その結果、酸化ストレス剤は甘味上昇・塩味低下を導き、甘味上昇はレプチン標的KATPチャネルの細胞内領域を、塩味変化はアンギオテンシンII標的のENaCsチャネルの細胞外領域を標的とする可能性が示唆された。,基盤研究(B),小区分57010:常態系口腔科学関連,酸化ストレス,味覚,シグナル伝達,内分泌,神経科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02967,九州大学,自見 英治郎,肥満を引き起こす新たな組織・分子基盤の解明,肥満を起因とする生活習慣病は、QOLを著しく低下させるとともに生命の危機にも繋がる合併症を併発する。近年、NF-κBの転写制御に534 番目(S534)のセリン残基のリン酸化が極めて重要と考えられているので、リン酸化を受けないS534A ノックインマウスを作製した。S534Aマウスは高脂肪食(HFD)で飼育すると、食事量、飲水量共に増加することで肥満が亢進し、耐糖能の低下およびインスリン抵抗性を示した更にS534Aマウスを20週齢以上飼育すると高頻度に腎臓および子宮の浮腫が認められた。,基盤研究(B),小区分57010:常態系口腔科学関連,肥満,緩やかな炎症,NF-κB,N&#1113093;F-κB,NF-kB,摂食中枢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02966,広島大学,宿南 知佐,硬組織の連結を司る細胞群の蛍光イメージングと分子生物学的特性の解明,本研究では、硬組織の連結に寄与するScx陽性細胞やScx/Sox9陽性細胞の頭蓋顎顔面形成プロセスにおける時間的・空間的局在変化を、ScxTomato;Sox9GFPマウス胚を用いて解析した。また、ScxGFP Tgマウス胚由来の線維芽細胞から樹立したScxGFP iPS細胞を用いて、in vivoの腱・靱帯分化過程を忠実に反映する分化誘導系を構築し、single cell RNA-seqを行った。そのデータセットとScx欠失マウスでのトランスクリプトームの結果から、腱・靱帯細胞分化過程でScxと関連して機能する遺伝子群を同定した。,基盤研究(B),小区分57010:常態系口腔科学関連,腱,靱帯,細胞分化,幹細胞,Scleraxis,Sox9,縫合部,Sxleraxis,Enthesis,歯根,靭帯,顎関節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02965,大阪大学,加藤 隆史,レム睡眠中枢による咀嚼運動リズム生成の神経機構の解明,睡眠時ブラキシズムの歯ぎしりのように睡眠中に咀嚼筋が繰り返し活動するメカニズムは明らかではない。本研究では、レム睡眠では抑制を凌駕する強い運動指令が入ると咀嚼筋が活動する可能性、レム睡眠中枢が顎運動リズムを調節する機構を抑制する可能性、歯ぎしりの発生動態がレム睡眠の発生状態に影響を受ける可能性、を明らかにした。したがって、レム睡眠の制御中枢と咀嚼運動リズム発生に関わる神経機構とに機能的関連がある可能性が明らかとなった。,基盤研究(B),小区分57010:常態系口腔科学関連,睡眠,ブラキシズム,咀嚼,レム睡眠,咀嚼筋活動,リズム,脳波,睡眠時ブラキシズム,顎運動,大脳皮質,中脳,咀嚼運動,脳幹,咀嚼リズム,リズム発生機構,異常運動,運動抑制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02964,北海道大学,網塚 憲生,リン酸イオン供与膜輸送体・酵素群に対する副甲状腺ホルモンの骨特異的作用,本研究は、石灰化骨基質の構成要素であるリン酸供給に対する副甲状腺ホルモン（PTH）の作用を検討した。PTH投与マウスでは、TNAP、ENPP1、ANKなどのリン酸供与膜輸送体・酵素およびSIBLING familyの発現を上昇させることで基質石灰化を亢進させていた。一方、低リン血症を示すNaPiIIa/IIcマウスでは、リン酸供与膜輸送体・酵素群の発現に変化がなく骨量が減少したが、Phex変異を有するHypマウスでは、未石灰化領域が広範囲に存在していた。以上、PTHはリン酸の供与を上昇させ、Phex/SIBLINGを介して石灰化を調節すると考えられた。,基盤研究(B),小区分57010:常態系口腔科学関連,石灰化,リン酸供与膜輸送体,副甲状腺ホルモン,骨芽細胞,微細構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03822,福岡歯科大学,岡部 幸司,チャネルキナーゼTRPM7による骨格形成制御機構の解明,本研究の目的は骨形成や骨リモデリング機構におけるTRPM7のイオンチャネル機能とキナーゼ機能の役割を解明することである。このために、2019年度には骨髄間葉系細胞や骨芽細胞に特異的なTRPM7コンデョショナル欠損マウスやTRPM7キナーゼ変異マウスを用いてin vivo表現型の解析、及びこれらから採集した骨髄間葉系細胞の分化増殖能及び石灰化機能のin vitro解析を行う。2020年度以降には、前述の細胞を用いてTRPM7を介するミネラル透過性イオン電流とミネラル輸送能の解析を行うと共に、共役シグナルのin vitro解析やTRPM7αキナーゼの標的リン酸化基質分子の同定を行う予定である。,基盤研究(B),小区分57010:常態系口腔科学関連,TRPM7,骨格形成,ミネラル輸送,キナーゼ活性,骨髄間葉系細胞,髄間葉系細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03821,日本大学,小林 真之,神経障害性疼痛を制御する島皮質抑制性シナプス可塑性機構の解明,島皮質錐体細胞は，大脳皮質領野や大脳基底核，延髄など他の脳領域を活性化することから，同細胞の活動を調節することによって島皮質が処理する感覚入力をフィードバック制御できると考えられる。そこで本研究は，錐体細胞への抑制性入力を制御し，口腔顔面に生じる異常な痛みを抑制することを目的とする。すなわち，抑制性ニューロンであるparvalbumin陽性細胞による錐体細胞への抑制性入力のシナプス可塑性メカニズムを解明する。そしてその成果を基に，光遺伝子工学的手法を用いて抑制性入力を長期的に増強させて下歯槽神経切断ラットにおける島皮質の過度の興奮を抑えることにより神経障害性疼痛を治療する手法を開発する。,基盤研究(B),小区分57010:常態系口腔科学関連,島皮質,可塑性,parvalbumin陽性ニューロン,抑制性シナプス伝達,オプトジェネティクス,長期増強,抑制性シナプス後電流,GABA,Parvalbumin,光遺伝学,抑制性ニューロン,シナプス可塑性,光刺激,抑制性シナプス,Parvalbumin陽性細胞,疼痛,parvalbumin陽性細胞,神経障害性疼痛,局所神経回路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03820,昭和大学,上條 竜太郎,新規シグナル伝達物質・活性イオウ分子種による骨リモデリング制御機構の解明,遊離のシステインやタンパク質のシステイン残基に過剰にイオウ原子が結合し、高い反応性を獲得した活性イオウ分子種が生体内で生じることが発見された。活性イオウ分子種は、酸化還元シグナル制御活性を発揮し、多彩な生理学的・病理学的機能を担う事が報告されている。しかし、骨や軟骨などの硬組織に関する研究は皆無である。本研究は、網羅的活性イオウ分子種解析法や活性イオウ分子種関連遺伝子改変動物を用いて、骨における活性イオウ分子種の動態と骨リモデリング調節機能を明らかにするとともに、様々な骨代謝疾患での活性イオウ分子種の役割を解明するものである。,基盤研究(B),小区分57010:常態系口腔科学関連,活性硫黄分子種,骨リモデリング,破骨細胞,骨芽細胞,活性イオウ分子種,RSS,骨代謝,成長板,エネルギー代謝,酸化還元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03819,京都府立医科大学,樽野 陽幸,味細胞特殊イオンチャネルシナプスによる味覚神経伝達機構の全容解明,研究代表者は先行研究において、シナプス小胞の開口分泌ではなく活動電位によって開くイオンチャネルを通して神経伝達物質が直接放出されるという全く新しい神経伝達様式を口腔内で味覚を司る味細胞に発見した。この『味細胞特殊イオンチャネルシナプス』の構造、形成・動作原理、およびさらなる生理機能を明らかにし、味覚神経伝達メカニズムの全容解明を目指すとともに、新たな化学神経伝達様式の概念を確立する。,基盤研究(B),小区分57010:常態系口腔科学関連,味覚,シナプス,神経伝達,ATP,イオンチャネル,CALHM,ミトコンドリア,チャネルシナプス,塩味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03818,九州大学,重村 憲徳,薬理ゲノミクスを基軸とした突発性味覚障害発症の分子基盤の解明,突発性味覚障害は、「味がしない、いつも苦い」などの症状を示し、生活の質だけでなく栄養状態も著しく低下させる。しかし、その発症機序はほとんど不明なため、治療法は亜鉛投与などの対処療法しかない。近年我々は、昇圧ホルモン・アンジオテンシンIIが塩味を抑制することを明らかにし、これが降圧剤による薬剤性味覚障害の原因である可能性に気づいた。そこで本研究では、逆の発想で、様々な薬剤の薬理作用と新3次元幹細胞組織培養法“味蕾オルガノイド”を切り口として原因分子を探索し、その遺伝子欠損マウスを解析することで味覚障害発症の分子基盤の解明を試みる。本研究により味覚障害の新たな予防・診断・治療法の開発が期待される。,基盤研究(B),小区分57010:常態系口腔科学関連,味覚,味覚障害,オルガノイド,味覚障害発症薬剤,味覚障害誘発性薬剤,味覚障害誘発薬剤,味覚異常誘発薬剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
