awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02987,福岡歯科大学,都留 寛治,人工骨－母床骨界面の物理化学的インターフェイス制御による骨系細胞の活性化,市販のβ型リン酸三カルシウム顆粒に対して、熱処理による結晶相制御とα型リン酸三カルシウムの加水分解によるCa欠損型ヒドロキシアパタイトの表面析出反応を応用して表面微細構造を制御した。表面構造制御群は未処理群と比較して培養9日目の細胞数が24倍高くなり、アルカリフォスファターゼ活性は４倍高くなった。さらに、アパタイトセメントの硬化反応を応用して、結晶性と気孔率が制御されたヒドロキシアパタイト単相ブロックを作製した。結晶性と気孔率は初期細胞接着性にほとんど影響を及ぼさなかったが、吸収性に大きく影響を与えた。結晶性と気孔率の制御はヒドロキシアパタイトブロックの吸収性デザインに有効と結論づけた。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,人工骨補填材,ハイドロキシアパタイト,β型リン酸三カルシウム,表面構造制御,結晶性制御,気孔構造制御,インターフェイス制御,骨伝導性,生体吸収性,物理的インターフェイス制御,化学的インターフェイス制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02986,大阪歯科大学,本田 義知,ストレス誘導性老化細胞の挙動解析から迫る未知なる骨形成阻害機構の解明,本研究の目的は、人工的なストレス誘導性早期老化細胞の増減を通して、「骨形成阻害に影響を及ぼす老化細胞とSASP関連因子の挙動と分子機構の一端を解明し、同阻害機構から解放された次世代の骨再生治療開発の礎を築く事」を目的とした。研究の結果、リポ多糖あるいは材料埋入時等に引き起こされる刺激で誘導されるストレス誘導性早期老化細胞は、骨再生阻害機構に関与している可能性が明らかとなった。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,老化細胞,老化,細胞老化,骨,再生,生体材料,ストレス誘導性老化,骨再生,骨形成,カテキン,ストレス,再生医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02985,東京女子医科大学,岩田 隆紀,ES細胞を基軸とした歯周組織再生担当細胞の分化制御メカニズムの解明,本研究では、多能性幹細胞であるヒトES細胞から神経堤細胞に効率よく分化技術開発、さらには神経堤細胞から間葉系幹細胞に効率よく分化させる技術開発を実施した。神経堤細胞への分化誘導はある程度確立されているものの、更なる高効率を目指すために、各種細胞外マトリックスを用いた。とある細胞外マトリックスを用いることで、従来に比べて高効率に神経堤細胞を誘導できる培養条件を決定した。また、神経堤細胞から間葉系幹細胞への分化は従来法を用いて実施した。本細胞とすでに私共で保持しているPDL-MSC細胞株のトランスクリープトーム解析の結果を比較検討することで歯周組織再生に適した細胞の遺伝子プロファイルの指標を得た。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,ES細胞,間葉系幹細胞,歯根膜由来間葉系幹細胞,細胞治療,歯周組織再生,神経堤細胞,分化制御,歯周病,歯根膜細胞,分化誘導,iPS細胞,再生医療,細胞分化,ES/iPS細胞,細胞ソース,ヒトES細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02984,岩手医科大学,原田 英光,象牙芽細胞の新規分化機構と極性制御によるiPS細胞からの象牙質歯髄複合体の再生,ヒトCopine-7(hCPNE7)によるヒトiPS細胞（hiPS）から象牙質歯髄複合体形成を誘導する技術開発を目的とした。hiPS細胞から誘導した神経堤様細胞（NCLC）に対してhCPNE7あるいはhCPNE7発現エナメル芽細胞株）の培養上清を作用させると，象牙芽細胞への分化を示すことができた。さらに新たに樹立したヘルトビッヒ上皮鞘細胞株が分泌した基底膜成分もまた歯乳頭間葉系幹細胞対して象牙芽細胞分化誘導と極性を示し，さらにNCLCに対しても同様の成果を得た。上皮細胞オルガノイドとNCLCオルガノイドの結合3D培養によって分化誘導促進や石灰化形成を示すことができた。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,iPS細胞,再生,象牙芽細胞,象牙質歯髄複合体,iPS,歯髄再生,Semaphorin4D,Copine-7,象牙質再生,ヒトiPS細胞,極性制御,CPNE7,iPSC,Semaphorin,象牙芽細胞分化,歯の再生,３Dオルガノイド,神経堤細胞,象牙質歯髄複合体再生,細胞極性制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02983,愛媛大学,飯村 忠浩,神経・骨連関による頭蓋顎顔面領域の成熟機能骨・再生機構の解明,9~15歳齢のメスのカニクイザルに卵巣摘出術（OVX）を施し，閉経後骨粗鬆症の状態を誘発し，術後からPTH製剤を週1回，18か月間投与した。投与終了後，腰椎を採取し，コラーゲンを特異的に可視化できるSHGイメージングを行った。その結果，海綿骨において，PTH製剤の用量依存的に，コラーゲン線維の配列が直線的に整っていることが認められた。直線的に配列したコラーゲン線維がスムーズに滑ることで骨にかかる力を逃す機構が働きやすくなり，骨の柔軟性が向上する。PTH製剤は骨の量を増やすことに加えて，骨に柔軟性を付与することで，骨折予防の効果に寄与していることが明らかとなった。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,骨粗鬆症,骨形成,PTH,イメージング,骨代謝,骨リモデリング,神経,骨,概日リズム,血管,骨再生,三叉神経,神経再構成,再生,頭蓋顎顔面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02982,大阪大学,北村 正博,ステムセルエイジング制御による歯周組織再生効果増強と新規治療法開発への挑戦,本研究では、歯根膜幹細胞のステムセルエイジング機構を分子レベルで解明し、幹細胞のステムセルエイジング制御が歯周組織再生効果の増強をもたらす可能性を探索した。その結果、歯根膜細胞の老化過程におけるmiRNAの発現プロファイル解析により、老化歯根膜細胞において、miRNA-137の発現上昇と損傷ミトコンドリアの処理過程の遅延に関与する遺伝子群との関連性が明らかとなった。そして、miRNA-137と相同配列を有する人工microRNA模倣鎖を導入した歯根膜細胞において、それらの遺伝子の有意な発現減少が認められたことから、ステムセルエイジング制御による歯周組織再生効果の増強の可能性が示唆された。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,歯周組織再生,ステムセルエイジング,歯根膜細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02981,東北大学,鈴木 治,骨誘導性セラミックス骨補填材の開発,リン酸カルシウム系の骨補填材が高活性を示すための条件を検討し，１）リン酸八カルシウム（OCP）が複合化された未分化間葉系細胞は，細胞塊形成の環境下において，OCPの生体内での骨形成と相関した骨芽細分化促進を示すこと，２）OCPとgelatinとの複合体では，OCPが血管新生にポジティブに作用し，骨形成に先立って血管新生を促進すること，また，３）骨粗鬆症病態の環境下（ラットモデル）では用量の異なるOCPとgelatinとの複合体の骨形成は，血清の過飽和環境に影響を受ける骨形成様式となることを明らかにした．材料周囲の化学環境はOCP材料の骨形成に影響を及ぼすことが示唆された．,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,生体活性,リン酸カルシウム,骨芽細胞,骨補填材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03838,昭和大学,田中 準一,同所移植可能なiPS細胞由来ヒト唾液腺オルガノイドの作出,本研究では、独自に開発したマウスES細胞由来 唾液腺の分化誘導技術を改変し、ヒトiPS細胞よりヒト唾液腺オルガノイドの誘導、および同所移植による臓器の代替の実現を目的とする。移植可能なヒト唾液腺オルガノイドの作出により、唾液腺障害に対する再生医療への応用や、今まで困難であった唾液腺の病態解析において極めて有用なツールとなることが予想される。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,唾液腺,オルガノイド,移植,iPS細胞,同所移植,分化誘導,ヒトiPS細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03837,岡山大学,松本 卓也,骨オルガノイドの生成期間短縮と物性制御を目指した材料学的アプローチ,近年オルガノジェネシス研究が盛んとなり、骨オルガノイド形成の報告も増えている。このような中、骨オルガノイドの実用性を高める観点から骨オルガノイドの「形成時間の短縮」と「生成物の物性制御」を達成することは重要である。本研究では（a）実際の骨組織発生過程を材料学的観点で再検討し、（b）得られた結果を元に物理的、化学的人工環境をin vitroにて再現、構築する。また（c）この構築環境を利用した骨オルガノイド形成のコントロール、といったそれぞれの目的を段階的に達成し、最終的な骨オルガノイドの形成時間短縮と生成物の物性制御を目指す。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,組織制御,時間空間制御,オルガノイド,骨組織,組織成長制御,無機有機複合体,時間制御,空間制御,骨オルガノイド,骨質制御,ナノフラグメント,品質制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03836,大阪大学,波多 賢二,DNAメチル化制御による骨形成促進機構の解明と骨再生法への応用,骨や軟骨などの硬組織再生に重要な制御機構として、エピジェネティック機構の一つであるDNAメチル化が注目されている。しかし、骨形成におけるDNAメチル化機構の関与は不明な点が多く、骨再生への応用も未だ確立していない。本研究では、骨形成を制御するDNAメチル化酵素とその制御機構を分子レベルで解明し、得られた知見を骨組織再生に応用することにより、DNAメチル化を標的とした革新的骨再生法の開発を目指す研究である。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,骨形成,DNAメチル化,骨芽細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03835,東北大学,小笠原 康悦,金属アレルギーの新規診断・治療法の開発基盤研究,本研究は、歯科治療で用いられている歯科金属材料が一因であるとの報告もある金属アレルギーにおいて、新規診断・治療法の開発を目指す研究である。現在、金属アレルギーは、パッチテストが有用な診断法ではあるものの、生体侵襲性があるため、新規診断法の開発が望まれている。そこで、これまで申請者らの実験動物を用いた金属アレルギーの研究を発展させて、診断・治療に役立つ金属反応性T細胞受容体を特定することで新規診断・治療法の開発基盤を構築する計画である。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,アレルギー,金属アレルギー,T細胞,金属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03834,東北大学,犬塚 博之,歯周組織再生を目指した効率的な抗炎症療法の開発,歯周組織の炎症は歯槽骨吸収を引き起こし歯周病を進行させる。さらに、脂肪肝に伴う慢性炎症が歯周病増悪の危険因子となり得ることから、歯周病と脂肪肝をはじめとる生活習慣病との負の双方向性が注目されつつあるが、それら疾患に共通する標的分子は未同定のままである。本研究は、脂質合成経路とマクロファージ活性化経路の抑制を試みることで、歯周病・脂肪肝両疾患の新規治療戦略を構築し、効率的な歯周組織再生につなげることを目標とした。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,炎症,マクロファージ,Lipin2,Lipin,タンパク質分解,歯周組織再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03872,松本歯科大学,中道 裕子,遺伝子発現オン・オフゲノム編集統合的スクリーニングを用いた骨再生制御因子の同定,本研究では、骨再生制御因子の同定のために、独自にビタミンD標的遺伝子ゲノム編集ライブラリーを作製する。このビタミンD標的遺伝子ライブラリーまたはゲノムワイド遺伝子ライブラリーと、応募者が開発したWnt応答性細胞死回避/誘導レポーターシステムを用いて、①遺伝子発現オンシステムであるCrispr-Aスクリーニング、②遺伝子発現オフシステムであるCrispr-KOスクリーニングを行う。①と②の統合的解析により骨再生制御因子を同定し、骨再生治療における薬剤標的(druggable) 分子を決定する。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,Wnt,ビタミンD,骨再生制御因子,ゲノム編集スクリーニング,Ryk,活性型ビタミンD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03871,大阪大学,今里 聡,歯科治療にパラダイムシフトをもたらすスマート・バイオアクティブマテリアルの創製,研究代表者らは、これまで、抗菌成分の固定化や薬剤徐放という作用の持続性に焦点を当て、バイオアクティブな機能を備えた歯科材料の開発・実用化に取り組んできた。本研究では、そのワンランク上のアプローチとして、口腔環境の変化や病態のステージに応じてバイオアクティブな機能を発揮するスマート・バイオアクティブマテリアルという新たなマテリアルデザインに基づく歯科材料の創製を目指す。すなわち、抗菌性や炎症抑制、硬組織形成等の作用を有する様々なイオン種を組み込んだガラスを試作し、環境応答型あるいは病態応答型としての機能発現の可能性を確認する。そして、試作ガラスを各種歯科材料に配合し、それらの有用性を検証する。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,歯学,歯科材料学,生体材料学,スマート・マテリアル,ガラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03870,新潟大学,泉 健次,足場材の硬さの違いを利用した上皮角化・非角化様式解明と培養口腔粘膜作成法への応用,インプラント症例と歯周病患者の増加に伴い、培養口腔粘膜を用いた付着（角化）歯肉形成術の需要が高まっている。最近、培養基材の硬さの違いで間葉系幹細胞分化の方向性を制御できることが明らかになった。申請者は口腔粘膜角化細胞でも、硬い基材と柔らかい基材上では発現遺伝子が劇的に変化すると考え、硬さの異なるコラーゲン足場材に播種された口腔粘膜角化細胞の角化・分化レベルがどのように変動するかを明らかにし、培養口腔粘膜作成法に応用することを目的とする。角化・非角化上皮を再生できる足場材の硬さを突き止め、培養口腔粘膜作成法に応用することで、培養口腔粘膜の適用範囲が拡大し、より質の高い口腔粘膜再生医療をもたらす。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,メカノバイオロジー,口腔粘膜,口腔粘膜角化細胞,正角化,非角化,培養口腔粘膜,口腔粘膜上皮,メカノトランスダクション,Nカドヘリン,口腔粘膜上皮細胞,足場材,ヤング率,上皮角化,硬さ,口腔ケラチノサイト,遺伝子発現,運動能,角化,足場材硬さ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03869,東京医科歯科大学,宇尾 基弘,粒子形状を制御した複合酸化物による新規歯内療法用セメントの開発と生体機能性付与,歯内療法において物理的封鎖だけでなく象牙質再生に働き、歯質温存に寄与する点でMTAセメントへの注目は高く、更なる機能向上、操作性向上が求められている。そこで本研究では硬組織誘導能やマルチイオン徐放による周囲歯質の強化などの新たな生体機能を付与した新規セメント組成を開発することを目的とする。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,歯科材料,歯内療法,歯科用セメント,イオン徐放,X線造影性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03868,東北大学,飯久保 正弘,フォトン・カウンティング機能を搭載した新しい組織分析型歯科用ＣＴの開発,歯科用コーンビームCT（歯科用CT）は、アーチファクトの軽減と組織のＸ線吸収値の安定化（定量化）が課題である。近年、微弱なＸ線を感知する素子としてテルル化カドミウム（CdTe）半導体が注目されている。CdTe半導体は、Ｘ線を直接感知することができるため、光子（フォトン）をそのままカウントすることにより、物質の原子番号や電子密度を定量評価することが可能である。本研究は、CdTe半導体を用いた歯科用CTに実用可能なフォトン・カウンティング機能を開発することを課題とする。これにより、アーチファクトの極めて少ない、高い濃度分解能と空間分解能を有した歯科用CT装置を開発し、実用化することを目的とする。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,歯科用CT,フォトン・カウンティング,歯科用ＣＴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K21488,松本歯科大学,宇田川 信之,歯槽骨再生を目指したRANKL-Siglec-15シグナル分子基盤の解明,本研究では、歯周病や口腔癌によって吸収された歯槽骨を再生させるための新規骨形成促進薬の開発を目指し、破骨細胞の分化と機能をサポートする免疫受容体であるSiglec-15の作用メカニズムについて解析する。Siglec-15は破骨細胞系の細胞に強く発現し、骨芽細胞には発現が認められないにも拘らず、その中和抗体は骨芽細胞の分化を強く促進するという実験結果を既に得ている。様々な病原体がSiglec15リガンドを発現しさらに、癌細胞がSiglec-15を発現することが報告され、中和抗体の歯周病治療および癌免疫再生療法への応用が期待できる。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,破骨細胞,骨芽細胞,骨代謝カップリング,Siglec-15,骨粗鬆症,RANKL,RANK,OPG,LIF,オステオプロテゲリン,骨吸収,骨形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K21487,長崎大学,松下 祐樹,多階層シングルセル解析を応用した骨再生機構の解明と新規再生療法の基盤構築,成体における主な造血の場である骨髄には、様々な骨格系細胞が存在している。その中で骨格幹細胞は強力な骨芽細胞分化能を有しており、再生医療に広く用いられている。しかしながら、生体内において時空間的に真の骨格幹細胞の動態を明らかにした研究はなく、再生医学の発展の障壁となっている。本研究では様々な骨格系細胞の多様性を明らかにした上で、骨格系細胞の分化系譜のヒエラルキーを同定する。さらに骨格幹細胞の骨芽細胞分化を制御する遺伝子とそのメカニズムを明らかにし、骨再生過程における骨格幹細胞の時空間的な細胞ダイナミクスを解明する。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,骨格幹細胞,骨再生,細胞系譜追跡,シングルセル解析,骨髄間質細胞,間葉系幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03123,岡山大学,岡田 正弘,ソフト／ハードマテリアル接着界面の解析と制御,本研究は、医療用の無機材料をベースとした【固体接着材】という新素材を理解して制御することを目指すものである。具体的には、チタンやアパタイトといった生体親和性に優れる無機材料に表面処理を施してその表面性状を定量的に評価し、さらに、生体軟組織や合成ゲルといったハイドロゲルと上記の無機材料との接着現象および相互作用について界面科学的観点から解析する。本研究の遂行は、基礎的に接着現象を理解することに繋がるのみならず、さまざまな接着性医療デバイスの創出も期待できる。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,生体軟組織接着,固体接着材,アパタイト,チタン,無機,金属,固体接着,ハイドロゲル,生体材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03122,新潟大学,大峡 淳,皮膚の付属器官発生における老化活性の機能解明,歯は、毛髪などと同じ皮膚の付属器官に属する。全ての皮膚の付属器官が先天的に欠如する遺伝性疾患の存在は、胎生幹細胞がダイレクトに歯胚細胞へ分化するのではなく、皮膚の付属器官への運命決定を行った後に、歯胚細胞への分化を決定している事を示している。本研究は、胎生幹細胞の分化決定メカニズムを解明することにある。本申請の成果により、歯の再生療法の確立にとって必須の幹細胞の歯胚細胞への分化誘導が可能となり、歯の再生実現の基盤となる事が期待される。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,老化,器官形成,再生,老化シグナル,皮膚の付属期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03121,東北大学,鈴木 治,骨再生能と高弾性を有する骨補填材開発の試み,本研究では，gelatin（Gel）分子が再線維化して弾性化が期待できるペプチド分子を導入し，リン酸八カルシウム（OCP）のクラスターを合成して，高弾性かつ骨再生能を持つOCP骨補填材の創製を目指す．天然骨はcollagen（Col）とハイドロキシアパタイト（HA）ナノ結晶の絡み合いにより優れた力学特性を獲得している．天然骨の海綿骨にアプローチする高弾性を示すOCP骨補填材を得るために，OCPの不均一核生成を誘起可能なGel分子を基材に用い，Gelの再線維化およびOCPクラスター核生成を誘導し，その上で溶液過飽和度調節法による結晶間の成長・絡み合いを実現することで，OCP骨補填材の高弾性化が可能となるか実証する．,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,骨再生,骨補填材,骨伝導,力学的性質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K24536,福岡歯科大学,都留 寛治,抗菌作用を発揮しながら生体内で吸収・骨置換される炭酸アパタイトセメントの創製,骨欠損部に充填すると速やかに硬化し、抗菌作用を発揮しながら生体内で吸収・骨置換される炭酸アパタイトセメントの創製を本研究の目的とする。目的を達成するために、①骨吸収性を高める炭酸イオンの含有量制御；②抗菌性を発現する金属イオン等の徐放性制御；③臨床使用に耐えうる力学的特性の付与を試みる。In vitro評価で、破骨細胞性吸収作用、抗菌作用および力学的特性の最適化を図り、ラットの骨欠損モデルにより骨置換性を評価する。これら一連の研究を通じて、炭酸イオンが破骨細胞性吸収を高め、生体内吸収性および骨置換性を亢進すること、抗菌性金属イオンの徐放制御によって抗菌性が発現することを学術的に明らかにする。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,リン酸カルシウムセメント,炭酸アパタイト,生体吸収性,抗菌作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K24535,朝日大学,齊藤 一誠,新規器官培養法による乳歯由来ヒトiPS細胞を経由したインスリン分泌細胞形成の誘導,iPS細胞は体性細胞から樹立され、臨床応用への研究・開発が活発に行われている。しかし、潜在的な奇形腫形成（造腫瘍性）の危惧、特定分化細胞への効率的な分化誘導法の不在など、未だ重要な課題が残る。我々は脱落乳歯の歯髄細胞（HDDPC）由来iPS細胞を用い、世界に先駆けて人工的な膵幹細胞（iTSC-P）を樹立し、これをヌードマウス膵臓内に細胞移植し、造腫瘍性のないインスリン分泌性細胞の長期維持に成功した。そこで本研究では、iTSC-Pを基盤とし、１型糖尿病患者への自家移植可能な安全且つ機能的な新規β細胞分化誘導系の開発を目指す。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,乳歯,小児,iPS細胞,iTS細胞,1型糖尿病,膵幹細胞,歯髄細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K24534,長崎大学,住田 吉慶,組織マクロファージの動的恒常性維持機能を標的軸としたデザイナー細胞医薬の開発,本研究はこれまでの研究を発展させ、慢性免疫不全組織の老化細胞やSASP因子、DAMPsに対する強いクリアランス機能と、組織マクロファージや組織幹細胞の誘導機能をマクロファージに搭載したデザイナー細胞の開発を行う。本課題では放射線性唾液腺障害を対象に、E-MNCのGalectin3陽性マクロファージ群が病態改善と組織再生を誘導する分子機序を解明し、デザイナーマクロファージが備えるべき形質や機能の詳細を検討する。さらに、頭頸部癌の放射線治療後早期に細胞投与を可能とするため、免疫チェックポイント分子の改変による効能強化と抗腫瘍性付与の技術開発を行う。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,マクロファージ,唾液腺,慢性免疫異常,細胞治療,慢性免疫不全,組織マクロファージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K24533,広島大学,加治屋 幹人,集塊培養技術によるiPS細胞由来顎骨・歯肉オルガノイドの樹立と口腔再生医学の深化,本研究は、口腔の起源となる神経堤細胞(NCC)をiPS細胞から誘導し、そこからさらに顎骨オルガノイド・歯肉オルガノイドを樹立する。また、これらオルガノイドを搭載可能な流体デバイスを独自開発することで、口腔環境を模倣する「口腔オルガノイド-on-a-chip」を開発する。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,間葉系幹細胞集塊,神経堤細胞由来間葉系幹細胞,顎骨オルガノイド,歯肉オルガノイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K24532,岡山大学,松本 卓也,細胞膜模倣バイオマテリアルの創製と迅速骨再生への応用,早期の歯周組織健全化やデンタルインプラント治療期間における患者負担の軽減といった観点から、迅速な骨再生が求められている。本研究では実際の細胞膜断片を模倣した人工材料の合成および修飾により、迅速骨再生を実現する新規の材料開発を目指す。,基盤研究(B),小区分57040:口腔再生医学および歯科医用工学関連,迅速組織再生,骨組織,人工細胞膜,超高速組織再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
