awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03079,国立研究開発法人国立国際医療研究センター,西岡 みどり,医療関連感染サーベイランスを活用した感染防止ケアの有効性と経済性,医療関連感染サーベイランスとは、感染の発生や終息を確認したり、感染防止ケアの効果を判断したりするために、臨床データを収集して感染率を計算し、臨床へ感染率をフィードバックする活動である。本研究では、各種の医療関連感染サーベイランスを活用して、感染防止ケアの有効性や経済性を検証する12の研究を行った。,基盤研究(B),小区分58050:基礎看護学関連,医療関連感染,サーベイランス,感染防止技術,手指衛生,薬剤耐性,職業感染,呼吸器感染症,手術,薬剤耐性菌,血流感染症,多剤耐性菌,結核,肺炎,血流感染,薬剤耐性緑膿菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03078,聖路加国際大学,本城 由美,実践知を基盤とした「安楽」をもたらす包括的コンピテンシー・プログラムの開発,本研究では、看護師が患者に「安楽」をもたらすケアが実践できるよう、実践知を基盤とした包括的コンピテンシー・プログラムを開発することに取り組んだ。必要なコンピテンシー（能力）を明らかにするために、各看護分野の看護師にインタビューおよびアンケート調査を行った。その結果、コンピテンシーの基盤となる安楽なケアとして共通して実施されていたことは、「心身ともに苦痛を最小限に軽減する」「患者さんらしさや、主体性を尊重する」「患者さんを取り巻く環境を整える」等であった。,基盤研究(B),小区分58050:基礎看護学関連,安楽,看護ケア,インタビュー,アンケート,熟練看護師,実践知,看護実践,アンケート調査,comfort,コンピテンシー,プログラム,教育プログラム,ミックスメソッドデザイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03077,大分県立看護科学大学,福田 広美,ピアサポートによる中小規模事業所の看護管理者能力開発と地域ネットワーク推進の研究,本研究は，中小規模病院等の看護管理者が，看護の地域ネットワークを基盤に看護管理能力を高めるプログラムを開発し，能力開発のプロセスと効果を明らかにすることを目的とした．本研究の結果，中小規模病院等の看護管理者は，【人材育成の危機感から検討会を始める】【人材育成の悩みを共有し，根拠に基づき課題を探る】【対話を通して学び，人材育成の課題に気付く】【1年目の検討会を振り返り2 年目の計画を考える】【気づきを活かして人材育成の改善に取り組む】【現場の人材の変化に気付き，次の改善を目指す】ことが明らかとなった．本研究のプログラムにより看護管理者が人材育成に関する看護管理能力を高めることが示唆された．,基盤研究(B),小区分58050:基礎看護学関連,看護管理,人材育成,地域包括ケア,看護の地域ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03076,兵庫県立大学,坂下 玲子,看多機で活躍する看護職のコンピテンシーの明確化とケアの質評価システムの構築,本研究の成果は次の３つである．１．看多機で活躍する看護師のコンピテンシーの明確化：質的研究により看多機で活躍する看護師の行動特性を明らかにし、アンケートによる全国調査を実施しその妥当性を検討した。２．看多機のケアの評価指標の開発：臨床で測定可能な看護ケアを設定するため88項目からなるケア行動指標リストを作成し，全国の看多機729か所を対象にアンケート調査を実施し評価指標を開発した。３．看多機運営上の課題の検討：管理者を対象とした質的研究を行い，それを基にアンケート調査を実施し厚生労働省のデータと突合し分析を進め、安定した運営に関連する要因、離職率に関連する要因等について明らかにした。,基盤研究(B),小区分58050:基礎看護学関連,看多機,看護職,コンピテンシー,行動特性,地域包括ケア,看護小規模多機能型居宅介護,看護の質評価,評価指標,看護師,ケアの質評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03075,岡山大学,近藤 真紀子,ハンセン病医療倫理学の創出に向けた学術的基盤の構築とカリキュラム開発,1.「ハンセン病医療倫理学(医療系)」「ハンセン病と人間の尊厳(小中高大学生)」のカリキュラムを構築し、出前授業を積み重ねた。２．講義の充実を図る基礎研究として、治験による眼球摘出事例の臨床倫理、終生隔離が齎した実存的苦悩、他者に理解し辛い知覚障害、ハンセン病者が捉えたコロナパンデミックについて、質的帰納的に分析した。３．ハンセン病者が人生を賭して得た叡智を伝える教材として、「療養所の自然の美しさと祈り」をコンセプトとする書籍を刊行し、加えて、デジタル教材の充実を図った。４．発展の布石として、「ハンセン病倫理研究会」の創設、機関紙「ハンセン病と人間の尊厳」を刊行した。,基盤研究(B),小区分58050:基礎看護学関連,ハンセン病,医療倫理,人間の尊厳,カリキュラム開発,人間の尊重,実存的苦悩,生命の尊厳,カリキュラム,知覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03074,名古屋大学,太田 勝正,看護学生の道徳的感受性の全国調査と育成のための教育プログラムの開発,信頼性と妥当性が確保された唯一の尺度である道徳的感受性尺度学生版第２版（MSQ-ST2）を用いて全国調査、および１つの大学での事例であるが看護倫理の授業を通じた介入調査と経時的変化を確認する調査などを行った。その結果、看護学生の道徳的感受性が学年および学修とともに単純に高くなっていくものではないこと、道徳的感受性には臨地実習の経験が大きな影響を与えること、看護倫理の授業においては、倫理的な問題事例の提示と学生同士による話し合いが効果的であること、そして、MSQ-ST2は入学直後の使用には注意が必要だが、授業が少し進んだ入学３ヶ月目頃からは十分利用可能であることなどが明らかとなった。,基盤研究(B),小区分58050:基礎看護学関連,道徳的感受性,看護学生,看護教育,倫理的問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03073,浜松医科大学,鈴木 みずえ,認知症高齢者の尊厳を守る臨床看護実践能力シミュレーションプログラムの開発,本研究の目的は急性期病院における看護師を対象に、同プログラムの有効性の検証を行うことである。対象者は71名、所属病棟は外科系・内科系など60名（85.7%）、認知機能障害のある患者の入院は半数程度が最も多く30名（42.3%）であった「点滴・中心静脈・経管栄養などのチューブを抜かないように、ミトン型手袋をつける」を低減できる自信(self-efficacy)、急性期病院の認知障害高齢者に対するパーソン・センタード・ケアをめざした看護実践自己評価尺度等の合計点が介入後、有意に増加していた。本介入プログラムは参加者が簡便に学習し、実践できる有効な介入であることが示唆された。,基盤研究(B),小区分58050:基礎看護学関連,急性期病院,認知症,パーソン・センタード・ケア,e-learning,臨床看護実践能力,認知症看護,シミュレーションプログラム,病院看護師,実践能力育成プログラム,多施設ランダム化比較試験,認知症高齢者,臨床看護実践能,看護実践能力,シミュレーション,e-ラーニング,教育プログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03072,金沢大学,中谷 壽男,リンパ浮腫に対する培養リンパ管移植の効果と瘢痕組織のリンパ管再生阻害の基礎研究,人のリンパ管内皮細胞とマウス脂肪組織由来間葉系幹細胞を細胞積層法による三次元培養し，マウスのリンパ管内皮細胞からなるリンパ管を形成することができた．,基盤研究(B),小区分58050:基礎看護学関連,リンパ管,リンパ浮腫,リンパ管迂回路,リンパ管内皮細胞,リンパ管培養,脂肪組織由来間葉系幹細胞,培養リンパ管,マウス,集合リンパ管,前集合リンパ管,皮膚創傷,血管内皮細胞増殖因子,瘢痕組織,集合リンパ管結紮,交通リンパ管,皮膚全層欠損創,リンパ節,瘢痕,リンパ管再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03071,金沢大学,向井 加奈恵,2型糖尿病モデルマウス皮膚創傷へのエストロゲン創部塗布効果の網羅的解明,糖尿病性潰瘍は糖尿病の合併症の一つであり、効果的な局所創傷治療法の開発が切望されている。そこで本研究課題においては、Ⅱ型糖尿病モデルdb/dbマウス皮膚創傷へのエストロゲン創部塗布効果の機序を明らかにすることを目的とし、（1）マイクロアレイによる遺伝子の網羅的解析、（2）プロテオミクスLC-MS/MSによるタンパク質の網羅的解析、（3）選択的エストロゲン受容体作動薬等の投与による創傷治癒の評価の3つの実験系に取り組んだ。その結果、Ⅱ型糖尿病モデルdb/dbマウスへのエストロゲン創部塗布によって特異的に発現変動する遺伝子やタンパク質の存在が明らかとなった。,基盤研究(B),小区分58050:基礎看護学関連,Ⅱ型糖尿病,皮膚創傷治癒,エストロゲン,糖尿病性潰瘍,2型糖尿病,マイクロアレイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03070,新潟大学,山村 健介,介護予防促進のための「むせる」を予測するシステム開発,身体の加齢変化は不可避であるが、適正な介入支援は機能低下を緩やかとする。急増する在宅療養者の適切な嚥下機能評価を可能とする日常生活を妨げないウェアラブルな嚥下評価機器の開発を目的とした。,基盤研究(B),小区分58050:基礎看護学関連,嚥下,リハビリテーション,咀嚼,介護,地域包括ケア,在宅医療,人工知能,オプティカルフロー,センシング,機械学習,むせ,筋電図,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03069,東京大学,山本 則子,「卓越したケアの伝播/継承を可能にする事例研究」の方法の確立,ケアの実践知を共有可能にする「ケアの意味をみつめる事例研究」方法を開発した。研究手順は意識化・言語化、メタファー化、ナラティブ化の3段階にまとめた。実践の意味とコツという２つの抽象度に事例をまとめ、実践の意味ごとにナラティブを付して読者が追体験しやすい形で論文化する。事例論文を読み実践を追体験した読者は、触発され、間主観的な理解と自経験との類似性を手掛かりに、自経験を再構築し新たな意味パースペクティブを得る。そのような再構築が広く起こることでケアの知が普遍化される。「ケアの意味をみつめる事例研究」は、既存の質的研究に立脚しつつも、徒弟制的でないケアのアートの共有を可能とする新規性を持つ。,基盤研究(B),小区分58050:基礎看護学関連,事例研究,実践知,暗黙知,ケア,看護,意味,アート,実践の可視化,質的研究方法,研究方法,定性的研究,質的研究,研究方法論,看護学,現象学,ケアの知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03068,東京大学,峰松 健夫,褥瘡ハイリスク者を同定する遺伝子検査法の開発,"本研究は、褥瘡発生に関与する遺伝的要因の同定を目的に、6遺伝子（HIF1A、VEGFC、 MSTN、PAI1、HSP90AA1, VDR）に着目して、動物実験および臨床調査を行った。",基盤研究(B),小区分58050:基礎看護学関連,褥瘡,遺伝子多型,一塩基多型,リスクアセスメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03930,公益財団法人大原記念労働科学研究所,佐々木 司,看護師の夜勤・交代勤務負担軽減策としての勤務時間の上限規制に関する実証的研究,科学的根拠がないと言われてきた人事院判定の「月夜勤８回以内を目安(1965年)」や診療報酬における入院基本料の算定要件としての「月平均夜勤時間数の72時間以下(1996年)」について、看護師の安全、健康、生活の視点に立脚した疲労評価に基づき、夜勤・交代勤務者の勤務時間の上限規制を定め、あるべき夜勤・交代勤務の姿を提言しようとするのが本研究である。,基盤研究(B),小区分58050:基礎看護学関連,看護師,夜勤時間,上限規制,安全,健康,生活の質,病院性格,夜勤対策,勤務時間,生活時間調査,疲労,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03929,聖路加国際大学,萱間 真美,質的研究論文の教育資源提供ネットワークQUARIN-Jの開発,質的研究方法は、疫学的手法に比較して方法論が多様で個別性が高く、教授する人材が限られている。本研究では、質的研究方法を用いた論文執筆、発表、出版、結果の活用の各プロセスに必要な教育資源を開発し、論文の著者、査読者、編集委員、編集委員長の活動の質を高めるために大学院・学会に提供するためのネットワークを開発することを目標とする。,基盤研究(B),小区分58050:基礎看護学関連,質的研究方法,看護学,査読,大学院教育,ネットワーキング,論文査読,ガイドライン,論文作成,質的研究,査読委員,編集委員,編集委員長,看護学術誌,看護研究,論文投稿,教育プログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
