awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03245,京都大学,田島 敬史,Web情報に基づく社会情報分析と行動予測技術の開発,Ｗｅｂ上から現実社会の事象に関する情報を収集するための技術として、ある語がＷｅｂ検索される頻度とＷｅｂ上に現れる頻度の比較から現実社会の事象に関係する語を識別する手法や、ソーシャルメディア上に流れる情報のうち、現在起こっている事象に関するものとそうでないものを区別する手法などを開発した。,基盤研究(B),小区分60080:データベース関連,オンライン・アクティビティ抽出,ソーシャルメディア分析,時系列データ,情報有効期限,データストリーム予測,要因分析,特徴抽出,相互作用発見,時間依存情報,検索結果多様化,時系列ビッグデータ,リアルタイムAI技術,予測,Web情報,情報抽出,連鎖,行動予測,ユーザ行動追跡,情報の需要と供給,時系列ビッグデータ解析,リアルタイム要因分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03244,京都大学,加藤 誠,数量データに基づくWeb情報の信頼性検証と高信頼情報の生成,本研究課題では，Webに記述されている情報に対してその根拠となる数量データを対応づけることによってWeb情報の信頼性の担保を，また，数量データとWeb情報の対応関係から信頼性の高い情報の自動生成を実現する．この目的のために本研究課題では，以下の3つの課題に取り組んだ：1. Web上の数量データの「意味」を理解し，その意味に基づいて欠損値や誤抽出などを補完する．2. 数量データとテキストなどで記述された情報の対からその対応関係を発見し，数量データと情報の対応付けを行う．3. 学習した数量データと情報の対応関係から，意思決定において有用な情報を数量データから自動生成する．,基盤研究(B),小区分60080:データベース関連,情報検索,データマイニング,数量データ,信頼性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03243,京都大学,田中 克己,ビッグデータ学習による意味的情報検索,機械学習によって，意味類似検索の実現，検索結果ランキングの改善を図る研究．生成型深層学習による新規データ生成の研究を行った．具体的には，機械学習による意味類似検索の研究では，語の分散表現法を長期間に亘って適用できるようにするための研究，地物の意味類似検索を行うアルゴリズムの開発などを行い成果を得た．ランキング学習の研究では，エンティティの順序に関するデータを機械学習することでランキング性能を改善する文脈誘導型ランキング学習方式を開発した．さらに，強化学習を用いたクエリ修正によるデータ収集方式の研究も行い，特定のイベントについて言及するマイクロブログを効率的に取得する方法を開発した．,基盤研究(B),小区分60080:データベース関連,情報検索,データベース,データマイニング,機械学習,地物検索,地図検索,文脈学習,映像検索,意味類似,深層学習,機械学習による情報創出,検索エンジン,語の意味の分散表現,ビッグデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03242,東京工業大学,宮崎 純,スケーラブルな高性能多次元データ基盤の実現,WebやIoT技術の発展により、オンラインで生成されるデータは膨大な量となっている。これらの多種多様なデータを解析したり、機械学習を利用して新たな応用に結びつけることで、現在の社会状況の把握や社会福祉、エネルギー問題への応用が期待されている。,基盤研究(B),小区分60080:データベース関連,多次元データ,グラフデータ,NoSQL,知識グラフ,グラフ処理,高次元データ,データストア,データ要約,分散データベース,時制グラフデータ,集約演算,近似計算,多次元データ基盤,クラウドストレージ,関係データベース,グラフデータベース,ミドルウェア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04118,関西学院大学,角谷 和俊,ソーシャル・ジオデータに基づく実空間移動支援基盤の実現,本研究では，地理情報サービスにおけるユーザの実空間移動支援のために，実空間およびWebコンテンツ空間を統一的に扱うことが可能な地理的意味空間モデル，地理コンテンツ連結のためのメディア間の空間関係モデル，群衆の振る舞いを投影するソーシャル・ネットワーク・トポロジ構造，移動経路推薦のための潜在的意図分析手法により，実空間移動基盤の構築とその応用フレームワークを実現する．,基盤研究(B),小区分60080:データベース関連,地理情報,移動支援,ジオデータ,ソーシャル,実空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04117,慶應義塾大学,川島 英之,データ集約型科学に資するリアルタイムデータカーネルの創出,すばる望遠鏡の天体カタログをモデルケースとして、本研究ではデータ集約型科学に資する新しいデータカーネルの実現法を探求する。本研究の第一の独自性は、性能評価指標のスループットからリアルタイム性への転換である。近年はスループットのみが評価されるが、天体カタログでは望遠鏡の即時制御のためにリアルタイム性が重要である。本研究の第二の独自性は、システム構造の簡素化から稠密化への転換である。近年のデータカーネルは集積化傾向があるが、天体カタログが求める全3 要素を集積する程の高稠密化法は、未開拓段階にある。本研究により、我が国の天文研究の世界トップ維持を支援しつつ、他データ集約型科学への展開を狙う。,基盤研究(B),小区分60080:データベース関連,トランザクション,機械学習,アクセラレータ,データベース,ロギング,不揮発メモリ,データシステム,障害回復,アナリティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04116,京都大学,馬 強,エビデンスベースの投資支援に向けたエンティティ指向投資ビッグデータ分析基盤の構築,本研究では，エビデンスに基づいて投資の意思決定を支援するための投資ビッグデータ分析基盤の確立を目的とする．ニュース・報告書，マーケット情報やユーザの投資履歴など多様な投資ビッグデータを横断して分析し，投資活動における重要なエンティティである，事象，投資商品および投資者の特徴とその相互関係を分析して，「金融・投資商品に影響を及ぼす要因(事象)」や「投資のエキスパートがいつ・何を取引したか」を明らかする基盤を構築する．具体的に，(A) 投資商品の要因分析と（B)投資者の特徴分析の基盤を構築して，それらを用いた投資支援システムの構築と検証を行う．,基盤研究(B),小区分60080:データベース関連,投資情報学,意思決定支援,要因分析,時系列データ,深層学習,金融工学,ポートフォリオ,時系列データ分析,事象分析,時系列データ検索,時系列予測,投資支援,エンティティ分析,エビデンス指向,投資知,時系列分析,投資者分析,エンティティマイニング,エビデンスベース投資,投資ビッグデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04115,名古屋工業大学,山本 大介,大域的マップマッチングに基づく「屋内外」経路推定の確立と防災訓練への適用,本研究の目的は、BLE(Bluetooth Low Energy)ビーコンとGPSを融合し、かつ、物理的なBLEビーコンの配置関係と実際の経路を分離するモデルを採用することで、全体最適かつ高精度で耐故障性のある「屋内外」経路推定手法を提案する。さらに、提案手法を実際の避難訓練に適用し、大規模な実験データを取得・検証する。これにより、屋内外経路推定の仕組みを確立し、都市計画や防災訓練、人流推定などの分野に貢献する。,基盤研究(B),小区分60080:データベース関連,地理情報システム,ネットワーク,BLEビーコン,屋内位置推定,経路推定,位置推定,災害支援,Bluetooth,ビーコン,モバイル,人流推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04114,筑波大学,北川 博之,高水準仮想化機能をもつAugmentedリアルビッグデータ利活用基盤の構築,ビッグデータ処理では，蓄積データやストリーム等の様々な大規模リアルデータに対して，結合・集約処理等に加え，機械学習等を用いた補完・推定処理等の多様なデータ処理を有機的に適用することが求められている．このような複合的データ処理を支援する上で，データ構造や処理の詳細を隠ぺいする仮想化技術が極めて重要である．本研究では，実世界から直接観測・取得されるリアルデータと，機械学習，メタデータ推論，シミュレーション等を適用することにより元データを大幅に拡充・補填するAugmentedデータをシームレスに統合する仮想化技術を確立し，それに立脚したAugmentedリアルビッグデータ利活用基盤の構築を目指す．,基盤研究(B),小区分60080:データベース関連,ビッグデータ,Augmentedデータ,仮想化,トレーサビリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H04192,東京工業大学,横田 治夫,複数項目の値の変動に依存し動的に出現が変化する項目の予測の実現と評価,シーケンス中の複数項目の値の変動に依存して項目の出現が動的に変化する場合に、次に発生する項目を予測する。そのため、これまで申請者の研究グループが行ってきた電子カルテのシーケンス解析の手法を発展させ、クラスタリング化した項目に対する特性ベクトルの変動の依存関係から、次の項目を予測し、推薦につなげる手法の実現と、その効果の実証を目的とする。提案アプローチの適用例として、実際の電子カルテデータベースに含まれる医療検査項目の履歴を対象に、複数の検査結果の値の変動から、次の検査項目および医療指示の予測と推薦の実験を行い、提案アプローチの効果の実証を試みる。,基盤研究(B),小区分60080:データベース関連,シーケンス解析,電子カルテ,項目推薦,医療検査,値予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
