awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03249,京都大学,中島 浩,SIMDベクトル演算活用のための規則化技術の研究,物体・粒子集合に関して、これまでに実装した各機能のライブラリ化を実施するとともに、ベクトル長を単位とした部分集合の線形リストを用いる手法の実装・評価・比較検討を行った。疎行列に関して、疑似平面集合を決定するアルゴリズムの改良と実装を行い、併せて各疑似平面内および隣接疑似平面間の接続関係に基づくオーダリングについても性能改善に取り組んだ。これらの成果の発表準備を令和3年10月から行い、11月に発表予定であった。,基盤研究(B),小区分60090:高性能計算関連,規則化,SIMDベクトル演算,データ構造変換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03248,東京工業大学,横田 理央,機械学習向けハードウェアとの親和性が高い連立一次方程式の解法,計算機ハードウェアの潮流はこの１０年続いてきた汎用アクセラレータの流れから，機械学習向けプロセッサと流れが変わりつつある．本研究では，機械学習向けプロセッサの得意とする低精度演算やテンソル積と親和性の高い階層的低ランク近似法に焦点をあて，次世代のハードウェアに適した線形代数ライブラリの構築を目的とする．2018年度にはテンソル積に適したデータ構造に変えるため，batched MAGMAを用いたH行列のライブラリを開発した． 2019年度にはTensorCoreを用いてH 行列の内部カーネルを高速化した．2020年度にはTensorCoreをもちいる際の精度保証と省電力の機能を追加した．,基盤研究(B),小区分60090:高性能計算関連,機械学習向けプロセッサ,階層的低ランク近似法,TensorCore,高性能計算,H行列,低精度演算,テンソルコア,FPGA,Tensor Core,機械学習向けハードウェア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03247,東京工業大学,齋藤 豪,周辺視野の知覚特性を利用した広角視覚像の効率的な生成及び転送手法に関する研究,将来のヘッドマウントディスプレイでの広視野没入環境を見据え、周辺視領域で要求される描画品質を見積もるために、周辺視の輝度コントラストの知覚閾値について、従来測定されていた測定範囲よりもより広く、4名の20代の被験者の単眼視野の鼻側、耳側、上側、下側について測定を行った。測定結果からは、従来提案されてきた低偏心度の測定結果にのみ基いたコントラスト感度関数モデルが、高偏心度において実際の測定値よりも閾値を高く見積もる傾向があることを示した。また、周辺視の見えの直感的理解のために、コントラスト感度関数を応用したコントラスト知覚画像を生成する画像フィルタ手法についての提案も行った。,基盤研究(B),小区分60090:高性能計算関連,コントラス感度関数,周辺視,画像フィルタ,レンダリング,コントラスト感度関数,コントラスト知覚像,周辺視野,コントラスト感度特性,Foveated Rendering,視覚画像フィルタ,色コントラスト,コントラスト,色知覚,画像圧縮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03246,筑波大学,朴 泰祐,再構成可能システムとGPUによる複合型高性能計算プラットフォーム,(1)GPUとFPGAを混載する複合演算加速ノードにおいて宇宙物理学コードARGOTを実装し、両デバイスを効果的に用いるプログラミング手法とその支援システムを開発した。(2)並列FPGAシステムを実現するためのFPGA上の光リンクを用いて直接網及び関節網をそれぞれ構築する基本技術を開発した。(3)並列FPGAの高性能計算応用のため、3次元ステンシル計算や流体計算を低レベル記述で実装し、その性能向上を評価した。(4)任意精度の浮動小数点演算をFPGAを用いて実現するため、ハードウェア記述とC++によるライブラリの2種を作成し、OpenCL演算カーネルに組み込んで演算性能の比較を行った。,基盤研究(B),小区分60090:高性能計算関連,FPGA,GPU,並列FPGAシステム,任意演算精度計算,並列プログラミング,高性能計算,演算加速プログラミング,演算加速装置,通信機能,高位合成,高速シリアル通信,多重複合演算加速,複合型演算加速,計算科学,PCIe,演算加速,高性能コンピューティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04121,東京大学,松葉 浩也,機械学習を用いた自律型スマートHPCデータセンター,本研究は、データセンターの運用を最適化する人工知能の開発を目指す。そのために、実運用されているスーパーコンピュータから得られる運用ログの解析と、データセンター全体のシミュレーションにより、データセンター全体の電力消費の状況を実際に試すことなくコンピュータの中の仮想空間で再現できる技術を確立する。この仮想空間で人工知能に運用方法を試行錯誤し学習させることで、この人工知能が運用について的確な判断を下せるようにすることを目指す。,基盤研究(B),小区分60090:高性能計算関連,データセンター,運用,人工知能,スケジューラ,ログ収集,強化学習,ジョブスケジューリング,最適化,オーバーコミット,システムモデル,スーパーコンピュータ,深層学習,AI,計算機運用,機械学習,センサーデータ,スケジューリング,サイバーフィジカルシステム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04120,会津大学,高橋 成雄,地図総描技法の情報可視化への導入に関する研究,地図は，様々な用途のおいて異なる縮尺のものが必要となるが，一般的にその縮尺や用途の違いに応じて，地図要素の配置や表現に転位(移動)，簡単化(単純化)，集約(併合)，取捨選択(省略)なども様々な操作が施される．これらは，地図学において長きに培われきた，地図総描技法として知られている．本研究は，この地図総描技法を情報可視化の視覚表現に適用することで，データの詳細度やユーザの分析意図に応じた対話的な可視化環境を構築する．これは，近年の情報可視化が直面している，計算機環境の高性能化による大規模かつ複雑なデータの処理においても効果的な解決策を提供する．,基盤研究(B),小区分60090:高性能計算関連,情報可視化,地図総描技法,メンタルマップ,制約付き最適化,奥行き手がかり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04119,国立研究開発法人理化学研究所,ドンケ イェンス,ExaPath: Hierarchical Routing for Next-Gen Supercomputers and Beyond,The research objective is the invention and development of a novel type of,基盤研究(B),小区分60090:高性能計算関連,HPC interconnects,routing algorithms,network design,artificial intelligance,message passing,routing,hierarchical,supercomputing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H04195,芝浦工業大学,尾崎 克久,疎行列を係数とする線形方程式の反復解法と精度保証付き数値計算法の融合,数値線形代数は，物理現象，社会現象のシミュレーションを含む非常に多くの分野に応用があり，科学技術計算に必要不可欠である．特に，疎行列を係数行列とする連立一次方程式は多くの問題に現れ，主に反復解法を用いて近似解を得る．従来の反復解法では，相対残差を基準として収束判定を行うことが多く，「収束しない」，または「不正確な結果を得る」など，精度面に問題がある事例がある．また精度の検証に関する第二の選択肢として，複数の近似解法において得た近似解を比較する方法がある．本研究では，精度の検証に関する第三の選択肢として「誤差」に着目した精度保証付き数値計算を展開し，高速・高信頼数値計算の基盤研究を行う．,基盤研究(B),小区分60090:高性能計算関連,精度保証付き数値計算,連立一次方程式,反復解法,数値線形代数,高性能計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H04194,神戸大学,坂本 尚久,効率的な知見獲得を目指した大規模数値計算向けスマートIn-situ可視化,近年注目を集めるIn-situ可視化手法では、大規模シミュレーション結果（数値データ）に対して大量の可視化画像が出力されるため、興味ある現象を確認するまでに多くの手間と時間がかかっている。本研究では、計算される数値データに対して、時間・空間・変数に関する３つの指標を使って状態変化を自動的に評価することで、可視化すべき時空間領域を効率よく特定し、再現される現象を科学的に分析し解釈するために重要な変数間の影響度を考慮した可視化を行う。そして、In-situ可視化における画像化時間の短縮だけでなく、数値データからの科学的知見を獲得するまでの時間をも短縮可能なスマートIn-situ可視化を実現する。,基盤研究(B),小区分60090:高性能計算関連,可視化,数値シミュレーション,in-situ可視化,自律カメラ,情報エントロピー,スマートin-situ可視化,最適視点推定,最適注視点推定,自動映像化,時空間探索,因果探索,多変量データ解析,並列計算,スマートIn-situ可視化,時空間データ探索,In-situ可視化,適応的時間サンプリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H04193,電気通信大学,三輪 忍,ポストペタスケールのための革新的アプリケーション解析基盤技術の開発,本研究課題では，ポストペタスケール高性能計算に資する革新的な並列アプリケーション解析基盤技術を開発する．具体的には，小規模実行時の実行時情報から大規模実行時の実行時情報を予測（実行時情報予測）する技術を開発することにより，超大規模アプリケーションの実行時情報収集に要する時間を大幅に短縮する．本技術により，現在の並列アプリケーションの詳細解析の問題点である大規模実行の必要性を解消し，数千から数万ノードを必要とする超大規模アプリケーションの詳細解析を可能にする．,基盤研究(B),小区分60090:高性能計算関連,高性能計算,プロファイル,トレース,予測,並列プログラム,プロファイリング,トレーシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
