awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03336,聖路加国際大学,ウォン スイー,From Reports to Knowledge for Patient Safety Improvement through Advancements in Artificial Intelligence,研究チームは、3つの特定の研究タスクすべてを完了しました。 2018-2022年度のKakenhi Bチームは最適な研究成果を達成し、基金は直接（本日現在）15の主要な国際的な査読付き出版物を生み出し、5人の博士号/修士課程の学生（ローカルおよびグローバル）をサポートしました。Health AI Acceleration Consortium（厚生労働省）で成果を広めました。 さらに、私たちのチームメンバーは、WHOグローバル患者安全ネットワークおよび多くのグローバル患者安全会議（フィレンツェでのWHO会議（2019年12月）など）に研究結果を発表しました。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,WHO Patient Safety,Artificial Intelligence,Incident reports,NLP,NER,Adverse drug events,Deep learning,adverse drug events,deep learning (DL),Patient Safety,Artifical Intelligence,Incident Reports,Named Entity Recognition,Adverse Drug Events,Named entity recognition,Adverse Drug Event,Deep learning (DL),Adverse drug events (ADEs),Named entity,Natural language processing,Named Entities,Deep Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03335,九州工業大学,矢田 哲士,生物のde novo遺伝子探索アルゴリズムの探究,遺伝子のde novo誕生は、ゲノム中の非遺伝子領域に突然変異が蓄積することで遺伝子が誕生する過程である。これまで、このような過程はほとんど起きないと考えられてきたが、ゲノム研究の進展により、それが遥かに一般的な過程であることが明らかになった。一方、この過程は、生物が新しい配列の遺伝子を探索する過程として捉えることができる。すると、僅か90塩基から成る短い遺伝子のde novo誕生でさえ、4の90乗を越える広大な状態空間が探索されていることになる。ここでは、ゲノムデータのバイオインフォマティクス解析により、広大な状態空間から数々の遺伝子を巧みに探しだす生物のアルゴリズムの全容を明らかにする。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,遺伝子のde novo誕生,生物の遺伝子探索アルゴリズム,バイオインフォマティクス解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03334,九州工業大学,山西 芳裕,医薬ビッグデータ解析による革新的AI創薬手法の開発と難治性疾患治療薬の発見,本研究では、医薬ビッグデータと人工知能(AI)の基盤技術である機械学習を用いた創薬を実現するための情報基盤技術を構築する。医薬品、植物、食品成分などの化合物に関する情報、遺伝子、タンパク質、糖鎖など生体分子に関する情報、難治性疾患に関するオミックス情報やSNPなどのゲノム情報を基に、グラフ畳み込みニューラルネットワークや再帰的ニューラルネットワークの枠組みで、化合物の標的タンパク質プロファイルを予測するためのモデルを構築した。化合物の化学構造の適用範囲を考慮したアルゴリズムも構築した。最終的に、悪性リンパ腫と嚢胞性線維症に対して、医薬品候補化合物を網羅的に予測し、予測結果の一部を検証した。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,機械学習,ビッグデータ,創薬,人工知能,難治性疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03333,大阪大学,中根 和昭,ホモロジーの概念を用いた細胞診画像解析,肺癌の治療方針などを定める際には、細胞診断は必須の検査である。判断の基準となる「クロマチンパターン」は非常に複雑であるため、診断を行う細胞検査士には長期間の訓練が必要である。自動診断支援技術の開発は喫緊の課題となっている。細胞核内にあるクロマチンは3次元的にランダムに分布しており、AIを用いた画像処理法では実用化は非常に難しい。我々は、新たに「ホモロジー・プロファイル法」を開発し、クロマチンパターンの客観的な指標による定量化を行った。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,ホモロジー,細胞診断,クロマチンパターン,遠隔診断,画像診断,クロマチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03332,京都大学,磯村 彰宏,人工シグナル分子による隣接細胞間の動的通信経路の構築と応用,人工遺伝子回路を活用した合成生物学の発展は、広範な細胞機能の再構成を可能にしてきた。しかし、哺乳動物細胞における細胞間の動的コミュニケーションを人工的に構築した例はほとんど報告されていない。そこで、synNotchシステムを起点とした新規人工シグナル伝達経路を作製し、光遺伝学技術によって動的コミュニケーション能力を検証することを試みた。その結果、改変synNotchシステムを使用することで送信細胞における振動的な転写活性を隣接細胞間で様々な速度で伝達可能であることが明らかになった。さらに、得られた新しい人工シグナル伝達経路を応用することで、変異細胞集団の遺伝子発現の集団同期の回復が観察された。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,合成生物学,人工遺伝子回路,光遺伝学,細胞間コミュニケーション,Notchシグナル,分節時計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03331,名古屋大学,太田 元規,タンパク質ヘテロ複合体の構造変化を大規模自動解析する,タンパク質のヘテロ複合体の多くは過渡的で，生理活性を高度に制御調節する．タンパク質の構造変化と機能発現は密接に関係しているので，ヘテロ複合体の構造変化には，特有の機能発現機構を解く鍵がある．本研究ではPDBに格納された立体構造から確からしい生状態のヘテロ複合体を網羅的に抽出した．次にヘテロダイマーを対象に複合体同士の立体構造比較を行い，構造変化を系統的に解析して運動を分類した．この時，申請者らが開発した，複合体の構造比較法：SCPCと，立体構造変化の同定・記述法：Motion Treeを利用した．ヘテロダイマーではホモダイマーと比べ，インターフェースで発生する運動が稀なことを発見した．,基盤研究(B),小区分62010:生命、健康および医療情報学関連,立体構造,構造変化,構造機能相関,構造比較,バイオインフォマティクス,タンパク質・核酸の構造・動態・機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03330,金沢大学,高橋 広夫,情報工学的なデータベース横断解析法に基づく翻訳アレスト配列の全貌解明,Upstream Open Reading Frame (uORF)は、AUG以外の開始コドンから翻訳が始まる非AUG開始型uORFが存在する。そのような非AUG開始型uORFの中で翻訳アレストを起こすものを同定するために、ESUCAパイプラインを改変して進化的に保存された配列を持つ非AUG開始型uORFを動植物のゲノムから探索した。その結果、そのような非AUG開始型uORFが14個同定された。それらの中から、主要ORFの翻訳制御に関与するものを一過的発現解析により4個同定した。また、胃がん発症機構解明のため、本年度は、高度遺伝子増幅領域内の遺伝子発現がプロモーターのメチル化と関連しているか、メチロームデータとの3層オミクス統合解析を行い、遺伝子の発現量とメチル化の間に、強い相関があることを見出した。遺伝子増幅に伴って過剰発現する遺伝子にはGATA6のような新たながん遺伝子が多く、発現が低下している遺伝子にはGSDMAのようながん抑制遺伝子が含まれていた。これらにより、3層オミクス統合解析によって、腹膜転移性胃がんの増幅遺伝子の全体像が明らかになった。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,バイオインフォマティクス,翻訳アレスト,非コード領域,オミックス,翻訳制御,データベース横断解析,新生鎖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03329,東京大学,山口 類,多次元異種データ統合モデルによる個別化病態の経過予測とその制御,本研究では個人から得られる異種多次元情報を統合し、病態の経過を予測しかつ制御するための情報を抽出する数理的方法論を構築することを目指し研究を進めた。まずベイズ的情報統合手法にもとづく複数領域サンプルからの高精度体細胞変異検出手法の開発を行った。また複雑なデータから有用情報を抽出する、説明可能人工知能技術の開発につなげた。また血液がんを対象に腫瘍由来循環DNA(ctDNA)の計測に基づく微小残存病変検出技術の開発を行い、実際にctDNA計測が病態遷移の予測に有用なことが示された。これらの結果は、今後ctDNA時系列およびその他の異種情報を統合的に活用する病態予測モデルの開発への発展が期待される。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,病態予測,情報統合,異種多次元データ,異種情報統合,有用情報抽出,微小残存病変,変異検出,病態遷移モデル,個別変異データ,スパースモデリング,病態予測モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03328,東京大学,井元 清哉,ベイズモデルによるがんと免疫のシステム的統合理解と免疫逃避機構の解明,がんの免疫監視を行う複雑なヒト免疫システムの理解のためのデータ解析技術開発に関して次の成果を得た。全ゲノムシークエンスデータからのHLA遺伝子型の決定は、精度が極めて低い状態であったが、新たなベイズ型統計モデルを構築することで98%の精度を達成した。更にデータベースに登録のない新規のHLA遺伝子型やHLA遺伝子の体細胞変異も正確に同定できる方法へ発展させた。更に、HLAに結合しT細胞に提示されるネオ抗原の同定のため、Neoantimonアプリケーションを開発して公開できた。これらの技術を元に、各患者の癌組織が免疫システムからどのように選択圧を受けてきたかを解析出来る新しい指標IEIを開発した。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,ベイズモデル,免疫システム,HLA,ネオ抗原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03327,国立研究開発法人国立がん研究センター,白石 友一,転写異常に繋がるゲノム変異の網羅的探索法の開発とゲノム医療への応用,申請者が開発を続けていたSAVNetについての研究成果をまとめ、さらに国際がんゲノムコンソーシアムが主導するがん種横断的な全ゲノム解析プロジェクトに参画し、研究グループへの貢献を行なった。またSAVNetを希少疾患のデータに適用することで、いくつかの新規遺伝子変異の発見に成功した。公共データベースに登録されている大規模トランスクリプトームデータを活用するべく、トランスクリプトームデータのみからスプライシング関連変異を推定する方法論の開発を進めた。また、コンテナ仮想化技術、クラウド計算技術などの技術を統合的に組み合わせることで、大規模トランスクリプトームの情報解析基盤の開発を進めた。,基盤研究(B),小区分62010:生命、健康および医療情報学関連,ゲノム,統計科学,がん,トランスクリプトーム,スプライシング,大規模データ解析,ゲノム変異,がんゲノム,クラウド,機械学習,後天的変異,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
