awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03433,松山大学,岩田 和之,地方中心都市における気候変動抑制と地方創生の両立を目指す政策の実証分析,新型コロナによって研究計画が変わってしまったものの、新型コロナ前と後の2回の家計調査によって、人々の行動がどのように変わったかの実態を調査することができた。2回の調査を比較した結果、新型コロナによって都市部では人々の自動車保有率が高まったことがわかった。一方で、地方ではそのようなことは確認されなかった。また、在宅時間の増加によって、省エネ行動の実施が高まると予想したものの、このことは確認できなかった。さらに、肥満率については新型コロナ前と後では大きく高まったことが確認された。肥満の人ほど実質的なCO2排出量が多いことから、新型コロナによって人々の環境配慮行動が低下した可能性が示された。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,家計調査,新型コロナ,省エネ行動,地方創生,環境政策,気候変動,省エネ,自治体,地域創生,温暖化対策,気候変動抑制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03432,立命館大学,上原 拓郎,里海，生態系サービス，包括的富指標を統合した沿岸域サステナビリティ評価手法の開発,本研究は，沿岸域サステナビリティ評価手法の確立を目的とし，主に4つの点を明らかにした．第1に，これまで様々な使われ方をしてきた里海概念の整理を行った．第2に，沿岸域がもたらす多様かつ変化する生態系サービスを順応的に管理するための「順応型社会生態系管理マトリックス(adaptive SES management matrix (ASESMM))」を開発した．第3に，社会生態系の一つである里海を創生するための行動指標を作成し，関係価値との里海創生行動との関連性について明らかにした．第４に，沿岸域管理体制と管理方策について、特に多段階管理システムの観点から明らかにした。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,里海,沿岸域管理,多段階管理,関係価値,生態系サービス,ネットワーク・ガバナンス,沿岸域の多段階管理方式,沿岸域総合管理,社会生態系,ICZM,包括的富指標,サステイナビリティ,コレクティブ・インパクト,ベスト・ワースト・スケーリング,ベストワーストスケール,沿岸総合管理,播磨灘,社会生態系モデリング,システムダイナミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03431,名城大学,大野 栄治,持続可能な地域づくりに資する再生可能エネルギー事業の総合評価手法の開発,本研究では、再生可能エネルギー事業の経済面・社会面・環境面での政策評価に関する方法論及び統合評価に関する方法論を構築するとともに、持続可能な地域づくりに資する環境経済政策の在り方と目指すべき方向性を示した。特に、疲弊した経済・財政状況の下で限られた資源・資金を投入することにより持続可能な地域づくり（低炭素社会、循環型社会、自然共生社会）を目指すためには、環境経済政策のメニューを幅広く捉え、持続可能性の3側面（経済面、社会面、環境面）や地域区分などに着目した統合的な評価を行い、その結果に基づいて地域政策の実施可否や優先順位などに関する意思決定を合理的に実施することが必要であることを示した。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,再生可能エネルギー事業,環境経済政策,総合評価手法,温暖化対策,地域活性化,統合評価手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03430,芝浦工業大学,栗島 英明,持続可能な消費と生産につなげる食品ロス飼料化の情報提供プログラムの開発,食品ロスと輸入飼料に依存する畜産の課題の同時解決につながる食品ロスの飼料化の普及拡大をめざし、その情報提供プログラムの開発とその効果検証を行った。まず、食品関連事業者、飼料化業者、畜産農家を対象にインタビュー調査を、消費者にアンケート調査を実施した。また、食品ロスの飼料化のLCAを実施し、環境的優位性を確認した。これらの結果を踏まえ、フードサプライチェーンにおける食品ロスと、その飼料化に関する情報提供動画と学校（中学校・大学）用の教育プログラムを作成した。動画や教育プログラム実施の結果、フードサプライチェーンにおける食品ロスの認知度やその削減における飼料化の認知度や受容性が向上した。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,食品ロス,飼料化,情報提供プログラム,持続可能な開発のための教育,食品リサイクル,食育,リサイクル,教材開発,フードサプライチェーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03429,慶應義塾大学,大沼 あゆみ,名古屋議定書を活用した生物多様性保全のための効果的諸制度構築に向けた経済学的研究,2010年に採択された名古屋議定書は、遺伝資源利用の促進と金銭的・非金銭的利益配分を通じた提供国の生物多様性保全を目的とするものであるが、議定書に基づく効果的な制度作りについては先進国・途上国とも模索の段階にある。本研究は、日本における遺伝資源利用の実態に基づくABS制度についての研究、および消費者の遺伝資源に対する意識および生産者の流通の観点からの認証制度の研究の評価を行なった。また、さまざまな生物多様性の生態系サービスについての研究を行なった。そして、いかなる生物多様性に関わる制度が効果的な生物多様性保全につながるか明らかにした。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,名古屋議定書,ABS,生物多様性条約,生物多様性,提供国措置,利益配分,ABS指針,生物多様性保全,遺伝資源,生態系サービス,遺伝資源利用,認証制度,アクセスと利益配分,環境評価,ABS制度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03428,慶應義塾大学,蟹江 憲史,行為主体に着目した持続可能な開発に関する国際制度の変遷とその要因,本研究は、持続可能な開発にかかる制度の変遷に着目し、1992年の国連環境開発会議（UNCED）で創設された国連持続可能な開発委員会（CSD）と、CSDの後継機関として創設された「持続可能な開発のためのハイレベル政治フォーラム（HLPF）」の比較分析を行った。HLPFへの制度変容にSDGsの設定とパリ協定の合意により、サステナビリティに関する課題自体への社会的、国際的関心が高まったこと、国連の開発グループの関与も高まったこと、4年に一度の国連総会のもとでのHLPF開催が行われたことなどにより、行為主体の期待も大きく高まり、また、目標ベースのガバナンスとしての制度が強化されたことがわかった。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,SDGs,持続可能な開発,CSD,国際制度,グローバルガバナンス,国連,ハイレベル政治フォーラム（HLPF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03427,京都大学,木山 正一,小規模漁業地域におけるリーダーシップ、および社会的団結力の生成メカニズムの研究,資本が限定される、発展途上国島嶼地域にとって、魚は生命・収入源として欠かせない資源である。この漁業資源の利用・保全と生活の安定の両立は、重要な政策課題となっている。この課題解決の可能性は、漁業資源の自主的管理体制下で展開する漁業者の社会的結びつきと漁業生産との関係や魚の価格づけの解明にあると考えられる。本研究では、ソロモン諸島の漁村地域を適地として実証分析を行った。その結果、漁場環境変化に関する情報交換は、資源利用増を避けつつ漁業者間の資源利用格差を是正することと関係し、コミュニティリーダーが漁業においても社会的結びつきの要であり、魚の価格の違いは品質、性差、販売場所と関係することがわかった。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,小規模漁業,漁業資源管理,社会協力,ソロモン諸島,慣習制度,社会関係,商業化,価格決定,社会協力関係,漁業者行動,漁業経済,社会協力選好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03426,京都大学,森 晶寿,炭素排出の国際移転：中国のエネルギー・気候変動政策とアジアのエネルギー構造転換,本研究は，中国の対外石炭火力発電投資の増加をその国内のエネルギー・気候変動政策の強化によるCarbon Leakage and Relocationとして，中国の再エネ機材輸出の増加をCarbon Halosとして捉え，その観点から実証分析を行い，分析枠組みの妥当性を検証した．,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,炭素排出,国際移転,中国,アジア,エネルギー転換,エネルギー構造転換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03425,東京海洋大学,濱田 奈保子,生鮮魚介類の環境保全型生産・流通システムの開発,本研究において、オオミジンコを用いたミジンコ急性遊泳阻害試験を行うことにより、海洋環境から単離した耐塩性糸状菌を用いた水質浄化技術の浄化前後の毒性評価系を確立することができた。また、産地での脱水シート包装フィレ加工流通は、ラウンド流通と比較して約40％のCO2を削減できたことから、環境負荷低減と鮮度保持を兼ねた加工技術であることを示した。さらに、鮮度指標K値と積算温度を可視化するツールであるWST-8型BTMを鮮魚（スズキ）の流通試験に導入した結果、常温にさらされた際の品質劣化（昇温リスク）も可視化できることを明らかとした。上記の基盤技術を組み合わせた持続可能な水産物供給システムを提案した。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,環境保全,環境負荷低減,オオミジンコ,耐塩性糸状菌,脱水シート,鮮度保持,水産物供給システム,バイオサーモメーター,耐塩性微生物,バイオレメディエーション,ミジンコ急性遊泳阻害試験,毒性評価,スズキ,水産物流通,鮮度,マイクロプラスチック,重金属,Pb,染料,塩濃度,包装材,保管安定性,ゼラチン,酵素,流通管理技術,生鮮魚介類,遊泳阻害率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03424,一橋大学,大瀧 友里奈,持続可能な節水型社会実現に向けた水使用量の「見える化」手法の検討,水使用量の「見える化」については、まず自身の実際の水使用量をどのように見せるかを検討した。その結果、共有財としての水を意識させるフィードバックにより、低消費世帯の水使用量が、長期間継続的に減少することが明らかになった。他の世帯の平均使用量との比較をグラフで表現した場合には節水効果はなかった。続いて、用途毎に節水の余地がどの程度あるのかを示すTipsを提示した結果、節水可能な量をCO2排出量で表現した場合に、高消費世帯が節水行動をとることが明らかになった。,基盤研究(B),小区分64060:環境政策および環境配慮型社会関連,見える化,水使用量,節水型社会,水使用行動,ナッジ,共有財,水需要マネジメント,情報提供,Tips,機械学習,ディスアグリゲーション,ディープラーニング,用途別水使用量,使用行動別水使用量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
