awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03463,立命館アジア太平洋大学,リー ティモシー,The opportunity development for the role of Japanese food overseas as an ambassador for tourism marketing,近年、ほとんどの海外で日本食レストランが増えています。自国で日本食を味わう海外の人々は、多くの理由で日本を訪れる意欲と関心のレベルが高くなっています。その日本の食文化は、他の国や地域で別の食文化に変換され、発展しています。さまざまな国の日本食レストランも、地元のニーズと好みを満たすためにローカライズされた文化とスタイルを採用しています。,基盤研究(B),小区分80020:観光学関連,Japanese cuisine,Tourism marketing,Destination image,Intention to visit,Japanese food,Food tourism,Destination marketing,Healthy food,Country image,Japanese foods,Collaboration,Japanese culture,Stakeholder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03462,立命館アジア太平洋大学,吉田 香織,Uncovering the black-box of educational dark tourism: Comparative analysis of the mechanisms of packaging and perceiving of war narratives through war heritage sites between former enemies,本研究は、ダークツーリズムの概念の妥当性を問い直し、アジアの文脈における教育ダークツーリズムの複雑な仕組みや文化政治的要素を明らかにした。具体的には以下である：１）アジアにおける戦跡関連教育ツーリズムは「希望ツーリズム」と呼ばれることもあり、暗く致死の苦しみを強調するとは限らず、その後生まれる光をも示し、２）若者の戦争の記憶は、教育ツーリズム資料や歴史教科書とともに、様々な形での戦争の表象の相互関係により（再）構築される。本研究結果はアジアにおけるダークツーリズムの実情を解明し、また若者世代の戦争の記憶構築を理解するために、大衆メディア等‘ポップ’な形式の媒体を考え合わせる必要性を指摘した。,基盤研究(B),小区分80020:観光学関連,war memory,educational tourism,memory studies,dark tourism,heritage tourism,war heritage,war and tourism,education and tourism,mediated memory,educational dark tourism,Dark tourism education,War memory and education,War educational tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03461,長崎大学,安武 敦子,持続的なまちづくりの視点からみた負の現地遺構の保存活用に関する研究,本研究では負の現地遺構として，直接的な遺構よりも，生活遺構の保存や活用の可能性，復興や再生などプロセスの記録や公開方法に重点を置き研究を行った。,基盤研究(B),小区分80020:観光学関連,災害,遺構,まちづくり,炭鉱,住宅,ダークツーリズム,復興,閉山,都市形成,震災,負の遺産,災害遺構,原爆遺構,戦災,震災遺構,近代化遺産,キリシタン,噴火,地震,鉱山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03460,和歌山大学,加藤 久美,サステナブルツーリズムによるSDGsの推進：レジリエンスを基盤として,サステナビリティは、SDGs16、17「平和とパートナーシップ」を重視、利益を繁栄と再解釈し平等の理念を深めてきた。観光のSDGs貢献は、域内の連携促進、レジリエンス強化がカギとなり、経済、社会、環境での地域への利益を目指す再生観光の概念と一致する。政策上は場所に根ざした伝統知を基盤とする連携による、バリューチェーンの構築、ジェンダーをはじめとする多様な平等の尊重、生態系システムを基盤とする共生の理念の重視、それに基づき地域のあり方を関係各者が共有することが基本である。本研究の地域基準の視点から得られたこの知見は政策への示唆が大きい。再生観光の定義、測定方法等について今後検討が必要である。,基盤研究(B),小区分80020:観光学関連,SDGs,サステナビリティ,レジリエンス,デスディネーション,ガバナンス,デスティネーション,持続可能な開発,コンフリクト,災害復興,女性,クリエイティブ,アジア,Sustainable tourism,Resilience,Asia,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03459,北陸先端科学技術大学院大学,敷田 麻実,観光地域における資源戦略のための地域資源の高度利用プロセスの研究,地域資源を活用する際に地域資源の「資源性」と「文化性」に関して引き続き研究を進めた。観光地域における資源の開発、資源化プロセスに着目し、地域に存在する自然環境から「生態系サービス」を生み出すプロセスを「地域資源戦略」と定義し、資源の高度利用メカニズムを明らかにした。特に、知床地域、白山国立公園、長野県の高原草地など、新たな資源開発が盛んな地域の資源を対象として事例調査を行った。その結果、地域資源の変換には、特定の要因がかかわっていること、地域資源への人々の関与が影響すること、自然資源も文化的な資源としての価値を持つことを明らかにしてきた。また、和文および英文で論文・書籍を刊行した。,基盤研究(B),小区分80020:観光学関連,生物多様性,文化多様性,資源戦略,観光資源,生物文化多様性,地域再生,文化サービス,文化的サービス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03458,宇都宮大学,長谷川 光司,伝統工芸品の魅力を発信する多感覚融合ICTシステムの開発,本研究では，伝統工芸品が持つ独特の風合いや質感などの感性情報を伝達することを目的とした，感性インターネットコミュニケーションスペース (KICS) の基盤技術を構築した．KICSの視触覚部として結城紬を，視聴覚部として和太鼓を，そして，コミュニケーション部としてイラストデザイン支援を対象としたシステムについて検討した．そして，結城紬の質感の提示機能を備えたバーチャル試着システム，お囃子コンテンツを，個別・手元映像，個別音源を切り替えて視聴できる，多視点視聴システム，および，素材となる写真を，手書き線画インターフェースを用いて，カラーイラストに仕上げる，イラストデザイン支援システムを開発した．,基盤研究(B),小区分80020:観光学関連,伝統工芸,結城紬,和太鼓,多感覚融合,感性情報,ICTシステム,デザイン支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03457,山形大学,山田 浩久,「観光の組織化」と地域構造変容のダイナミズムに基づく次世代観光戦略の構築,本研究の目的は、観光の組織化と地域構造変容との関係を解明することによって、地域の持続的成長を可能にする次世代の観光戦略の方向性を提示することである。調査分析の結果、体験型観光の導入やMICEの取り込みといった観光概念の多様化、関係人口の創出や地方移住の促進に関わる人口政策との絡み、運輸や情報に関する新たなサービスの展開などから、社会も積極的に観光に参与していかなければ、観光の進展による地域の成長は望めないことが確認された。加えて、COVID-19のパンデミック後は、旅行に対する社会の肯定的承認を回復するために、健康医療や教育といった方面に対する新価値創造が重要であることが明らかになった。,基盤研究(B),小区分80020:観光学関連,観光の組織化,地域構造変容,COVID-19,地域間交通,地域内交通,DMO,教育旅行,観光戦略,地方創生,地域構造,地域交通,地域経済,観光客誘致,インバウンド,観光,人口動態,地域産業,土地評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03456,北海道大学,伊藤 直哉,拡張精緻化見込モデルによる東アジア・インバウンド観光者の情報消費行動研究,本研究は、Elaboration Likelihood Model（精緻化見込モデル）により、東アジア各国の観光消費者の消費行動分析比較を行うことを目的に出発した。しかしながら本研究開始の２年目後半より、COVID-19による世界的なパンデミックの状態となり、その影響により、観光市場は完全な閉鎖状況に陥り、数年に渡り壊滅的打撃を受けることとなった。そこで、本研究は、パンデミックからの観光市場回復シナリオに研究テーマを変更し、対応を行った。,基盤研究(B),小区分80020:観光学関連,観光産業,消費者行動,メディア効果,COVID-19,ELM理論,リスク分析,精緻化見込モデル,ELM,東アジア,インバウンド,リスク,観光,精緻化見込みモデル,観光情報行動,消費行動,インターネット,パンデミック,口コミ,観光消費行動,新型コロナウイルス,ネット,観光者,観光情報,ソーシャル・メディア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04385,国立研究開発法人情報通信研究機構,室野 栄,観光誘致のためのVR映像の効率的な利活用に関する実証研究,本研究は、観光誘致のためのVR映像の効果的な制作基準や活用方法の調査を行う。そのため、複数の地域において、観光資源を題材とした様々なジャンルのVR映像を制作し、アンケートによる主観的な感想と人体計測（脳波、脈拍数、表面電位など）による客観的な情報を多変量解析して定量的な評価を試みる。,基盤研究(B),小区分80020:観光学関連,観光,仮想現実,VR,ICT,共感,脳科学,インバウンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04384,立教大学,杜 国慶,スマート・ツーリズムにみる観光の変容,ICTが発達する今日において、ヨーロッパは1999年にもCRUMPETというプロジェクトを立ち上げ、立地情報と情報の個人化を統合した情報提供サービスを試みた。観光大国のイタリアと米国では、VR技術が活用され、歴史文化遺産の歴史再現や国立公園の保護に重要な役割を果たし、観光に新たな資源と可能性を創出している。本研究はスマート・ツーリズムという枠組みで、情報通信技術の革新的な発達による観光の変容を考察する。情報伝達のリアルタイム性による観光者と観光地域の関係、観光情報個人化による観光行動の変化、観光者同士の情報コミュニティ形成と観光者役割変化を、解明する研究である。,基盤研究(B),小区分80020:観光学関連,スマート・ツーリズム,情報通信技術,観光者,観光行動,ビッグデータ,観光情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
