awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03479,公益財団法人高輝度光科学研究センター,田尻 寛男,Ｘ線散乱法による物質表面および埋もれた界面の階層構造の可視化,本研究は、高輝度放射光による回折・散乱手法をつかって、結晶表面および埋もれた界面のメゾスコピックレベル構造から原子レベル構造までの表面階層構造を可視化する手法開発を目的とした。ここ数十年にわたる表面X線回折・散乱の歴史を俯瞰し、計測手法・装置の発展および表面・界面原子の可視化手法を総括した結果を踏まえ、SPring-8にて入射光量を最大2.5倍増大させる非対称結晶光学系を実現、試料の高効率冷却により熱散漫散乱を低減した高信号対雑音比の表面回折・散乱実験を可能とした。コヒーレント散乱実験により数百ナノメートルサイズの微細構造試料の像再生にも成功し、表面階層構造を可視化できる手法開発に成功した。,基盤研究(B),小区分80040:量子ビーム科学関連,放射光,表面・界面,X線散乱,階層構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03478,公益財団法人高輝度光科学研究センター,犬伏 雄一,高強度レーザー生成プラズマを利用したX線増幅過程の研究,本研究の目的は、高強度光学レーザー生成内殻電離プラズマを用いたX線増幅の物理機構の解明である。まず、信号スペクトルと参照スペクトルを比較することでX線スペクトルの変化をシングルショットで診断することができる、空間分解シングルショットスペクトロメーターを開発した。更に、このスペクトロメーターを用いて、ハイパワーフェムト秒レーザー生成プラズマを透過したXFELのスペクトル計測を行った。X線増幅は観測されなかったが、フェムト秒～ピコ秒領域におけるプラズマ中のイオンの束縛電子の挙動を調べることができた。この成果は、プラズマ中のゲイン形成の解明のために重要な知見である。,基盤研究(B),小区分80040:量子ビーム科学関連,XFEL,レーザープラズマ,X線分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03477,国立研究開発法人産業技術総合研究所,平 義隆,非線形逆コンプトン散乱による軌道角運動量を運ぶ光子の生成,本研究期間内には、三角開口の回折によるＸ線のらせん波面検出に世界で初めて成功し、また、楕円偏光アンジュレータにおいても位相構造をもつ光の発生が可能である事を理論及び実験の両方で実証した。関西光科学研究所において、高強度円偏光レーザーを用いた非線形逆コンプトン散乱によるらせん波面を形成するガンマ線渦の発生実験を行ったが、ガンマ線渦の特徴である円環強度分布を測定することはできなかった。,基盤研究(B),小区分80040:量子ビーム科学関連,光渦,ガンマ線渦,軌道角運動量,トムソン散乱,コンプトン散乱,ガンマ線,Ｘ線,非線形コンプトン散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03476,国立研究開発法人量子科学技術研究開発機構,和田 健,低速陽電子回折によるトポロジカル近藤絶縁体表面の原子配列の可視化,低速電子回折の陽電子版の低速陽電子回折は，重元素を含む表面でも問題の無い理想的な結晶表面構造解析手法として提案されてきたが，反粒子を用いる手法のため十分なビーム強度を得ることが困難である。我々は，加速器による高強度低速陽電子ビームを用いた低速陽電子回折装置を開発し，回折パターンの観測に成功した。当初用いていた2層の遅延線アノードによる検出器には，十字状の広い不感領域があったが，3層の遅延線アノードからなる検出器を用いた装置を新たに開発し，この十字型の不感領域の無い回折パターンの観測を可能にした。また， LEPD用の表面構造解析コードを整備し，LEPDによる表面構造解析が可能となった。,基盤研究(B),小区分80040:量子ビーム科学関連,低速陽電子ビーム,低速陽電子回折,低速電子回折,表面,陽電子,構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03475,国立研究開発法人理化学研究所,原田 研,単一電子干渉に基づく電子線伝搬径路の遡及計測,質量を持ち、粒子としての描像が優先する電子を用いた新たな干渉計測実験に成功した。具体的には、V字型二重スリットを開発し、電子波干渉顕微鏡の光学系を駆使し、実効的にスリットからの伝播距離ゼロでの干渉を単電子像レベルで実現した。これにより、干渉現象の発現とその前後の空間を同時、かつ一視野にて観察することに成功した。これはド・ブロイのパラドックス実験をミクロスコピックに実現したことに該当する。そして、この電子光学系では、電子の検出点からその伝搬径路の遡及が可能であり、電子が通過したスリットと検出点に至る経路情報を、観察者が確定できない場合にのみ、電子が干渉を発現することを明らかにした。,基盤研究(B),小区分80040:量子ビーム科学関連,不確定性原理,二重スリット,電子波干渉,電子相関計測,遡及計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03474,国立研究開発法人理化学研究所,玉作 賢治,ダメージフリーなX線非線形分光法の研究,実験面では、直接2光子吸収に比べて4桁程度高効率な共鳴2光子吸収の観測に成功し、それを利用した非線形分光を実現した。これにより、原理的にダメージを受けない非線形分光が可能であることが示された。また、共鳴2光子吸収を蛍光X線分光に応用して、特定の発光過程を選択的に調べられることを示した。理論面では、簡約化密度行列方程式の数値解析を通じて、高強度X線パルスを照射した銅のK殻吸収スペクトルが、X線強度とともに高エネルギー側にずれることを示した。これは３次の非線形効果であり、その要因が、電子-ホール間の強い引力による内殻軌道エネルギーの実効的な低下に起因することを見出した。,基盤研究(B),小区分80040:量子ビーム科学関連,X線自由電子レーザー,X線非線形光学,ダメージ,密度行列理論,高強度X線,X線吸収分光,X線非線形分光,ダメージフリー,ボルツマン方程式,衝突電離,非線形分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03473,大学共同利用機関法人高エネルギー加速器研究機構,本田 洋介,回折放射による大強度テラヘルツベクトルビーム,テラヘルツ光と呼ばれる周波数1THz付近には、特徴のある光源が少ない。最新の電子線形加速器は大強度のテラヘルツ光を発生できる可能性があり、また放射の メカニズム次第で特徴のあるテラヘルツ光を得ることもできる。コンパクトERL試験加速器において回折放射によるコヒーレントテラヘルツ光を発生し、それを加速器遮蔽の外の実験室まで輸送するビームラインを構築した。ビーム運転調整によって、バンチを圧縮し、強いコヒーレント放射を発生する条件を確立し、回折放射標的の穴あきミラーを通過する条件を確立した。輸送先でのテラヘルツ光のプロファイルを測定し、損失なく、空間分布の特徴を保って輸送できる状態を確立した。,基盤研究(B),小区分80040:量子ビーム科学関連,テラヘルツ,電子加速器,レーザー,ベクトルビーム,超伝導加速器,電子ビーム,回折放射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03472,広島大学,岡本 宏己,高品位ハドロンビームの集団共鳴不安定化とその発生条件の解明,位相空間上で非常に高い粒子密度をもつ次世代高品位ハドロンビームの不安定性、とりわけ集団共鳴不安定化現象に着目し、その発生条件を多角的に調べた。大型装置に依拠した従来の手法とは本質的に異なる独自の実験的アプローチを用いて、先行研究で導かれた2次元共鳴条件仮説の妥当性を検証すると共に、いわゆるベータトロン運動の安定領域を知る上で有効なダイアグラム（安定動作領域図）の構築法を提唱した。新ダイアグラムは複数の既存加速器に適用され、実際の観測データをよく説明することが確認された。,基盤研究(B),小区分80040:量子ビーム科学関連,粒子加速器,大強度ハドロンビーム,共鳴不安定性,空間電荷効果,線形ポールトラップ,非中性プラズマ,大強度ビーム,イオントラップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03471,大阪大学,阿保 智,生体試料の元素分布非破壊可視化技術の開発,生体試料の元素分布をナノメートル分解能で非破壊三次元可視化する技術を開発した。計測には、弾性反跳粒子検出法(ERD)とラザフォード後方散乱法(RBS)の同時計測を用いた。ERDは軽元素に対して、RBSは重元素に対して感度が高いため、生体主成分の軽元素と微量重元素の高感度検出を両立可能である。高い深さ分解能を実現するため、散乱イオンのエネルギー計測には飛行時間を用いた。複数の検出器を同時に用いることで1時間程度の短時間計測で元素分布を非破壊で計測可能であることを示した。,基盤研究(B),小区分80040:量子ビーム科学関連,元素分析,非破壊計測,イオンビーム分析,生体試料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03470,名古屋大学,森島 邦博,原子核乾板による宇宙線ミューオントモグラフィ技術の開発,物質に対する高い透過力を持つ宇宙線ミューオンを用いることでピラミッドなどの巨大な人工構造物や火山などの自然物の内部をX線レントゲン撮影のように可視化できる。本研究では、エジプトのクフ王のピラミッドの内部に発見した空間の多地点同時観測および解析などを通して、従来の二次元的な可視化ではなく三次元的に解析することで空間の立体的な位置や形状を推定する手法「宇宙線ミューオントモグラフィ」の基盤技術を開発した。本開発の結果、クフ王のピラミッドの北面にあるシェブロンと呼ばれる切妻構造背後に発見した通路状の空間の位置と形状を10㎝以下の精度で推定することに成功した。,基盤研究(B),小区分80040:量子ビーム科学関連,宇宙線,ミューオン,ピラミッド,原子核乾板,トモグラフィ,イメージング,地下遺跡,神殿ピラミッド,三次元,切妻構造,ミューオンラジオグラフィ,可視化,ガラス両面塗布原子核乾板,エマルション,ラジオグラフィ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
