awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03556,国立研究開発法人国立成育医療研究センター,宮本 義孝,凍結細胞の運命：バイオインフォマティクスに基づく医療用細胞の品質評価技術の構築,本研究の目的は、「凍結細胞の運命、細胞内ポテンシャルを明らかにする」「医療用細胞の品質評価技術を構築する」ことである。具体的には、細胞・組織の凍結保存状態から解凍後の「細胞特性」「安全性」「メタボロミクスやエピジェネティックスによる網羅的解析」「細胞・組織画像から品質判定・予測」等を行い、再生・移植医療、生殖補助医療分野で利用するための有効な品質評価技術が構築できた。また、メタボロミクスによる階層的クラスター解析から、凍結細胞の品質・保証のための新たな候補分子（評価指標）が提案できる。従来の細胞特性に加えて、様々な評価法を組み合わせることで、細胞・組織の状態をより正確に知ることができる。,基盤研究(B),小区分90140:医療技術評価学関連,凍結細胞,バイオインフォマティクス,品質評価,医療技術,再生・細胞医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03555,早稲田大学,梅津 光生,非臨床性能評価を深化する超小型血液循環シミュレータの開発,研究代表者（梅津）の血液循環シミュレータ開発45年の総仕上げとして、従来の1/6 のスケールの“超小型血液循環シミュレータ”を開発した。その回路にヒト新鮮血を注入し、このミニ循環内に脳動脈瘤の破裂を未然に防ぐことを狙った新規医療機器のフローダイバータ留置を行った。シミュレータ内の圧力・流量の関係は、ヒトの血行動態と酷似し、超音波診断装置で撮像した結果から、血栓形成過程も明らかとなった。以上より、今回開発した超小型血液循環シミュレータは、実臨床における効果的な治療指針を決める上での有益な手段となりうることが確認できた。,基盤研究(B),小区分90140:医療技術評価学関連,血液循環シミュレータ,小容量拍動ポンプ,脳動脈瘤モデル,循環シミュレータ,医療機器,塞栓コイル,非臨床試験法,血液適合性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04498,同志社大学,秋山 いわき,中出力超音波照射による生物の発生と成長への影響とその安全性評価,本研究は超音波診断で安全性の側面から規制されている範囲内の超音波出力によって，生体が受ける作用について動物実験を行ない，その安全性を評価する．メダカ胚を用いた超音波照射実験を行い，超音波照射有無により発現量に差のある変動タンパク質を同定する．また，「酸化ストレス」に着目し，同時に，安全な範囲での超音波照射によるサルコペニアの予防の可能性について評価している．制御された適度な酸化ストレスが，逆に筋萎縮を予防させる可能性がある．ヒトへの応用を視野に入れた場合の安全性を担保した上での，運動ができない状態の患者におけるADL改善に寄与することを証明する,基盤研究(B),小区分90140:医療技術評価学関連,超音波照射メダカ胚,超音波照射ラット,プロテオーム解析,SWATH,MULTIS法,筋管細胞,ウェスタンブロッティング,２次元電気泳動,超音波照射生体作用,メダカ胚,ESRスピントラップ法,フリーラジカル消去活性,サルコペニア予防,ラット筋萎縮,超音波照射,酸化ストレス,メダカ,ラット,SWATH解析,抗酸化作用,骨格筋細胞,サルコペニア,音圧測定,網羅的解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04497,東京理科大学,橋本 卓弥,高度な医療コミュニケーション教育に向けたアンドロイド型医療面接システム,医学教育ではコミュニケーション能力の育成が必須であり，達成度評価のために客観的臨床能力試験（OSCE）が行われている．教育方略として，模擬患者（SP）を用いた医療面接演習が行われているが，SPの育成やOSCEでの評価の客観性や妥当性が問題となっている．,基盤研究(B),小区分90140:医療技術評価学関連,患者ロボット,医療面接,医学教育,アンドロイド・ロボット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H04496,大阪大学,山田 知美,リアルワールドデータ品質評価指標の構築と臨床研究への応用,改正GPSP省令およびICH E6(GCP)の大改定により、臨床試験や市販後調査へのリアルワールドデータ（RWD）利用が急速に拡大することが予想される。RWDを研究に用いる場合には、研究者自らが“データが研究に耐えうる品質を伴っているか否か”を判断しなければならないが、コンセンサスが得られた指標・基準がない状況下で判断するのは困難である。,基盤研究(B),小区分90140:医療技術評価学関連,リアルワールドデータ,品質評価,臨床研究データ,診療録データ,データ品質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H04557,東北大学,太田 信,3Dプリンタ用PVA材料の構造および熱物性と適応部位の解明,血管モデルの用途が医療機器評価およびトレーニングツールに大きく広がっている．しかしながら、本当に欲しい病変部モデルの硬さが手に入らず有効なトレーニングができない問題が存在した．申請者らは，PVAゲルの3Dプリンタを世界で初めて開発した。このことで、工程が一気に短くなり，さらに病変部の硬さを再現できる可能性が出てきた．,基盤研究(B),小区分90140:医療技術評価学関連,血管モデル,摩擦,カテーテル,ポリビニルアルコール,ハイドロゲル,3Dプリンタ,表面摩擦,バイオモデル,PVA-H,官能試験,感性工学,PVA,３Dプリンタ,生体モデル,PIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03849,早稲田大学,坪子 侑佑,石灰化病変拡張時に冠動脈血管に生じる三次元ひずみ分布の実験的計測法開発の試み,冠動脈狭窄における高度石灰化病変はステントの不完全拡張を引き起こし再狭窄等の要因となるが、従来の血管拡張バルーンでは拡張能力に限界がある。ステント留置前に石灰化に亀裂を生じさせ破壊してステントによる病変拡張を支援する、バルーン周囲に数枚のブレードを備えたカッティングバルーン等の開発が進められているが、ヒトの石灰化の分布や厚みは一様ではなく市販前の有効性・安全性の臨床評価が困難な現状にある。,基盤研究(B),小区分90140:医療技術評価学関連,断層粒子画像流速計測法,ひずみ分布計測,血管内治療,冠動脈石灰化病変,生体組織モデリング,医療機器,断層画像流速計測法,三次元ひずみ計測,血管内カテーテル治療,カッティングバルーン,圧縮試験,三次元ひずみ分布計測,バルーンカテーテル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03848,九州大学,濱田 浩幸,慢性血液透析治療における心筋拍動能最適制御の技術基盤の構築,本研究では、人工透析治療中に観られる心機能障害を抑制する基盤技術の構築を目指す。具体的には、コンピュータシミュレーションとiPS細胞由来の心筋組織を用いて、１）現行の治療中の心筋組織拍動能の検証、２）体液の電解質濃度の変化と心筋組織拍動能の関係の精査、３）心機能障害の要因の特定、４）透析液電解質濃度の適正化、５）治療中を想定した心筋組織拍動能の最適制御を実践する。本研究課題は世界唯一の透析治療催不整脈等解析基盤を用いた独創的研究であり、種々の血液浄化療法に極めて高い波及効果を有する。,基盤研究(B),小区分90140:医療技術評価学関連,慢性血液透析療法,心筋細胞拍動能,電気生理学,計算機シミュレーション,医療技術評価,拍動リズム,収縮力,心筋拍動能,最適制御,細胞シート工学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H03847,大阪大学,青枝 大貴,マイクロチップによるT細胞応答検出システムの構築,T細胞は感染症、がん、自己免疫疾患、アレルギーに重要な役割を果たしているが、多くの疾患や病態においてT細胞が認識する抗原ペプチドは不明である。そこで本研究では、免疫が関与する様々な疾患や病態に重要な役割を果たす抗原特異的T細胞を１細胞レベルで同定し高感度かつ実用的に検出する方法を確立する。,基盤研究(B),小区分90140:医療技術評価学関連,T細胞,マイクロ流体チップ,抗原提示,マイクロ流体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K25242,国立研究開発法人物質・材料研究機構,山本 玲子,生体吸収性金属材料の有効性・安全性リスク評価のための分解特性評価手法の開発,生体内で分解・消失する金属材料としてMgやZn、Feの合金の医療応用が期待されている。これらの材料による治療の成否には、患者体内における分解速度が大きな影響を及ぼす。よって、臨床使用時のリスク低減には分解特性の適切な評価が重要であるが、動物を用いた評価法には限界がある。そこで、体内における分解速度に大きな影響を及ぼす因子として組織中血流量（拡散速度）と異物反応を想定し、これらを考慮したin vitro評価法を開発する。具体的には、1)疑似組織中の生体高分子濃度制御による血流量の模擬、2)免疫細胞の活性化状態制御による炎症反応の再現、により、腐食挙動に及ぼす影響を明らかにする。,基盤研究(B),小区分90140:医療技術評価学関連,生体内分解性材料,生物学的安全性,リスク評価,レギュラトリーサイエンス,生体吸収性金属材料,炎症反応,電気化学測定,疑似組織,物質拡散,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
