awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K00249,九州産業大学,黒木 宏一,伝統産業の需要分析：九州北部の伝統工芸品に関する計量経済学的アプローチ,本研究は、第一に、統計データによる日本産陶磁器と他国産との代替関係の検討や国内需要構造の分析、第二にアンケートデータによる潜在需要の存在や伝統工芸品を好む消費者の特徴の解明等を進めた。結果として、九州北部の伝統工芸品（陶磁器）を対象として、2008年度に08J54283の一環として実施したアンケート調査の結果との異時点間比較を通して、消費者の基本的な属性や価格、数量、品質の良し悪しなど、伝統工芸品の購買意思決定の関連性等を明らかにした。,基盤研究(C),小区分01070:芸術実践論関連,伝統工芸品,伝統産業,伝統工芸品産業,需要分析,消費者意識,統計データ,アンケート調査,北部九州,伝統的工芸品,陶磁器需要,時系列データ分析,LA/AIDSモデル,価格弾力性,所得弾力性,ストック効果,消費者意識調査,陶磁器産業,陶磁器,織物,家具,品質と価格,香港市場,需要理論,支出弾力性,金額弾力性,数量弾力性,地域特殊要因,産業構造要因,九州北部,統計解析,計量経済分析,,,,,,,,,,,,,,,,,,,,,,,,,
18K00248,福山大学,安田 暁,解像度から深さへ：銀塩写真メディアの構造を応用したデジタル画像表現の質的転換,本研究では、トラディショナルな銀塩カラーネガティブフィルムにおいて、フィルムに塗布された感光層の厚みに注目し、ここに存在する「厚さ・深さのある」画像を取得することを目指した。このことでいわゆる「銀塩写真の質感」をデータ面から検討しつつ、画像情報に取り込むことを狙った。ここでは、35ミリハーフサイズのフィルムから、1000ミリx1500ミリ程度の画像を問題なく出力する方法を開発できた。,基盤研究(C),小区分01070:芸術実践論関連,写真メディア,銀塩ネガカラーフィルムとデジタル写真の再接続,写真の厚みを取り出す,写真の自然な空間,銀塩ネガカラーフィルム,フィルムの撮影システム,写真の構造,2.01次元,表現のためのメディア,銀塩カラーフィルムのデジタル化,デジタル写真,銀塩写真,美術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00247,神戸芸術工科大学,戸矢崎 満男,与島五島における伝統文化の持続的継承と発展に関する基盤研究,瀬戸内の与島五島（沙弥島・瀬居島・与島・岩黒島・櫃石島）の地理的、歴史的、文化的な調査と伝統文化の持続的継承を目的とした「地域連携型アート・プロジェクト」のための基礎研究を行った。瀬戸大橋で繋がる香川県の与島五島は、過疎化などの問題が進む中で、伝統行事などを絶やさず継承している。特徴ある「盆踊り」の現状や、空海の影響濃い「お大師市」を調査し、マップ制作などを行った。瀬居島では、３年ごとに開催される「瀬戸内国際芸術祭」に合わせて、地域連携型アート・プロジェクトを坂出市及び地域住民と共同で計画した。研究を基にした瀬居島アートプロジェクトは、2019・2022年に実施した。,基盤研究(C),小区分01070:芸術実践論関連,伝統文化,アートプロジェクト,持続的継承,瀬戸内,地域連携型,芸術祭,瀬戸内海,与島五島,瀬戸内国際芸術祭,瀬戸大橋と与島五島,伝統文化の継承,アート・プロジェクト,アート・ワークショップ,お大師,祭礼,ワークショップ,島の祭礼,アートイベント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00246,立命館大学,長内 優美子,1976年から改革開放政策時期までの中国における職業演奏家の研究,2018年度は北京で対面聞き取りを実施した。2019年度は立命館大学経済学セミナーで研究発表を行い、論文を公開した。2020年度から2022年度までは新型コロナ対策の出入国制限のため代替的にオンラインインタビューを行い、また下記の研究に取り組んだ。1、中国オーケストラの経営実態について研究会で検討した。2、中国への中古楽器輸出について日本の企業にヒアリングを行った。3、コロナ期間のオーケストラの活動について中国の動画サイトの反応コメントを調査した。4、楽器店のSNSレッスンについて調査した。5、作曲家王シンの資料を収集し伝記作成を準備した。6、在日中国人演奏家に対面インタビューを実施した。,基盤研究(C),小区分01070:芸術実践論関連,中国,改革開放政策,オーケストラ,ピアニスト,職業音楽家,中国音楽,音楽教育,中国の楽器市場,改革開放,中央楽団,国家交響楽団,中国国家交響楽団,マネジメント,音楽,1980年代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00245,京都産業大学,山中 千恵,「学習マンガ」の表現構造と制作現場における意味生成プロセスの実証的研究,本研究の目的は「学習マンガ」のメディア的特性を「マンガ表現論」の観点から実証的に示すことにあった。本研究では、現在発売されている諸シリーズを対象とし、舞台設定・シーン構成（コマ展開）・キャラクター造形という観点から分析を加えた。また、制作現場における表現の成立過程を参与観察により明らかにすることを通じて、学習マンガジャンルそれ自体を成立させる社会的価値とは何かにも迫った。その結果、教科教育内容の変化と、子ども文化における多メディア化、制作過程における葛藤とその調整の過程が表現を変化させてきたことを、いくつかの事例研究を通じて明らかにすることができた。,基盤研究(C),小区分01070:芸術実践論関連,学習マンガ,ポピュラー文化,教育,マンガ表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00244,愛知淑徳大学,村上 泰介,ニューロダイバーシティによる感覚再統合のためのメディアアート脱構築,ニューロダイバーシティ（脳・神経の多様性）の概念を手がかりに、児童福祉施設や特別支援学校で調査を進め、研究協力者と共同で大型児童館で展覧会を研究期間中に３回開催した。展覧会は、2018年度、2019年度と順調に開催が進められたが、新型コロナ感染症の影響により、2020年度は開催ができなかった。体制を変更し2021年度には展覧会を開催することができた。展覧会では親子向けのワークショップや、「子ども研究員」と呼称する作品の体験会が開催され、来場者に広く作品を通してニューロダイバーシティの考え方を伝えることができた。,基盤研究(C),小区分01070:芸術実践論関連,ニューロダイバーシティ,自閉症スペクトラム,ウェアラブル,メディアアート,模倣と創造,発達障がい,感覚統合,特別支援学校,特別支援,遊び,メディアアート脱構築,感覚再統合,スペクトラム再考,感覚人類学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00243,椙山女学園大学,広瀬 正浩,21世紀のメディア環境における「ラジオドラマ」の意義に関する総合的研究,本研究プロジェクト「21世紀のメディア環境における「ラジオドラマ」の意義に関する総合的研究」は、視覚的なメディア表現が氾濫する21世紀の日本において、音声情報のみで物語を構成する「ラジオドラマ」の意義を検証するものである。,基盤研究(C),小区分01070:芸術実践論関連,ラジオドラマ,サウンドスタディーズ,メディア表現,読書,音読・朗読・黙読,聴覚文化論,国語教育,シナリオ創作,黙読,音読・朗読,ラジオ放送,大衆文化,聴覚文化,文学,音声表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00242,東京純心大学,鏑木 陽子,ザムエル・シャイトの声楽作品研究―「ドイツオルガン音楽の父」再評価への試み,本研究ではドイツバロック初期の鍵盤作品の大家と評される作曲家ザムエル・シャイト（1587-1654）の初期声楽作品を研究対象とし、作曲家としての再評価を行なうため、以下の各項目を実施した。(1)『カンツィオネス・サクレ』（1620年）のうち14曲について、①校訂譜作成、②歌詞対訳作成、③楽曲分析、④演奏実践、(2)『コンチェルトゥス・サクリ』（1622年）のうち２曲について、①歌詞対訳作成、②楽曲分析、③演奏実践、(3)シャイトより一世代前の作曲家ガルス・ドレスラー（1533-1580）とシャイトの様式比較研究。（1）の②③④、(2)の①～③、（3）は動画を公開している。,基盤研究(C),小区分01070:芸術実践論関連,ザムエル・シャイト,ドイツ・ルター派,複合唱作品,インタヴォリールング,教会音楽,ドレスラー,初期バロック,複合唱音楽,筆写譜,校訂譜,実演,声楽作品,演奏実践,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00241,日本大学,谷村 順一,文学フリマ参加雑誌アーカイブ化による現代文芸同人誌研究基盤の構築と公開を目指して,日本大学芸術学部文芸学科に寄贈された「文学フリマ金沢」５回分の見本誌434冊を資料とし、主に以下の2点について調査、検証を行った。①文芸同人誌の検索システムに対する利活用ニーズ調査②文芸同人誌アーカイブシステムの構築,基盤研究(C),小区分01070:芸術実践論関連,同人誌,同人雑誌,文芸同人雑誌,文学フリマ,文フリ,データベース,書誌検索,アーカイブ,デジタルアーカイブ,検索システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00240,京都市立芸術大学,田鍬 智志,箏譜『仁智要録』と琵琶譜『三五要録』にもとづく平安末期音楽様式の考察とその再現,本研究では、平安末期、藤原師長が編纂した雅楽の箏譜『仁智要録』および琵琶譜『三五要録』に載る、調子曲、催馬楽曲、唐楽曲・高麗曲・伎楽曲・風俗歌、その他の秘曲等、すべての曲譜を解読し、そして演奏・録音を行った。全曲演奏・録音により、当時の雅楽（催馬楽・風俗歌・伎楽など周辺ジャンルをも含む）の全貌が、具体化された。また、演奏・録音に際して、写本の校異を行い、またリズム構造・テンポの考察を行った。とくに当時の「只拍子」「楽拍子」のリズム構造の実態については、本研究独自の知見が得られ、演奏・録音に反映した。,基盤研究(C),小区分01070:芸術実践論関連,雅楽,平安末期,藤原師長,仁智要録,三五要録,箏,琵琶,解読,音源化,楽拍子,只拍子,校合,録音,写本,リズム,テンポ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00239,佐賀大学,渡 孝則,有田磁器への新加飾法の提案　－発光性結晶釉の開発－,陶磁器の表面を覆うガラス内部に蛍光性のウィレマイト結晶またはディオプサイド結晶を生成させる新規装飾法を開発した。素地上に点在させた酸化亜鉛粒子を中心に針状または円状の結晶が成長することを見出し、これを磁器装飾に応用できることと考えられる。結晶の大きさは保持時間に比例し、結晶サイズも制御できた。酸化雰囲気下では、ウィレマイト結晶の場合、マンガン添加により緑色発光し、最適添加量は2-4mol%であった。ディオプサイド結晶では酸化ユウロピウム添加により赤色発光を示した。還元雰囲気では、ディオプサイド結晶は酸化ユウロピウム添加により青色発光を示し、結晶装飾に利用できることが分かった。,基盤研究(C),小区分01070:芸術実践論関連,結晶釉,ウィレマイト,ディオプサイド,蛍光,装飾,釉薬,ディオプサイト,シード,発光,蓄光,結晶成長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00238,高知大学,野角 孝一,絵金作「芝居絵屏風」の想定復元制作－地域文化の継承と活性－,絵金（絵師金蔵、弘瀬洞意1812-1876）は、幕末の狩野派で学んだ土佐の絵師である。絵金は歌舞伎や人形浄瑠璃、狂言などを題材とした極彩色の芝居絵屏風を手掛け、屋外の祭礼に飾るという独自の様式を確立した。本研究では地域の貴重な文化財を次世代へ継承するため、高知県香南市の峯八王子宮に所蔵されている芝居絵屏風の想定復元制作を行った。,基盤研究(C),小区分01070:芸術実践論関連,想定復元制作,絵金,伽羅先代萩 御殿,色材,芝居絵屏風,伽羅先代萩御殿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00237,広島大学,徳永 崇,柴田南雄のシアター・ピース作品の演奏解釈―身体的・空間的な演出を中心に―,わが国を代表する作曲家の一人である柴田南雄の重要な活動の中に、シアター・ピースと呼ばれる作品群がある。これらは、歌い手の自発的な所作を伴う優れた合唱作品であるが、演出の解釈が多様であり、近年は演奏の機会も減少傾向にある。そこで本研究では、いくつかの合唱団の協力の下、作品の実演を通して演出の実態を調査し、再演に活用できる記録を残すことを目的としている。その結果、単に演奏上の身振りや配置の工夫を行うだけではなく、衣装、照明、小道具、特別な楽器など、様々な準備の必要性が確認された。上記を小冊子にまとめ出版した。,基盤研究(C),小区分01070:芸術実践論関連,柴田南雄,シアター・ピース,合唱,演出,日本の作曲家,現代音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00236,鳥取大学,五島 朋子,社会的に拡張する演劇団体のプラクティスに関する研究,本研究は、地方都市を拠点にする演劇団体の活動が、作品上演のほか、教育、福祉、まちづくりなど多様な社会的領域へ活動を拡張していることを、具体的な事例研究を通じて明らかにした。また、そのような演劇活動の社会的拡張の契機は、演劇団体と地域社会の様々なアクターとの相互交流や摩擦にあること、地域コミュニティの規模や特色と大きく関わっていることが確認できた。,基盤研究(C),小区分01070:芸術実践論関連,地域演劇,劇団活動,シニア演劇,公立文化施設,コミュニティ・シアター,ソーシャル・プラクティス,鳥の劇場,鳥取市民劇場,高齢者演劇,非営利劇場,アマチュア演劇,社会的課題,ネットワーク形成,市民参加演劇,文化環境,こふく劇場,演劇団体,アートマネジメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00235,神戸大学,藤野 一夫,文化政策による地域創生の戦略的研究,調査研究拠点である豊岡市の文化施策調査を発展させ、文化政策と観光政策の架橋・融合によって、持続可能な地域社会のバリューチェーンが生まれる要件と構造を「豊岡モデル」として解明した。グローバル資本主義の植民地化に抵抗しうる文化的な自己決定能力が培われなければならない。そのための仕掛けが「持続可能な地域社会のバリューチェーン」である。芸術文化資源と観光資源を架橋し、混交させることによって地域コミュニティにおける文化的ストックの厚みが増し、また再発見されてゆく。住民の自己決定のための選択肢が多様化する。こうして、自由な人格形成と自己決定の能力を最適に機能させる仕組みが市民自治を活性化するのである。,基盤研究(C),小区分01070:芸術実践論関連,文化政策,地域創生,アートプロジェクト,アートマネジメント,文化的コモンズ,フェスティバル,芸術文化観光,文化多様性,地方創生,芸術の自由,新型コロナ,社会文化,ドイツの文化政策,芸術文化基本計画,新型コロナウイルス,芸術文化への支援,活動自粛,感染症対策,まちづくり,基礎自治体,文化芸術推進基本計画,文化芸術による地域再生,アートとツーリズム,国際芸術祭,アーティスト・イン・レジデンス,グラスヒュッテ,マルクノイキルヘン,少子高齢化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
