awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K00634,大学共同利用機関法人人間文化研究機構国立国語研究所,加藤 祥,文体分析を目的としたコーパスの文書情報拡張及びその利用,本研究課題は、『現代日本語書き言葉均衡コーパス』に含まれる書籍サンプル、新聞サンプル、書籍のうち特に小説サンプルについて、文体分析に資する情報付与を行い、情報を利用した分析の実践を目的としている。書籍サンプルのNDC付与を終えた（既に国立国語研究所の「中納言」で検索可能となっている）後、発表の遅れが生じていたものの、追って、新聞サンプルと小説サンプルの情報付与作業も完了することができた。,基盤研究(C),小区分02070:日本語学関連,コーパス,文体,図書館分類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00633,別府大学,森脇 茂秀,日本語表現史的観点からみた北部九州方言に関する研究,本研究は、日本語表現史を明らかにするという観点から、現在の北部九州の方言と、文献に表れた日本語史とを相対的に考究することによって、新たな日本語の変容過程を明らかにしようとするものである。本研究においては、比喩表現「たとふ」、希望表現「のぞむ」・終助詞「なむ」、アスペクト形式における「静態動詞」「すむ（澄・清）」の意味用法に着目し、それらを考察にすることによって、日本語表現の史的変遷を明らかにすることができた。,基盤研究(C),小区分02070:日本語学関連,日本語表現史,日本語史,希望表現,比況表現,アスペクト,方言日本語史,静態動詞,すむ（澄・清）,北部九州方言,五島方言,島嶼部方言,条件表現,希望表現形式,比況表現形式,条件表現形式,比喩表現形式,九州方言,文献方言史,方言文法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00632,福岡女学院大学,二階堂 整,地方議会による「会議録方言学」の研究,本研究では、地方議会会議録を資料として、方言の研究を行うことが目的であった。１つは、現代社会における方言の状況を解明することである。もう１つは、地方議会という世界の中での方言の議会差や地域差を明らかにすることである。そのため、研究会を各地で、9回、行った。外部講師を招き、講演会も実施した。研究の成果として、全国学会での発表や専門雑誌への投稿を行った。また、国際学会での発表や海外雑誌への投稿も行った。,基盤研究(C),小区分02070:日本語学関連,社会言語学,方言,地方議会,会議録,言語研究,情報処理,言語情報処理,検索システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00631,神戸女子大学,岡墻 裕剛,近代日本における漢字集合の字種・字体の変遷,本研究は，近代日本における基本漢字文献に収録される漢字の字種・字体を調査し，個々の文献の特性(成立時期・背景，作成目的，作者，収録字種・字体，字数など)を考慮しつつ，それぞれの関係性を明らかにしようとするものである。個別の文献についての整理を行い，画像データと漢字データを用意した上で，複数の文献間の情報を相互参照可能なデータベースとしてまとめ，実際の漢字文献に収録されている具体的な字種と字体をオンラインでも閲覧可能な画像形式で提示することを目指している。,基盤研究(C),小区分02070:日本語学関連,漢字文献,基本漢字集合,漢字制限,漢字廃止論,明治,明治の漢字,御雇い外国人,基本漢字,明治時代,字体規範,字種,活字一覧表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00630,神戸学院大学,野田 春美,話し言葉における使用実態調査に基づく日本語の否定表現の使用傾向の研究,コーパスを使って、日本語の否定表現の話し言葉における使用実態を明らかにした。基本的な否定が約67％で、次に多いのは「ではないか」類と「のではないか」類、その次は、モダリティ表現であった。聞き手の認識を喚起したり要請したりする「ではないか」も、話し手の見込みを表す「のではないか」も、間接的である一方で、「否定」「疑問」という聞き手に強い印象を与える表現である。話し手は間接性を活用しながらも、倒置にしたり終助詞をつけたりしてやわらげる傾向がある。「わけにはいかない」については、理由の表現が後続する例が約半数を占めることを指摘した。Ｊポップの歌詞を資料とし、否定に関わる逸脱表現の実態も明らかにした。,基盤研究(C),小区分02070:日本語学関連,否定表現,話し言葉,ではないか,のではないか,コーパス,否定,確認要求,否定的表現,否定疑問文,否定的な語彙,否定的な表現,日本語,フランス語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00629,関西大学,沈 国威,漢字文化圏における近代二字漢語動詞と形容動詞の発達と交流に関する総合的研究,明治期に入ってから、日本語の語彙が大きく変容した。漢語系学術用語の他に、二字漢語サ変動詞語幹と漢語形容動詞の急増も目立っている。学術用語は、西洋の新しい学問を受容する際、新概念の表出に貢献するのに対し、二字漢語動詞、形容動詞は、必ずしも新概念を表すものではなく、叙述の枠組みを提供するものである。いずれも言語の近代化に深くかかわる要素である。本研究は、これまでの術語中心の新漢語の研究成果を踏まえ、サ変動詞語幹と形容動詞を中心に、特に日中における二字語漢語の近代以降の活発化を記述すると同時にその原因を解明すべく研究を重ねてきた。研究期間中に、雑誌論文21編、図書は単著3点、共編著3点を公刊した。,基盤研究(C),小区分02070:日本語学関連,言語の近代化,言文一致,サ変動詞語幹,形容動詞,二字漢語,語彙交流,日本借用語,科学叙述,二字語,漢語,近代語,漢字形容動詞,漢字サ変動詞語幹,日中語彙交流,叙述語,新漢語,２字語化,基本語化,日本刺激語,日本借形語,借用語,和漢相通,単双相通,区別性,基本語彙化,サ変動詞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00628,大阪教育大学,櫛引 祐希子,ポストモダンと呼ばれる時代のテレビ番組における方言の表象に関する研究,本研究では1980年代から2000年代に制作された複数のテレビ番組を調査した。日本の方言を題材にしたテレビ番組は、テレビが大衆メディアの主役であった20世紀の終わりにおいて、当時の方言の社会的位置づけだけでなく、人々の抱く方言に対する価値観などを映し出してきた。,基盤研究(C),小区分02070:日本語学関連,方言,テレビ番組,表象,教養番組,娯楽番組,地域文化,地域活性化,高齢者,共通語,留学生,教養,日本語,ポストモダン,日本語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00627,同志社大学,金 明哲,データサイエンスに基づいた日本文体変化分析とその構造のモデリング,本研究では，まず，100年以上にわたる膨大な小説の中から，毎年5～6人の代表的な作家の作品をサンプリングし，592人の作家による592編の小説（9557078文字）のコーパスを作成した。次に、コーパスに対して形態素解析と構文解析を行い、文体の特徴を分析した。分析は，教師なしの方法を用いて文体の特徴について概観したうえで，教師ありの学習方法で時間に伴って変化が顕著である変数を特定し，モデリングを行った．その結果，助詞や文末パターンには経年によって顕著に増減していることが明らかにされ，これらに対して言語学や文体学の視点で解釈を試みた．,基盤研究(C),小区分02070:日本語学関連,文体の変化,モデリング,テキストマイニング,助詞,文末パターン,文体変化,コーパス作成,正則化回帰,ランダムフォレスト,コーパス,テキストアナリシス,計量文献学,文体,データサイエンス,文体分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00626,椙山女学園大学,村井 宏栄,中世漢字片仮名交じり文における重点を中心とした書記史的研究,中世漢字片仮名交じり文において同仮名の連続は、多く補助符号たる重点（「ヽ」）を以て示される。本研究では次に示す文献群を取り上げて重点用法を検討した結果、次の結論を得た。(1)親鸞遺文においては自立語語頭では同字反復を、同語中尾では重点を用いる傾向が認められ、分節機能と一貫性の高さを評価できる。(2)大福光寺本『方丈記』では文位置に関わらず重点が多く用いられ、(1)とは全く異なる傾向を指摘できる。(3)①漢字―仮名比率、②重点状況、③仮名遣いの3点について検討した結果、観智院本『三宝絵詞』においては(1)(2)と比するに方針の徹底は認めがたいが、代わりに仮名大小の対立が分節機能を補助している。,基盤研究(C),小区分02070:日本語学関連,日本語書記史,中世漢字片仮名交じり文,片仮名文,重点,親鸞遺文,方丈記,三宝絵詞,漢字片仮名交じり文,踊り字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00625,早稲田大学,上野 和昭,室町期以降の日本における四声観・アクセント観についての研究,室町期以降、日本における四声観（アクセント観）は、鎌倉期以前のそれとは異なるものであったことが言われてきた。本研究は、四声認識の変遷を追い、そこにいかなる音調認識の継承や変容、あるいは展開があったかを明らかにしようとしたものである。仏教の声明には鎌倉期以来の伝統的認識を継承したものがあり、公家社会には、たとえば『名目鈔』所載の声点にうかがえるような、「平声」を下降調ととらえる新しい四声認識があった。江戸期の本居宣長は、このふたつの流れを継承しながら、当時の中国語（浙江音）にもとづく文雄の四声観を批判したようにみえる。これらのことは、現代的の一般的な音調観では捉えきれないものである。,基盤研究(C),小区分02070:日本語学関連,和字正濫鈔,和字大観鈔,漢字三音考,契沖,文雄,本居宣長,伊勢貞丈,石原正明,能楽伝書,謡曲伝書,平曲伝書,金春禅竹,ニ松軒,名目鈔,洞院實&#20958;,後水尾院,小浜市立図書館,四声観,新式声点,訓漢字,振漢字,四声,アクセント,国学,仮名遣書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00624,武蔵大学,小川 栄一,江戸語・東京語におけるコミュニケーション類型の研究,本研究では、日本語コミュニケーションが歴史的にどのような変化を遂げてきたかという探究を究極の目標として、式亭三馬『浮世風呂』（文化6～10年・1809～13）を資料に、化政期江戸語におけるその実態を明らかにする。『浮世風呂』に表れる会話を類型に分類し、社会的、経済的、文化的背景を視野に入れながら、(1)話し手・聞き手の属性、(2)話し手・聞き手の心理、(3)当時の社会的背景の三点から考察する。,基盤研究(C),小区分02070:日本語学関連,談話分析,社会階層,式亭三馬,浮世風呂,江戸語,コミュニケーション,敬語行動,江戸の経済,夏目漱石,東京語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00623,日本大学,田中 ゆかり,ヴァーチャル方言研究の展開,本研究は、言語社会を捉え直す新しい視点を提供するヴァーチャル方言研究のさらなる展開を目指し遂行された。本研究は、①ポピュラーカルチャーにおける仮想言語の実態と相互作用、②日本語社会構成員の方言と共通語に関する大規模意識調査の実施と分析の両面からアプローチした。併せてポピュラーカルチャー研究と言語研究の接点、日本語以外の言語社会との対照研究等の新たな研究課題の創出の手がかりも探った。研究期間を通じ、代表者・分担者・協力者は緊密に連携をとりつつ、調査・研究を進めた。成果は、著書をはじめとしたさまざまなかたちで公開した。一方、予定していた国際シンポジウムは、感染症拡大が収束せず、延期した。,基盤研究(C),小区分02070:日本語学関連,ヴァーチャル方言,方言コンテンツ,全国方言意識調査,ポピュラーカルチャー,役割語,打ちことば,言語意識,web調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00622,東京女子大学,山本 真吾,南北朝・室町時代初中期口語の記述的研究,日本語史研究の中で停滞していた、南北朝から室町時代初中期にかけての言語の諸現象についての記述的研究に着手した。口語を認定するためには、これに対立する文語規範の究明があり、双方向的な研究が望まれる。口語資料の有力な文献として『太平記』を取り上げ、特に米沢図書館蔵本の原本調査に従事し、その言語事象の観察を行った。一方の文語資料としては、平安時代の訓点語を軸として、各時代ごとの語彙データベースを作成した。また、室町時代の漢語を取り上げ、文語性、口語性を測定する試みを検討し、その成果の一端は中国、韓国での国際学会で発表した。この他、高山寺、東寺等の実地調査を行い、この時代書写の原資料を発掘した。,基盤研究(C),小区分02070:日本語学関連,言文二途,文語,口語,太平記,日本語史研究資料,南北朝の日本語,室町初中期の日本語,文語語彙,訓点語,高山寺,きらぎらし,歌評用語,漢語,米沢本,禅用語,南北朝時代語,室町時代語,南北朝の言語,室町時代初中期の言語,口語史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00621,慶應義塾大学,屋名池 誠,本土諸方言・時代語の動詞・形容詞の活用・アクセント活用体系の実証的・理論的研究,研究の前半は計画通り順調に進んだが、高齢者が対象の臨地調査は、2020年からはCovid19のため中止せざるをえなかった。,基盤研究(C),小区分02070:日本語学関連,動詞,形容詞,活用,アクセント活用,二段活用,音便形,日本語方言,日本語史,ラ行五段化,日本語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00620,県立広島大学,小川 俊輔,南米および日本の長崎系カトリック・コミュニティーにおける宗教生活語彙の調査・研究,国内外における複数のカトリック・コミュニティーでの調査から、明治時代から高度経済成長期まで、長崎のカトリック信者が国内外に移住することとなった社会経済史的背景（教会所在地域の経済的困窮、太平洋ベルト地帯の都市化・工業化とそこへの人口流入、戦後のエネルギー政策の転換、炭鉱の閉山、等）及び宗教的確信に基づく南米移住（南米諸国はカトリック国であり、自由にカトリック信仰ができることを理由とする移住、等）について明らかにすることができた。そして、左の事由から国内外に多くの長崎系カトリック・コミュニティーが成立し、これを背景として、各地で先祖伝来の信仰生活・宗教生活語彙が維持されてきたことを明らかにした。,基盤研究(C),小区分02070:日本語学関連,地理言語学,都市言語学,社会言語学,宗教生活語彙,カトリック・コミュニティー,長崎・福岡・大阪,ボリビア・アルゼンチン・ブラジル,南米移住・南米移民,長崎・福岡・大阪・名古屋,ボリビア・アルゼンチン・パラグアイ・ブラジル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00619,愛知県立大学,福沢 将樹,注釈的表現についての品詞論的および物語論的研究,注釈的表現として日本古代文学における「草子地」を取り上げた。また話し手／書き手と聞き手／読み手について物語論及び社会学における概念を検討した。,基盤研究(C),小区分02070:日本語学関連,談話分析,品詞,注釈,物語論,文章論,話し手,語り手,聞き手,文章,談話,過去形,草子地,アスペクト,品詞論,メタ言語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00618,熊本大学,茂木 俊伸,コーパスに基づく「とりたて」論の再構築,本研究課題は，現代日本語の「とりたて」表現の新たな体系を構築することを目的としたものである。,基盤研究(C),小区分02070:日本語学関連,とりたて,取り立て,副助詞,係助詞,副詞,複合助詞,接尾辞,複合辞,現代日本語文法,日本語文法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00617,佐賀大学,中里 理子,近世の文芸作品に見られるオノマトペー浄瑠璃・歌舞伎脚本を対象にー,江戸時代の浄瑠璃と歌舞伎の脚本を対象にオノマトペを抽出し、演劇脚本に見られるオノマトペの特徴を見出した。浄瑠璃は近松門左衛門の作品とそれ以降の浄瑠璃作品に分けて考察し、近松作品の特徴、近松以降の特徴を明らかにするとともに、浄瑠璃作品全体に中世軍記物語のオノマトペが用いられる傾向を認めた。歌舞伎脚本は上方歌舞伎、江戸歌舞伎の櫻田治助、鶴屋南北、河竹黙阿弥の作品を検討し、それぞれの特徴を明らかにするとともに、ト書きには当時の一般的なオノマトペと動作の指示を表わす定型的なオノマトペが、浄瑠璃部分には中世軍記物語のオノマトペが、会話部分には当時の俗語的な口語が用いられていることを明らかにした。,基盤研究(C),小区分02070:日本語学関連,オノマトペ,江戸時代,浄瑠璃作品,歌舞伎作品,近松門左衛門,鶴屋南北,河竹黙阿弥,江戸末期,ト書きとセリフ,音楽と鳴物,江戸歌舞伎,上方歌舞伎,浄瑠璃,近世の浄瑠璃作品,近松門左衛門以後,漢語と和語,世話浄瑠璃,時代浄瑠璃,中世軍記物語,和語と漢語,浄瑠璃・歌舞伎,近世,擬音語・擬態語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00616,福岡教育大学,勝又 隆,古代日本語における名詞性述語文の研究,本年度は、主に以下の二つに取り組んだ。（１）『万葉集』を調査対象として、文の主題に着目し、「連体形＋名詞＋ソ」文と、ソによる係り結び文の違いに関する調査と考察を行い、成果を論文「『万葉集』における「連体形+名詞+ソ」文とソによる係り結び文の主題と表現性について」（『福岡教育大学国語科研究論集』2024年2月）として公刊した。（２）平安時代の散文資料を調査対象として、「連体形＋名詞＋ゾ」文と「連体形＋名詞＋ナリ」文における、名詞に前接する要素の違いに関する調査と考察を行い、「中古散文における「連体形＋名詞＋ゾ／ナリ」文の特徴について」という題目で、第230回青葉ことばの会（学習院大学／オンライン同時配信、2024年3月23日）において口頭発表を行った。,基盤研究(C),小区分02070:日本語学関連,名詞述語文,連体修飾,係り結び,ゾ,主名詞,ソ,形式名詞,ゴトシ,名詞性,文章,談話,ナム,モノナリ文,連体形＋ゾ,ミ語法,「動詞終止形＋ト」節,「連体形＋名詞＋ナリ」文,焦点,連体形,名詞性述語,文末名詞,係助詞ソ,係助詞ゾ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00615,鳴門教育大学,眞野 美穂,日本語名詞の意味機能と統語的特性：同格名詞句と文法化現象からの検証,本研究では、形態的・統語的手がかりの少なさから研究が遅れていた日本語の名詞について、これまであまり注目されてこなかった言語現象（同格名詞句、名詞から文法化した類別詞、名詞述語文、数量詞を含む同格構造）を対象に研究を行い、名詞の持つ意味機能と統語的特性、そしてそれに影響を与える要因を探った。その結果から、①同格名詞句構造に生じる名詞句の意味関係とコピュラ文との共通性、ならびに二股枝分かれ構造という文の統語構造との共通性、②名詞から類別詞に文法化する過程で変化する機能、③名詞述語文の叙述の特徴、④数量詞を含む同格構造と同格名詞句の共通点と相違点、を明らかにした。,基盤研究(C),小区分02070:日本語学関連,同格名詞句,類別詞,文法化,名詞,日本語,名詞述語,叙述の類型,数量詞,同格構造,同格,クオリア構造,統語関係,意味関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00614,徳島大学,岸江 信介,対人コミュニケーションにおける配慮表現の地域差に関する研究,本研究では配慮表現の研究を通じ、無敬語に関して興味深い分析結果が明らかとなった。近畿地方において北・中部は有敬語地域であるが、南部はほぼ全域が無敬語地域であるということが明らかとなった。無敬語である南部地域では共通語と同じ敬語形式が各地にみられた。しかしこれらはいずれもフォーマル場面での共通語使用であり、近畿地方南部各地で方言敬語の使用が見出せなかったため、この結論に至った。,基盤研究(C),小区分02070:日本語学関連,配慮表現,無敬語地域,有敬語地域,上下関係,親疎関係,ウチ社会,社会的属性,地域共同体,ウチ/ソト,有敬語,待遇表現の使い分け,地域差,ウチ／ソト,疎遠関係,個人差,目上／目下,使い分け,無敬語,ウチ・ソト,目上・目下,配慮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
