awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K00731,大学共同利用機関法人人間文化研究機構国立国語研究所,布施 悠子,中国人日本語学習者の言語習得過程の実証的研究と教育的資源の提供,本研究の最終目的は、中国人学習者の日本語の習得順序および習得上の困難点を把握することで、実態に即した教材や教授法の開発を行うことである。そこで、中国国内の大学の日本語学科に入学した大学生17名を対象に、4年間にわたるインタビュー調査と作文調査を実施して日本語の習得過程を記録し、中国人日本語学習者の習得の過程で現れる変容の実態や誤用、学習の困難点を実証的に明らかにした。,基盤研究(C),小区分02090:日本語教育関連,第二言語習得,日本語教育,中国語母語話者,中国人日本語学習者,学習者コーパス,縦断コーパス,I-JAS,B-JAS,中国人学習者,コーパス,作文,縦断研究,カリキュラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00730,立命館アジア太平洋大学,本田 明子,日本語教育における災害時情報リテラシーの教育法の開発,災害時情報リテラシーを①情報の取得、②情報の信頼性の確認、③情報の発信という一連の流れと定義して、日本語教育における指導法開発のための調査研究をおこなった。調査によって、情報リテラシーにおいては情報取得よりも信頼性の確認や発信のほうが学習者にとっての困難が大きく、日本語教育に取り入れる意義があることがわかった。そのための学習に国際共修を取り入れることも有効であった。また、これらの能力は学習者側にのみ求めるべきものではなく、「やさしい日本語」の概念を広めるなど、社会全体の情報リテラシーを高めるための働きかけが必要であるという示唆を得た。,基盤研究(C),小区分02090:日本語教育関連,災害時情報リテラシー,やさしい日本語,情報リテラシー,災害時,情報リテラシー教育,情報発信,災害時情報,情報収集,情報取得,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00729,熊本保健科学大学,宮本 恵美,失語症者と日本語学習者に対する動詞及び格助詞の習得法の開発～双方の特徴を生かす～,我々は日本語学習者と失語症者を対象に動詞や格助詞の習得に対して「聴覚的把持力」「単語親密度」「意味用法」などを考慮した習得プログラムの教育効果を明らかにすることを目的として研究を行った。結果、動詞は、練習前後の比較で双方ともに一部を除いて成績の向上を示したが、統計学的に有意な改善は認められなかった。,基盤研究(C),小区分02090:日本語教育関連,格助詞,動詞,聴覚的把持力,単語親密度,意味用法,多義動詞,日本語学習者,失語症者,多義性,失語症,親密度,評価,訓練,失語症訓練,日本語教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00728,近畿大学,高橋 朋子,夜間中学における日本語教育の意義と可能性,本研究は、夜間中学が成人移民に行っている日本語教育の意義と可能性を問うものである。4年におよぶ２つの中学の参与観察やインタビューを通して、確認できた意義として次の点が挙げられる。①夜間中学の教育は、単なる語学教育にとどまらず、１）自己表現を行い、２）社会とつながり、３）自分の経験に意義付けを行い、４）多様性を受け入れる力を育成していることが明らかになった。これは、成人生涯教育が実施されていたといえる。また、②これらの教育は欠けている日本語能力を身につける補償教育の機関ではなく、日本で生きていくための力を育む人間教育の場であることも明らかになった。,基盤研究(C),小区分02090:日本語教育関連,夜間中学,移民の言語教育,成人教育,アンドラゴジー,成人移民,日本語教育,学齢期を超えた移民,外国人生徒,学齢を超過した外国人,移民,外国人労働者,生きる力,外国人の若者,移民の日本語教育,キャリア形成,生活日本語,母語教育,外国籍住民,多文化共生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00727,関西外国語大学,本橋 美樹,日本語学習者の音声習得　ー文字表記が持つ情報との関連性―,本研究は単語のひらがな表記が視覚情報として初級日本語学習者の音声習得を促すか検証する。長音や拗音のように難しいとされる音を含む語（「りょこう」「しゅくだい」など）の知覚と生成の向上を目指し、プリテスト→トレーニング→ポストテストの手順でデータ収集を行った。週3回、3週間のトレーニングとして、語のひらがな表記を音声と共に示すことによって拍の数を意識しながらミニマルペアの聞き分けの練習をした。同時に視覚情報無しで音声のみのトレーニングを受けるグループも作り、テストの成績を比較した。結果は、ひらがな表記は視覚情報として聴取・発音共に音声習得を促す可能性を示唆するものとなった。,基盤研究(C),小区分02090:日本語教育関連,日本語教育,第二言語習得,文字表記,音声教育,特殊拍,拗音,音声,文字,第二言語習得論,表記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00726,関西大学,竹口 智之,ロシア極東地域における日本語教育の歴史的背景と現状に関する基礎的研究,本研究は、ロシア極東地域における日本語教育史を、インタビューを基にして分析したものである。調査対象者はユジノ・サハリンスク市、ハバロフスク市、ウラジオストク市で日本語を学習していた方たちである。この三都市で最も日本語教育の歴史を有するのはウラジオストク市であり、ユジノサハリンスク市、ハバロフスク市では80年代後半から90年代初頭にかけて日本語教育開始された。これを概観すると、極東地域の日本語教育はウラジオストク市の雛型が他の極東都市に波及したかに見える。しかし実際には、各都市間で人材の異動があり、また、各地の状況に合わせた日本語教育が実施されてきたことが窺えた。,基盤研究(C),小区分02090:日本語教育関連,日本語教育史,ライフストーリー,ロシア極東地域,日本語ネイティブ教師,ウラジオストク市,ハバロフスク市,学びのアイデンティティ,戦中の日本語教育との関連,ハバロフスク,ウラジオストク,ライフ・ストーリー,日本語教育,言語政策,複線経路・等至性モデル（TEM),複線径路・等至性アプローチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00725,立命館大学,平田 裕,日本語教育における筆記テスト時と会話時の脳活動の近似性・相違性の研究,日本語学習者の筆記テスト時と日本語会話時の脳活動の近似性・相違性に関して、以下のような知見が得られた。前頭前野部も言語野も、筆記テスト時より会話時の方が脳の賦活度が大きい。右脳・左脳の優位性については個人・タスク別に一概に言えず、習得段階やタスク毎の脳活動の複雑さを反映していると考えられる。脳の賦活度については、並べ替えタスクが脳を一番活性化し、会話時の脳の状態に近いと考えられる。中上級学習者の特定の個人に関しては、四択タスクまたは和文読解タスクが近似性が高い。酸素化ヘモグロビンと脱酸素化ヘモグロビンのどちらを指標にすべきかという点では、引き続き脱酸素化ヘモグロビンに注目する意義が確認できた。,基盤研究(C),小区分02090:日本語教育関連,日本語学習者の脳活動,筆記テストと会話,脳活動の近似性と相違性,fNIRS (近赤外光分光法),日本語の会話力,近似性と相違性,fNIRS,筆記テスト,会話,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00724,鈴鹿医療科学大学,康 鳳麗,日本語教師の「熟練性」のライフヒストリー的研究―目標の多層化と省察機能の発達―,２つの研究成果がある。１つ目は、熟練教師の目標構造の多層性を明らかにしたことである。事例として二人の熟練教師の授業実践を取り上げ、共通項として「三層構造の目標」を抽出することができた。また目標構造の多層化を促す契機として、教師の学習者への期待内容に変化があることを明らかにすることができた。２つ目は、中国人中堅日本語教師の事例研究である。熟練教師と比べて、目標構造についてはまだ形成途上であり、不安定ながらも、留学や研究を通して、学習者の主体的な活動を重視する自分の授業スタイルを形成している。学習者が獲得すべき知識・技能の習得を促し、自律性を育てるための日本語教師の挑戦を今後も追っていきたい。,基盤研究(C),小区分02090:日本語教育関連,日本語教師,熟練性,ライフヒストリー的アプローチ,ライフヒストリーインタビュー,目標の多層化,目標の省察機能,ストップモーション方式,授業形成史,熟練日本語教師,授業スタイル,日本語教師の力量形成,ライフヒストリー,目標の多層性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00723,愛知淑徳大学,山本 裕子,マルチコーパスシステムCo-Chuの開発と運用実験,本研究では、研究者が自らの関心に基づいて収集したオリジナルデータを容易にコーパス化して分析できるコーパスシステムCo-Chuを開発した。本システムは1)オリジナルデータを扱うことができる、2)独自のタグおよびメタ情報が検索できる仕組みを備え、独自の視点からの分析が可能である、3)操作が平易である、の３点を満たすウェブアプリケーションであり、これによりコンピューターが苦手な研究者や日本語教師であっても容易に目的に応じたコーパス分析が可能になった。完成したシステムは、無償で公開し、日本語教育関係者が各々のニーズに応じて利用できるため、言語研究・教育への様々な活用が期待できる。,基盤研究(C),小区分02090:日本語教育関連,マルチコーパスシステム,オリジナルデータ,分析の多様性,ウェブアプリケーション,タグ検索機能,メタ情報検索機能,一般公開,操作性,平易な操作性,タグ,タグ検索,コーパスシステム,汎用性,多様な分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K00722,常葉大学,谷 誠司,CEFR読解CDSに基づいた問題仕様書の開発と妥当性の検証,本研究はCommon European Framework of Reference for Languages（以下CEFR）の読解Can-Do Statements（以下CDS）からの読解問題（例文と質問）作成を支援することを目的とし、以下4点を行った：1）日本語例文をCEFR読解CDSに自動分類できる「Webアプリケーション」の実装、2）CEFR読解CDSに対応したサンプル問題の提供、3）CEFR読解CDSに記載されていない情報の提供、4）CEFR読解CDSからの問題作成の支援のための問題仕様書の作成。研究成果は1）は完了、2）と3）は一部完了、4）は2）・3）が完了後作成予定である。,基盤研究(C),小区分02090:日本語教育関連,日本語教育,CEFR,読解,Can Do Statements,例文,自動分類,問題仕様書,問題作成,Can-Do Statement,Can-Do Stametments,読解Can-do statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
