awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01130,公益財団法人立山カルデラ砂防博物館,福井 幸太郎,飛騨山脈，立山カルデラの重力断層の現在の活動状況と活動をもたらす要因の解明,日本屈指の巨大崩壊地、立山カルデラの北東縁に位置する室堂山周辺には，深層崩壊の予兆現象と考えられる重力断層が複数みられる。GPS測量の結果、重力断層周辺の岩盤では、2018年9月～2020年10月の約2 年間、誤差を明確に超える水平変位がみられなかったが、誤差をやや超える鉛直変位が5地点で観測された。このことから，室堂山の重力断層は、現在でも非常にゆっくりと動いている可能性が出てきた。また、重力断層によって形成された線状凹地内の二つの池で、可搬型パーカッションコアリグシステムを用いた堆積物コアの採取を行った。コア解析の結果、室堂山の重力断層の形成年代は完新世の前期であると初めて判明した。,基盤研究(C),小区分04010:地理学関連,重力断層,立山カルデラ,深層崩壊,室堂山,鬼界アカホヤ火山灰,放射性炭素年代,立山,線状凹地,姶良丹沢火山灰,GPS測量,ドローン,写真測量,GPS観測,リモートセンシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01129,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),菅原 広史,都市の二酸化炭素は何からどれぐらい出ているのか？,都内（渋谷区）に設置した観測サイトにおいて、二酸化炭素の排出量を常時観測した。排出量には朝と夕にピークをもつ日変化パターンが見られ、これは化石燃料消費量から推定される排出量の日変化パターンと整合的であった。,基盤研究(C),小区分04010:地理学関連,二酸化炭素,都市,地球温暖化,酸素,炭素同位体,気候変動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01128,立正大学,島津 弘,自然－社会の動態からみた河川堤外地空間の即応的展開に関する地理学的研究,河川堤外地の空間の自然、河川からの影響、災害、伝統的土地利用、現代における土地利用と土地所有者の関与の関係について、仙台平野を流下する名取川下流と埼玉県の荒川て調査、検討を行った。堆積物と植生の調査からは高水敷には何度も土砂の堆積が繰り返されてきたこと、耕作放棄により地形に応じて外来植物が侵入してきたことが明らかになった。研究期間中に令和元年台風第19号による洪水により名取川では低位の高水敷では土砂堆積、高位の高水敷では2m程度の浸水と流木の堆積が生じたが、私有地では継続的に耕作が続けられた。農地の使用形態の変化や国管理の土地で不法占有による高度な耕作が行われてきたことも明らかになった。,基盤研究(C),小区分04010:地理学関連,河川堤外地,自然,堆積環境,災害,植生,土地利用,不法占有,名取川,堤外地,微地形,土地所有,農業,荒川中流,名取川下流,令和元年台風19号,自然と社会動態,東北地方太平洋沖地震,動態,自然と社会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01127,法政大学,杉戸 信彦,活断層による微地形の形成が居住と土地利用に与えた影響の地理学的解明,低地における居住域や土地利用と活断層による微地形とのかかわりを検証するため、飯山市街地および熱田台地北方を主な調査対象として、地形解析や現地調査などを実施した。飯山市街地については地形面の形成時期を推定し、1847年善光寺地震およびこれに先立つ地震に伴う地表変位と地形発達史、遺跡分布の検討を行った。熱田台地北方に関しては、堀川断層・尼ケ坂断層間に発達する断層変位地形の形成時期を推定し、条里地割の分布との関係を検討した。,基盤研究(C),小区分04010:地理学関連,変動地形,活断層,古地震,表層地質,遺跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01126,法政大学,五島 洋行,自然の地形が持つ幾何的特性を生かした地形モデルの表現と標本化,地理情報システム(GIS)データの一種である数値標高モデル(DEM)データを用いて，特徴点・特徴曲線・特徴領域の抽出など各種の地形解析を行い，自然な曲線や曲面が軽量に描画できる地形モデルの標本化方法について検討した．当該分野における各種の解析手法は，大半が区分的線形モデルに基づいていたが，本研究では非線形の地表面モデルを用いた３次元版のContour Based Network (CBN)の生成を中心に検討した．計画当初は３年半程度の研究期間を見込んでいた本研究は，当初予定より早い３年で必要な検討や実装がほぼ終了した．,基盤研究(C),小区分04010:地理学関連,数値標高モデル,地理情報システム,地形解析,計算幾何学,Contour-based network,Contour-Based Network,等値線,曲率ベクトル,方向付き等高線,最急降下線,Contour based network,標本化,特徴量計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01125,日本大学,矢ケ崎 典隆,南北アメリカの砂糖と移民－グローバリゼーション・ローカリゼーションの地理学―,グローバリゼーションに伴って世界はダイナミックに変化しており、地域変化を認識し、そのメカニズムを解明することは地理学の課題であり目的である。本研究は、グローバリゼーション・ローカリゼーションの地理学の考察の枠組みを用いて、南北アメリカの砂糖生産地域の解明を試みた。熱帯および温帯の環境の下で、サトウキビとテンサイを原料として、５つの主要な砂糖生産地域が形成された。資本、製糖工場、原料調達、労働力に着目して、それぞれの砂糖生産地域の特徴を解明した。また、製糖地域間の関係やグローバルな生産・消費との関係性を、サトウキビ糖回路・テンサイ糖回路の枠組みで明らかにした。,基盤研究(C),小区分04010:地理学関連,移民,砂糖,南北アメリカ,サトウキビ,テンサイ,グローバリゼーション,ローカリゼーション,地理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01124,日本大学,藁谷 哲也,アコースティックエミッション法による岩石の熱風化機構の解明,高温で温度変化の大きい砂漠では，岩石が日射によって破砕すると考えられているが，その証明は行われていない。そこで整形した３種類の岩石に4－84℃の範囲で温度変化速度を変え，加熱－冷却を繰り返す実験を行った。その結果，岩石内部における亀裂の形成や進展などの破壊に伴う弾性波（振動，音波）の発生を確認した。また，岩石内部の微小な間隙の大きさに変化の生じることがわかった。弾性波や間隙の大きさの変化は岩石の種類によって異なり，それは岩石表層の温度勾配や間隙率に関わることが推察された。,基盤研究(C),小区分04010:地理学関連,熱風化,日射風化,アコースティックエミッション,マイクロクラック,熱破砕,熱サイクル,岩石物性,温度勾配,非破壊調査,乾燥地域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01123,専修大学,苅谷 愛彦,大規模斜面崩壊の高精度編年に向けた第四紀地質学と酸素同位体比年輪年代学の挑戦,第四紀地質・地形学と酸素同位体年輪年代学の両者を用いて、日本アルプスの大規模斜面崩壊の正確な年代測定を初めて試みた。その結果、大月川（長野県小海町）、七面山（山梨県早川町）、大谷崩（静岡県静岡市）において、従来の学説に再検討を迫る新しい年代を得ることができた。従来の研究には、炭素14年代と史料の年代合致をもって単純に古地震や古豪雨と大規模斜面崩壊を結びつけるものもあったが、本研究の成果はそうした対比において一層慎重であるべきことを示している。,基盤研究(C),小区分04010:地理学関連,深層崩壊,高精度編年,酸素同位体比年輪年代,地すべり,歴史地震,第四紀,地形学,大規模崩壊,古地震,斜面崩壊,地質学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01122,鹿児島大学,森脇 広,南九州・南西諸島におけるテフラ編年に基づく過去3万年間の古環境変化の高精度編年,過去およそ3万年間の古環境変化，特に海岸域の地形変化についてテフラ（火山灰）を中心とした方法で高精度な編年を行った．大きな成果は南西諸島，喜界島において見られる更新世・完新世の海岸砂丘編年とその形成環境に関するものである．ここにおいて9枚のテフラを見いだした．これとC-14年代測定を基に，喜界島の砂丘編年を詳しく行った．その結果，3万年前～4万年前ごろに大規模な砂丘形成があり，それは隆起に伴う海浜環境の形成と寒冷期の強い風が関わっていることが明らかとなった．さらに，完新世の海岸砂丘は8000年前頃から形成が開始され，これは日本列島の海岸砂丘の形成開始時期よりも早いことが明らかとなった．,基盤研究(C),小区分04010:地理学関連,南西諸島,喜界島,砂丘,後期更新世,完新世,テフラ編年,形成環境,高精度編年,南九州,テフラ,更新世,臨海平野,編年,古環境,低地,シラス台地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01121,福岡教育大学,黒木 貴一,未離水面認定の再検討と高精度化に関する評価・展開,本研究では後氷期の未離水面の分布と形成プロセスを明らかにした。自然災害の違いを予測し示せる定性的かつ定量的な微地形区分を検討した。対象地域は，桜島，雲仙，三郡山地とした。各地域の空中写真やレーザデータから詳細なDEMを準備した。現地調査とDEM解析に基づく微地形区分により，極短い安定時間を持つ地形面を識別できたことが分かった。現地調査から，学校や神社がその地形に良く立地することが明らかになった。結果としてハザードマップをより良くするには，そこにその微地形区分を反映する地域区分を示すことが必要である。最後に，本研究の地理学的な意義を議論し，今後の社会に還元できる地形判読の視点を示した。,基盤研究(C),小区分04010:地理学関連,未離水面,GNSS,SfM,空中写真,レーザデータ,地盤高,神社,土地利用,地形,LPデータ,地形区分,火山山麓,極微地形,UAV,DEM,地形プロセス,ハザードマップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
