awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01271,別府大学,織原 保尚,アメリカ障害者教育法における発達障害のある子どもの教育を受ける権利について,アメリカ障害者教育法、特に2017年連邦最高裁判決であるEndrew F.判決を中心に、発達障害のある子どもに対する教育を受ける権利について研究を行った。「無償かつ適切な公教育」とされるアメリカの制度だが、近年の議論では、その障害に応じた専門的な教育の提供が認められるなど、より手厚いサービスの提供の方向性も見出されている。日本における状況との比較では、そもそも制度的にインクルーシブ教育が志向されている上に、より手厚いサービスを提供していると見ることができる。,基盤研究(C),小区分05020:公法学関連,アメリカ障害者教育法,IDEA,教育を受ける権利,発達障害,特別支援教育,インクルーシブ教育,障害法,Endrew F. 判決,無償かつ適切な公教育,憲法,インクルーシブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01270,福岡大学,實原 隆志,インターネット上での公権力による情報収集とプライバシー権－その立法的統制,捜査関係事項照会をめぐる昨今の議論状況や、ヴァーチャル覆面捜査官を投入して行われる捜査活動に関するドイツ国内の議論を参照すると、いずれについても授権規定の「特定性」という観点での憲法学的な観点からの検討と統制が求められる。そして、そうした姿勢が、日本の裁判所にも期待される。また、新しい状況における捜査や新しい手法を用いた捜査を行うための立法的な対応が期待され、その場合には個別にその都度立法するという方法だけでなく、技術や手法の発展を見込んだ、ある程度概括的な内容をもつ立法も考えられる。,基盤研究(C),小区分05020:公法学関連,インターネット,捜査,情報自己決定権,ドイツ,プライバシー,強制処分,捜査活動,法律の留保,自己情報コントロール権,ヴァーチャル覆面捜査,SNS,適正手続,個人情報保護,法治国家原理,適正手続主義,刑事手続,監視,ドイツ法,人権,ＳＮＳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01269,広島修道大学,山田 健吾,環境行政決定の受容を容易化する民主主義的参加手続の法理の再構築,環境問題の要因のネットワーク化・複雑化によって「科学的合理性」による判断ができない」状況にあるため、一方通行的な利害調整手続による行政決定はもはや説得力を持ちえない。ゆえに、行政も含めた多様な主体の相互間での利害調整が必要となる。その調整過程では、利害調整過程における主体が、調整の結果としての環境行政決定の内容に反対する場合でもその決定を尊重しうる（受容しうる）条件の整備が決定的に重要であること、その条件として、参加者の受容性を高めるため「対話に基づく利害調整過程」が実施されるべきこと、その調整過程は適正であるべきこと、そして参加手続に個人の尊重の原理を組み込むことであることを明らかにした。,基盤研究(C),小区分05020:公法学関連,環境行政,参加手続,invisibleな行政,環境配慮の適時性,民主主義的参加,受容可能性,適時性,受容,invisibleな組織,行政手続,環境行政決定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01268,関西大学,辻 美枝,保険会社の国境を跨ぐ事業再編と課税に関する比較法分析,本研究では、保険会社が企業グループを組成し国際的事業展開をする際のわが国の法人所得課税上の問題について、特に、グループ内の資金移転をめぐる問題（支払利子控除・契約者配当課税など）、保険代理人の恒久的施設該当性や保険事業所得の帰属の問題を中心に、基本的には一般事業会社と同様の課税に服するが、保険会社の特殊性から一定程度の配慮を要すべき局面がある点について、OECD・EUの動向及びドイツとの比較法分析をもとに探求し、一連の研究成果を公表した。,基盤研究(C),小区分05020:公法学関連,保険会社課税,国際課税,恒久的施設,事業再編,保険会社グループ,保険会社,グループ内資金移転,法人税,国際租税法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01267,関西大学,高作 正博,民主主義におけるプライバシー権と「公共圏」の規範理論,フランス法における「私的生活の尊重の権利」（プライバシー権）の概念、フランス憲法院の判例分析、個人に対する監視措置や情報収集活動の法規制、民主主義の維持にとっての「私的生活の尊重の権利」（プライバシー権）の必要性等の研究を踏まえ、それをさらに発展させた。また、ヨーロッパの他の国家についての調査研究として、ドイツ法の調査も行った。さらに、日本法におけるプライバシー権の再構成についての研究にも着手した。,基盤研究(C),小区分05020:公法学関連,私的生活の尊重の権利,プライバシー権,委縮効果,内心の自由,民主主義,権力分立原理,情報自己決定権,司法傍受,行政傍受,個人的自由,精神と情報の自由,自由,独立行政機関,プライバシー,公共圏,匿名性,負荷なき参加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01266,大阪産業大学,佐藤 潤一,コモンウェルス諸国における立憲主義,不文憲法的要素をコモンウェルス諸国の憲法現象に探ることを当初の目標とした。イギリス、オーストラリア、ニュージーランドのほか、当初はカナダも研究対象としていたが、諸般の事情で成果公表には至らなかった。オーストラリアについては最終年度に憲法改正提案があり関連研究を公表した。国籍と立憲主義の関係について分担者柳井、宮内の業績を出すことができた。全体的には不十分ながら不文憲法国としてのイギリス、その影響を色濃く受け、またイギリス立憲主義へも逆照射しているオーストラリアおよびニュージーランドの状況について一定の成果は出すことができた。,基盤研究(C),小区分05020:公法学関連,憲法,イギリス立憲主義,オーストラリア憲法,Brexitとイギリス,不文憲法,立憲主義,コモンウェルス諸国,イギリスとコモンウェルス,Constitutionalism,イギリス憲法,Commonwealth Nations,日英外交,イギリス立憲主義の変容,Brexit,コモンウェルス諸国モデルの変容,非立憲,ブリティッシュ・コモンウェルス,Commonwealth of Nations,英米公法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01265,立命館大学,宮本 十至子,クロス・ボーダー取引と課税繰延,グローバル化、デジタル化の進展により、国外への所得移転が容易に行われ、各国の課税権の確保が困難になっている。将来にその所得に課税することを前提に課税時期を延期する課税繰延便益を享受したまま、国外所得移転が行われると、流出国は繰り延べた所得に課税できない。各国は、自国の課税権を確保するために、取戻（リキャプチャー）課税や国外離脱課税などでそれに対抗する。,基盤研究(C),小区分05020:公法学関連,課税繰延,組織再編税制,デジタル課税,BEPS,EU税法,タックス・ヘイブン,CFC税制,租税回避防止指令,OECD,組織再編,EU租税回避防止指令,EU,租税回避,納税猶予,信託,国外転出時課税,国際課税,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01264,立命館大学,湊 二郎,ドイツにおける計画確定決定を争う訴訟の研究：都市計画争訟制度の整備のために,ドイツでは，連邦遠距離道路や連邦鉄道，空港の建設・変更は，あらかじめ計画が確定されていることを要するところ，計画確定決定に不服がある住民や自治体，環境保護団体がこれを争う訴訟を提起するケースが多数存在する。計画維持を目的とする法律の規定により，瑕疵が除去可能である場合には計画確定決定は取り消されないため，連邦行政裁判所が計画確定決定を取り消すことは稀である。しかし，計画確定決定が違法であり執行不可能であることを確認する判決は少なくない。,基盤研究(C),小区分05020:公法学関連,計画確定,法的救済,都市計画争訟,環境団体訴訟,計画維持,衡量要請,計画確定決定,衡量の瑕疵,代替案,計画裁量,取消訴訟,出訴資格,理由具備性,完全審査請求権,適正な衡量を求める権利,手続の瑕疵の効果,団体訴訟,行政訴訟,ドイツ,都市計画争訟制度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01263,同志社大学,横田 光平,子ども法における公私の法主体による支援の法関係構造,本研究は、児童虐待問題を中心に、子ども・親・国家の法関係に関して介入に対する支援の優位の法的意義を明らかにした上で、公私の法主体による支援の法関係として、児童福祉法上の社会的養護の仕組みと未成年後見の関係、養子法における養子縁組里親制度と養子縁組あっせん法の関係、里親委託の両義的性格などを理論的に解明した。,基盤研究(C),小区分05020:公法学関連,子ども法,子どもの権利,子どもの福祉,児童福祉法,児童虐待,養子法,里親委託,子ども・子育て支援制度,教育機会確保法,保育料の徴収,養育費の支払確保,面会交流,養子縁組,子ども・子育て支援法,保育料,家庭的保育,社会的養護,養子縁組あっせん法,民法,親権,未成年後見,介入と支援の複合,児童虐待への国家介入,障害児の就学先決定,支援優先,就学義務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01262,名城大学,北見 宏介,アメリカ合衆国大統領府の法律顧問に関する公法学的研究,アメリカ合衆国ホワイトハウス内の大統領法律顧問の歴史的展開と、それが行う諸活動、統治構造上の位置づけを分析し、その行動様式をめぐる議論の検討を行った。これを通じて、大統領法律顧問には大統領の政治的意向に沿おうとする行動様式の法律家が就く傾向があり、伝統的な政府弁護士とは異なるモデルの下に整理されている一方で、政府活動やこれに係る諸判断の公共的性格ゆえに、法と政治を厳格に区分した行動をとるべきとする議論が存在していることを示した。,基盤研究(C),小区分05020:公法学関連,大統領法律顧問,公法学,公法,行政法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
