awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01306,沖縄大学,春田 吉備彦,在日米軍基地従業員に対する国内労働法規適用についての実証的検証,3年間の研究期間で、全国各地の米軍基地の実態調査を実際に行うことが可能となった。この間の駐留軍等労働者にかかわる研究業績としては、例えば、「フェンスの外から見た『米軍』とフェンスの中から見た『基地労働』」労働法律旬報第1971号(旬報社) 6頁～14頁等、11本を公刊できた。これによって、労働法分野においては、必ずしも、主題としては明確に取り上げられてこなかった「基地労働」の研究を深めることができた。,基盤研究(C),小区分05040:社会法学関連,駐留軍等労働者,日米地位協定,排他的基地管理権,労務供給契約,基本労務契約(MLC),基地労働者,間接雇用方式,MLC,日米地位協定とMLCの関係,駐留軍等労働者の労働問題,排他的施設管轄権,日米地位協定と基本労務契約(MLC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01305,南山大学,緒方 桂子,労働政策立法の研究,本研究では、以下の法分野に関し、法政策の効果・機能について検討を行った。まず、雇用機会均等法に関しては、コロナ危機の下で生じた、女性労働者を中心とした雇用状況の悪化とそれに対する法政策のあり方を、韓国、ドイツ及び日本の比較法研究により明らかにした。労働時間規制に関しては、「働き方改革」における新しい労働時間法制の意義ついて検討した。また、ドイツの架橋的パートタイム労働時間制の意義について明らかにした。非正規雇用関連法に関しては、有期契約労働者の均等・均衡待遇および更新上限条項をめぐる法的課題について、法政策の観点からみた問題や法解釈について検討を行った。,基盤研究(C),小区分05040:社会法学関連,非正規労働法制,家族ケア,労働時間法制,有期契約労働者,均等均衡処遇,新型コロナウイルスと労働法,第四次産業革命,第4次産業革命,新型コロウイルスと労働法,仕事と家族ケアの両立,韓国労働法,在宅勤務権,非正規労働,雇止め法理,労働契約法19条,架橋的パートタイム労働,非常勤講師,有期労働契約,非正規労働者の均等待遇,労働法,立法政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01304,神奈川大学,江口 隆裕,フランスにおける外国人家族の同化政策に関する研究,フランスでは、少なくも18 か月合法的に居住している外国人は、その配偶者と18歳以下の子を国内に呼び寄せる権利が認められている。同時に、フランスに永住を希望する外国人は、国と共和国統合契約を締結し、共和国の価値観や権利と義務、フランス語の習得など契約で定められた統合プログラムに基づく研修を受けた上で、共和国の価値観と原則を尊重することを約束しなければならない。このように、フランスは、外国人に対してその家族の呼び寄せを広く認める一方、国籍を取得しない外国人に対しても、厳しい同化政策をとっている。その反面、教育や雇用の面で移民に対する事実上の差別が残っており、完全な統合は実現されていない。,基盤研究(C),小区分05040:社会法学関連,フランス,移民政策,同化主義,家族呼寄せ権,移民支援団体,家族呼び寄せ権,移民の家族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01303,東洋大学,伊奈川 秀和,行政計画等による医療・福祉の需給調整に関する法学的研究,人口減少社会を乗り越え、今後とも必要な医療・福祉サービスを地域において過不足なく提供していくための需給調整に関する唯一の正解はない。そうした社会保障を取り巻く困難な状況にあって、本研究は、日本の多様な地域実態及びサービスの偏在を踏まえると同時に、日本と比較して人口希薄なフランスを比較対象国にとりあげ、研究の成果として、行政計画による需給調整の計画化、関係者が参画する協議会等の民主的プロセス、空間を超えて人々をつなぐデジタル化、規制以外のインセンティブ付与等の手法などを活用した地域づくりアプローチとプロセスアプローチの重要性を提示した。,基盤研究(C),小区分05040:社会法学関連,医療・福祉サービス,需給調整,行政計画,インセンティブ,民主的統制,人口減少,地域づくりアプローチ,プロセスアプローチ,協議会,デジタル化,社会福祉,医療,地域共生社会,全世代型社会保障,見える化,遠隔医療,ビックデータ,計画,サービス,許認可,フランス,福祉,職業選択の自由,総量規制,病床規制,経営主体,持続可能性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01302,神奈川県立保健福祉大学,西村 淳,地域福祉の法的権利構造の解明に関する研究―市民参加支援としての社会福祉の観点から,地域福祉における法的権利関係と支援のあり方を明らかにするため、文献研究のほか、横須賀市における地域ワークショップ、イギリス・メドウェイ市との国際比較研究を行った。その成果として、①社会福祉サービスの個人契約利用・政策決定過程への参画・地域資源への参加について、給付だけでなく一連の権利実現過程の下に置かれた体系としてとらえることができた。②地域福祉について、利用者や住民の権利論としてとらえる可能性と限界を明らかにした。③日英の地域福祉を調査し、具体的な地域福祉の制度と権利実現過程のあり方を明らかにすることができた。本研究全体の成果は、書籍として公刊したほか、日本社会保障法学会においても発表した。,基盤研究(C),小区分05040:社会法学関連,社会保障法,地域福祉,ソーシャルワーク,地域包括ケア,イギリス,住民参加,コミュニティケア,社会福祉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01301,佐賀大学,岩本 諭,独占禁止法の消費者保護機能に関する考察－顧客誘引規制を手がかりとして,本研究は、競争を通じて一般消費者の利益を保護することを目的として制定された独占禁止法の消費者保護機能の現状を把握し、その今日的な課題と今後の方向性を考察するものである。特に、広告などの顧客誘引行為に対する規制と消費者の救済を中心に検討した。,基盤研究(C),小区分05040:社会法学関連,競争法,独占禁止法,消費者保護,消費者概念,景品表示法,不当な顧客誘引,行政規制,民事規律,脆弱な消費者,デジタル広告,透明化法,国民生活安定緊急措置法,顧客誘引規制,消費者保護機能,公正競争,顧客誘引,デジタルフラットフォーマー,消費者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01300,九州大学,VAN・UYTSEL S,"Artificial Intelligence, Price Setting Strategies and Antitrust Law: Towards a Regulatory Framework",本研究では、価格敏感情報の単なる伝達を禁止する競争法が、あらゆる種類のAIによる談合に適用できることを発見した。 さらに、そのような競争法が起業家に法の遵守を義務づければ、責任を逃れることは困難であろう。また、透明な情報に基づいて動作するAIは、談合する可能性が高い。価格決定AIのさらなる監査によってこの結果が確認されれば、談合のリスクを規制するのがよいだろう。特にネット通販のプラットフォームではそうだろう。また、本研究では、AIによる談合について判断する前に、アルゴリズムを正しく理解することが必要であることが強調された。この点で、我々はUberがAIによる談合のケースではないと主張した。,基盤研究(C),小区分05040:社会法学関連,algorithmic collusion,cartel,Uber,algorithmic auditing,concerted practice,online retail,digital economy,price setting,hub-and-spoke conspiracy,Amazon,online grocery markets,resale price maintenance,hub-and-spoke collusion,opaqueness,tranparency,Japan,Antimonopoly Law,JFTC,hub-and-spoke cartel,cartel facilitator,horizontal shareholding,common shareholding,kansei dango,vertical cartel,Asian competition,compliance,type I and II errors,messenger model,hub and spoke model,signaling model,digital eye model,black box testing,price fixing,tacit collusion,alternative regulation,,,,,,,,,,,,,,,,,,,,,
18K01299,九州大学,山下 昇,中国におけるクラウドソーシングの就労者をめぐる労働法上の問題の研究,本研究は、日本と中国におけるクラウドワーカーに対する労働法上の課題を研究することを目的としている。2020年からの新型コロナウイルス感染症の影響は、両国において、この問題をより先鋭化させて、アプリケーション等を媒介としたフリーランスの就労の課題を明らかにした。日本では、非労働者としてのフリーランスの保護を目的とした法改正や政策が実施される一方で、労働者としての扱いを求める不当労働行為の申立や裁判において、判断が下されている。中国では、政策レベルでの対応が行われていることが分かった。しかしながら、両国においても、クラウドワーカーに対する規制等は、まだ課題が残っており、研究を進める。,基盤研究(C),小区分05040:社会法学関連,労働法,フリーランス,労働者性,時間外労働手当,雇用調整助成金,高年齢者就業確保措置,整理解雇,プラットフォーム就労者,新型コロナウイルス,中国,労働紛争解決手続,雇用保険,雇用類似の就業,創業支援,プラットフォーム,労働時間規制,賃金,休業,クラウドワーカー,個別労働紛争解決手続,賃金支払,集団的労働紛争,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01298,九州大学,新屋敷 恵美子,集団的労働関係法上の権利を通じた個別的労働関係法上の権利義務の段階的実効と設定,本研究は、雇用・就労形態の多様化の文脈における、新しい就労形態で役務を提供する者の集団を通じた集団的労働関係法上の権利に基づく個別的労働関係法上の権利実効の可能性、そして、そうした権利行使過程の中で構想されうる新たな個別的な権利の可能性の有無とその内容を、イギリス労働法における議論を比較研究の対象とし、析出していった。コロナウィルス感染拡大の影響により、現地でのインタヴューを行うことはできなかったが、そうした集団において特に問題とされる権利、また、そうした集団に関連して問題になりうる権利利益に関する紛争（裁判例）を分析し、個別的な権利や利益、あるいは、企業組織に係る権利や利益を明らかにした。,基盤研究(C),小区分05040:社会法学関連,合意,強行法規,上限規制と下限規制,労働関係の不確定化,権利の実効性確保,就業形態の多様化,制定法と契約法との相互関係,制定法の規定の強行性,契約書面,代位責任,vicarious liability,法の実効性確保,就労をめぐる時間の多様化,契約内容の断片化,労働法規制と契約解釈,合意の尊重,契約解釈,性質決定,クラウドワーク,集団的労働関係法上の労働者,契約締結強制,契約の拘束力,実効性確保,団体交渉,非正規労働者と団体交渉,労働協約,契約規範の構成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01297,大阪大学,福田 雅樹,電気通信設備の接続に関する一般的制度から導出される実体規範に関する研究,本研究においては、電気通信事業法に設けられている接続請求応諾義務及び接続の業務に関する業務改善命令の制度から導き出される実体規範の内容に関し、その沿革、接続に関連する他の諸制度及び接続に関する諸制度以外の電気通信ネットワークの構築に関連する新旧の諸制度、欧米における同種の制度、他の公益事業における類似の新旧の制度等を参照しつつ、関連する裁判例及び学説を分析することを通じて整理した。その上で、締約強制に関連する裁判例及び学説、継続的契約の解消に関連する裁判例及び学説、取締法規の私法的効果に関連する裁判例及び学説等を参照することにより、接続請求応諾義務の私法的効果についても考察を施した。,基盤研究(C),小区分05040:社会法学関連,電気通信事業法,電気通信設備相互間の接続,電気通信事業の公共性,接続請求応諾義務,役務提供義務,業務改善命令,卸電気通信役務,公益事業法,ネットワーク,接続,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
