awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01379,関西学院大学,山田 到史子,グローバルスタンダードとしての国際物品売買法CISGに対する民法改正法の位置づけ,日本民法改正法は世界の契約法の中でどのように現代化されたと言えるのか。その改正の方向は、今迄の日本民法典の世界の契約法での位置づけを（コモンローと大陸法の対立の中で）変えたのか。その変化・位置づけの変更は望ましいか。改正の意義・評価を、CISGの最新の判例（裁判例・仲裁判断の違いを踏まえ）と最新の理論状況を調査・確認した上で、経済的効率性（コモンローの重視する観点)に加え、文化・社会・道徳的考慮・安定性・公共の福祉（大陸法が重視する観点）から行った。実務から非実用的で実効性を持たないと言われた旧法は、改正によりいずれの観点からも利益配分上の妥当性と効率性を備えた現代化を果したと言える。,基盤研究(C),小区分05060:民事法学関連,CISG,日本民法改正法,比較法,契約法の現代化,ウィーン売買条約,民法債権法改正,国際物品売買契約に関する国連条約,グローバルスタンダード,モデル法,国際物品売買法,国際物品売買契約に関する国連条約（CISG）,民法改正法(債権関係）,国際商事仲裁,契約法の比較法,仲裁裁判,国際動産売買法,日本民法債権法改正,仲裁,契約法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01378,関西大学,寺川 永,複合的消費者役務提供契約における解消法理とその現代的機能に関する研究,本研究は、消費者役務提供契約が別の契約と結合する場面を「複合的消費者役務提供契約」と捉え、中途解約等の解消の場面において生じる法理（解消法理）を中心に、ドイツ法およびEU私法の展開をふまえ、その現代的機能について検討し、特に役務提供契約に関する新たな法理論の構築を目指すものである。本研究では様々な視点から検討を加えてきたが、その成果をもってしても上記法理のさらなる検討の必要性は認められるが、他の契約と結合する複合契約においてどのような影響を与え、その際「役務」という特徴がどのような機能をもたらすのかについて、新たなビジネスモデルが台頭する中、さらなる考察を要することを考えさせる契機となった。,基盤研究(C),小区分05060:民事法学関連,複合契約,消費者契約,役務提供契約,民法,解消法理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01377,龍谷大学,今川 嘉文,高齢化社会における財産・株式管理と承継の法的課題ならびに信託活用による対策,単著として、『中小企業オーナーのための 財産・株式管理と承継の法律実務』（弘文堂）2020年に、『激変する医療法人の運営・資金調達・承継の法律実務』（日本加除出版）を2023年に、『会社法の制度と機能』（中央経済社）2022年に発刊した。共著として、『注融商品取引法【改訂新版】（第4巻）』 岸田[監修]、神作他[編集]（きんざい）を2022年に、『スタンダード商法Ⅳ 金融商品取引法』（法律文化社）を2021年に発刊した。論文として「外貨建て保険のリスクと消費者保護法制の検討」先物・証券取引被害研究51号8（先物取引被害全国研究会刊・2022年）など多数を公表した。,基盤研究(C),小区分05060:民事法学関連,株式の管理,事業承継,株主の管理,民事信託,高齢者の財産管理,中小企業オーナー,財産承継,死後の事務,株式の承継,支配株主,中小企業,株式管理,高齢化社会,財産管理・承継,株主管理,空き家対策,株式管理と承継,財産管理と承継,高齢者入居施設,死後の関連事務,中小企業のオーナーのための株式・株主の管理,高齢者の死後の事務事務,成年後見人による財産管理,事業承継円滑化法,高齢者の財産承継と信託,財産・株式管理と承継,空き家防止策,受益者連続信託,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01376,同志社大学,金 春,国際倒産の諸問題ーアジア太平洋諸国における海運会社の倒産を契機として,本研究期間全体を通して実施した研究及びその成果の概要としては、研究代表者が公表された論文・著書や学会報告からも分かるように、国内倒産手続及び国際倒産手続と仲裁の調和、外国倒産手続における承認援助の基本的な枠組みについての比較的研究、最新のケースを通じた国際倒産における承認援助の要件・効果に関する研究、倒産解除特約の効力等について考察を行い、日本国内外の倒産法および国際倒産法の解釈論上・立法論上の課題について有益な提案を行ったことである。,基盤研究(C),小区分05060:民事法学関連,倒産法,国際倒産,ADR,承認,中国,オーストラリア,仲裁,倒産解除条項,倒産,破産,個人倒産,免責,破産財団,私的整理,実体的併合,経営者責任,承認援助,日本,韓国,倒産解除特約,相互主義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01375,京都産業大学,渡邉 泰彦,性別と人数を超える親による家族概念の拡張,同性カップルの親子関係について、オランダ、ドイツとの比較法研究をとおして、提供精子を用いた生殖補助医療による異性カップルの親子関係と同様に規律できることが明らかになった。また、父母の一方が法的性別を変更した場合に親子関係に及ぼす影響に関して、とりわけドイツでの判例理論を明らかにした。,基盤研究(C),小区分05060:民事法学関連,SOGI,LGBT,家族法,同性カップル,親子,性別不合,性同一性障害,生殖補助医療,性別変更,同性婚,親子関係,LGBTQ+,親子法,比較法,性別違和,インターセックス,同性の両親,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01374,早稲田大学,白石 大,債権法改正が金融実務に与える影響に関する日仏比較法研究,本研究では，債権譲渡に関する法改正の日仏比較を中心に検討した。債務者への通知・承諾を対抗要件とする日本民法の規律は，フランス法に倣ったものであるが，フランスではこれを廃止し，公示を問題としない制度に移行した。このことは，今後わが国の解釈論・立法論を考えるうえでも影響を及ぼすと思われる。また，譲渡制限特約に関して，フランスは日本の改正法以上に債権譲渡を促進する規律になっており，日本でも特別法の制定などによって譲渡を容易にすることも検討されてよい。さらに，将来債権譲渡に関してフランスでは倒産法との関係を意識した改正が行われており，これはわが国における担保法改正の議論にも示唆を与えるものである。,基盤研究(C),小区分05060:民事法学関連,債権法改正,金融法務,フランス法,債権譲渡,相殺,担保法改正,債権譲渡担保,将来債権譲渡,債権譲渡制限特約,セキュリティ・エージェント,連帯債権,対抗要件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01373,早稲田大学,山本 研,裁判外ワークアウトと倒産手続の連携による実効的事業再生の実現に関する日米共同研究,本研究課題においては、実効的な事業再生の実現という観点から、裁判外ワークアウトと法的倒産手続の連携強化のための方策等について、立法論や手続運用論を含む提言を行うことを目的に、アメリカにおける制度を参考としながら、私的整理と法的倒産手続の関係のあり方、および両者の連携を強化するための方策について検討を進めてきた。,基盤研究(C),小区分05060:民事法学関連,事業再生,裁判外ワークアウト,準則型私的整理,私的整理の多数決化,私的整理円滑化法案,事業再生ＡＤＲ,産業競争力強化法,簡易再生,事業再生ADR,私的整理,法的倒産手続,連邦倒産法,プレパッケージ型,民事再生手続,プレパッケージ型手続,倒産手続,倒産ADR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01372,早稲田大学,山城 一真,契約の履行段階における信義則の基礎的研究――契約法理の構造化への一視点,本研究においては、日本法とフランス法における契約に関する法的規律の比較考察を行い、契約の履行段階において適用される信義誠実の原則（信義則）がどのような役割を果たしてきたかを検討した。具体的には、フランス法における信義則論が、契約の拘束力の原則とどのような関わりをもちながら展開されてきたかを、法理の沿革と現状にかんがみて考察した。以上の成果により、日本法における信義則論の適用領域とその機能を考察するための体系的な視点として、信義則を、契約目的を支持・補強するものと、契約当事者に対して誠実な行為を義務づけるものと二分することが有用であるとの知見が得られた。,基盤研究(C),小区分05060:民事法学関連,契約法,信義誠実の原則,フランス法,契約の履行,権利濫用,形成権,契約の目的,契約当事者の行為,意思表示,契約,信義則,契約の内容規制,契約規制,債権,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01371,早稲田大学,Rademacher C,,この研究は、特許法と営業秘密保護法の複数の分野についてより深くより徹底的に理解することに貢献し、オープンクローズポリシーを調整する際にイノベーターが持つメリットとデメリットをより明確にしました。 特に、この研究では、2 つの保護手段それぞれの利点を分析する際に最も関連性の高い、保護の要件と権利行使のためのツールに関連する特定の質問に焦点を当てました。,基盤研究(C),小区分05060:民事法学関連,Patent,Trade Secret,Innovation,Disclosure,Open-Close Strategy,Patent Enforcement,Patent Protection,Secrecy,Patent Law,Information Law,Trade Secret Law,Patent law,Patent enforcement,Design law,Open-Close,Patent system,SEP,Trade secret protection,Big Data,Standards,trade secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01370,早稲田大学,岩志 和一郎,児童虐待防止のための柔軟な支援と処置－ドイツの新たな児童保護法制を参考にして,当初予定していたドイツでの聞き取り調査ができなかったため、子どもの権利をめぐるドイツの立法動向に焦点を当てた文献研究を行った。ドイツでは2000年代に入ってから、数度にわたって「子どもの権利」の改善や強化を標榜する法律が制定されてきている。中でも2021年の「児童並びに少年の強化に関する法律」においては、社会法典第8編（少年援助法）の大規模改正、連邦児童保護法の一部改正などが行われ、さらにそれと並行して連邦基本法に子どもの権利に関する条項を新設するための議論がなされ、それを受けた政府草案も提示された。本研究では、それら諸法律や草案を全訳するとともに、我が国の法制に参考となるところを検討した。,基盤研究(C),小区分05060:民事法学関連,子どもの権利,子の福祉,児童保護,児童虐待,子の支援,児童福祉法,少年援助法,少年援助,障害者権利条約,子どもの基本権,親子法の変質,親権,子の権利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
