awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01457,甲南大学,平野 淳一,地方自治体における「政権交代」の実態の解明,本研究では市における政権交代（市長の交代）に注目し、それがいかなる要因で生じているのかを探った。また、新しく当選した市長による支持基盤の形成過程についても探った。分析の結果、過去の市長選挙の状況が、市における政権交代と密接にかかわっていることが分かった。当選後の支持基盤の形成にあたっては、独自政策や既存事業の見直しに固執することなく、柔軟に対応する市長ほど再選しつづけやすいことも明らかになった。,基盤研究(C),小区分06010:政治学関連,地方政治論,政治学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01456,関西学院大学,武藤 祥,「クーデタ後」の政軍関係の比較政治史的研究－イベリア両国を事例として－,本研究は、スペインのフランコ体制とポルトガルの新国家体制の下での政軍関係とその変化を分析したものである。両体制は、いずれも軍事クーデタを契機として成立したものの、体制と軍との関係は対照的なものであった。この違いを生んだ要因を、主に政治アクターとしての軍に着目して解明することが本研究の目的である。,基盤研究(C),小区分06010:政治学関連,スペイン・ポルトガル政治史,権威主義体制,政軍関係,イベリア半島,イベリア半島政治史,スペイン政治史,ポルトガル政治史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01455,関西大学,永田 尚三,国民保護行政における専門性の補完体制の比較研究,本研究課題が危惧していた特殊災害（感染症のパンデミック）が発生したことにより、Covid-19対応での行政組織の課題を明らかに出来た。重要な成果としては、わが国の行政組織が長期的な危機への対応体制が不十分である現状を明らかにした点である。また不確実性の高い危機時は、行政組織間の助け合いが十分には機能せず対立が生じる可能性があるので、それを総合調整をする体制の必要性を明らかにした。その後、本研究の研究成果が切っ掛けで、2024年5月の国会における地方自治法の改正議論にも参考人招致され、大規模災害や感染症の大流行などの非常事態に国が地方に対応を指示できるようにする制度の必要性について指摘した。,基盤研究(C),小区分06010:政治学関連,危機管理,危機時の中央地方関係,国民保護,オールハザードアプローチ,文民保護,文民保護組織,オールハザード,ナショナルリスクアセスメント,マルチハザード,国民保護行政,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01454,立命館大学,森 道哉,環境の政治史――政府間関係から見る廃棄物・リサイクル対策,本研究では、政治経済や人々の日常生活と密接な関係を持つ廃棄物・リサイクル問題を戦後の環境をめぐる政治（環境政治）を理解する好個の事例と捉え、政府間関係論の観点から検討した。コロナ禍などの影響を受けて実証的な研究が滞り、環境政治の全体像を掴むに至っていないが、理論的な研究については文献調査や学会活動などを通して一定の進展をみた。主な成果の例としては、東日本大震災において発生した災害廃棄物の処理をめぐる政治過程について理解を深めたこと、特にそうした分析に際して時間軸を導入する重要性を明らかにしたことを挙げておく。,基盤研究(C),小区分06010:政治学関連,環境政治,事例研究,政府間関係,廃棄物,リサイクル,資源循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01453,立命館大学,文 京洙,韓国の地域社会における非営利・協同事業の展開とローカル・ガバナンスに関する研究,本研究では韓国の社会的経済の取り組みが主として個々の事業体の育成・支援を中心とする“点“としての取り組みから、地域社会の再生・創造をめぐる“面”としての取り組みへの転換点にあるとの認識にたって、この新しい局面での地域社会の多様なステークホルダー間の重層的かつ協力的なガバナンスのあり方を、実証的かつ理論的に究明した。,基盤研究(C),小区分06010:政治学関連,韓国,社会的企業,協同組合,市民社会,非営利協同,社会的経済,まちづくり,格差社会,ガバナンス,地域社会,尹錫悦政権,べーシック・インカム,非営利・協同事業,ローカル・ガバナンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01452,南山大学,星野 昌裕,転換期にある中国民族政策の研究,本研究は、中国政治の変容過程を分析するには中国社会の多民族性を射程に入れる必要があるとの認識から、とくに中国の民族政策の枠組みがどのように変化しつつあるのか、その変容過程を明らかにすることを目的としている。この研究を進めるには、新疆ウイグル自治区やチベット地域をはじめとする中国各地の少数民族地域でフィールドワークを実施して、現地の状況を詳細に把握することが必要であるとの認識から、中国社会科学院等に所属する中国人研究者、また同じ研究目的を持つ日本人研究者らとともに少数民族政策の現状と課題に関する現地調査を実施することとしていた。しかし、新型コロナウイルス感染症が世界的に蔓延するなかで中国でのフィールドワークを実施することができず、さらにその間に中国政治社会が大きく変容し、民族問題といった政治的に敏感な課題を現地で調査することが難しい状況が生じてしまった。このような不測の事態に対応するため、文献資料による研究を進めるとともに、ZOOMやWECHAT等を利用して、中国や在京の研究者らとの意見交換を進めるなどして研究を深め、2023年4月には共著書『中国のリアル』を刊行し、その第6章「多民族国家中国の社会構造と民族問題」において、本研究で得られた最新データを利用した。 また、2023年11月には日本国際政治学会2023年度研究大会部会01「国際河川を巡る協調と対立」において司会を務めるとともに、中国の少数民族地域を流れる国際河川の問題について知見を披露した。,基盤研究(C),小区分06010:政治学関連,中国政治,民族問題,民族政策,民族政治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01451,神奈川大学,柴田 直子,英米法系の地方自治における司法の役割,本研究により、（１）３０の州におかれる自治体裁判所について、その組織、管轄権等の一般的な事項を確認できた。また、いくつかの自治体裁判所について、裁判官の選任方法、自治体裁判所の運営資金の出所、自治体裁判所自体の帰属などの情報を収集できた。（２）薬物事犯者に対するプログラムとドラッグ・コートとNPOの連携については、ある程度明らかになったが、自治体との関係については調査ができなかった。（３）自治体裁判所が条例違反を管轄することは確認できたが、競合する州法の実現との関係については調査ができなかった（４）自治体の出訴権については、調査により情報を収集できたが、現時点では成果の分析ができていない。,基盤研究(C),小区分06010:政治学関連,自治体裁判所,自治体の出訴権,コミュニティ・コート,コミュニティ裁判所,アメリカ地方自治,ドラッグ・コート,自治体,英米法,地方自治,アメリカ法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01450,早稲田大学,福田 耕治,超高齢社会の地域包括ケアにおける時間銀行ガバナンス,新型コロナウイルス感染拡大の影響により、欧州諸国がロックダウンを実施し、入国拒否状態になった。そのため欧州委員会の関係行政機関や欧州諸国の高齢者ケアに関する現地インタビュー調査が実施ができなくなった。そこで研究計画の一部を変更し、国内の地域包括ケアに焦点を絞り、日本でも時間銀行システムを導入できる可能性があるボランティア・ワーカーをも含む、自治体等の行政、医療機関や介護福祉施設など、地域包括ケアシステムにおける機関を越えて連携・共働する多職種、多機関連携のガバナンスの在り方について共同研究を行い、その成果を国際査読つきの海外英文ジャーナルに2報を発表し、また国内学会誌にも寄稿した。,基盤研究(C),小区分06010:政治学関連,時間銀行,地域包括ケア,多職種連携,Covid-19,ボランティア,介護ケア,地域包括ケアシステム,超高齢社会,EU,医療・介護・福祉,予見的ガバナンス,フレイル期,EU(欧州連合）,ボランティア活動,イノベーション,ガバナンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01449,明治学院大学,浪岡 新太郎,リベラルな排外主義の理論的実証的研究：フランスにおけるムスリムの排除と抵抗,現在、欧州全般において人権などのリベラルな法規範の強化が進んでいる。しかし、ムスリム系移民出身者の排除を主張する排外主義の言説はしばしばリベラルな法規範に依拠する。ムスリム系移民出身者は、「ムスリムとしての帰属意識」をもつと想定される。そして、この帰属意識を理由として市民権行 使の前提となるリベラルな法規範に従わないことを警戒され、排外主義的な法政策によって、市民権 の実際の行使から排除される傾向がある。そして、排除は治安、政治参加、教育の順番で激しくなっていることが確認できた。また、ムスリムの排除に対する抵抗は、教育、政治参加、治安の順番で組織されることが確認できた。,基盤研究(C),小区分06010:政治学関連,フランス,イスラーム,移民,過激化,市民社会,ムスリム,貧困,共和国,排外主義,差別,市民権,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01448,明治大学,宮杉 浩泰,軍部優位下における昭和戦前・戦中期日本外交の再検討,本研究課題の成果は、以下の三つの論文である。「日本の対ソ情勢判断と情報活動　一九三九-一九四一」（『軍事史学』五五巻二号、二〇一九）、「情報活動と日本外交‐一九三八年を中心として」（『東京大学日本史学研究室紀要』二四号、二〇二〇）、「島内志剛日記にみる対ソ通信情報活動」（『Intelligence』二二号、二〇二二）。,基盤研究(C),小区分06010:政治学関連,軍令部第四部第十一課,宇垣一成,島内志剛,海軍中堅層,吉田茂,赤軍の西送,政軍関係,外務省革新派,陸軍省軍務局,憲兵,インテリジェンス,関東軍特種演習,軍務局軍務課,軍務課外交班,無線傍受,通信情報,関東軍,日中戦争,内閣書記官長,松岡洋右,極東赤軍,軍令部第11課,参謀本部第二部,駐在武官,重光葵,軍務局外交班・支那班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
