awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K01499,独立行政法人日本貿易振興機構アジア経済研究所,浜中 慎太郎,FTAにおける国際経済ルールの制定・発展に関する理論・実証研究,FTAの電子商取引章のルールが、どのようにしてソフトなものからハードなものに変化してきたのかを明らかにした論文を執筆し、World Economyに掲載させた。その後、米中間でデジタル関連貿易での摩擦が激化したことで、電子商取引ルールの交渉が極めて「地政学的」になり、当該分野のみを対象として研究を進めることには限界が見えてきた。,基盤研究(C),小区分06020:国際関係論関連,国際ルール,電子商取引,法伝統,国際経済ルール,ハーモナイゼーション,相互承認,国際ルール設定,FTA,ルール・メイキング,ルール設定,国際政治経済学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01498,国際日本文化研究センター,楠 綾子,日本外交における「自主」「自立」の実像と虚像ー1950年代の対米自主路線の考察,第一に、在日米軍基地の運用や防衛分担金の減額をめぐる日米協議を通じてさまざまな合意が形成され、慣行が定着するなかで、「基地」は日米の安全保障関係、さらに日本政治、社会に組み込まれたことが明らかになった。第二に、米軍基地が地域の平和と安定のために果たしている役割について、日米は、少なくとも1950年代半ばごろまでは、米国と理解を共有していなかったことである。「地域」をめぐる認識ギャップは、地域的集団安全保障枠組みの形成が困難だった原因を示唆している。第三に、講和後の吉田内閣、および鳩山内閣から岸内閣初期にかけての時期が、1950年代の日米の安全保障関係のなかでもった意味を明らかにしたことである。,基盤研究(C),小区分06020:国際関係論関連,1950年代,日本外交,日米関係,安全保障,冷戦,戦後日本外交,日米安全保障条約,在日米軍基地,再軍備,同盟,対日講和条約,日米安保条約,日本占領,吉田路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01497,京都大学,佐野 真由子,国際博覧会条約（1928年）及び博覧会国際事務局（1931年）の成立に関する研究,本課題は、今日まで続く万国博覧会が拠って立つ「国際博覧会条約」（1928年採択）、それに基づき1931年に発足した国際機関「博覧会国際事務局（BIE）」の成立過程を主たる研究対象としたものである。公的な国際制度としての万博の諸側面が掘り起こされるとともに、それらが単に、直接の対象である催事の問題にとどまらず、戦間期国際政治過程の一環として評価し直されるべきものであることが明らかになった。,基盤研究(C),小区分06020:国際関係論関連,万国博覧会,国際制度,世界,植民地,文化多様性,人類史,戦間期国際関係,国際社会,外交関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01496,立命館アジア太平洋大学,吉松 秀孝,一帯一路構想に対する中国周辺国の戦略的対応に関する比較研究,インド、インドネシア、日本は、一帯一路構想を軸とした中国の地経学的プレゼンスの高まりから大きな影響を受けている代表的3カ国である。同構想に対する3カ国の政策対応を比較・検討し、その対応には等しくヘッジ戦略としての特徴が確認されること、と同時に中国との外交安全保障関係、地域制度への関与、あるいは国内政治状況が3カ国の政策対応の具体的方向性・内容に大きな影響を与えていたことを確認した。こうした研究結果を、アジア太平洋の国際関係に関する主要学術誌に論文の形で出版するととともに、BRIへの主要国の対応に関する比較研究プロジェクトに研究成果の一部を反映できたことは大きな研究成果であると考えている。,基盤研究(C),小区分06020:国際関係論関連,一帯一路,地域協力,ヘッジ戦略,選択的順応,制度均衡,一帯一路構想,地域制度,制度的均衡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01495,神戸学院大学,北村 厚,ナチ・ドイツ外交における「中欧」と「ヨーロッパ」の研究,本研究はナチ期のドイツ外交における中欧の構想と政策を検討し、そこにヨーロッパ統合の要素がどのように組み込まれていたのかを明らかにするものである。その結果、ヴァイマル共和国時代のヨーロッパ統合への方向性を持つ中欧構想は、ブリューニング内閣の独墺関税同盟計画、パーペン内閣のドナウ関税条約へと引き継がれた。ナチ期の広域経済圏構想にはヨーロッパ統合の要素は見られないが、ドイツに対抗するイタリアの中欧構想（ローマ議定書）には確認することができた。,基盤研究(C),小区分06020:国際関係論関連,ドイツ外交史,中欧,パン・ヨーロッパ,シュトレーゼマン外交,ナチ外交,グローバル・ヒストリー,ナチ・ドイツ,ムッソリーニ,ドルフス,アンシュルス,関税同盟,シュトレーゼマン,ファシズム,ヨーロッパ統合史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01494,関西外国語大学,酒井 英一,日本の防衛新体制への道：日英・日豪防衛協力の比較分析,"日本の外務省、防衛省、海上自衛隊、在日英国大使館にてインタビューを実施した。その後キャンベラにて豪防衛省にてインタビューを実施した。ロンドンでは外務・英連邦省と王立国際問題研究所を訪問した。これらの取材で得た情報をもとに論文を執筆し、ISAとIPSAの会議にてそれらの論文を発表した。その後に論集を昨年 Alliances in Asia and Europe (Routledge) として出版した。編集者は佐藤洋一郎氏が務め、私は Chapter 5: ""Japan-Anglo Alignment or the Second Anglo-Japan Alliance?"" を執筆した。",基盤研究(C),小区分06020:国際関係論関連,国際政治,安全保障,イギリス,オーストラリア,中国,同盟,擬似同盟,防衛,ヘッジング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01493,南山大学,小尾 美千代,米国の再生可能エネルギー（ＲＥ）市場の社会的構成：ＲＥの戦略性に注目した分析,本研究は、気候変動への重要な対応策である再生可能エネルギー（RE）の導入拡大に注目し、二酸化炭素を始めとする温室効果ガス排出大国のアメリカにおけるRE市場の社会的構築の解明を目的としている。分析にあたっては、州政府・主要都市などの政府系アクター、多国籍企業や大手金融機関などの民間経済アクター、米軍を含めた国防総省を中心とする軍事アクターの3つを主な分析対象としている。,基盤研究(C),小区分06020:国際関係論関連,脱炭素化,気候変動,国防総省,米中経済摩擦,フレンドショアリング,ESG投資,カーボンニュートラル,機関投資家,TCFD,米軍,エネルギー安全保障,気候危機,Climate Action 100+,エンゲージメント,ダイベストメント,再生可能エネルギー,座礁資産,グリーン・スワン,アメリカ,ESG,州政府,RPS,RE100,クリーンエネルギー,アメリカ中間選挙,州知事選,気候変動対策,アメリカ気候変動対策,気候変動リスク,エネルギー戦略,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01492,名古屋商科大学,溝渕 正季,中東地域秩序形成における域外大国と域内主要国の競合とその相互作用に関する研究,2010年末以降に顕在化した、いわゆる「アラブの春」を契機として、それまで米国と親米権威主義諸国の「共犯関係」の下で維持されてきた「非リベラルな覇権秩序」 の脆弱性、そして米国が既に中東において引き続き覇権的影響力を行使していく意思もパワーも欠いているという事実、これら2つが白日の下に晒される結果となった。それでは、胎動しつつある新しい中東地域秩序とはいかなるものであるのか。本研究では、主として「アラブの春」以降のペルシア湾岸地域に焦点を当て、「中東の地域秩序形成において域外大国はどのような役割を果たしているのか」という問いに答えを見出すことを目的とした。,基盤研究(C),小区分06020:国際関係論関連,中東,国際政治,安全保障,地域秩序,アメリカ,ロシア,中国,軍事,地域的安全保障複合体（RSC）,米国,地域研究,覇権,国際秩序,地域安全保障複合体（RSC）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01491,フェリス女学院大学,杉之原 真子,先進諸国における海外直接投資規制の政治学的研究－利益集団アプローチによる国際比較,米中対立を背景に、経済政策策定にあたり経済要因とともに安全保障面の考慮が不可欠になっている。本研究では、米国と日本の海外直接投資（FDI）規制の形成過程を検討した。米国では、2018年外国投資リスク審査現代化法（FIRRMA）の成立過程などにおいて、政策決定者の動きには選挙区の経済利害に加え、それとは独立した中国に対する認識の影響が強くみられることを明らかにした。日本については、行政主導の政策決定過程の背景に、産業界からの要請があったことがわかった。,基盤研究(C),小区分06020:国際関係論関連,対内直接投資,海外直接投資,投資規制,経済安全保障,米国議会,米国,日本,政策決定過程,利益集団,FDI,個人情報,経済規制,グローバル化,規制政策,経済と安全保障,グローバリゼーション,対内投資規制,規制,海外直接投資（FDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K01490,早稲田大学,李 鍾元,日米韓の安全保障関係の形成と展開に関する歴史的および政策的研究,本研究では、東アジアの安全保障体制に関する重要な争点の一つとして浮上している日米韓三国の間の安全保障関係の形成と展開過程について、歴史資料に基づく実証的解明とともに、政策論的な分析を行った。,基盤研究(C),小区分06020:国際関係論関連,日米韓,米韓同盟,日韓関係,インド太平洋,北朝鮮,地域主義,一帯一路,朝鮮半島,安全保障,日本外交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
