awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K02928,独立行政法人大学改革支援・学位授与機構,渋井 進,大学評価支援へ向けた評価指標の妥当性チェックリストの開発,本研究では、大学や評価機関が設定する指標における妥当性や、評価手法や手続きを含めた評価全体の妥当性・信頼性をチェックする手法について検討した。「学習成果」、「内部質保証」等の近年着目されているトピックに対して過去の評価書をもとに内容分析を行うことで、指標の特定を行った。また、研究評価において複数の評価者がいた場合の評定者間信頼性についても検証し、研究分野間での比較を行った。さらには、非侵襲的調査手法として、一般に公開されているデータを用いて、評価者-被評価者間での負担軽減について検討を行った。,基盤研究(C),小区分09070:教育工学関連,大学評価,妥当性,評価指標,指標,非侵襲的調査,評価疲れ,縦断的調査,チェックリスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02927,国立情報学研究所,古川 雅子,オンライン学習履歴データに基づくリカレント教育支援手法の検討,本研究は，主に社会人学生を対象とした学習行動パタンの解析および効果的な学習支援を目的として，通信制大学において蓄積されたオンライン学習履歴データ について，修了した学生と退学した学生の学習行動の違いについて解析し，修了した学生の学習行動パタンに関する知見等を他の学生への効果的な学習支援に繋げるものである。具体的には，学習履歴データを解析・可視化するシステムを開発し，入学時から卒業時までの全ての履修科目における学習行動パタンの特徴抽 出及び同一科目における修了した学生と退学した学生の学習行動パタンの特徴抽出を行った。,基盤研究(C),小区分09070:教育工学関連,オンライン学習,リカレント教育,学習履歴データ,ラーニングアナリティクス,ラーニング・アナリティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02926,神戸市立工業高等専門学校,佐藤 徹哉,脈波解析による学習取り組み姿勢の評価を可能とする実験プラットフォームの開発,本研究ではICT技術を活かした教育実践実験プラットフォーム、特に脈波解析による学習取り組み姿勢の評価を行うことができるシステムを開発しました。,基盤研究(C),小区分09070:教育工学関連,ICT技術応用,教育工学,英単語学習,生体情報,脈動波形,心拍間隔,眼球電位,まばたき,Android端末,AI対話,educational technology,learner's behavior,biometric information,pulsewave analysis,mobile learning platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02925,仙台高等専門学校,菅谷 純一,3軸ステージ・２自由度液面動的制御実験支援システムの開発,X-Z型振り子制御システムとして「２自由度振り子制御体系的制御実験支援システム」における実機を製作し、立位制御と振り上げ制御を確認した。実機にスライディングモード,基盤研究(C),小区分09070:教育工学関連,X-Z型倒立振子,立位制御,スライディングモード制御,振上げ制御,非線形制御方式,エネルギー制御,切換超平面,X-Y-Z型3軸倒立振子,振り上げ制御,DSP,電流制御,鉛直移動型倒立振子,力学的エネルギー,非線形制御,PID制御,Ｘ－Y型倒立振子,シーケンス制御,PBL学習,3軸ステージ液面制御システム支援システム,液面動的制御システム,Ｘ－Ｚ型倒立振子制御ｂシステム,２軸強調動作制御,２自由度液面制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02924,長崎国際大学,ローソン トム,Development of a Massively Open Online Course (MOOC) for Language Training to Support the Globalization of the Hospitality Services Industry,このプロジェクトは、Massive Online Open Courseの開発に必要なプロセスについての調査から始まりました。その目的は、コースの作成プロセスを学ぶことでした。プロジェクトの最初の数年間、チームはMOOCの設計とコンテンツ作成について多くのことを学びました。しかし、Covid19の世界的流行が到来すると、MOOCのコンテンツ制作で学んだことが、その後オンデマンドのカリキュラム開発に生かされることになりました。結局、オンラインでのセルフアクセス学習の実現はある程度成功したのですが、その量を測るのは難しいことでした。,基盤研究(C),小区分09070:教育工学関連,edtech,content,development,on-demand,curriculum,MOOC,EFL,H5P,interactive,completion,tracking,English,language,courseware,animation,hospitality,training,elearning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02923,福岡工業大学,利光 和彦,粒子法によるバーチャルリアリティ医療触診訓練システムの開発,病変の触診感覚を手指で体験的に学ぶことができるVR触診訓練システムの開発研究を行った．力覚インターフェースとして，新たに人工生体人肌モデルを用い，内部しこりは，形状と硬さが自由に可変できる負圧粒子剛性要素を用いた．触診指の位置は，静電容量式センサ（I-SCAN）およびwebカメラでリアルタイム検出し，コンピュータ上のVRモデルと連動して表示可能である．さらに，大変形弾性解析プログラムとして，粒子法計算プログラムを作成し，有用性を確認した．特に，これまで不明であった応力について，独自の手法によりFEM解析と比較可能とした．開発したシステムは，医学生の触診教育などに有用であることが期待される．,基盤研究(C),小区分09070:教育工学関連,計算医療工学,教育工学,VR触診,粒子法,弾性変形,医療シミュレータ,MPS,触診教育システム,力触覚インターフェース,粒子法解析,遠隔診療,触診訓練システム,力覚センサー,生体変形,仮想現実,計算医工学,触診,力覚センサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02922,四国大学,戸川 聡,多様化する危機に対応した適応的リスク管理のためのマルチクラウド教育支援環境の構築,本研究では，自然災害や地政学的問題など多様化するリスク要因に対する教育支援環境のリスク管理機構の提案をおこなった。教育支援システムにおいてパブリッククラウドの単一的な適用のみでは多様化するリスクへの対応は難しい。マルチクラウド環境を対象として，リスク要因に対応した減災ポリシーの策定と選択された減災ポリシーに基づく適応的なリスク対応戦略により，様々なリスク要因に対するシステムのレジリエンスを確保できることを示した。COVID-19による新たな脅威に対しても，減災ポリシーを策定し適用することで新たなリスクに適応的に対応できる可能性を示唆した。,基盤研究(C),小区分09070:教育工学関連,教育支援システム,適応的リスク管理,マルチクラウド活用,コンテナ型仮想化,危機管理,システム減災,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02921,比治山大学,山田 耕太郎,ブロック型言語とテキスト型言語の相乗効果を意図したプログラミング教育の実践的研究,本研究はプログラミング教育において，ブロック型プログラミング言語とテキスト型プログラミング言語を用いる相乗効果を評価・検証することを目的としたものである。評価・検証に必要な学習者のプログラム構築過程の把握は，本研究で開発したシステムで可能となった。このシステムを使って学習者のプログラム構築過程を分析したところ，学習者の試行錯誤の質の違いがプログラミング行動に現れていることが分かった。,基盤研究(C),小区分09070:教育工学関連,試行錯誤,プログラミング教育,ブロック型言語,テキスト型言語,Blockly,プログラミング行動,プログラミング的思考,迷路ゲーム,論理的思考,論理的思考力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02920,甲南大学,若谷 彰良,並列プログラミングのための反転授業向け学習支援ツールの研究,並列プログラミングの学習においては、一般のプログラミング言語と同様に、大量の例題を用いた演習による学習が有効である。本研究では、CUDA、OpenMP、POSIX thread、MPI、AVX、OpenACCの各並列プログラミングツール向け学習ツールからなるwebアプリケーションスイートを作成し、それぞれのツールに対して音声付き電子教材及び演習ツールを日英両方の言語で作成した。演習ツールはPHP言語を用いて問題を自動生成するようにしており、実運用により本webアプリケーションスイートの有効性を確認した。,基盤研究(C),小区分09070:教育工学関連,MOOC,自動生成,反転学習,自習,PHP言語,OpenACC,LLM,生成AI,並列処理,FPGA,量子アニーリング,並列プログラミング,CUDA,MPI,OpenMP,AVX,教育工学,ソフトウェア,学習システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K02919,近畿大学,大内 秀一,基礎薬学の知識を臨床へつなぐ参加型学修システムの開発,本研究の目的は、臨床の場で起こりうる問題を学習者が基礎薬学の“物理・化学・生物”の知識を駆使して解決していくことで、“物理・化学・生物”を学ぶ動機と面白さを知り、学習意欲を高める学修システムを開発することである。知識を駆使して問題を解決する学習方法として、PBLとTBLの2つの長所をハイブリッドさせたシステムを学習管理システムのMoodle上に構築した。学修システムを運用して検証した結果、学習者の学習意欲を高める効率的な学修システムであることを明らかにした。また、開発した学修システムは、多数の学習者がいても教授者一人で運用可能であること、さらに、リモート学習にも適用可能であることを示した。,基盤研究(C),小区分09070:教育工学関連,学修システム,問題解決型学修,チーム基盤学修,薬剤師国家試験,Moodle,テキストマイニング,問題解決型学習,チーム基盤型学習,オンライン学習,問題基盤型学習,機械学習,副作用,薬学教育,基礎薬学,学習管理システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
