awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03264,東北学院大学,石田 弘隆,分岐被覆、微分方程式およびモジュライ空間を通じた代数曲線束のジオグラフィーの研究,"本研究課題では, 特定の構造をもつ非特異射影代数曲線上の代数曲線束に関して，相対的オイラー・ポアンカレ標数，相対標準因子の自己交点数やファイバーの種数といった不変量がどのような値を取りうるかという代数曲線束のジオグラフィーの問題を研究した．主に射影直線束の3重被覆で与えられる代数曲線束について考察し, 分岐跡の型に応じた不変量間の不等式を証明した．特に，スロープやオイラー・ポアンカレ標数の下限は，ファイバーの種数が3を法として2と合同である場合とそうでない場合では大きく異なることを示した．さらに，具体的に射影直線束の3重被覆を与えて多くの代数曲線束の存在性を証明した．",基盤研究(C),小区分11010:代数学関連,代数曲線束,代数曲面,分岐被覆,モジュライ空間,複素微分方程式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03263,茨城工業高等専門学校,坂内 真三,平面代数曲線の埋め込み位相の研究の新展開,"本課題では平面代数曲線の埋め込み位相に関する研究を行なった. 特に, 平面曲線のどの様な代数的特徴が位相的な差異を生むのかや, 複雑な代数的特徴をより扱いやすく記述する方法について研究した. その結果, これまで使用されていた「分解型」と呼ばれる不変量と two-graph や曲線の Jacobian の捩れ元との関係を見出すことが出来た. また, これらの応用として, 新たな興味深い曲線配置の例を多く発見することが出来た. さらにこれらの研究結果をまとめた計10本の論文が査読付き論文雑誌に掲載され, 外国の研究者との国際共同研究の発展にもつながった.",基盤研究(C),小区分11010:代数学関連,Zariski pair,plane algebraic curves,curve arrangements,embedded topology,平面曲線の埋め込み位相,平面曲線配置,Zariski tuple,分解曲線,楕円曲線,楕円曲面,曲線配置,平面曲線,ザリスキー対,マトロイド,対数的べクトル場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03262,福岡大学,佐藤 拓,高次元特異トーリック多様体の収縮写像の変形,（１）以前構成した非特異完備トーリック多様体からなる変形族の再考察を行なった。複素射影直線上の複素解析族であるが、当時必要とされた完備トーリック多様体はゼロ上のファイバーのみであったため、もう一方の無限遠点上のファイバーについては詳細を明らかにすることを行っていなかった。未だ研究途中であるが、引き続き構造を解明することを目指すとともに、これを機に更なる変形族を構成することも視野にいれて研究を行う予定である。また、トーリック多様体の変形理論一般の再考察も行なった。これに関する研究は複数存在するが、今まで利用していなかった結果が本研究にも影響を与えそうであることを確認している。,基盤研究(C),小区分11010:代数学関連,トーリック多様体,変形理論,ファノ多様体,弱ファノ多様体,森理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03261,岡山理科大学,池田 岳,量子K理論におけるシューベルト・カルキュラス,一般旗多様体の量子 K 環において，シューベルト・カルキュラスを考える． A 型の場合に， K 理論的 Peterson 同型から得られるシューベルト類の対応を明示的に記述することに成功した．これは非常に具体的な多項式代表の間の対応である．,基盤研究(C),小区分11010:代数学関連,量子 K 環,アフィン・グラスマン多様体,Peterson 同型,ヒルベルト・サミュエル重複度,ヴェクシラリ,シューベルト多様体,量子 K 理論,グラスマン多様体,量子K理論,シューベルト・カルキュラス,Grothendieck 多項式,K-Peterson 同型,シューベルト類,ピーターソン同型,アフィングラスマン多様体,可積分系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03260,近畿大学,井原 健太郎,保型多重L-関数と保型多重ポリログのアソシエーション,Rankin積との関係などを含め、保型多重L-値のなす周期代数と調和積の構造に興味が持たれる。近畿大の中村氏と慶応大の山本氏との共同研究により、多重ゼータ値のメリン積分表示を得た。これにより、調和積がその被積分関数の積を起源として得られることが判明した。この研究のシャッフル積版として、近畿大の石橋氏との共同研究で、多重フルヴィッツポリログのメリン積分表示を得た。また、近畿大の中村氏らとの研究にて、多重フルヴィッツゼータ値の大野・Zagier型関係式を得て、この結果は2022年に専門誌に掲載された。近畿大の松田氏との最近の結果として、保型多重L-値とDedekindゼータ値との関係が見つかった。,基盤研究(C),小区分11010:代数学関連,multiple L function,multiple zeta values,elliptic modular form,harmonic product,Mellin transformation,Hurwitz zeta function,Dedekind zeta function,保型L関数,多重ゼータ値,アソシエーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03259,島根大学,藤井 俊,岩澤理論と非可換不分岐ガロワ群論の研究,円分体のイデアル類群のマイナス商について、任意の有限アーベル群があるn分体のマイナス商の部分群に現れること、実アーベル体の円分拡大のマイナス商のlift写像の核の指数が、基礎体のみで定まる定数で抑えられることを示した。また、総実体のGreenberg予想の弱形に対する必要十分条件を得た。さらに、任意の素数に対して、一般Greenberg予想が成立する虚アーベル体が無数に存在することを示した。一般Greenberg予想に対する結果の応用として、非アーベル岩澤理論における非自由性予想が成立する代数体が無数に存在することを示した。,基盤研究(C),小区分11010:代数学関連,円分体,イデアル類群のマイナス商,一般Greenberg予想,非可換不分岐拡大,非自由性予想,虚二次体,類数,虚アーベル体,不分岐岩澤加群,尾崎予想,イデアル類群,持ち上げ写像,マイナス商,多変数岩澤理論,pseudo-null部分加群,非可換不分岐ガロワ群,岩澤理論,円分的Z_p拡大,一般グリーンバーグ予想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03258,立教大学,ガイサ トーマス,,ヘンゼル離散付置環および算術スキームに関するヴェイ・エタールのコホモロジーに関する研究は、5つの論文につながりました。,基盤研究(C),小区分11010:代数学関連,Brauer group,Local fields,Motivic cohomology,Birch-Swinnerton-Dyer,Class field theory,Weil etale cohomology,Local class field theory,Duality,Locally compact groups,One-motives,Birch Swinnerton Dyer,Weil-etale cohomology,Tamagawa number formula,BSD conjecture,Brauer Manin obstruction,Arithmetic cohomology,cohomology theory,local fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03257,日本大学,下元 数馬,パーフェクトイド空間の研究と可換代数への応用,Y.Andreによる直和因子予想がパーフェクトイド空間の手法を用いて解かれて以来、混合標数の可換環論の研究が大きな進展を遂げてきた。当該研究において、big Cohen-Macaualay代数の構成の精密化、パーフェクトイド・アビヤンカーの補題の拡張、パーフェクトイド空間の非完備化とネーター環論への精密化などに関して幾つかの重要な成果を挙げることが出来た。また可換環を乗法的モノイドとして捉えることで新しい知見が得られることも明らかになった。,基盤研究(C),小区分11010:代数学関連,可換環論,代数多様体の特異点,Banach環,パーフェクトイド空間,Frobenius写像,概可換環論,Cohen-Macaulay代数,ネーター環の変形問題,パーフェクトイド環,パーフェクトイド・タワー,対数的正則特異点,エタールコホモロジー,非完備化,Riemann拡張定理,概純性定理,Tate環と完備化,Witt環,Tate環,エタール射,パーフェクトイド代数,数論的可換環,フロベニウス写像,ホモロジカル予想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03256,東京理科大学,山川 大亮,野性的指標多様体の基礎理論構築,コンパクトリーマン面上のモノドロミー・ストークスデータの安定性と、対応するストークス表現の既約性が同値であり、一方多重安定性は、対応する有理型接続の微分ガロア群の線形簡約性と同値であることを証明した。,基盤研究(C),小区分11010:代数学関連,野性的指標多様体,モノドロミー・ストークスデータ,安定性,多重安定性,ストークス表現,線形常微分方程式,有理型接続,微分ガロア群,クイバー概型,モノドロミー保存変形,量子化,ストークス局所系,次数付き局所系,多重安定,線形簡約,正準量子化,量子スペクトル曲線法,マニン行列,ラプラス変換,合流,モジュライ空間,カッツ・ムーディ代数,ハミルトニアン,マンフォード安定性,リーマン・ヒルベルト・バーコフ対応,特異点解消,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03255,東京理科大学,功刀 直子,有限群のモジュラー表現におけるブロックの導来同値について,有限群のモジュラー表現論において，有限群の導来同値や森田同値での分類は重要な問題である。例えば，与えられた群の可換不足群をもつブロックとp局所部分群のブロックの関係を述べたBroue予想や，与えられたp-部分群を不足群にもつブロックの森田同値類の個数の有限性を述べたDonovan予想などがある。この2つの予想と関連して，無限系列で現れるLie型の有限群のブロックの森田同値性の問題がある。森田同値は導来同値を，導来同値は森田型安定同値を導くことが知られ，森田型安定同値を構成し，森田型安定同値から森田同値・導来同値を導く方法について研究することは重要である。本研究では，シロー部分群が可換とは限らない場合に，p局所構造を共有する2つの群について，主ブロック間の森田同値や導来同値を森田型安定同値から構成する手法を開発・整備し，さらに非可換メタ巡回群をシロー部分群にもつ群の主ブロック間の導来同値分類に応用することを目的としている。今年度はとくに，以下の研究を行った。,基盤研究(C),小区分11010:代数学関連,有限群,ブロック,森田同値,導来同値,森田型安定同値,相対安定同値,相対射影被覆,有限群の表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03254,東京女子大学,吉荒 聡,非線形関数論への幾何学的アプローチ,"本研究の主眼は「一般の非線形関数に対する差分複体論の構築」であったが, 差分複体という概念の有効性を示す結果は得られておらず, 単にこの概念抜きでも証明できる既知の結果の形式的拡張に留まっている. 有限体上の関数に対する代数的次数の概念を導来関数の観点から見直し, 成分関数を定める基底の取り方に依存しない性質を定式化するという当初の目論見は, 簡単に出来る部分のみしか成功していない.",基盤研究(C),小区分11010:代数学関連,差分複体,非線形関数,導来関数,代数的次数,ケーレーグラフ,Cayley グラフ,距離正則グラフ,Reed Muller 符号,APN関数,ケーレー・グラフ,二階差分,リード・マラー符号,アマルガム,群の一意性証明,Walsh 係数,DHO,差分的一様関数,グラフの固有値,隣接行列,Walsh スペクトラム,平面関数,Cayleyグラフ,DHO(双対超卵形),群指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03253,上智大学,角皆 宏,非可換なガロア群を持つ代数体と被覆の数論の研究,昨年度に引続き、生成的多項式の代数的整数論への応用に、今年度は主に取り組んだ。素数導手の3次Gauss周期にはGauss以来の従来研究が脈々とあり、Shanksの3次巡回多項式から得られる最簡3次巡回体の場合に互いの関係が詳しく調べられているが、この関係を一般の素数導手の場合に拡張するとともに、その合成により合成数導手の場合にもその関係を詳しく考察した。合成数導手の場合には同じ導手を持つ3次巡回体が複数あるので、その中から1つを特定するため3次巡回拡大の向き付けの概念を導入し、昨年度までに得られていた結果を整理して、論文として発表できる状態に近付いた。引続きLehmerの5次巡回多項式について同様の現象を狙うが、1助変数の多項式では困難なため、適切な多助変数の多項式を得るべく考察を始めている。,基盤研究(C),小区分11010:代数学関連,代数学,整数論,ガロア理論,多重ゼータ値,アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03252,北里大学,宮崎 直,複素素点における局所Whittaker関数の明示公式とその応用,(1) 昨年度から引き続き，並川健一氏（東京電機大学），原隆氏（津田塾大学）との共同研究として，基礎体が総虚の場合にGL(n)×GL(n-1)およびGL(n)×GL(n)の保型L関数の臨界値を与える周期積分について研究した。GL(n)×GL(n-1)の場合については，保型L関数の臨界値のp進的な整性に関する論文を完成して論文誌に投稿した。GL(n)×GL(n)の場合については現在研究を進行中であり，無限素点における局所ゼータ積分から定まるペアリングはほぼ計算できている。,基盤研究(C),小区分11010:代数学関連,保型L関数,Whittaker関数,Rankin-Selberg法,局所ゼータ積分,アルキメデスゼータ積分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03251,大阪府立大学,加藤 希理子,捩れ対の多角化についての研究,2023年度は、安定圏の角度から研究を行った。安定圏とは、アーベル圏の射影対象によるイデアル商圏である。多くの基本的な三角圏は、フロベニウス圏の安定圏として得られ、代数的三角圏と呼ばれる。フロベニウス圏Fの、射影加群圏Pを含む部分圏Eについて、F でイデアル商を取れば安定圏F_Eが得られ、代数的三角圏F_Pの部分圏となる。一方、代数的三角圏F_PにおいてEによるヴェルディエ商圏を作ることにより、三角圏F_P/Eを考えることもできる。安定圏F_Eと、三角圏F_P/Eの対象は同じである。また、いずれの圏においても、Eの対象は零対象となる。これら2つの圏を比較して、（1）射空間の違いを調べることによって、環論的な特徴づけをすること　（2）代数的三角圏F/Eの部分圏として実現される安定圏が、捩れ構造の構成要素となるかどうかを判断すること　を目標として研究を進めた。それぞれの圏の安定圏構造、三角圏構造に付随した操作（函手）を用いて射の性質を調べることを基本とした。,基盤研究(C),小区分11010:代数学関連,圏論,三角圏,安定圏,捩れ対,ホモロジー代数,環論,ホモロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03250,大阪市立大学,宮地 兵衛,準遺伝被覆と関手の研究,巡回的Hecke代数及びその準遺伝被覆の表現圏の研究を主なテーマとして研究してきた。中国科学院の方明氏との共同研究で抽象化されたgendo-symmetric代数の支配的次元の導来不変性といった一般的なもの研究から、故郷である巡回的Hecke代数及び準遺伝被覆である有理的Cherednik代数の圏Oの誘導及び制限関手に関してのMackey公式(桑原氏と和田氏との共同研究)の発見を行ってきた。後半は、次数付き版の巡回的Hecke代数の既約加群と射影的加群のRobinsonの公式の構成や岩堀Hecke代数のKazhdan-Lusztig cellの群の元としてのMackey公式の発見をした。,基盤研究(C),小区分11010:代数学関連,表現論,Hecke,Kazhdan-Lusztig,quantum,結晶基底,箙Hecke代数,Hecke algebras,Kazhdan-Lusztig cells,Reciprocity,Kazhdan-Lusztig理論,準遺伝的被覆,関手,Hecke環,最高ウェイト圏,量子群,準遺伝的代数,準遺伝的,最高ウエイト圏,圏化,ヘッケ環,マッキー公式,Hecke代数,Cherednik代数,準遺伝被覆,代数解析的関手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
