awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03314,福岡工業大学,塩濱 勝博,フィンスラー多様体の凸性と測地線の大域的挙動,n次元(n>1)完備フィンスラー多様体上の点pに於ける指数写像は切断跡の内部で自然に定義出来る．,基盤研究(C),小区分11020:幾何学関連,Finsler metric,non-symmetric distance,geodesic,cut locus,conjugate locus,Christoffel symbols,非対称距離空間,測地線,クリストッフェル記号,二重接束,測地線の分岐現象,非対称距離構造,切断跡,凸性,Busemamnn関数,指数写像の正距方位図法,ミンコフスキー空間,非対称距離函数,完備フィンスラー多様体,正距方位図法,凸関数,アフィン函数,フィンスラー多様体,Randers計量,コンパクト階数１対称空間,Blaschkeフィンスラー多様体,平行性,共役跡,フィンスラー計量,ランダース計量,ベアバルト計量,,,,,,,,,,,,,,,,,,,,,,,,,
18K03313,立教大学,西納 武男,正則曲線を通じた幾何構造の研究,"複素多様体上の正則曲線, およびそれに関連する対象に関する研究を行った。特に, 複素曲面上の特異な正則曲線について, 変形の障害を局所的な計算により求める手法を開発した。この手法の応用として, 長年未解決であったアーベル曲面上の正則曲線と, 実2次元トーラス上のトロピカル曲線の間の対応を証明した。一方, 2次元複素トーラス上のゲージ理論を調べることにより, 複素トーラス上のHermitian-Yang-Mills接続の極限として, ミラートーラス上のラグランジアン部分多様体が自然に対応することを証明し, D-braneに関するミラー対称性予想の一部を証明した。",基盤研究(C),小区分11020:幾何学関連,変形理論,正則曲線,代数曲線,モース理論,写像の変形理論,複素幾何学,シンプレクティック幾何学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03312,日本大学,松元 重則,葉層構造と群作用の研究,Sを向き付け可能曲面でオイラー数が負であるものとする。Sの単位接束をMとする。M上の向き付け可能な無限回微分可能な余次元１葉層構造は皆互いに位相共役であることが知られている。このような葉層構造を二つ選びそれらは互いに横断的であるとする。この状況の典型的な例は片方が測地流の安定葉層、他方が不安定葉層の場合であるが、それ以外の横断的交わりをすることもある。この場合の交わりを詳しく調べた。,基盤研究(C),小区分11020:幾何学関連,葉層構造,双曲群,孤立順序,アノソフ写像,円順序,力学的実現,組みひも群,不変生成,流れ,群の不変生成性,Anosov 微分同相写像,群の左不変順序,極小集合,左不変順序,力学系的実現,調和測度,円周上の群作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03311,東京理科大学,小池 直之,対称空間内の部分多様体及びその様々な曲率流に沿う時間発展の研究,主な研究成果は，以下の通りである。１つは，非コンパクト型対称空間内の等径部分多様体で鏡映的な焦部分多様体を許容するものに対する等質性定理を，複素化と無限次元空間への線形化を利用して証明したことである。２つ目は、ある種のヒルベルトリー群作用を備えたヒルベルト空間内の(その作用に関して)不変な正則化された平均曲率流に関するある種の崩壊定理を証明し，その定理をゲージ理論へ応用するための土台となる事実を示したことである。３つ目は，コンパクト型対称空間の複素化上のカラビ・ヤウ構造の構成法，及び，そのカラビ・ヤウ多様体内の特殊ラグランジュ部分多様体の構成法に関する研究を推進させたことである。,基盤研究(C),小区分11020:幾何学関連,平均曲率流,対称空間,等径部分多様体,複素等焦部分多様体,固有フレッドホルム部分多様体,ゲージ理論,カラビ・ヤウ構造,特殊ラグランジュ部分多様体,等焦部分多様体,カラビ・ヤウ多様体,部分多様体,逆平均曲率流,Polar作用,Kac-Moody型無限次元対称空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03310,東京電機大学,佐藤 正寿,写像類群の部分群のコホモロジー群と3次元多様体の研究,曲面の写像類群の部分群であるTorelli群と曲面のホモロジーシリンダーについて研究を行った。特にTorelli群の部分群であるJohnson核のアーベル化のトーション元の存在を示し、その一部をホモロジーシリンダーの位相不変量であるLMO関手を用いて記述した。またホモロジーシリンダーにおいて、LMO関手の1ループ部分の主要項がReidemeister-Turaevトーションという不変量を用いて表せることがわかった。,基盤研究(C),小区分11020:幾何学関連,写像類群,LMO関手,ホモロジーシリンダー,Torelli群,Reidemeisterトーション,ジョンソン核,トレリ群,有限型不変量,ハンドル体写像類群,トポロジー,3次元多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03309,東海大学,志摩 亜希子,チャート変形理論,"4次元空間内の曲面(曲面結び目)を平面内のグラフ(チャートという)で表す手法が鎌田氏により開発された。チャートを用いて分類表を作成するのが目的である。辺のラベルが、1,2,3の2つの交差を含む4-チャートの大まかな分類は終わっているが、完全な分類のために補空間の基本群、quandle による彩色数を計算した。それより10種類以上の異なる曲面結び目を含むことが分かった。 実際に無限個の種類の曲面結び目を含むかは、これからの研究の課題として残された。白頂点を8個含むチャートについても調べた。(2,2,2,2)型最小6-チャートは、ある種の形(レンズ)を含まないと示した。",基盤研究(C),小区分11020:幾何学関連,曲面結び目,チャート,surface link,chart,white vertex,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03308,津田塾大学,久野 雄介,写像類群のジョンソン準同型をめぐる研究：曲面上の1次元的対象を用いたアプローチ,写像類群の代数構造を曲面上の1次元的対象を用いて解明するという方針によって研究した。特に、写像類群の代数構造を逐次的に調べるための重要な手段であるジョンソン準同型の理論に関連して、曲面上の閉曲線の代数的な性質と3次元トポロジーを関係付ける結果や、曲面に埋め込まれたファットグラフの数値的不変量の明示公式を得た。また、曲面上の閉曲線の交差や自己交差の代数構造とリー理論に由来する柏原-ヴェルニュ方程式の関連について、以前得た結果を改良した。,基盤研究(C),小区分11020:幾何学関連,写像類群,ジョンソン準同型,デーンツイスト,ファットグラフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03307,大阪市立大学,大仁田 義裕,対称空間における部分多様体と調和写像論の深化と展開,本研究課題では，対称空間の部分多様体および調和写像の一層の研究を推進する．R空間は，有限次元ユークリッド空間の等質な等径部分多様体とその焦部分多様体を全て与える重要なコンパクト等質空間で，各R空間は全測地的なラグランジュ部分多様体としてケーラーC空間に標準的に埋め込まれる．ラグランジュ部分多様体としてのR空間の幾何学を研究，またR空間の観点から複素射影空間の第2基本形式平行な複素部分多様体の分類定理（中川－高木1976）の新たな証明など幾つもの新たな結果を得ている．極小ラグランジュ部分多様体としての等径超曲面のガウス像の幾何・トポロジーや可積分系に関わる調和写像理論の共同研究を着実に進めている,基盤研究(C),小区分11020:幾何学関連,微分幾何学,調和写像,部分多様体論,極小部分多様体,等径部分多様体,リー群,対称空間,可積分系,幾何学的変分問題,調和写像論,ラグランジュ部分多様体,リー理論,部分多様体,フレアーホモロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03306,大阪市立大学,松本 堯生,２次元滑らか結び目解け予想の解決,２次元滑らか結び目の解け予想を、２次元ブレイドの１助変数族を用いて解決を試みた。この予想自体の解決には至らなかったが、チャートと呼ばれる２次元ブレイドを表す図式の１助変数族において、４次元での交点に対応するノードが高々１個現れ、その軌跡がある程度単純であれば、ノードを持たない１助変数族が存在することがわかった。関連して、互換の有限列の間に半順序を導入した。これは２次元ブレイドのフィンガームーブと呼ばれる重要な変形に関係している。,基盤研究(C),小区分11020:幾何学関連,トポロジー,２次元結び目,２次元ブレイド,チャート図の変形,マルコフ型定理,４次元トポロジー,直交２ハンドル組,2次元滑らか結び目,解け予想,2次元ブレイド,カスプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03305,鹿児島大学,近藤 剛史,Wirtingerの不等式の変種とその応用,"Gromovによって証明された巡回群からCAT(0)空間への写像に対するWirtingerの不等式は, サイクルの非線形スペクトルギャップのシャープな評価を導くことがPansuによって示されていた. この話がどこまで一般のグラフに拡張できるのか, 特に既約な有限コクセター群のケイリーグラフの場合に拡張できるのかが, 本研究の問題意識であった.",基盤研究(C),小区分11020:幾何学関連,Wirtingerの不等式,コクセター群,非線形スペクトルギャップ,ケイリーグラフ,ラプラシアン,退化軌道,軌道多面体,高次元正多面体,非正曲率空間,有限コクセター群,CAT(0)空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
