awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03350,近畿大学,高崎 金久,Gromov-Witten不変量に関連する可積分階層,グロモフ-ウィッテン不変量は可積分階層の研究の豊かな源である．その主要な成果はDubrovin-Zhang理論とGivental理論によってもたらされてきた．今回の研究では格子KP階層や戸田階層とそれらのさまざまな簡約系に関係する場合に焦点を絞った．具体的には，リーマン球面のフルヴィッツ数・グロモフ-ウィッテン不変量ならびに安定曲線のモジュライ空間上のホッジ積分を考察し，その可積分構造として，ヴォルテラ型可積分系，同変戸田階層，格子ゲルファント-ディキー階層，一般化ILW階層が現れることを見出した．これらの可積分階層が従来の可積分階層にないさまざまな特徴を見せることもわかった．,基盤研究(C),小区分12010:基礎解析学関連,グロモフ-ウィッテン不変量,可積分階層,Dubrovin-Zhang理論,Givental理論,格子KP階層,戸田階層,フルヴィッツ数,ホッジ積分,格子KdV階層,格子GD階層,一般化ILW階層,同変戸田階層,拡張戸田階層,対数的時間発展,スケール極限,行列模型,リーマン球面,同変グロモフ-ウィッテン不変量,フォック空間,ギヴェンタール群,頂点作用素,双線形方程式,位相的頂点,ヴォルテラ型階層,一般化KdV階層,ゲリファント-ディキー階層,グロモフ・ウィッテン不変量,ヴォルテラ型可積分階層,τ函数,対数的ラックス作用素,Gromov-Witten不変量,,,,,,,,,,,,,,,,,,,,,,,,,
18K03349,立命館大学,渡部 拓也,エネルギー交差に現れるスペクトル・散乱の準古典解析,本研究課題では、エネルギー交差をキーワードに研究を行った。量子共鳴の準古典分布に関して、藤家-Martinez-渡部(FMW)の一連の研究は、準古典パラメータについて分数ベキの虚部をもつ量子共鳴の存在及び分布を明らかにした。これは、単独の場合では現れない連立系ならではの古典軌道の弱い捕捉に対応する量子共鳴と理解できる。,基盤研究(C),小区分12010:基礎解析学関連,エネルギー交差,準古典解析,量子共鳴（レゾナンス）,遷移確率,完全WKB解析,準古典超局所解析,レゾナンス,超局所解析,WKB解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03348,愛知工業大学,中村 豪,リーマン面及びクライン面のモジュライ空間における最大単射半径関数の解析,本研究課題では、閉リーマン面及び閉クライン面のそれぞれのモジュライ空間の上で定義された最大単射半径関数を研究する。閉リーマン面、閉クライン面上の各点に対して単射半径が定義され、曲面のコンパクト性から単射半径には最大値が存在する。最大単射半径関数とは、各曲面にこの最大値を対応させる関数である。この関数は、モジュライ空間の被覆空間であるタイヒミュラー空間上の関数に自然に持ち上げられるため、タイヒミュラー空間において解析を実行することができる。本年度は、最大単射半径関数の解析をする上で貴重な具体例となる閉リーマン面を調べることに重点を置いた。この関数はモジュライ空間上で最大値を取ることが示され、この最大値を与える曲面を極値的（極値的リーマン面、極値的クライン面）と呼ぶ。昨年度に引き続き、種数３の極値的クライン面を中心に研究を行った。過去の結果により、この曲面は同型を除いて全部で11種類存在していることが分かっており、具体例として採用した。これは向き付け不可能な曲面であるため、この曲面の複素ダブルを取ることにより、向き付け可能な種数２の曲面を構成して閉リーマン面のモジュライ空間の中で解析を行った。閉リーマン面の特徴づけの１つとして、フックス群による表現がある。この複素ダブルで得られた種数２の閉リーマン面のフックス群に対して、その生成元を種数３の極値的クライン面を与える非ユークリッド結晶群（NEC群）の生成元によって構成することができた。また、閉リーマン面の別の特徴づけとして代数方程式がある。これまでに、この複素ダブルは３つの実パラメーターを含む代数方程式で表現されることまで判明した。今回は、種数が２の場合にはポアンカレ級数を利用した方法で代数方程式による表現が実現できるという知見を得ることができ、解析を行った。,基盤研究(C),小区分12010:基礎解析学関連,複素解析,リーマン面,クライン面,モジュライ空間,タイヒミュラー空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03347,津田塾大学,永井 敦,離散ソボレフ不等式研究の新展開　－　数理工学への応用,差分方程式の境界値問題に対応する離散ソボレフ不等式を導出し、その最良定数および等式を達成する最良ベクトルを求めた。鍵となるのは離散ラプラシアン行列の逆行列またはムーアペンローズ一般化逆行列である。これはグリーン関数の離散化であり、グリーン行列とも呼ばれる。,基盤研究(C),小区分12010:基礎解析学関連,離散ソボレフ不等式,最良定数,離散ラプラシアン,グリーン行列,フラーレン,筋交問題,ソボレフ不等式,グリーン関数,離散化,離散ラプラシアン行列,C60,筋交い問題,一般化逆行列,C60フラーレン,グラフ理論,離散,差分方程式,カオス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03346,拓殖大学,織田 寛,ファインなファイバーを持つリーマン対称空間上のベクトル束における調和解析,ユークリッド空間上の関数を指数関数の和に分解するフーリエ変換の理論は，リーマン対称空間上のベクトル束の切断を「基本球関数」の和に分解する「球変換」に一般化される．球変換に対する基本的な問題は「逆変換公式」と「プランシェレル測度」の決定だが，それらは非常に限られた場合のみ解決していた．研究期間が始まる直前，関西学院大の示野氏と私は，ベクトル束のファイバーが「スモール」という種類である場合に，基本球関数をヘックマンとオプダムの超幾何関数で表す公式を導き，上の問題を解決した．研究期間中我々は，ベクトル束が一階の不変微分作用素を持ち，ファイバーが「ミニスキュル」という種類の場合にその結果を拡張した．,基盤研究(C),小区分12010:基礎解析学関連,リーマン対称空間,ベクトル束,プランシェレル測度,ヘックマン・オプダム超幾何関数,ミニスキュルKタイプ,球変換,超幾何フーリエ変換,量子可積分系,変数分離定理,ベクトル値超幾何関数,調和解析,球関数,超幾何関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03345,慶應義塾大学,勝良 健史,作用素環論と諸分野との相互作用,今年度は昨年度に引き続き，アコーディオン空間ではない有限T0空間に対するfiltrated K群を拡張した不変量の計算を押し進めた．この不変量の生成元とその関係式に関してある種の予想を肯定的に解いた．,基盤研究(C),小区分12010:基礎解析学関連,作用素環,C*環,力学系,非可換幾何,集合論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03344,慶應義塾大学,服部 哲弥,確率順位付け模型と関数値確率変数列の大数の強法則,過去の科研費研究で行った確率順位付け模型の極限定理の学術論文を完成し，基礎となる大数の完全法則の学術論文とともに出版に至った．また以上に関連する専門的教科書ならびにその基礎となる測度論の演習書も執筆し出版した．ここで，確率順位付け模型の極限定理とは，ウェブで見られるランキングの時間発展のモデルとなる確率順位付け模型の位置強度結合経験分布の大数の法則（流体力学極限）と軌道についてのカオスの伝搬の証明を，強度（先頭に跳ぶ確率を与える点過程を定める関数）が位置依存性を持つ場合に一般化した著者による定理を指す．,基盤研究(C),小区分12010:基礎解析学関連,確率論,数理科学,確率過程論,大数の法則,流体力学極限,数理統計学,確率順位付け模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03343,青山学院大学,市原 直幸,確率的変分問題の離散化とスケール極限,幾何光学や最速降下曲線に起源を持つ古典的な変分問題の確率版である確率的変分問題について、ポテンシャル項の摂動に対して最適軌道の長時間挙動がどのように変化するのかについての数学的な結果を得た。具体的には、最適軌道の長時間挙動が大きく変化するための条件をモデルに内在するパラメータを用いて与えるとともに、最適軌道の詳しい振る舞いを特徴づけた。また、上記の確率的変分問題に対する離散モデルを構築し、同種の現象が離散モデルでも再現できることを示した。,基盤研究(C),小区分12010:基礎解析学関連,確率的変分問題,粘性ハミルトン・ヤコビ方程式,確率最適制御,マルコフ決定過程,割引因子,ベルマン方程式,エルゴード問題,一般化主固有値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03342,青山学院大学,松本 裕行,解析的手法による拡散過程の研究,正定値行列の空間上のラプラス-ベルトラミ作用素が岩澤座標を用いると簡明な形に表現され，対応する拡散過程であるブラウン運動もウィナー汎関数として具体的に表現できることを示した．さらに，行列式の作る確率過程が幾何ブラウン運動であることを示し，最大，最小固有値の作る確率過程の長時間漸近挙動に関して従来知られていた大数の法則に相当する結果を中心極限定理に相当する結果に拡張した．,基盤研究(C),小区分12010:基礎解析学関連,拡散過程,生成作用素,ラプラス-ベルトラミ作用素,ブラウン運動,確率解析,正定値行列,ベッセル過程,ベッセル関数,零点,指数型汎関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03341,城西大学,大島 利雄,種々の変換を用いた超幾何微分方程式の解析,middle convolutionなど種々の変換を用いて特殊関数としての超幾何関数を特徴づける微分方程式の解析を行った．不分岐不確定特異点をもつ常微分方程式に普遍開折の概念を導入した．解の普遍積分表示やstokes係数の変換理論を与え，リジッドな場合はすべての特異点を変数とみて多変数超幾何微分方程式へ普遍拡張されることを示した．,基盤研究(C),小区分12010:基礎解析学関連,超幾何微分方程式,多変数超幾何関数,middle convolution,積分変換,接続公式,不確定特異点,Stokes係数,数式処理,接続問題,カオス系,国際研究交流,普遍開折,解析学,代数解析学,微分方程式,超幾何関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
