awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03405,中部大学,只木 孝太郎,アルゴリズム的ランダムネスによる量子情報理論の再構成,量子力学では確率概念が本質的な役割を果たす。この確率概念はボルン則として量子力学に導入される。しかしながら、量子力学を記述する今日の数学において、確率論とは測度論のことであり、ボルン則が基づく“確率概念”に関して、操作的な特徴付けは見当たらない。これまでの研究で私は、アルゴリズム的ランダムネスの概念装置に基づいて、“典型性原理”と呼ぶボルン則を操作主義的に明確化した代替規則を導入した。近年、量子力学の原理に基づく新しい情報処理技術として“量子情報理論”が注目を集めている。本研究では、量子力学の実際の問題での典型性原理の有効性を実証するため、典型性原理を量子情報理論に適用し、その再構成を行った。,基盤研究(C),小区分12030:数学基礎関連,典型性原理,量子情報理論,アルゴリズム的ランダムネス,量子力学,多世界解釈,確率解釈,ベルの不等式,アルゴリズム的情報理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03404,神奈川大学,阿部 吉弘,Pκλ上のイデアルの構造的性質と無限組合せ論,弱いselectivityに関して研究し、Rudin-Keisler順序で非有界イデアルの上にnowhere P-pointイデアルが存在すること、Ｐκλの濃度がλならば、このイデアルはweak Q-pointであることを示した。また、local P-pointであることは、あるタイプのイデアルを含まないことと同値であることも示した。,基盤研究(C),小区分12030:数学基礎関連,Pκλ,イデアル,P-point,Q-point,selective ideal,sup-関数,定常集合,Ｐκλ,構造的性質,非定常イデアル,正規イデアル,sup-function,分離基数,位相,extendible 基数,強制法,飽和度,non-stationary ideal,local P-point,基数不変量,無限帽子パズル,集合論的地質学,選択公理,強コンパクト基数,weak P-point,飽和イデアル,Prikry強制法,Cohen実数,Pκλ上のイデアル,non-stationary イデアル,弱い分割の性質,,,,,,,,,,,,,,,,,,,,,,,,,
18K03403,早稲田大学,薄葉 季路,巨大基数を用いた集合論的多元宇宙の解析,集合論的多元宇宙理論について、特に巨大基数公理の下での多元宇宙全体の構造について研究を行い、次のような結果が得られた：１．巨大基数の一つである拡張可能基数が存在するならば、強制法に関して不変である内部宇宙が存在することが判明した。２．選択公理がない状況でも、巨大基数が十分に存在すればすべての基礎モデルが一様に定義可能であり、それにより選択公理がない宇宙においても多元宇宙理論を展開することが可能であることが判明した。３．強制法の一般化である対称拡大についても、対称基礎モデルが一様に定義可能であり、それにより対称拡大宇宙を含めたより広大な多元宇宙理論を展開することが可能であることが明らかになった。,基盤研究(C),小区分12030:数学基礎関連,巨大基数公理,集合論的多元宇宙,集合論的地質学,集合論的位相空間論,ジェネリック巨大基数,巨大基数,list chromatic number,反映原理,集合論多元宇宙,tightness number,強コンパクト基数,symmetric extension,リンデレフ空間,強制法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03402,日本大学,善本 潔,辺着色されたグラフのラムゼー的性質や構造とその有向グラフへの応用に関する研究,"辺着色グラフの構造の研究を行なった．特に、辺着色２部グラフGの彩色全域木（Properly colored spanning trees）の存在について、加納名誉教授（茨城大学）、藤田准教授（横浜市立大学）、前澤助教（東京理科大学）と共同研究を行なった．彩色全域木とは，Gの全域木で，どの隣接する２辺も異なる色になるものである．辺着色完全グラフの彩色全域木の存在に関する研究はこれまで日本やフランス、中国、オランダの研究者によって解明が進んでいるが、２部グラフに関する研究はいくつか重要な予想はあるが、その構造の解明や特徴付は得られていない．我々は，「(G,c)をX,Yを部集合とする辺着色連結２部グラフ，|X|>=|Y|とする．Gの任意の辺e=xyに対して，その色次数の和が，|X|+2以上ならば彩色全域木がある（予想１）」と予想した．共同研究によって，Gがunbalancedのとき，すなわち|X|>|Y|のとき予想が正しいことを証明した．",基盤研究(C),小区分12030:数学基礎関連,辺着色グラフ,彩色サイクル,彩色全域木,偶全域木,正則グラフ,２部グラフ,完全グラフ,色連結,サイクル色連結,有向グラフ,強連結,彩色サイクル鎖,完全多部グラフ,グラフ理論,連結性,辺彩色サイクル,ハミルトンサイクル,２因子,非２部性,Bermond-Thomassen予想,essentially digraph,最大単色次数,有向２部グラフ,多部トーナメント,サイクル,最小色次数,辺着色,ラムゼー理論,Gallai分割,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03401,昭和大学,樋口 雄介,グラフのスペクトル幾何と古典および量子酔歩の挙動の相関の解明,グラフ上の各種作用素のスペクトルとグラフの持つ離散幾何構造の関係性の解明を主題とし，脳内辞書ネットワークの数理的モデリングなどへの応用を目論んだものが本研究課題となっている．今年度の実績としては，a)戦略を伴なった酔歩ともいえるネットワーク上での単一エージェントによる除染についての考察とともに，b)従来からの継続課題でもある，古典酔歩に付随した作用素のスペクトル，および，有限グラフが持つ幾何構造が及ぼす量子ウォークの定常状態への影響の解明が挙げられる．,基盤研究(C),小区分12030:数学基礎関連,離散大域解析,グラフ理論,スペクトル幾何,ラプラシアン,酔歩,状態密度函数,量子ウォーク,脳内辞書ネットワーク,離散スペクトル幾何,離散ラプラシアン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03400,群馬県立女子大学,黒田 覚,限定算術における強制法の応用,本研究において，竹内外史と安本雅洋が提案した，限定算術の超準モデル上での強制法の理論を体系的に整備し，従来は多項式時間計算可能クラスとの関係においてのみ示されていた結果を，そのいくつかの部分クラスでも同様に示した．,基盤研究(C),小区分12030:数学基礎関連,限定算術,計算量理論,超準モデル,算術モデル,証明の複雑さ,線形代数学,強制法,組み合わせ論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03399,琉球大学,徳重 典英,離散極値構造の研究,本課題研究は、極値組合せ論の問題に現れる離散極値構造を明らかにし、またそのための手法について考察するものである。主な成果を二つ挙げる。(1) 有限体上のベクトル空間に置いて指定された「型」を含まない集合を定式化し、スライスランク法のみでは得られない上界を得た。(2) 多重交差族について、対応する行列のスペクラムを利用する手法を用いて解析し、多重交差族の測度の積の上界とそれを実現する構造を決定した。,基盤研究(C),小区分12030:数学基礎関連,組合せ論,離散極値構造,交差族,ハイパーグラフ,スペクトラルグラフ理論,極値離散構造,ランダムグラフ,線形計画問題,スライスランク法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03398,神戸大学,Brendle Jorg,New aspects of cardinal invariants,強制法の理論などの洗練された技法を用いて連続体の基数不変量などの実数の集合論のテーマについて研究を行った。連続体の基数不変量とは、ある性質を満たす実数全体の部分集合の最小の濃度として定義され、最小の非可算基数と連続体の濃度の間の値を取り得るものである。特に、有限台反復法と密接に関連してる最先端の反復強制法の技術を開発することによって、幾つかの連続体の基数不変量の大小関係についての新しい無矛盾性結果を得た。,基盤研究(C),小区分12030:数学基礎関連,数学基礎論,集合論,計算可能性理論,トポロジー,測度論,強制法,数理論理学,基数不変量,強制法の理論,計算可能性の理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03397,神戸大学,酒井 拓史,反映原理の高濃度への一般化と基数算術,アレフ２のレベルの反映原理は様々な興味深い帰結を持つことが知られており，定常性反映原理やラドー予想をはじめ，これまでに多くの反映原理が定式化されている．また，それらの相互関係や，基数算術・無限組合せ論に及ぼす影響が幅広く研究されてきた．本研究では，これらの反映原理をアレフ２より大きなレベルに一般化したものについて，それらの相互関係や基数算術に及ぼす影響を調べた．まず，高レベルの反映原理の相互関係については，アレフ２レベルの関係が概ね一般化できることが明らかになった．一方で基数算術への帰結については，アレフ２のレベルのものが，多くの場合に高レベルのものに一般化されないことが明らかになった．,基盤研究(C),小区分12030:数学基礎関連,反映原理,基数算術,巨大基数,強制法公理,公理的集合論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03396,滋賀大学,篠原 雅史,Ramsey 的手法による極値組合せ論の研究,本研究では，よい点配置を「ラムゼー型問題」と「構成型問題」に分けて分類することを目標としていた．特に，距離集合の分類問題について 2 つの未解決問題「(1) 正十二面体の最良性」と「(2) 8次元空間における Lisonek の点配置の最良性」を解決することができた点は特筆すべき点である．両問題とも本研究課題で提唱した手法が効果的に作用したことが大きい．(1) については，距離集合において正多面体に関する最後の難関であった．また (2) については，「正単体を含む点配置の分類」という構成型問題を利用して証明できた．これらのことは，当初の期待以上の成果が得られたものと評価している．,基盤研究(C),小区分12030:数学基礎関連,距離集合,正十二面体,極値組み合わせ論,点の配置問題,極値組合せ論,距離構造,組合せ論,ラムゼー理論,ラムゼー問題,正単体,極値集合論,組合せデザイン,離散幾何学,離散数学,点配置問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
