awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03475,国立研究開発法人理化学研究所,大塚 雄一,格子自由度と結合した2次元強相関ディラック電子系における絶縁相の探索,ハニカム格子上のハバード模型にパイエルス型の電子格子相互作用を加えた場合、どのようなvalence-bond-solid (VBS)が実現されるのかを数値的に調べた。reflection symmetryにより限定される、グラフェンに関して許される全ての可能な格子変位のパターンを考慮し、最も安定な格子構造を決定した。その結果、ケクレ型の二量体格子歪みを伴うVBS相が半金属相と反強磁性相の中間相として現れることが分かった。これは、実験的には、歪みのないグラフェンに負圧を印加することで、有限の電荷ギャップを持つVBS相が誘起される可能性があることを示唆している。,基盤研究(C),小区分13010:数理物理および物性基礎関連,強相関電子系,量子モンテカルロ法,グラフェン,電子格子相互作用,Valence Bond Solid,物性理論,金属絶縁体転移,格子自由度,トポロジカル絶縁体,ディラック電子,量子相転移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03474,仙台高等専門学校,松枝 宏明,量子系のエンタングルメントと幾何学に関する情報理論的研究,量子臨界系と古典的一般相対論の双対性（ホログラフィー原理）は，様々な物理分野の共通課題を含む非常に基礎的な研究課題である．この背景を情報幾何学・数理物理・物性物理などの異分野横断的観点から明らかにしたいということが本研究の大きな目的である．この実現のために，（１）特異値分解の機能性とホログラフィー原理の研究，（２）情報幾何学による量子古典変換理論の構築，の２つの具体的課題について研究を行い，一定の成果を得た．特に（１）に関しては，量子系の相関関数の族の情報の特異値分解（主成分解析）から波動関数が復元・推測できることが分かり，この成果が量子古典変換メカニズムの理解に貢献できることが分かった．,基盤研究(C),小区分13010:数理物理および物性基礎関連,エンタングルメント,情報幾何学,量子古典変換,ホログラフィー原理,くりこみ群,特異値分解,テンソルネットワーク,スピン相関行列,情報幾何,量子エンタングルメント,ホログラフィー,ウェーブレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03473,沖縄科学技術大学院大学,PIGOLOTTI Simone,,このプロジェクトの目的は、情報を複製する分子の最適な性能を特徴づけることである。生物学で最も重要な例は、DNAのコピーを担当する分子である。我々のプロジェクトは、これらの分子の物理的限界を、速度、精度、散逸の観点から明らかにした。また、分子の性能のばらつきを調べ、このばらつきを利用して分子の機能を理解する方法についても研究した。我々のプロジェクトは理論的なものであったが、実験グループと共同して予測の検証もした。特に、細菌のDNA複製時の速度変動と、生物学で多くの応用があるポリメラーゼ連鎖反応（PCR）を最適化する方法について研究した。,基盤研究(C),小区分13010:数理物理および物性基礎関連,Information processing,Polymerization,Kinetic Proofreading,Speed-error tradeoff,Chemical networks,Information theory,Polymerization Kinetic,Proofreading Speed-error,tradeoff Chemical,networks Information,thermodynamics,Thermodynamics,Biophysical models,Statistical Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03472,近畿大学,笠松 健一,光格子中の長距離相互作用を有する冷却原子系における非平衡量子ダイナミクスの解明,冷却原子気体で実現する非平衡ダイナミクスを主たるターゲットとして、量子ゆらぎを無視する平均場近似から量子ゆらぎを正確に取り入れた解析までを実施し、適応した量子相関の程度を調節することで様々な問題に取り組んだ。量子ゆらぎが強い場合の研究では、光格子中の長距離相互作用をもつ原子集団が示す擬多体局在と呼ばれる現象を明らかにした。また、弱い量子ゆらぎを想定し、光格子中のボース凝縮体におけるダークソリトンの運動をしらべ、古典量子クロスオーバーがあることを示した。光格子中の2成分ボース気体では強い量子揺らぎにより生じる量子液滴状態が実現することを示した。,基盤研究(C),小区分13010:数理物理および物性基礎関連,冷却原子,ボースアインシュタイン凝縮,光格子,長距離相互作用,量子液滴,双極子相互作用,量子シミュレーション,非平衡ダイナミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03471,大阪電気通信大学,柳田 達雄,ヘテロ結合型力学モデルの構造設計による機能創生プロセスの探求,共有結合・分子結合，分岐やループなどの非一様な結合構造による局所運動が生体高分子の機能に関与している．本研究は，生体高分子を粗視化した力学モデルである質点がバネでつながった系，ビーズスプリングモデル，が創出するダイナミクスを数値および理論的に解明し，機能生成に重要と考えられる不均一運動状態の動的生成機構を明らかにした．具体的には，１）ヘテロ結合分子と溶媒粒子が相互作用により系全体がエネルギー非一様状態となる準平衡状態が長時間維持される理論機構．２）分子内の非一様性運動の生成機構　３）動的剛性の生成機構を数値解析，エネルギー等分配則，特異摂動論により解明した．,基盤研究(C),小区分13010:数理物理および物性基礎関連,非線形・非平衡ダイナミクス,ビーズスプリングモデル,ハミルトン力学系,非一様性,特異摂動論,エネルギー等分配,ネットワーク,高分子,ハミルトン力学,緩和現象,多時間スケール,高分子モデル,準平衡状態,非線形ダイナミクス,非一様エネルギー,マルコフ連鎖モンテカルロ法,構造デザイン,多スケールダイナミクス,非線形力学,緩和過程,エネルギー不均一運動,ヘテロ結合力学モデル,非平衡ダイナミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03470,早稲田大学,湯浅 一哉,量子測定と量子制御: 量子情報技術から統計力学の基礎まで,不確定性原理や波動関数の収縮に象徴されるように量子力学の非日常的な自然像を際立たせる役者である「量子測定」と，量子力学の奇妙さを決定づけているエンタングルメントなどの量子状態を意のままに操る「量子制御」をキーワードに，それらが意外ながら本質的な役割を果すテーマを取り上げて，「量子情報技術」や「統計力学の基礎」に関わる理論的研究を展開した．量子測定の「見る」側面を追究する「量子計測」の話題，量子測定が系を「擾乱」する効果を逆に利用する「量子制御」の研究，さらには，量子測定と量子制御が「統計力学の基礎」や「量子熱力学」において果たす役割を浮かび上がらせる研究を展開した．,基盤研究(C),小区分13010:数理物理および物性基礎関連,量子測定,量子計測,量子制御,量子情報,統計力学,量子熱力学,量子フィードバック制御,積公式,量子断熱定理,量子Zeno効果,Maxwellの悪魔,量子レザバー計算,量子操作,断熱定理,一般化されたGibbs状態,エンタングルメント,Renyiエントロピー,量子推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03469,東邦大学,能川 知昭,機械学習による多自由度力学系の縮約,本課題では、分子の集団のようなきわめて大きな自由度を持つ系の時間発展のルールがわかっているときに、例えば内部エネルギーのような少数のマクロ変数の間で閉じた時間発展のルールの導き出すという、これまで研究者の直観に頼りがちであったタスクを、機械学習によって行う一般的な枠組みの構築を行った。系を記述するのに最適なマクロ変数を自動的生成する点に特徴がある。セルオートマトンやスピン系（Pottsモデル）のような離散自由度の系の場合に学習の実装を行い、その有用性をテストした。その中で、例えば、初期条件の対称性と閉じた力学系を構成できる最小自由度の関係などについてもっともらしい分析ができることを示した。,基盤研究(C),小区分13010:数理物理および物性基礎関連,機械学習,非平衡ダイナミクス,縮約理論,相転移ダイナミクス,非平衡動力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03468,東京理科大学,秋元 琢磨,レーザー冷却における原子のダイナミクスの解明,本研究は、レーザー冷却過程における原子のダイナミクスの非定常性を無限測度エルゴードも基にして解明することが目的である。本研究期間では、サブリコイルレーザー冷却の１粒子のダイナミクスに注目し、その確率モデルを用いて、そのエルゴード特性を明らかにしてきた。2020年に Phys. Rev. E に出版された論文では、一般のセミマルコフ過程における無限測度エルゴード理論の構築に成功した。そして、それらの理論を基にして、2021年に Phys. Rev. Lett.、2022年に J. Chem. Phys. にサブリコイルレーザー冷却の確率モデルの無限測度エルゴード理論の構築に成功した。,基盤研究(C),小区分13010:数理物理および物性基礎関連,非平衡現象,無限測度エルゴード理論,レーザー冷却,非平衡物理学,非平衡統計力学,異常拡散,無限測度,確率過程,非定常過程,非定常拡散過程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03467,成蹊大学,門内 隆明,孤立量子系における操作的な非平衡統計力学の構築,本研究では、非平衡統計力学の構築について操作的な観点から取り組んだ。,基盤研究(C),小区分13010:数理物理および物性基礎関連,孤立量子系,非平衡統計力学,エントロピー生成,量子系,熱平衡化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03466,大阪府立大学,ガーモン サバンナスターリング,,モデルに依存しない量子ダイナミクス制御の様々な方法の研究に関して４つの論文を発表した。直方導波管内でサイクロトロン運動する荷電粒子の古典輻射減衰の研究について１つの論文の発表を行なった。円筒導波管内で発生する光渦に関して、研究をすでにまとめており、論文として発表する予定である。,基盤研究(C),小区分13010:数理物理および物性基礎関連,optical vortex,non-Markovian dynamics,bound state in continuum,continuum threshold,exceptional point,radiation damping,waveguide,non-Markovian decay,dynamical control,cyclotron,PT-symmetry,exceptional manifold,orbital angular momentum,cyclotron motion,cut-off frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
