awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03573,科学教育総合研究所株式会社(研究・開発部),小田垣 孝,自由エネルギーランドスケープ理論を用いたガラス転移とエージングの研究,自由エネルギーランドスケープ（FEL）描像により、次のことを示した。(1) 温度変調に対する応答からFELの緩和時間が求まる；(2) 非平衡系のエージングが２種類に分類でき、FELの緩和は第II種エージングを生じる；(3)協調緩和領域の物理的な定義を与え、Adam-Gibbs 関係式が厳密に導ける；(4) 協調緩和領域の温度依存性を分子動力学シミュレーションで決定した：(5) 緩和の緩慢化とFELの緩和が共存する系では、二種類のエージングがクロスオーバーする。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,非平衡系,自由エネルギーランドスケープ,緩和現象,協調緩和領域,Adam-Gibb関係式,エージング,待ち時間依存性,コンパートメントモデル,Adam-Gibbの関係式,エイジング,自由エネルギーランドスケープ描像,断熱伸長過程,過冷却液体,Adam-Gibbs の関係式,COVID-19,自由エネルギーランドスケープ理論,待ち時間,瞬時減衰定数,SIQRモデル,アダム・ギブス理論,温度変調応答,中間散乱関数,アミロイドーシス,ガラス転移,結晶化時間,密度汎関数理論,非平衡統計力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03572,福岡工業大学,下川 倫子,界面不安定性による多角形渦輪の形成メカニズム,粘性流体中を沈降する液滴は沈降過程で渦輪に変形した後、自発的にいくつかの液滴に分裂する。この現象は100年以上前から知られているにもかかわらず、液滴の形状や沈降速度が時間とともに変化する非定常な系であることから、そのダイナミクスが十分に理解されているとは言えない。そこで、我々は液滴の分裂を促す渦輪の不安定性の研究を通して、そのダイナミクスを理解することを考えた。本研究課題の実施により我々は液滴の分裂個数を決定する物理量を明らかにし、分裂個数に関するモード選択を表現する物理モデルを通して、その物理ダイナミクスに対する解釈を与えた。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,渦輪,界面不安定,重力不安定,不安定性,モードセレクション,パターン形成,界面不安定性,実効粘度,不安定化,界面,液滴の変形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03571,同志社大学,貞包 浩一朗,塩が誘起する有機溶媒水溶液の長距離秩序構造と２次元流体的な臨界挙動,"有機溶媒水溶液の臨界現象に対する「拮抗的な塩」について、主に小角中性子散乱、静的光散乱、動的光散乱を用いて研究を行った。小角中性子散乱と静的光散乱による「静的構造」に着目した結果により、2,6-ジメチルピリジン水溶液、2-ブトキシエタノール水溶液、アセトニトリル水溶液において、拮抗的な塩が「高秩序濃度揺らぎ」と「２次元流体的な臨界普遍性」を誘起することが明らかになった。一方で、動的光散乱で得られた溶液の「動的特性」は塩の影響を受けないことも明らかになった。また、NMRを用いた実験により、「高秩序濃度揺らぎ相」における分子レベルでの相互作用の描像についても明らかにした。",基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,臨界現象,相分離,自己組織化,ソフトマター,溶媒和,中性子散乱,動的特性,液体,相転移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03570,日本女子大学,島田 良子,メソスケールの周期的プラズモン発熱を利用した微視的Soret効果の解明,本研究は、溶液中のDNA分子がその平均末端間距離と同程度の周期長で変動する温度勾配下で示す局所的形態変化と空間移動 (微視的 Soret 効果) について明らかにした。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,プラズモン発熱,Soret効果,DNA 分子運動,DNA,ソレー効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03569,東京電機大学,細田 真妃子,電磁スピニング粘性測定システムによる超臨界流体のレオロジー計測法開発,本研究は電磁駆動回転システムを、通常の粘度測定手法を用いることができない特殊環境下にある超臨界状態の流体の粘性計測に適用することを目的とした。研究ではまず、想定される圧力容器の底板を介して、遠隔距離を有効にトルク伝達する機構の開発を行った。これにより現在、100mm厚のステンレス板を介してと圧力容器内部に設置した回転プローブを駆動することが可能になった。さらに超臨界状態では純水の1/10程度の低粘性を計測する必要がり、これを達成するために自立型の回転プローブを開発した。これにより空気程度の粘性を計測する能力を確認した。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,粘性,遠隔計測,粘度測定,ソフトマテリアル,レオロジー計測,超臨界流体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03568,名古屋市立大学,奥薗 透,表面化学反応を伴った等方的な荷電コロイド粒子の自己電気泳動メカニズムの探求,表面で化学反応が進行する荷電コロイド粒子の拡散泳動のメカニズムを提案した。粒子とそれを取り囲む弱電解質溶液のダイナミクスを記述する理論的なモデルを構築した。理論解析および数値シミュレーションによって、粒子の泳動は電解質の濃度勾配に対する応答として生じることを明らかにした。濃度勾配が表面電荷の粒対称性を破ることにより、粒子に働く力を生じ、粒子の方向性をもった運動を導くことを示した。また、電解質濃度勾配の無い系において、粒子に一定の速度を与えると、その速度の方向に静電気力が生じ、見かけの粘度が小さくなることを示した。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,ソフトマター,荷電コロイド,自己泳動,アクティブマター,数値シミュレーション,表面化学反応,拡散泳動,自己電気泳動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03567,首都大学東京,好村 滋行,ソフトマター中のマイクロマシンの非平衡ダイナミクス,本研究の目的は、ソフトマター中のマイクロマシンが示す自律的遊泳や能動輸送などの非平衡ダイナミクスの理論を、ソフトマター物理学や非平衡物理学に立脚して確立することである。具体的な研究成果としては、高分子ゲル中のマイクロマシンの遊泳挙動について調べ、ゲルの不均一構造がその運動に及ぼす影響を明らかにした。また、タンパク質や酵素の内部自由度の非平衡性に着目し、熱的に駆動されるマイクロマシンが、熱運動のみによって方向性のある運動を獲得できることを示した。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,マイクロマシン,ソフトマター,マイクロスイマー,マイクロレオロジー,ラチェット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03566,九州工業大学,松山 明彦,捩れと曲げ歪みをもつ液晶相の理論的研究,3年間の研究では，バナナ型分子が作る，ねじれと曲げ変形を持つ新規な液晶相であるツイストベンドネマチック(TBN)相についての理論を構築し，温度とバナナ型分子の曲げ角度に依存したさまざまな液晶相を理論的に予測した。ネマチックダイレクターと捩れることによる局所的な外場(電場)のカップリングによって，TBN相がネマチック相の低温側に現れることや，バナナ型分子の混合系では，濃度に依存してネマチック相からTBN相に相転移することなどを見つけた。本研究により，多くの実験で観測されている現象を定性的に説明できた。キラルカップリングパラメータを導入し，これまでの実験を説明できたことは大きな成果である。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,液晶,ネマチック相,相転移,物性論,ツイストベンドネマチック,螺旋反転,コレステリックゲル,バナナ型分子,液晶相,ねじれ,曲げ,ベントコア分子,ツイスト・ベンド相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03565,九州大学,山口 哲生,摩耗現象における巨大過渡応答メカニズムの解明,本研究では，アクリル樹脂を用いた摩擦・摩耗実験，および，高分子ゲルを用いた摩擦実験に取り組んだ．とくに後者では，すべり速度が物体の弾性波速度の同程度となる超高速条件で摩擦実験を実施した．,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,摩擦,摩耗,巨大応答,焼付き,ゲル,超音速,すべり,動的接触理論,ソフトマター,遷移,過渡応答,その場可視化,状態変数,Green関数,超音速摩擦,焼き付き,可視化,巨大過渡応答,数理モデル,レオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03564,山口大学,有賀 隆行,生体分子モーターの内部で起きる非平衡散逸の定量と数理モデル解析,細胞内で小胞を運ぶキネシンは、化学エネルギーを力学的な仕事へと変換する生体分子モーターである。その運動機構の理解の進展とは裏腹に、エネルギー変換の理解は進んでいなかった。本研究では、私たちがこれまでの研究や他の課題で見出した、キネシンの内部散逸やゆらぎによる加速といった非自明な現象を説明する数理モデルの構築を行った。その結果、熱力学的な要請を満たしつつ、各種の実験結果を説明できるモデルの構築に成功した。,基盤研究(C),小区分13040:生物物理、化学物理およびソフトマターの物理関連,生体分子モーター,１分子計測・操作,エネルギー変換,非平衡物理学,生物物理,生体物質の物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
