awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03579,核融合科学研究所,吉村 信次,光渦レーザー誘起蛍光法によるイオンの多自由度流れ計測,光渦とは、らせん状にねじれた等位相面をもつ光である。本研究では、光渦レーザーの特異な位相空間構造を利用した光渦レーザー誘起蛍光（OV-LIF）法を開発し、プラズマ中の流れ計測に応用した。具体的には、光渦中の原子が感じる方位角方向のドップラー効果を利用することで、平面波レーザーでは原理的に測定が不可能なレーザー光を横切る流れの検出を試みた。数値計算によって、方位角方向ドップラーシフトがスペクトルに顕著な効果をもたらすパラメータを特定した。電極に負電圧を印加することでレーザーを横切るイオン流速を増加させた場合に、スペクトルの広がり（標準偏差）が増加することを観測した。,基盤研究(C),小区分14010:プラズマ科学関連,光渦,レーザー誘起蛍光法,プラズマ,流れ,レーザー計測,ドップラー分光,流れ計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03578,九州大学,小菅 佑輔,磁力線方向流れを伴うプラズマ乱流におけるパターン形成,本研究では、乱流プラズマに励起される様々な構造の形成について理解を深め、特に磁力線に沿った流れ場の役割に着目した解析を進めることを目的としている。垂直方向の流れの励起の制御に対して、平行流が有効であることを確認し、単色波の場合に得られた成果を複数の波数と周波数を持つ波からなる波動乱流の場合に研究を拡張した。乱流から三次元的螺旋流が励起されることを示し、その定量化を進めた。,基盤研究(C),小区分14010:プラズマ科学関連,プラズマ乱流,非線形パターン,乱流プラズマ,非線形構造,流れ構造,旋回度,軸方向速度,プラズマ,乱流,構造形成,流れ,パターン形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03577,大阪大学,羽原 英明,表明プラズモン共鳴を用いた相対論的高強度レーザーの局所的光増強の実現,本研究の目的は、近年大きく発展を続けるナノフォトニクス技術を高強度レーザーに適応し組み合わせることで、光による真空崩壊など非線形量子電磁力学的現象が期待できるような「超高強度場」を現状の技術で実現するための基礎技術を確立することである。本研究では大きな電場増強効果が期待できる表面プラズモン共鳴現象を最大限に利用するため、高強度レーザーで用いられる超短パルス広帯域光に共鳴条件を最適化した２段回折格子を設計開発した。実際に高強度レーザー照射実験を行った所、表面プラズモン共鳴に特有な反射率計測が観測され、１段の回折格子と比較すると非常に高い吸収率が得られたことが示唆された。,基盤研究(C),小区分14010:プラズマ科学関連,高強度場,先進回折格子,広帯域光,カスタム回折格子,高強度レーザー,表面プラズモン共鳴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03576,京都大学,四竈 泰一,偏光変調法を用いたプラズマ偏光分光の高精度化と電子速度分布計測の実証,放電プラズマ中の電子速度分布の非等方性を，電子衝突で生じる原子発光線の偏光を利用して計測するための実験手法を開発した．偏光度と偏光方向を高精度で計測するために偏光変調分光システムを開発し，1%以下の偏光度まで計測できることを確認した．開発したシステムを用いてヘリウムECRプラズマ中の電子速度分布を計測し，ECR面付近の電子速度分布が磁場に垂直方向に大きな平均運動エネルギーを持つことを確認した．さらに，幅広いプラズマへ当該手法を適用することを目的として，水素ECRプラズマ中で水素原子バルマーα線の偏光計測を行った結果，最大約1.5%の偏光度を観測した．,基盤研究(C),小区分14010:プラズマ科学関連,ECH,電子速度分布,プラズマ分光,偏光,衝突輻射モデル,輻射輸送,プラズマ計測,ヘリウム原子,変調分光,光弾性変調器,ストークスパラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03575,静岡大学,三重野 哲,高温ガスプルームの冷却過程で合成されるアミノ酸・有機分子の研究,宇宙での有機分子合成と関連し、小惑星が衛星／惑星に衝突した時に起きる高温ガス反応にて種々のアミノ酸が合成されるという仮説を検証するため、２段式軽ガス銃を用いた衝突模擬実験を実施した。窒素ガス中で飛翔体をターゲットに衝突させると、微粒子を含む高温ガスが発生し、そのガスが冷える過程で合成反応が起きる。合成物を分析する事により、種々のアミノ酸の合成が確認された。その異性体を調べると、L型（生物型）アミノ酸がD型より多く含まれる事が分かった。この高温反応において、CNラジカル分子発生が重要であるので、窒素ガス中間欠アーク放電法でアミノ酸合成を試みると、高効率でアミノ酸が合成される事が分かった。,基盤研究(C),小区分14010:プラズマ科学関連,アミノ酸合成,小惑星衝突,衝突合成反応,高温ガスプルーム,ガス銃実験,間欠アーク放電,レーザーアブレーション,高温ラジカル反応,アーク合成,アミノ酸,冷却過程,パルスアーク放電,ガス銃,ラジカル分子,アブレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03574,九州大学,池添 竜也,波動との相互作用によるイオンダイナミクスの複雑性の解明,高温磁化プラズマにおける複雑性を決める過程の理解を目指し、時系列データの複雑性解析を行った。ある特定の物理過程を強く反映した信号を如何に得るかが実験では重要となる。本研究では、高温ミラープラズマの特徴に着目し、波動との相互作用により磁力線に沿って輸送された高エネルギーイオン束を高い精度で計測した。クーロン衝突が支配的なプラズマでは見えなかった波動との相互作用を反映したイオンダイナミクスの複雑性を調べることに成功した。J-S統計的複雑性とB-P順列エントロピーによる評価が波動に感度があること、およびピッチ角散乱を通した波動の影響でイオンダイナミクスの複雑性が変化することが実験で示された。,基盤研究(C),小区分14010:プラズマ科学関連,複雑性,イオンダイナミクス,時系列データ解析,C-Hマップ,高エネルギーイオン,アルベン波動,ピッチ角散乱,イオン検出器,時系列データ,順列エントロピー,イオンサイクロトロン共鳴,アルベン波,波動粒子相互作用,波動,ミラー捕捉,Jensen-Shannon複雑性,無衝突プラズマ,磁化プラズマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K03788,公益財団法人高輝度光科学研究センター,籔内 俊毅,X線自由電子レーザーを用いた高強度レーザー照射による固体加熱の超高速診断,本研究では，極短パルスで高輝度なX線源であるX線自由電子レーザー（XFEL）を利用した超高速な物質状態診断法を開発し，高強度な超短パルスレーザー照射による固体試料の過熱過程を時空間分解して診断する．,基盤研究(C),小区分14010:プラズマ科学関連,高エネルギー密度科学,高強度レーザー,X線自由電子レーザー,プラズマ,XFEL,超高速診断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K03787,核融合科学研究所,長谷川 裕記,電流機構の異なる磁化プラズマ結合系モデルによる非接触プラズマ径方向動力学の解明,本課題では、非接触プラズマ（磁場閉じ込め核融合装置の周辺領域では磁力線終端部に受熱板(ダイバータ板)があり、そこに至るプラズマの熱流を低減させるために、中性ガスの導入によってプラズマをダイバータ板から離すプラズマ非接触化が提案されている。このときのプラズマを「非接触プラズマ」と呼ぶ）を電流機構の異なる磁化プラズマ結合系としてとらえた理論モデルを構築し、先進的な数値シミュレーション、そして、直線型装置実験との相互検証を重ねることにより、非接触プラズマにおける径方向ダイナミクスの解明をめざす。,基盤研究(C),小区分14010:プラズマ科学関連,非接触プラズマ,径方向輸送,直線型装置実験,粒子シミュレーション,フィードバック不安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K03786,福岡工業大学,中村 龍史,高強度場中の荷電粒子に働く輻射反作用力と輻射場及び誘導場の理解,加速度運動を行う荷電粒子は輻射の形でエネルギーを放出する。しかし輻射による粒子運動への反作用力を考慮した古典電磁力学的な運動方程式は未だ確立していない。輻射反作用力を考慮した運動方程式の候補であるLorentz-Abraham-Dirac(LAD）方程式は、高次の時間微分項を含むことから比較的単純な電磁場分布の場合を除いて解析解のみならず数値積分解の求解も困難である。そこで本研究では、LAD方程式において発散解を導く要因であるSchott項の物理的意味を解明し、一般的な系におけるLAD方程式の安定な求解法を導出することを目的とする。,基盤研究(C),小区分14010:プラズマ科学関連,輻射反作用,高強度場,LAD方程式,自己力,超高強度レーザー,Mo-Papas方程式,Landau-Lifshitz方程式,Schott項,超高強度場,相対論運動,強強度レーザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K03785,兵庫県立大学,永田 正義,磁気ヘリシティ入射で発現するプラズモイド磁気リコネクションと高速イオン加熱,高ベータな球状トーラス核融合プラズマ実験装置を使ったプラズマ科学への展開として、独自技術である同軸ヘリシティ入射 (Coaxial Helicity Injection : CHI)を用いたプラズモイド乱流型磁気リコネクション過程の解明とその爆発的なエネルギー解放機構を利用したプラズマ加熱を実現する。,基盤研究(C),小区分14010:プラズマ科学関連,スフェロマック,球状トカマク,同軸ヘリシティ入射,プラズモイド,磁気リコネクション,イオン加熱,磁化同軸プラズマガン,プラズモイド磁気リコネクション,球状トーラス,プラズモイド不安定性,磁気ヘリシティ入射,磁気ヘリシティ,高速イオン加熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
