awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K03887,奈良女子大学,下村 真弥,極小クォーク・グルーオン・プラズマを作り出すメカニズムの解明,ここ数年、RHIC・LHC加速器における陽子同士などの小さい系の衝突によってクォークグルーオンプラズマ（QGP）のような高温 QCD物質が生成されたシグナルが多数報告されている。これを可能とするメカニズムとして、マルチパートンインタラクション(MPI)が候補に上がっている。本研究では、MPIのシグナルを大きい系（重イオン衝突）での集団運動の方位角異方性の強度（v２）をこれまでにない新しい軸で測定することによって検証する。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,QGP,イベントエンジニアリング,MPI効果,重イオン衝突,Multi-parton interaction,MPI,v2,高エネルギー原子核衝突,新軸,マルチパートンインタラクション,multi parton interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03688,大学共同利用機関法人高エネルギー加速器研究機構,三塚 岳,偏極ビームが解き明かす非摂動QCDとクーロン散乱による前方中性子生成,衝突エネルギー200-510 GeV領域での非摂動QCDシミュレーションを作成し、前方中性子および中性パイオンのスピン非対称度を導出した。非摂動QCDはpomeronやreggeonといった仮想粒子の交換によって成り立つ。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,高エネルギーハドロン散乱,非摂動QCD,スピン,偏極ビーム,クーロン散乱,パイオン生成,高エネルギー宇宙線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03687,国立研究開発法人理化学研究所,榎園 昭智,短寿命RI・電子散乱実験のための高速中性子トリガー検出器の開発,波形分別型（PSD）プラスチックシンチレータEljen Technologies EJ276を購入し、幾つかの異なった条件の元でPSDシンチレータにおけるガンマ線と中性子線の分離能力の指標であるFigure of Merit (FoM)を測定した。FoMはガンマ線・中性子線のPSD分布の半値幅（W_g、W_n）とそれぞれのピーク中心間の距離Dから、FoM = D/(W_g+W_n) と定義される。本研究の目的は、ADCデジタザーで収集されたシグナルをFPGA上で高速にPSD波形処理を行うことで高ガンマ線バックグランド下において利用できる中性子トリガー検出器を開発することである。そのためにFPGAで実装するPSD解析のロジックは、FoMを最大化しつつも高速化のために簡素なものでなければならない。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,原子核実験,中性子検出器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03686,大学共同利用機関法人高エネルギー加速器研究機構,宇野 彰二,高感度中性子2次元画像検出器の開発,放電耐性に強いセラミックガス電子増幅器（GEM：両面基板に多数の孔をあけ、ガス中でその表裏間に高電圧を印可して、ガス増幅を起こして、放射線検出器とするもの）にボロン（中性子と吸収して、アルファー粒子を生成する）を薄く蒸着させて、それを積層することで高感度な中性子検出器の開発を進めた。蒸着時に条件を工夫することによって、比較的小型のGEMであれば、表裏間の抵抗値を十分に高く保ちながら、中性子感度を低下させずにすることに成功した。しかし、この科研費期間中には、標準である10㎝角の大きさのGEMでは、よいものを製作することができなかった。今後、さらなる条件出しが必要であると考えている。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,量子ビーム,放射線,中性子,高感度,2次元画像,放射線検出器,両面セラミミック基板,高速データ転送,両面セラミック基板,両面フレキシブル基板,高密度実装,ボロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03685,大学共同利用機関法人高エネルギー加速器研究機構,津野 総司,新しい物理素過程を利用した荷電レプトンフレーバーの破れの探索,素粒子標準理論に於いて、素粒子の一つであるレプトン種(フレーバー)の混合は、強く抑制される。一方、レプトンの一種であるニュートリノは、振動効果を経由して、フレーバーが混合していることが観測されている。これは、広く、フレーバーの謎として認識されている。本研究は、この現象を説明するために、ヒッグス粒子にフレーバー混合を許す相互作用を導入し、高次の量子効果によって、レプトン・フレーバーを破る物理素過程を新たに提唱した。また、この理論計算を可能にする数値計算プログラムを開発した。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ヒッグス粒子,ニュートリノ振動,レプトンフレーバーの破れ,LHC実験,フレーバー物理,タウレプトン,ATLAS実験,アトラス実験,フレーバー,アトラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03684,大学共同利用機関法人高エネルギー加速器研究機構,坂下 健,ニュートリノ原子核反応の理解にむけた大型液体アルゴンTPC測定器の開発研究,ニュートリノ原子核反応の理解にむけて液体アルゴンタイムプロジェクションチェンバーの開発研究を進めた。本研究では、高い信号-雑音比で信号読み出し可能な気液2相型測定器の開発を行った。ガス電子増幅器(GEM)を用いて約9倍の増幅率で電離電子の読み出しに成功した。一方で読み出し面を大きくしたときに放電が生じることも分かり、今後、高抵抗物質を電極に用いたGEMの開発などが必要である。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ニュートリノ,液体アルゴンTPC,ニュートリノ原子核相互作用,液体アルゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03683,大学共同利用機関法人高エネルギー加速器研究機構,足立 一郎,ハイブリッド技術を用いた高性能光検出器の新展開,本研究課題は、先行研究で新しく開発したハイブリッド技術を用いた光検出器を、マルチアノード化をすすめ、イメージング能力を持つセンサーへと高度化するものである。さらに、磁場中での使用の可能性及び異なるフォトカソードの採用についてあらたな指針を示し、進展させることが重要項目である。プロトタイプ4台を用いて光検出システムとして一体化し、読み出し電子回路と接続し、シリカエアロゲルをチェレンコフ輻射体として光検出システムの上流部に設置し、宇宙線を用いて発生したデータを収集した。このデータからシングルフォトン検出効率を含む詳細な性能を検証した。磁場シールドについては、シミレーションに磁場を入れ影響を調べた。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,光検出器,シングルフォトン,チェレンコフ光,ハイブリッド技術,光検出機,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03682,大学共同利用機関法人高エネルギー加速器研究機構,大山 雄一,J-PARCニュートリノビームラインの放射化水及び放射化空気の研究,J-PARCニュートリノビームラインにおいて、ビームライン機器の冷却水は、ビーム運転を継続するにつれて高濃度の放射能を含むようになる。これはビームにより生じる中性子が冷却水中の酸素原子を破壊することによるものである。このうちベリリウム7やマンガン54等の金属イオン性放射能は、イオン交換樹脂を用いて測定限界以下まで除去することができた。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ニュートリノ,J-PARC,放射化水,トリチウム,ベリリウム,マンガン,大強度陽子ビーム,放射化水処理,大強度ビーム,T2K実験,放射線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03681,国立天文台,麻生 洋一,折り返し光共振器を用いた低温コーティング熱雑音の直接測定,重力波検出器の主要な雑音である熱雑音を低減するため、次世代検出器では鏡を低温に冷却する。しかし、そのような鏡の表面には、時間とともに吸着分子層が形成されていき、光学ロスを増大させる。我々は折返し光共振器を用いて、低温分子層の光学ロスと、厚みを同時に測定する手法を開発した。これによって、低温分子層の吸収係数を求め、アモルファス氷の文献値とほぼ同等であることを確認した。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,重力波,低温,薄膜,熱雑音,コーティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03680,東邦大学,渋谷 寛,コンパクト・エマルション・スペクトロメーターを用いたタウニュートリノの研究,正・反タウニュートリノ反応を識別して研究することを目指し、そのためのコンパクト・エマルション・スペクトロメーター (CES)技術の実用化に向けた課題とその解決法を探った。CESに適した原子核乾板の塗布、実用型CES構造体の製作と組み立て、加速器ビームや宇宙線の照射実験、原子核乾板に記録された粒子飛跡の測定から電荷符号識別の解析まで、全体の流れを繰り返し、調査した。CESの性能を決めるサジッタ分布の広がりは、飛跡位置の測定精度と多重散乱を組み入れたシミュレーションの予測とほぼ一致し、理解できることがわかった。CES技術は実用化の段階に入った。,基盤研究(C),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,コンパクト・エマルション・スペクトロメーター,タウニュートリノ,原子核乾板,磁場,エマルション・スペクトロメーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
