awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K03864,北九州市環境エレクトロニクス研究所,宍戸 信之,微小界面構造体における潜在欠陥情報の抽出,本研究では、局所の界面強度を直接評価可能な方法論によって、微小な界面構造体におけるき裂の進展抵抗と潜在するき裂形状の双方を評価することで、微小構造体の大規模システムであるエレクトロニクスデバイスの初期破壊リスクの定量化を試みた。実際の製造プロセス同様に熱負荷を加えて破壊させた試験結果から導かれる破壊挙動とその頻度分布が、それを再現するモデルとよい一致を示した。これは本方法論を発展させることで、半導体デバイスなどのの破壊リスクを定量化する設計手法を実現可能であることを示唆する結果である。,基盤研究(C),小区分18010:材料力学および機械材料関連,界面強度,エレクトロニクス,欠陥,材料組織,き裂進展,破壊確率,強度,異種材界面,信頼性,界面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03863,北九州市環境エレクトロニクス研究所,宮崎 則幸,パワーモジュール接合部の損傷モデルの構築,Wire-liftoffは、パワーモジュールの動作中の熱応力により生じるボンディングワイヤと半導体チップの剥離である。本研究ではwire-liftoff寿命を予測する損傷モデルを提案した。以下に研究成果を示す。(1) Wire-liftoff寿命を予測する損傷モデルとして、非線形破壊力学パラメータT*範囲を含む寿命予測式を提案した。(2) 損傷モデルには熱疲労試験データが必要であるが、そのようなデータの取得には長時間を要する。そこで、短時間で取得可能な４点曲げ疲労試験で熱疲労試験を置き換える方法を提案した。(3) 損傷パラメータの計算に必要なAl ワイヤの温度依存非線形構成式を取得した。,基盤研究(C),小区分18010:材料力学および機械材料関連,パワーモジュール,高信頼性,長寿命化,損傷モデル,ワイヤボンド部,熱疲労寿命,非線形ひずみエネルギ密度範囲,非線形破壊力学パラメータ,非線形ひずみ密度範囲,熱疲労,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03862,国立研究開発法人産業技術総合研究所,西村 憲治,ナノ組織を有する機能材料の水素脆化メカニズム解明とその抑制方法の開発,水素分離膜などに利用されるパラジウムの水素脆化メカニズムについて原子系シミュレーションを用いて調べた。水素化物を起点としたナノスケールで生じる水素拡散、破壊現象に着目した。パラジウム水素化物の状態は水素濃度に顕著に依存し、水素脆化に大きな影響を与えることがわかった。α相とβ相の2相共存状態では初期界面転位の存在により引張強度が著しく低下することが明らかになった。本研究で提案したナノ多結晶化により、2相共存状態が解消された。ナノ多結晶化は水素分離膜の耐久性を向上させることが示唆された。,基盤研究(C),小区分18010:材料力学および機械材料関連,分子動力学,水素脆化,水素拡散,転位,水素化物,水素濃度,材料強度,分子動力学法,ナノ多結晶,相分離,水素分離膜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03861,神戸市立工業高等専門学校,和田 明浩,擬似表面波によるFRP成形板の板厚方向硬化度分布評価,本研究では，板厚方向に樹脂硬化度分布を有するFRP板を伝播する「擬似表面波」を研究することで，片面未硬化板の非破壊検査手法について研究した．自作した特殊成形装置を用いて成形した片面未硬化FRP板において，試料表面から入射された超音波が硬化層付近に局在化して伝播する「擬似表面波」を形成することを確認するとともに，硬化層厚さが超音波伝播特性に与える影響を調査した．また，時間領域差分法であるFDTD法を高減衰材料に適用できるように拡張し，超音波伝播シミュレーションにより実測結果の再現が可能であることを示した．硬化層厚さの評価には，「擬似表面波」の周波数特性や減衰率の評価が有効であることがわかった．,基盤研究(C),小区分18010:材料力学および機械材料関連,FRP,硬化度分布,超音波,擬似表面波,非破壊検査,FDTD,成形条件,非破壊評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03860,鈴鹿工業高等専門学校,末次 正寛,閉口き裂の検出精度向上を目的とした非線形超音波探傷法に関する研究,構造物中に存在するき裂（クラック）は、突発的な脆性破壊を誘引して大事故に直結するため非破壊検査で検出すべき欠陥の最たるものである。本研究では、特に検知が困難である閉口き裂の検出精度向上を目的とし、超音波の伝ぱによるき裂の開閉口挙動を実験によって直接観察した。その結果、縦波超音波の引張相の入射時にはき裂は開口して波を反射し、圧縮相ではき裂が閉じて波を透過させる現象が視覚的に確認できた。,基盤研究(C),小区分18010:材料力学および機械材料関連,非破壊検査,非線形超音波法,閉口き裂,超音波可視化,光弾性法,鋭敏色法,フェーズドアレイ法,非線形超音波,超音波探傷,フェーズドアレイ,FDTD法,超音波探傷法,分調波,高調波,実験応力ひずみ解析,可視化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03859,群馬工業高等専門学校,山内 啓,Sn-Bi基合金の超塑性変形メカニズムの解明,Sn-Bi合金の延性改善と耐衝撃性向上を目的として、合金各種Sn-Bi基合金の機械的性質や接合特性について調査し、Sn-Bi基合金の超塑性変形メカニズムを明らかにしようとするものである。様々な添加元素による実験を行った結果、初晶の結晶粒径が10数ミクロン程度のSn-Bi合金へSnあるいはBiに固溶する元素（Cu、Ni、Sb、Znなど）を添加することで、脆性改善が確認された。また、高温（60℃以上）・低ひずみ速度の条件においては、伸びが200％をこえる超塑性挙動を示すことが明らかとなった。,基盤研究(C),小区分18010:材料力学および機械材料関連,Sn-Bi合金,超塑性,鉛フリーはんだ,接合,低融点,脆性改善,結晶粒径,粒界すべり,ひずみ速度感受性指数,低温実装,変形挙動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03858,福岡工業大学,朱 世杰,ナノシート複合した誘電エラストマーにより発電効率および耐久性の向上方法の開発,誘電エラストマーデバイスの発電効率および耐久性の向上方法について、純せん断、等二軸などの繰り返しの発電試験とともに、代表的なNeo-Hookeanモデル，Gentモデルを利用して，発電エネルギー密度および発電効率を計算した。解析結果と実験結果の比較をしながら，新しい発電方法を提案した。この「台形」発電スキームは、「三角形」スキームより大きい発電エネルギー密度を獲得した．誘電エラストマー発電機のエネルギー密度は800J/kg，変換効率は30%で最も性能の良い結果となった．「台形」スキームにて，大きな伸張比で放電電圧を高く維持し，収縮速度を速くすることが発電性能の向上に有利であることが分かった．,基盤研究(C),小区分18010:材料力学および機械材料関連,誘電エラストマ発電,発電エネルギー密度,発電効率,誘電エラストマ発電機（DEG),誘電エラストマ発電機,電気エネルギー変換効率,エラストマーの漏電効果,誘電エラストマ,繰り返し試験,純せん断繰り返し試験,二次元等軸繰り返し試験,誘電エラストマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03857,岡山理科大学,清水 一郎,準安定βチタン合金の変形双晶に基づく多軸応力下塑性加工性向上機構の解明と定式化,本研究では，様々な産業用途への利用が進められている準安定βチタン合金を対象とし，限定されたβ安定化元素範囲で活動する変形双晶が力学的性質に及ぼす影響の解明を目指した．高温域から溶体化焼入れによって準安定状態とした二元系Ti-Mo合金を中心に，単軸，二軸圧縮等の力学的性質評価試験を実施した．その結果，変形双晶の活動状況が合金組成に強く依存することを見出した．続いて，変形双晶がもたらす特異な塑性変形挙動と，それに対する変形様式の影響を定量的に評価することができた．これらの巨視的変形と微視的挙動の関係に基づき，双晶活動を考慮した塑性挙動の合金添加量依存性の定式表現を試みた．,基盤研究(C),小区分18010:材料力学および機械材料関連,準安定βチタン合金,塑性変形,力学的性質,変形双晶,二軸圧縮,機械材料,Ti-Mo合金,塑性加工,二軸圧縮試験,チューブエンドフレア試験,βチタン合金,多軸応力,塑性加工性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03856,近畿大学,伊藤 寛明,粘度測定によるガラスの熱粘弾性特性評価技術の確立,本研究では，種々の市販光学ガラスに対してクリープ試験を行い，ガラス組成・ネットワーク構造が応力緩和挙動に及ぼす影響を調査した．その結果，これらは応力緩和挙動にほとんど影響を及ぼさず，ガラスの種類に依らずほぼ同一形状の緩和せん断弾性係数のマスターカーブを描くことを明らかにした．また，クリープ試験による熱粘弾性特性の評価時間の大幅な短縮を目指し，平行平板試験による粘度測定を試み，粘度からシフトファクタを算出することに成功した．さらには熱機械分析装置を用いた極めて低荷重の平行平板試験を併せて実施し，シフトファクタに測定荷重は影響しないことを明らかにした．,基盤研究(C),小区分18010:材料力学および機械材料関連,熱粘弾性特性,応力緩和,シフトファクタ,粘度測定,ネットワーク構造,光学ガラス,ガラス組成,クリープ試験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K03855,大阪工業大学,上田 整,圧電アクチュエータの界面剥離発生機構の解明,界面に垂直なき裂を有する傾斜機能圧電積層厚板に熱衝撃負荷、静的電気負荷および機械的衝撃負荷が作用する場合を考え，き裂先端の特異電気弾性場を理論解析したものである．重ね合わせの原理および積分変換法を用い，特異電気弾性問題の解を特異積分方程式の解に帰着した．また，特異積分方程式の数値解析には，Gauss-Jacobi またはGauss-Chebyshev の数値積分公式を用い，応力拡大係数に及ぼす材料不均質性および幾何学的形状の影響を明らかにした．,基盤研究(C),小区分18010:材料力学および機械材料関連,圧電材料,傾斜機能材料,破壊力学,弾性数理解析,電気的負荷,傾斜機能圧電平板,特異応力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
