awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04075,独立行政法人高齢・障害・求職者雇用支援機構職業能力開発総合大学校(能力開発院、基盤整備センター),新家 寿健,高齢者の健康寿命の延伸を目指したパワーデンチャーロボットの開発,本研究では、正常な摂食を維持するために入れ歯を利用し、障害を持たない高齢者を対象として「咀嚼力をアシストするパワーデンチャーロボット」を開発することを目的とした。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,パワーアシスト,ロボティクス,chewing assist,ultrasonic motor,power assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04074,国立研究開発法人産業技術総合研究所,中住 友香,ゲルの接着性制御技術を駆使したマイクロゲルアクチュエータの開発,本研究では、鋳型を用いることなく微小なゲルアクチュエータを作製する手法として、ゲル同士の接着によってゲルアクチュエータを組み上げる手法の提案を行った。高分子溶液を用いた導電性高分子ゲル同士の接着により、直流電圧で駆動するゲルアクチュエータの作製を行った。作製したゲルアクチュエータは、切削等で微小化しても駆動することを確認した。またゲルアクチュエータの力学特性および駆動変位について、測定方法も合わせて検討を行った。さらにゲルアクチュエータの部品のみをビーカーに入れて、攪拌のみでゲルアクチュエータを組み上げるには、ゲルの形状等が大きく影響することが明らかとなった。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,ゲル,接着性制御,ソフトアクチュエータ,高分子溶液,接着,自己組立,自己複製,アクチュエータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04073,沖縄工業高等専門学校,武村 史朗,曳航型水中ロボットを用いた浅海域における海底3D地図作成の高速広域化,曳航型水中ロボットを用いて，高速広域での海底写真収集を行う．海底の3D地図作成は学術的・実際的理解に有用なデータである．サンゴ礁の浅瀬でのモニタリング方法の1つに，ダイバーを曳航するマンタ法がある．マンタ法は小型ボート，デジタルカメラ，ダイバーのエアタンクなどの従来の機器を使用して安価に実施できる．ただし，潜水時間と深度は，安全のために規則に基づいて制限されている．提案手法である小型船による曳航型水中ロボットは，船による水中ロボットの曳航のため，ダイバー等の人手の負担軽減・危険性の除去ができる．曳航速度約1.21m/sで曳航して幅約10m×長さ約20mの海底3D地図を作成することができた．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,海洋探査,曳航型水中ロボット,3D地図,海底3D地図,水中ロボット,曳航型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04072,熊本高等専門学校,湯治 準一郎,触感取得に効果的な人工指の構造およびポリモーダル皮膚センサの配置の解明,本研究は，接触動作を伴う触感の取得に適した人工指の構造，人工皮膚の材料や形状，信号処理を含むポリモーダル皮膚センサの配置や密度を明らかにすることを目的とする．温度センサとして用いられているサーミスタ素子の周囲に水分領域を設けたものを，力や温度の皮膚刺激に応答するポリモーダル皮膚センサと定義し，これを人工皮膚材料に埋め込む方式で製作する．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,触覚センサ,サーミスタ,温度,変位,静電容量,ポリモーダル受容器,人工皮膚感覚,皮膚センサ,人工指,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04071,佐世保工業高等専門学校,貞弘 晃宜,マルチセンサと確率共振を用いて計測した筋電位からの事前運動推定法の開発,筋電位は機械を動かす際の入力信号として利用することで、人間の意図を効率的に機械に伝えることができる。従来の研究では、電気力学的遅延と呼ばれる、筋電位のおこりから実際に運動がおきるまでの時間差（電気力学的遅延；EMD）は無視されていたが、本研究ではこれを確率共振とマルチセンサの組み合わせを用いて取得することにより、従来法でこの時間差を減らす要因となっていた位相遅れのない筋電気取得法を提案し、これと昨今隆盛の機械学習による推定モデルとを組み合わせることで、EMD時間分（おおよそ 100から200 ms）事前に人間の運動を推定する方法を提案し、実験的にその有用性を確認した。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,マルチセンサ,確率共振,筋電位,電気力学的遅延,特徴量抽出,操作能力熟達,EMG,EMD,信号分解,粗く量子化された信号,機械学習,同定,事前推定,並列加算ネットワーク,マン・マシン・インターフェース,人間動作推定,表面筋電位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04070,富山高等専門学校,池田 英俊,人間のハンドリング動作を模倣するシート状ロボットハンドの開発,6自由度ロボットハンドの設計を行い，ハードウェアを実現した．さらに，本ハンド機構を取り付けるマニピュレータと，それらを搭載する対向2輪駆動方式のロボットプラットフォームも開発した．制御システムならびに，動作ソフトウェアの開発も行い．提案内容である物体の「乗せ」，小物体に対する「つまみ」，比較的，大きな物体に対する「つかみ」，そして，本棚に立ててあるファイルの「取り出し」といった各動作が実現可能であることを示した．さらに，ペットボトルの蓋の取り出し（つまみ動作と回転動作の組み合わせ）という作業も提案ハンド機構を用いることで実現可能であることを示した．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,ロボットハンド,多指ハンド,折りたたみ機構,シート状,自由度,ハンドリング,グリッパ,ロボット,低自由度,ハンドメカニズム,ARToolkit,人間の動作,模倣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04069,苫小牧工業高等専門学校,工藤 彰洋,真に臨場感を有したVRサウンドを実現するための移動音における方向知覚の解明,本研究は、高臨場感VRサウンドを実現するために、移動音の最適な移動角度と速度の法則を見い出だし、本人以外の音響伝達特性を用いたことによる移動音の定位誤差を減らすことを目的としている。実験結果から、移動角度を36.5°以上とすることで移動の方向を知覚できることが明らかになった。また、音像定位実験では、移動角度を60°に固定し、移動速度を16°/sから32°/sとすることで、移動音の音像定位が明確になることから、高臨場感VRサウンドが実現できることを結論づける。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,バーチャルサウンド,音像定位,移動音,移動速度,移動角度,頭部伝達関数,HRTF,MAMA,適応法,方向定位,最小移動可聴角度(MAMA),ヴァーチャルサウンド,音響心理実験,VRサウンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04068,近畿大学,原田 孝,ハンドの高速移動と高速無限回転を実現するケーブル駆動パラレルロボットの開発,可動部に接続した複数のケーブルの長さを制御して可動部の位置と姿勢を変化させるケーブル駆動パラレルロボットは，長いケーブルを用いることで広い動作範囲を有し，スタジアムカメラの移動などに利用されている．しかしながら，可動部を回転させたときにケーブルどうしが干渉し，回転動作範囲が制限される問題がある．そこで本研究では，可動部に回転プーリを組み込み，エンドレスケーブルを用いてプーリを摩擦駆動する新たな機構により，回転プーリの無限回転を実現する新しいロボットを提案し，力学的な解析に基づいた設計方法を確立し，数値計算および基礎実験による検証を行った．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,知能機械,ケーブル駆動ロボット,パラレルメカニズム,機構解析,機械設計,知能制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04067,大阪電気通信大学,鄭 聖熹,座り乗り式車輪倒立型PMVの「心地よい操縦感」を実現する操縦支援手法の構築,本研究では、座り乗り式倒立型パーソナルモビリティ(PMV)を模倣した実験装置を制作し、不安定な搭乗部上で座っている被験者のバランス運動能力を評価した。実験結果、座面の回転剛性2.45Nm/deg以上で、座面の傾き角が±1度以内に維持できることが確認できた。また、PMVの加減速操縦に必要な座面の傾き角度及び角速度おいて、座面傾き角度が約±6度以上から被験者の不安感が大きくなっていることが分かった。座面の傾き角速度においては12deg/s以上になると被験者の不安感が大きくなることが分かった。操作方式では、上半身動作で座面を傾ける場合がジョイステック操作時より不安感を感じにくいことが分かった。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,車輪倒立型パーソナルモビリティ,不安感評価,バランス評価,電動車椅子,車輪倒立型車椅子,搭乗者の心理的負荷,座乗り式車輪倒立型車椅子,乗り心地評価,車輪倒立,電動車いす,加減速動作時の恐怖感,着座姿勢でのバランス評価,車輪倒立型ＰＭＶ,座り乗りタイプ,操縦支援手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04066,大阪産業大学,北澤 章平,交通環境下におけるドライバが感受する危険感覚の定量化手法の開発,近い将来に訪れる自動運転車両が走行する社会では，運転に拘束されず自由な移動が可能となる.一方で，特に人が運転する車両と自動運転車両の混在化により，交通流の阻害や他の車両への信頼性の低下など，道路交通に新たな課題が生じると考えられる．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,Risk potential,Risk feel,Driver model,Automated driving,リスクポテンシャル,ドライバ属性,ドライバモデル,ドライバ特性,自動運転,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04065,大阪工業大学,河合 俊和,微細手術支援ローカル操作ガイディング術具マニピュレータ,内視鏡下手術における執刀医の第三の手として，臓器を把持牽引し作業空間をつくるローカル操作の鉗子ロボットを提案した．円環レールと直動ローラを備えるGuide型と，閉ループ機構でピボットを構成するGimbal-link型の各術具マニピュレータを開発した．試作機の機構特性を計測して，内視鏡下胆嚢摘出模擬手術を実施し，モータ駆動では臓器モデルに十分な張力をかけて術野を確保でき，モータ非励磁の手動操作も可能であったことから，鉗子助手としての有用性を明らかにした．さらに，数理情報に基づいて内視鏡画像を認識する操作インタフェースとして，水蒸気と鉗子先端の検出，術野セグメンテーションの各手法を構築した．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,手術支援ロボット,鉗子マニピュレータ,機構,ローカル操作,医用ロボット,第三の手,マニピュレータ機構,医療ロボット,術具マニピュレータ,ローカル操作インタフェース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04064,立命館大学,満田 隆,真空圧により剛性が変化する機械要素の力学モデルの構築,柔軟な袋の内部の空気を抜くと、袋の内部の物体が凝集して袋全体が硬くなる。近年、この現象を利用した柔軟なロボットの研究が多く行われている。本研究は、空気を抜くことで硬くなると同時に曲げ変形が生じる新しい構造を考案し、この構造を利用した柔軟なロボットグリッパーと身体固定具を開発した。また、皺が生じることなく曲面に沿って変形できる可変剛性シートを考案した。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,ソフトロボット,ロボットグリッパー,空気圧,可変剛性,粒子ジャミング,ソフトロボティクス,グリッパー,ロボットハンド,フレキシブルロボティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04063,同志社大学,積際 徹,作業動特性に対する人間の認知能力解明と筋・脳賦活状態に関する解析手法の創成,本研究の目的は、動特性を有する作業を行う人間の筋肉や脳機能の賦活状態などの生理情報に関わる解析結果と、人間が行う運動に付随する位置や力に関わるデータを相互に分析することにより、作業対象の動特性に対する人間の応答特性を明らかにする解析手法の創成である。また、本研究の成果は、(1) 作業に対する人間の応答（筋・脳賦活などの生理情報）について解析する手法を提案し、(2) 実験ならびに解析結果より、作業動特性の差異によって筋肉や脳機能の賦活状態などの応答特性が異なることを明らかにしたことである。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,ロボット,人間－機械協調系,ロボットの運動制御,マンマシンインターフェース,脳機能解析,高次脳機能,脳賦活解析,筋賦活解析,インターフェース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04062,同志社大学,橋本 雅文,二輪車ITS：LiDAR-IoTによる狭隘道路環境での協調予防安全システム,狭隘道路環境において，二輪車に対する高度な予防安全を実現する基盤研究として，①二輪車搭載のLiDARによる単独型環境センシング技術（環境地図生成技術と移動物体認識技術），②IoT技術によりクラウド空間に集約した自車と周辺車両からの環境センシング情報に基づく協調型環境センシング技術（環境地図の統合・更新技術，協調移動物体認識技術）を検討し，③実験プラットフォームとシミュレータによる特性評価実験を行った．,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,ITS,二輪車,LiDAR,協調環境センシング,環境地図生成・統合・更新,移動物体認識,予防安全,協調環境センシング 環境地図生成・統合,レーザスキャナ,環境地図生成・統合,① ITS,② 二輪車,③ LiDAR,④ 協調環境センシング,⑤ 予防安全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04061,明治大学,小谷 斉之,ＣＭＧ荷重移動装置を利用した無人二輪ロボットのハイモビリティ制御,本研究では，移動体のハイモビリティを実現するために，通常姿勢安定装置として利用されるコントロールモーメントジャイロ（ＣＭＧ）を次の動作へスムーズに移行できる予備動作になる疑似荷重発生装置としての利用方法を検証することを目的とし，無人の二輪車であってもスムーズな旋回走行を行う制御系設計を行った。数値シミュレーションにより，二輪車の旋回動作に応じたバンク姿勢変化によって荷重移動がないときよりも旋回性能が向上できることを確認した。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,無人二輪車,姿勢制御,コントロールモーメントジャイロ,モーションコントロール,非線形制御,ＳＬＡＭ,測域センサ,コントロール・モーメント・ジャイロ,自律システム,知能ロボット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04060,日本大学,齊藤 健,シリコンデバイスを実装した世界最小の昆虫型ロボットの開発,世界最小の昆虫型ロボットの実現を目的として、ミリメートルサイズのロボットに搭載するシリコンデバイスを開発した。3年間の研究で、ロボットの移動機構である静電アクチュエータおよびロボットの制御機構であるハードウェアニューラルネットワークを研究成果として得た。いずれのシリコンデバイスも、マイクロロボットに搭載可能な約6平方ミリメートルの大きさで実現した。静電アクチュエータは150ミリグラムのロボットを駆動し、ハードウェアニューラルネットワークはコンピュータプログラムなしでのロボットの歩行動作を生成する。,基盤研究(C),小区分20020:ロボティクスおよび知能機械システム関連,シリコンデバイス,マイクロロボット,昆虫型ロボット,静電アクチュエータ,ハードウェアニューラルネットワーク,太陽電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
