awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04378,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),鴫原 良典,津波被災により生じる都市機能麻痺に対する災害支援トリアージの構築,本研究では，津波災害によって生じる自治体の行政施設等の被害を推定するとともに，被災時に必要となる救助活動の支援や生活インフラの支援（医療提供，下水処理）の規模と地域を明らかにした．特に前者については，ハザードレベルが自治体の対応限界を超えた場合に必要となる自衛隊の災害派遣の規模を推定することができた．,基盤研究(C),小区分22040:水工学関連,津波,地震,防災,リスクマネジメント,災害支援,人命救助,自然災害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04377,国立研究開発法人防災科学技術研究所,村上 智一,強大台風下の海洋観測に基づく温暖化時の高潮・高波・浸水予測,本研究の目的は，温暖化時の強大台風に匹敵する台風下の流速・波浪などの海洋実測データを取得し，それを基にした高潮・高波・浸水の数値予測を行うことである．,基盤研究(C),小区分22040:水工学関連,台風,流速,高潮,数値予測,波浪,風速,水温,現地観測,数値シミュレーション,高波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04376,大分工業高等専門学校,東野 誠,表流水と周辺地盤との間の水分と物質移動に関する研究,寒冷地において冬期に凍結防止剤として道路に散布されたNaClの地盤内での移動や物質変換過程，および地盤から地下水や表流水中へのこれらの物質の流出過程について，理論的・実験的検討を行った．それに際して，豊浦珪砂，真砂土，および黒ボク土で構成された地盤を想定した．解析では，従来の水・底泥境界面での物質移動，およびHyporheic exchangeに関する基礎研究を拡張して地盤表面から内部での飽和・不飽和浸透流と物質移動，および物質変換過程をモデル化するとともに，降水の量や期間を変化させて地盤内部の流れ場，およびNaClの挙動の再現を試みた．モデルが地盤内の物質移動を概ね再現することを示した．,基盤研究(C),小区分22040:水工学関連,浸透流,地盤内物質移動,地盤環境,雨量強度,塩分,地下水汚染,透水係数,物質移動,周辺地盤,塩化ナトリウム,降水,水分保持曲線,Darcy則,飽和・不飽和浸透流,降水の浸透,表流水・地下水,硝酸性窒素,施肥,凍結防止剤,不飽和地盤,塩分除去,豊浦砂,真砂土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04375,阿南工業高等専門学校,長田 健吾,多様な流木堆積過程を検討可能な流木対策工設計支援システムの構築,本研究では，流木の流下・堆積過程を説明できる新たな3次元流木解析モデルを開発した．本モデルは，流木挙動を表現する3次元個別要素法と洪水流解析を組み合わせたものである．本モデルの特徴は，洪水流解析に平面2次元―3次元ハイブリット流体解析を採用したことであり，これにより一般的な流れの3次元計算に比べて短い計算時間で効率よく3次元流れの情報を得ることを実現した．解析モデルの検証のため，流木流下・堆積に関する基礎的な実験データとの比較を行った．その結果，開発した解析モデルは，流木の堆積形状や水位上昇などを再現することができ，流木の流下・堆積過程を説明するための有用なモデルであることを明らかにした．,基盤研究(C),小区分22040:水工学関連,水工水理学,流木災害,洪水,防災減災,河川工学,水工学,流木,河川,数値解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04374,名城大学,溝口 敦子,砂州形状と粒度の伝播特性の解明および粒径別流砂量評価技術の提案,実河川における河床材料の粒度分布の特徴を整理するとともに，画像解析技術を用いて河床材料の粒度の平面分布を把握した．一方で，水路実験を用いて基礎的な土砂流下現象の検討や砂州の流下や供給条件の変化に伴う応答に関する検討を行った．これらの検討を通じ，流砂の水流への影響や他粒径の影響によって流砂速度や量が変化し，河床構成材料の供給状態が砂州の進行や変化に関わること，細粒分の供給が流砂現象の活性化につながることなど今後砂州動態の解明や流砂量評価に取り入れるべき機構や検討課題を明確にした．,基盤研究(C),小区分22040:水工学関連,交互砂州,流砂量,混合粒径,土砂管理,砂州,浮遊砂,砂粒子速度,河床形態,粒径別流砂量,粒度分布,河道内砂州,土砂移動,流路変動,河床材料,中規模河床形態,河道特性,解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04373,東京電機大学,佐藤 大作,環礁州島の州島形成維持メカニズムの解明,本研究ではツバル国フナフチ環礁を対象に州島形成・維持のメカニズムを検討するために数値計算を実施し，現状の州島が存在しない条件においてリーフ上で波浪外力によって砂質堆積物を想定した仮想粒子の集積域を明らかとした．また，州島保全に必要不可欠となる沿岸域の情報を効率的に蓄積する手法として畳み込みニューラルネットワークを用いた空撮画像の堆積物分類法を構築し，砂浜域は良好な分類結果が得られた．しかし，礫域では誤分類される領域が多いことから，学習に用いる画像の質を向上させるなどの改善をすることで実用化に近づくと考えられた．持続的な海岸保全対策の検討に向けて必要不可欠なデータ取得の実現に近づいた．,基盤研究(C),小区分22040:水工学関連,環礁州島,州島形成,数値計算,モニタリング,畳み込みニューラルネットワークモデル,フナフチ環礁,波浪推算,漂砂,海岸地形変化,海岸モニタリング,海岸堆積物分類モデル,ディープラーニング,現地調査,空撮画像,沿岸地形,ドローン,ニューラルネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04372,富山県立大学,呉 修一,心理学と水工学の融合による人の心に届く防災情報・ツールの開発,本研究の目的は、洪水氾濫計算などの従来からの工学の取り組みのみではなく、地域住民や行政組織へのヒアリング、アンケート調査や計算結果の可視化での工夫など、文理融合の取り組みを実施することで、洪水時に人々を事前避難させる防災ツールを開発する事である。,基盤研究(C),小区分22040:水工学関連,洪水氾濫解析,ハザードマップ,防災情報,VR,堤防決壊リスク,洪水リスクランク,浸食ポテンシャル,富山県,Virtual Reality,洪水氾濫,新しいハザードマップ,リスクランク評価,堤防決壊,心理学,可能最大洪水,アンケート調査,ヒアリング調査,地域住民,仮想心理実験,複数洪水シナリオ,防災ツール,模擬災害シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04371,前橋工科大学,平川 隆一,感潮域における微細土砂堆積機構の解明と災害安全度の向上に向けた新たな管理への応用,感潮河川は塩水・淡水が入り混じっているため生物の生産性が高く，非常に豊かな生態系を持っている．そのため，感潮河川の理解を深めることはバランスのよい地域開発を行う上で非常に重要である．,基盤研究(C),小区分22040:水工学関連,感潮域,複断面河道,二次流,密度流,河口,塩水遡上,塩水くさび,微細土砂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04370,岡山大学,吉田 圭介,航空レーザー測深とデータ同化手法を用いた河道内植生消長予測の高精度化,近年，川の中に樹木が密生し，洪水氾濫のリスクを高めている．本研究では岡山市を流れる旭川を対象に，航空レーザー測深（ALB）データを活用して河川洪水流の阻害要素や堤防越水リスクを把握し，また洪水位の数値予測精度の向上のために，新たに植生流出サブモデルを開発した．研究の結果，ALBデータを適切に処理することで，河川の地形，植生特性量および地被分類が適切に得られた．また，サブモデルを平成30年の洪水流解析に組み込んだ結果，従来よりも洪水後の植生流出状況を適切に再現することができた．,基盤研究(C),小区分22040:水工学関連,航空レーザー測深,河道の地被条件,洪水位の数値予測,ALB,植生消長,河床変動,物理環境評価,データ同化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04369,京都大学,堀 智晴,豪雨のDAD関係を考慮した洪水リスク評価と水害対応への応用,豪雨の強度と時間・空間スケールとの関係に基づいた洪水リスク評価の方法を確立し、河川の任意の地点における洪水リスクをその地点の集水面積とその面積スケールに対応する豪雨特性から把握する方法を提案した。提案した手法を大和川流域とその支川である石川流域に適用し、流域全体では規模が同じ降雨であっても、支川流域では、より確率規模の大きな降雨に相当する雨が発生し、その結果洪水リスクが高まるケースがあることを定量的に明らかにした。,基盤研究(C),小区分22040:水工学関連,豪雨,洪水,時間分布,空間分布,DAD,リスク,シミュレーション,本支川,確率降雨,時空間分布,降雨流出,計画降雨,洪水リスク,水害,水害リスク,水害対応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
