awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04474,国土技術政策総合研究所,三木 保弘,複雑な光環境の質を評価する新たな空間分布指標の開発：光のむらと方向性に着眼して,本研究は、空間全体における光の「むら」や「方向性」に着眼して、複雑な光環境の質を評価する空間分布指標の開発を目的としている。住宅の居間と執務空間を対象に多様な照明環境の被験者評価実験を行い、構造方程式モデリングを行った。その結果、光の知覚から好ましさや快適性等の印象の総合評価に至る定量的な評価構造が導かれ、光の空間分布知覚が生じる場合、暗さを前提として明るさと暗さは独立し、相互に影響し成り立っていること等の有用な知見を得た。さらに、この知見を活かし、実験した空間の光の物理量による空間分布特性と評価結果の関係から、空間照度を用いた空間分布指標を導くための検討を行った。,基盤研究(C),小区分23020:建築環境および建築設備関連,光環境,暗さ,明るさ,空間分布,印象評価,構造方程式モデリング,むら,方向性,定量的評価構造,複雑な光環境,印象評価構造,共分散構造分析,空間分布指標,光のむら,光の方向性,可視化,省エネルギー,快適性,総合評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04473,国立研究開発法人防災科学技術研究所,下瀬 健一,データ同化手法を用いた都市の風環境評価に資する標準上空風の計算,本研究は，都市に展開されている気象観測データと気象モデルによる格子点値をデータ同化技術を用いて融合させることにより，より精度の高い初期値を用いた気象モデルによる風計算を実行し，風環境評価の精度向上に資する高精度な標準上空風を10分毎で作成した。具体的には，ビル風のアセスメントとして用いられる10分間平均風速の風計算を行い，「10分間平均風速の累積頻度に基づく評価尺度」に資する標準上空風を作成した。,基盤研究(C),小区分23020:建築環境および建築設備関連,ビル風,環境アセスメント,気象モデル,データ同化,上空標準風,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04472,石川工業高等専門学校,森原 崇,居住環境に及ぼす鉄道騒音と振動の複合効果に関する研究,本研究の目的は，鉄道から発生する騒音と振動による生活環境への影響を定量的に検討するで，鉄道沿線の居住環境で生じる影響予測と実施すべき具体的な対策の知見を得ることである。実験結果から，読書妨害に対して音の大きさだけでなく，振動の大きさも影響することが確認できた。また不快感に対しては音刺激が 大きい状況では振動による影響は小さく，音刺激が小さい条件において特に振動による影響が大きい傾向も示された。水平振動と鉛直振動の比較では，鉄道通過時の振動に対しては大きさ，不快感，妨害感については差はなく，気になり具合については同じ刺激量でも鉛直振動より水平振動に対して 振動が気になるという結果が得られた。,基盤研究(C),小区分23020:建築環境および建築設備関連,新幹線鉄道,騒音,振動,複合効果,鉄道,印象評価実験,自動車,2軸同時曝露,評価実験,実測調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04471,近畿大学,道岡 武信,都市街区内の風の揺らぎのメカニズムとガス拡散挙動の解明,理想的な街区を対象に風の揺らぎの構造およびそのメカニズムを数値シミュレーションにより検討した。まず、計算領域入口から一様流風を流入させ、理想的な街区内の流れ場を対象に数値シミュレーションを実施した結果、街区内に大規模な乱流構造（風の揺らぎ）が生成されることが明らかになった。次に、街区外の風の風向変化を変化させた解析結果から、風向変化が街区内の風の揺らぎおよび汚染物質拡散は小さいことがわかった。つまり、街区内の風の揺らぎは主に街区内のブロック（建物）で生成されることが明らかになった。,基盤研究(C),小区分23020:建築環境および建築設備関連,都市街区,乱流,ガス拡散,数値シミュレーション,大気拡散,街区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04470,大阪工業大学,河野 良坪,CFD解析用・高速進化型遺伝的アルゴリズムを用いた最適化,本研究では、CFD解析を評価関数として扱うGAについて、従来の「交叉」の代わりに随伴変数法を適用する方法を提案する。一度の解析で全ての設計変数の勾配を計算可能な随伴変数法から、風速が目標値に近づく可能性の高い遺伝子配列（設計変数）を創り、各世代の最優な遺伝子配列より更に優秀になる遺伝子配列を常に競争相手として採用することで、従来のGAよりも少ない世代数での最適解到達を試みた。以下の2点について提案手法を適用した。併せて、随伴変数法に関する基礎的検討も実施した。,基盤研究(C),小区分23020:建築環境および建築設備関連,遺伝的アルゴリズム,ＣＦＤ,随伴変数法,逆解析,探査効率向上,ＣＦＤ解析,通風開口,最適配置,建物周辺気流,形状最適化,最適化,住宅設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04469,大同大学,岡本 洋輔,瞳孔径を指標とした眼疲労測定手法の開発,計50分間の視作業の前後および途中に，瞳孔径と主観的な眼疲労度の測定を行った．共に視作業前と比較して，視作業の途中および視作業後で有意に値が大きくなったことから，視覚的負荷が蓄積するほど瞳孔径は散大すると考えられる．,基盤研究(C),小区分23020:建築環境および建築設備関連,眼疲労,評価法,瞳孔径,光環境,照明,フリッカー値,瞳孔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04468,関東学院大学,大塚 雅之,オフィスコンバージョン等へ対応可能な小口径圧送排水システムの構築,本研究は新築・既築のオフィスビルを対象に、そのコンバージョンやリニューアルによって、水まわりの変更や増設が生じても対応できる新たな排水システムを提案し、その排水性能評価と計画・設計に資するデータの蓄積を図ることを目的とする。その対策として、圧送排水ポンプユニットと小口径圧送排水管を用いた圧送排水システムと自然流下による重力式排水横管システムを併用した排水システムをオフィスコンバージョン等に対応する「ハイブリット排水システム」として提案した。同システムを排水実験及び実建物での検証を通し、その性能評価と計画・設計手法に資する知見を得るとともに実用化の可能性を明らかにした。,基盤研究(C),小区分23020:建築環境および建築設備関連,建築設備,給排水衛生設備,コンバージョン,圧送排水システム,小口径排水管,排水横枝管,ハイブリット排水システム,排水設備計画,オフィスビル,ハイブリッド排水システム,排水性能,圧送排水ポンプユニット,リニューアル,排水立て管システム,排水能力,設計用許容流量,待ち行列シミュレーション,待ち行列理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04467,東京都市大学,小林 茂雄,地域景観を継承しながら夜間の震災遭遇時に効力を発揮する光環境形成に関する研究,津波や河川氾濫などの広域災害発生が懸念される沿岸部を対象として、昼間と夜間において、避難場所や経路がどの範囲から把握できるかという調査を行った。そして避難場所までの経路を最小限の照明で認識するような照明計画を立て、現地の広い範囲で仮設的な実験を行った。社会実験を踏まえて、夜間に災害が起きた際に咄嗟に方向や避難経路が認識できる光環境の計画手法を検討した。具体的な地域の一つとして、観光地としての再生が期待されると共に津波被災の危険のある静岡県東伊豆町の熱川温泉を取り上げた。調査や実験の結果、主要な景観要素を夜間に可視化することで景観の向上だけでなく、高台方向の認識にも寄与することを確認した。,基盤研究(C),小区分23020:建築環境および建築設備関連,津波,避難照明,地形認識,停電,景観,照明社会実験,省エネルギー,地域固有性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04466,東京理科大学,井上 隆,世帯構成の変化を踏まえた実効性ある住宅の省エネルギー方策に関する研究,本研究では、実効性ある住宅の省エネルギー方策の構築に資することを目的とし、これまで継続的に取得している電力・ガス・水の10分間隔データを計測している首都圏2か所の大規模集合住宅各世帯のエネルギー消費実態の分析を行った。加えて、環境省による公的統計「家庭CO2統計」の各年度個票データも用いることで、ミクロ・マクロの両面から世帯属性ごとのエネルギー消費傾向の詳細な分析・省エネ提案を継続して行った。さらに2020年度からは、COVID-19感染拡大防止のための在宅勤務の普及等の社会状況の変化がエネルギー・水消費に与えた影響に関する分析も行い、時刻別や季節別の消費傾向の詳細を明らかにした。,基盤研究(C),小区分23020:建築環境および建築設備関連,集合住宅,省エネルギー,水消費量,新型コロナウイルス,COVID-19,行動変容,在宅時間,家庭CO2統計,エネルギー,省エネ,水消費,住宅,省エネ提案,省エネ行動,全電化,統計分析,世帯構成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04465,東京電機大学,鳥海 吉弘,木造戸建ストック住宅普及のための隙間特性評価法の構築,住宅の気密性に関して、隙間の所在や気密改修の効果が確認できる隙間特性式（隙間モデル）を提案した。提案する隙間モデルは、サイズが小さく奥行きのある隙間（例えば壁や床など、躯体の隙間）とサイズに対して奥行きの小さい隙間（例えば窓・ドアなど、開口部まわりの隙間）が並列に存在するものと仮定したものである。この隙間モデルを利用して、隙間の特性と構成に関するデータベースを作成することにより、隙間の所在や気密改修効果の確認が可能になった。,基盤研究(C),小区分23020:建築環境および建築設備関連,建物気密性,木造戸建住宅,改修,耐久性,実測,断熱工法,隙間特性,隙間構成,断熱方法,住宅,気密性能,戸建住宅,経年劣化,建物気密性能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
