awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04529,国土技術政策総合研究所,渡邊 史郎,移住支援にみる戸建持家の自律的な賃貸流通の可能性に関する研究,本研究は、様々な地域で展開される借主主体の改修を伴う戸建持家の賃貸利用化の実態を調査・整理し、地域の特性に応じて空き家が自律的に賃貸流通するための要件と可能性について考察した。所有者の負担する改修費や様々な事業リスクを関係者間で分散する転貸方式に着目し、それぞれの事業スキーム、改修工事、契約事項の点から実態を明らかにするとともに、漁村地域において空き家転貸化の実践を行った。最後に、転貸方式を適用した戸建持家の賃貸事業モデルを地域類型別に考察した。,基盤研究(C),小区分23030:建築計画および都市計画関連,空き家,転貸,定期賃貸借,事業スキーム,リノベーション,契約,空き家活用,戸建賃貸,地方都市,不動産,建物性能,戸建持ち家,賃貸化,アンケート調査,一時的な住まい,借上げ転貸,契約の支援,リスクの分散,戸建賃貸の潜在性,賃貸・転貸,改修工事,事業システム,地方移住,契約事項,戸建住宅,賃貸借契約,リスク分担,定住促進,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04528,呉工業高等専門学校,下倉 玲子,インクルーシブ教育のための発達障害対応型教室周り個別学習支援空間の整備要素,イギリスの特別支援学校６校において、感覚刺激に働きかけて精神的な安定をもたらす効果のある空間を「感覚配慮空間」と定義し、その種類と普通教室を中心に据えた空間構成を分析した。,基盤研究(C),小区分23030:建築計画および都市計画関連,特別支援空間,小中学校,発達障害,自閉症,学習空間,インクルーシブ教育,自閉症児,カームダウンスペース,インクルーシブ,特別支援学校,特別支援,学校,学習環境,個別支援空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04527,米子工業高等専門学校,天野 圭子,サービス付き高齢者向け住宅の要介護フェーズに応じた地震時防災・避難の計画立案方法,本研究ではサービス付き高齢者向け住宅の要介護フェーズに応じた地震時防災・避難の計画立案方法について、次の点を明らかにした。,基盤研究(C),小区分23030:建築計画および都市計画関連,サービス付き高齢者向け住宅,高齢者,地震災害,防災計画,避難行動,避難課題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04526,帝塚山大学,小菅 瑠香,医療施設の病床再編に伴う建築資源の再構築に関する基礎的研究,医療施設は自院のニーズに応じて、病床機能を再編するよう政策が進められている。特に急性期病院のダウンサイジングと平均在院日数の短縮により、近年の医療施設では空き部屋も目立つようになってきた。本研究では生じた建築の余剰スペースについて、各医療施設でどのような対応がなされているかを、アンケート調査などをとおして明らかにした。結果は施設により様々であったが、他の用途に充てるケースは多く、特に医療機能よりも倉庫や会議室等への変更が多く見られた。また減床数に応じて傾向があり、大きい事例では区画ごと封鎖して不使用にしたり、病室数室程度の減床では「病室の定員変更」などで全体的な空間の余裕を調整していた。,基盤研究(C),小区分23030:建築計画および都市計画関連,病院建築,減床,施設改修,諸室機能,使われ方,アンケート調査,医療施設,病床再編,増改築,建築計画,医療政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04525,神戸学院大学,糟谷 佐紀,障害者の地域自立生活における居住形態の実態と展望,精神障害者の居住実態と居住支援法人による障害者への支援内容を把握するために調査を行った。調査から、精神障害者の住宅選択は、住環境や立地よりも入居可能性（家主の理解）や家賃が優先されていること、そうしなければ住宅確保が困難であることを明らかにできた。精神障害者は環境の影響を受けやすく、良好な住環境が居住安定には重要である。障害者、特に精神障害者の居住の安定には、居住支援法人などによる入居後支援が重要な役割を果たしていることも明らかになった。コロナ禍により調査遂行できなかったが、シェアハウスや障害者専用マンションなど現行制度にない居住形態も選択肢となりうると考え、調査を行う予定である。,基盤研究(C),小区分23030:建築計画および都市計画関連,障害者,精神障害者,住宅政策,居住形態,住宅,居住支援法人,民間賃貸住宅,シェアハウス,知的障害者,住環境,身体障害者,地域生活,グループホーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04524,立命館大学,山田 悟史,非医療従事者の一次救命における不確実性をふまえたAED・サインの適正配置,非医療従事者による救急医療環境を充実させるには，現状及び計画の評価検証手法が必要ですが，手法が十分ではありません。そこで主に下記の３項目について研究を行いました。,基盤研究(C),小区分23030:建築計画および都市計画関連,AED,救命率,救急医療,非医療従事者,転倒検知,Multi-Agent-Simulation,GIS,深層学習,設置状況,被圏域人口,伏見稲荷大社,Multi Agent System,救急救命,適正配置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04523,岐阜経済大学,杉原 健一,BIM用の詳細な建物の３Ｄモデルの自動生成システムの開発,「詳細な建物の３Ｄモデル」を構築し、設計から施工、維持管理に至るまで利活用するBIM (Building Information Model)が今急速に進んでいる。但し、現状では、多大の労力をかけ、３Ｄモデルを作成している。そこで、これまでの研究成果である「建物境界線に基づく建物の３Ｄモデルの自動生成システム」を発展させ、詳細な３Ｄモデルを自動生成することを目的とした。,基盤研究(C),小区分23030:建築計画および都市計画関連,自動生成,３次元建物モデル,３Ｄモデル,ＣＧ,ＧＩＳ,ＢＩＭ,建物ポリゴン分割,動的3次元建物モデルの自動生成,BIM,建物の３Ｄモデル,straight skeleton手法,３次元ＣＧ,自動配管,ダイクストラ(Dijkstra)法,ポリゴン分割,straight skeleton（直線状骨格）,３次元コンピュータ・グラフィックス,BIM用３Ｄモデルの自動生成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04522,富山国際大学,浦山 隆一,沖縄・先島諸島の中世・近世期を通じた集落形態における非「格子状」空間配置の研究,本研究である非「格子状」集落の住居構成群を探求するため、考古学調査による年代考察並びに「地籍測量図」「地籍図調査資料」の地理学的手法を用い、先行文献と現地調査で確認する作業を行った。並行して、近世「格子状」集落に関する考察を学際シンポジュウムとして開催した。一方では南西諸島全域に視野を広げ、集落形態とその構成原理を説明する研究も行った。結果を論文「南西諸島・喜界島における村落の地形的立地と空間構成の特徴」として発表した。また宮古島狩俣集落において継続的考古学調査が進められた。その結果は住民説明会で「狩俣集落における考古学調査」として報告した。,基盤研究(C),小区分23030:建築計画および都市計画関連,非格子状空間配置,沖縄先島諸島,集落携帯空間変容過程,中世相当期・近世近代期,伝統的祭祀施設,囲壁集落,地籍図調査,考古学発掘調査,集落形態空間変容過程,中世相当期・近世期,考古発掘調査,中世・近世・近代期,非・格子状空間配置,空間変容過程,中世相当期・近世紀,発掘調査,御嶽・祭祀家屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04521,龍谷大学,服部 圭郎,ドイツの「東の都市改造」プログラムの成果の検証および今後のドイツの縮小政策の研究,本研究は、ドイツの連邦政策であるシュタットウンバウ・オスト・プログラムに注目し、それがどのような成果を挙げたのかを連邦政府、自治体、住宅会社への取材調査をもとに調べ、それを評価したものである。同プログラムは2002年~2016年という15年間に及んだプロジェクトであり、人口縮小に対応した先駆的なプログラムであったが、それ故に様々な課題が生じ、その都度、それに対応してきた。自治体と住宅会社との連携が、その成功の是非に大きく関係すること、人口減少する自治体においては事業を遂行するキャパが課題となることなどが明らかとなった。人口減少する日本の自治体においても参考になる情報が得られたかと考える。,基盤研究(C),小区分23030:建築計画および都市計画関連,シュタットウンバウ・オスト・プログラム,東の都市改造,縮小政策,人口減少,旧東ドイツ,ドイツ,縮小都市,シュタットウンバウ・オスト,住宅会社,政策評価,シュタットウンバウ,人口縮小,社会減,コットブス,Stadtumbau Ost,事業評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04520,東京都市大学,佐々木 健,国の文化財に指定されない全国社殿の寿命推定と維持保全手法に関する研究,当初３年間で計画した全国の神社への一次(アンケート)調査を１年前倒し完了したが、管理者が建物を把握していない神社が多く見られ、寺院調査とは異なる状況からデータの信頼性を確保する為に現地調査を行った。ところが、本殿を覆屋に隠蔽する社殿も比較的多いことから現地調査にも限界があることが判明した。そこで、近世社寺の文献調査を併用する研究手法を最終年度に実施することで、当初の研究目的を達成できる目処が見えてきた。近世に限定することで推定寿命を算定することはできないが、代わりに社殿の価値と登録文化財としての潜在性の研究を新たに追加することが可能となった。,基盤研究(C),小区分23030:建築計画および都市計画関連,神社社殿,使用期間,建替理由,修理履歴,価値保存,文化財,本殿,社殿形式,社殿構成,御祭神,拝殿,使用予定期間,屋根葺材,神社建築,社殿,維持保全,寿命推定,伝統構法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04519,東洋大学,高橋 儀平,日本、中国、韓国におけるバリアフリー環境とユーザー参加の推進・評価に関する研究,本研究は、日本、中国、韓国における近年のバリアフリー環境の構築に関して、主に障害者がどのように参画し実現してきたか。またそのバリアフリーの到達点を障害者自身がどう評価しているか、残された課題は何かについて、調査研究したものである。結果、日本が障害者の参画とそのプロセスについては最も進んでいることが判明した、一方でこの間のバリアフリー法関連整備では3か国とも多くの進展がみられた。その推進には多様な障害者の参画があり、必然的に障害者の評価が高まっていると捉えられる。,基盤研究(C),小区分23030:建築計画および都市計画関連,バリアフリー,日中韓比較,バリアフリー法,当事者参画,障害者団体,バリアフリーの評価,当事者参加,バリアフリー評価,バリアフリー環境,東京2020オリオパラ大会,北京2022冬季オリパラ大会,東京2020大会競技施設,東京2020オリパラ施設,日中韓,ユーザー参加,ユーザー評価,法制度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04518,東京電機大学,小笠原 正豊,設計者間の設計分業に関する研究,本研究は、日米英における設計分業体制の実態を調査分析し、わが国の特殊性を明確にした。仕様分類体系や設計契約環境の整備は、設計分業を促す環境の構築につながり、ICT化・BIM化は、建築生産のプロセスや設計者の職域を変化させ、従来とは異なる設計分業体制をつくりだすと結論づけた。,基盤研究(C),小区分23030:建築計画および都市計画関連,設計,BIM,分業,協業,建築家,建築士,設計プロセス,仕様分類体系,設計者,エンジニア,アーキテクト,仕様,モジュラー,インテグラル,設計情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04517,工学院大学,遠藤 和義,公共工事における入札監視システムの機能強化に関する研究,本研究は我国の公共調達で発注者毎に設置されている「入札監視委員会」の機能強化を提案したものである。成果として、特定の発注者において入札制度改革が入札結果に与えた影響と入札監視委員会の議事内容に一定の関係が認められた。また入札監視委員会の目的が、公共調達システム全体や建設産業全体のあり方にまで拡大していることがわかった。すでに欧米では公共調達の評価が入札結果の改善にとどまらず、公共調達システム全体のPDCAに関心が移っていることを示す事例を得た。結論では入札監視委員会の機能強化に加え、発注者から独立して入札結果を収集、分析し提言を発する横断的研究センターの必要とそのあり方について提案した。,基盤研究(C),小区分23030:建築計画および都市計画関連,公共調達,入札監視,テキストマイニング,入札契約,公共工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04516,北海学園大学,石橋 達勇,人口の減少・超高齢化に対応した二次救急医療施設の機能と建築・設備計画に関する研究,二次救急医療施設には初療機能が最低限求められ、その機能を発揮する初療室の整備が建築要件の１つとして挙げられ、初療室から院内各部への患者動線の確保も重要と考えた。また救急医療機能の高次化と面積や施設全体に対する相対的規模は比例する傾向にあることや、制度・機能上同じ二次救急医療施設であっても傷病者受入数により部屋構成に差異が見られた。しかしER型救急システム成立の要点である救急専門医が配置されている事例が限られていたこと等により、同システムの適応の判断は明らかにできなかった。,基盤研究(C),小区分23030:建築計画および都市計画関連,二次救急医療機関,救急部,北海道,郡部,二次救急医療,病院,医療機器,人口減少,超高齢化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04515,兵庫県立大学,菊池 義浩,災害復興地域の縮退社会に対応したまちづくり手法に関する研究,本研究の主要課題は、被災経験を有する地域における、集住空間の形態的な特徴を復興計画と照らし合わせながら把握することである。また、震災復興で整備された街並み・建物など、復興遺産を活用したまちづくりの動向について明らかにする。北但大震災（1925年）の復興と現状に関する調査から、復興建築群の変遷過程を把握し、時間軸を計画要素に加えた復興計画の考え方について、知見を蓄積することができた。また、縮退社会における地域生活空間の計画手法について理解を深めることができた。,基盤研究(C),小区分23030:建築計画および都市計画関連,震災復興,復興計画,縮退社会,北但大震災,豊岡市,復興建築,大豊岡構想,城崎温泉街,北但馬地震,城崎温泉,能登半島地震,クリストチャーチ地震,近代都市計画,人口減少,ストック活用,主体的活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04514,横浜市立大学,齊藤 広子,管理組合（HOA）を核としたまちマネジメントシステムに関する研究,空き地や空き家問題、少子高齢化による様々な問題等から、まちの再生、地域力の向上が大きな課題となっている。そこで、マンションのように、全員が参加して管理を行う、管理組合（HOA）を、まちや既成市街地に導入する可能性を検討した。結果、戸建て住宅地及びマンションを核にした既成市街地への導入の実態から課題を明らかにし、必要な社会システムについての検討を行った。結果、法制度の整備、専門家の育成及び支援体制、住み手の管理意識の向上、そのために管理参加意欲と情報を得る場や機会の提供等が必要となることが明らかになった。,基盤研究(C),小区分23030:建築計画および都市計画関連,管理組合,HOA,戸建て住宅地,マンション,エリアマネジメント,空き家,法的根拠,裁判,住宅地,まちマネジメント,空地,まち,マネジメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
