awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04553,公益財団法人大阪市博物館協会(大阪文化財研究所、大阪歴史博物館、大阪市立美術館、大阪市立東洋陶磁美術,李 陽浩,先史～古代建築におけるゴヒラ材使用の歴史的解明,本研究では先史～古代建築に用いられたゴヒラ材（五平材、断面長方形の材）の事例を収集し、部材的・構法的観点から検討を行うことで、次のような成果を得た。まず、南禅寺大殿ではゴヒラ角柱が用いられるが、その形状は唐代における一般的な柱の規格であった可能性があり、同様の柱が漢代から認められることを明らかにした。次に、岩橋千塚古墳群では石室内にゴヒラ石梁を用いる例があるが、その形状はかなり扁平で他の時代とは異なっており、またゴヒラ使いから縦使いへと架構法が変化するに伴って断面形状が正方形化・縮小化する傾向にあることを明らかにした。,基盤研究(C),小区分23040:建築史および意匠関連,ゴヒラ材,ゴヒラ使い,建築技法,建築構造,復元,台輪,縦使い,石梁,接地面積,接地面積率,古代建築,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04552,横須賀市自然・人文博物館,菊地 勝広,横須賀製鉄所における中国経由でのフランス系建築技術と様式の導入に関する研究,最新の研究成果については論文化が進んでいないため、当該年度の研究実績については、おおまかな概要の記載に留めざるを得ないものの、今後の研究進展につながる幾つかの細かな成果は得られているので、そのいくつかを報告する。,基盤研究(C),小区分23040:建築史および意匠関連,横須賀製鉄所,横須賀造船所,建築技術史,日仏交流,技術移転,フランス,中国,ヴェルニー,メラング,ティボディエ,技術史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04551,仙台高等専門学校,相模 誓雄,日本における近世期の御蔵所の空間構成原理及び地方性に関する研究,第一に、近世期の九州地方において諸藩が年貢米徴収のために設けた御蔵所の建築遺構や史料を調査し、熊本藩、柳川藩、小倉藩の御蔵所の建物配置の型式等を明らかにした。第二に、近世期の日本における幕府や諸藩の御蔵所に関する次の空間構成原理及び地方性を確かめた。１）建物配置には２つの基本形があった。２）計屋（検査所）は、御蔵所の建物配置を特徴付ける主な要素であった。３）御蔵の戸前に掛かる長庇は、計屋としての用途を獲得したり、回廊を形成したりして、御蔵所をより機能的にした。第三に、本研究を発展させるため、阿武隈川中流域の信達地方における郷蔵関連施設及び、河口港における幕府の御城米御蔵所の空間構成を検討した。,基盤研究(C),小区分23040:建築史および意匠関連,蔵,屋敷,空間構成,建築史,日本史,庇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04550,岐阜市立女子短期大学,柳田 良造,「創生型」町並み色彩計画の研究,アイルランドで町並み色彩調査等をもとに「創生型」町並み色彩計画の研究成果として啓蒙書『色を使って街をとりもどす』（学芸出版社、2020年3月31日）を上梓することができた。その内容はルネッサンス以降、建築学が見失ってきた色彩世界を建築実体に即して再発見し、建築家B・タウトなど色彩を設計デザインのテーマとした考え方が近代建築においても色彩が風土性の表現につながるものであることを明らかにしつつ、美しい町並みとは何かを探り、自生的秩序としての町並み色彩の可能性と重要性を描き出している。そこから建築と町並みの実体から捉え直す町並み色彩計画とその実践を提起している。,基盤研究(C),小区分23040:建築史および意匠関連,町並み色彩,コミュニティ,町並み色彩計画,自生的秩序,課題発見型イベント,町並色彩,環境の教育力,色彩計画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04549,岩手県立大学盛岡短期大学部,赤澤 真理,后妃・女院の儀礼と生活様態の変容にみる中世上流住宅の復原的研究,本研究は、打出（2具の袖口と褄を御簾の下から出す）の舗設を通して、10世紀から14世紀頃の后妃・女院の儀礼空間を明らかにする。古記録・文献史料・絵画史料を調査し、打出の実態や用法を検討する。また、女房装束を使用し、打出を再現することで、打出のイメージを検討する。,基盤研究(C),小区分23040:建築史および意匠関連,日本住宅史,宮廷文化,しつらい,絵巻,古典文学,女房,装束,寝殿造,舗設,打出,后・女院,空間演出,源氏物語,后,復元製作,枕草子,栄花物語,王朝文化,古代中世住宅,復元,女院,后妃,中世住宅,復古,歌合,指図,色彩,書院造,皇后,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04548,沖縄大学,小野 啓子,ハワイ・マウイ島の糖業プランテーションタウンの地図化と各種情報の統合化,本研究はハワイ・マウイ島を事例として、1940年代までの航空写真を用いて糖業プランテーションタウン（プーネネ）のベースマップを作成し、各種文献、統計、写真、他の地図等の情報を重ねて当時の土地利用や空間構成を総合的に再現し、セトルメントとして特質を明らかにした。また、比較のためにオアフ島の代表的な糖業プランテーションタウン（ワイパフ、エワ）についても1940年代の土地利用図を再現した。,基盤研究(C),小区分23040:建築史および意匠関連,ハワイ,糖業プランテーション,日本人移民,マウイ,オアフ,日系移民,太平洋島嶼地域の近代化,都市史,移民,太平洋島嶼地域,糖業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04547,第一工業大学,河原 洋子,薩摩藩の都市景観に表れた京都文化の影響,薩摩藩に100箇所以上点在した麓（ふもと）と呼ばれた今でも特徴ある景観が残る武家集住地についての研究である。薩摩藩の礎を築いた島津家16代当主・島津義久と当時の都・京都に着目した文献調査、現地調査を行い、研究集会を開催した。義久の京都での経験を明らかにし、京都から帰国して行った国分の都市建設に影響を与えたことを述べた。そこから他の麓における京都との関わりについて検討し、麓を全体的につなぐ考え方を見出すことを試みた。,基盤研究(C),小区分23040:建築史および意匠関連,薩摩藩,麓,島津義久,京都文化,日本近世都市,景観・歴史,近世都市,景観,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04546,金沢工業大学,山崎 幹泰,文化財建造物の建築模型の保存活用に関する基礎的研究,文化庁の模写模造事業で製作された39体の建築模型を対象とし、その製作年と製作者、製作背景を明らかにした。製作者は、伊藤平左衛門氏、和田安弘氏がその大半だが、近年は模型製作会社が行っていることを確認した。模型の仕様調査は、39基中34基について行い、写真撮影、仕様の記録などを行った。また模型製作に関する文献を収集した。さらにこれまでの展示活用の経緯として、国立歴史民俗博物館の開館により、模型のほとんどが同館に集約されたものの、その後、本学含め全国各地に分散したこと、模型の活用方法としては博物館での展示が行われているが、これまで製作された模型の内、約半数が現在活用されていない実態を明らかにした。,基盤研究(C),小区分23040:建築史および意匠関連,建築模型,模写模造,文化財,日本建築史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04545,法政大学,松本 剣志郎,近世都市インフラ維持管理の社会史的研究,道路や橋梁、上下水などのインフラが、近世都市においてどのように維持管理されていたか。近代国家は租税負担を導入したが、それ以前はどのようなシステムであったのか。日本各地の博物館等に所蔵される古文書から関係史料を収集し分析した。多数のインフラ維持管理組合の存在を明らかにすることができた。あわせて江戸から東京への移行期における維持管理の様相を具体的に明らかにすることができた。江戸ではインフラ維持管理に大名家への依存傾向があったが、東京ではそれが不可能になった。公平な負担にむけた制度整備が要請された一方で、豪商（後に財閥）による近代都市計画事業への参入がみられた。,基盤研究(C),小区分23040:建築史および意匠関連,江戸東京,公共負担,インフラ維持管理組合,道普請,橋普請,三都比較,町共同体内完結,明治初期史料,姫路酒井家文書,角筈村渡辺家文書,四谷塩町一丁目文書,江戸日記,近代化,上水組合,玉川兄弟,インフラ維持管理,江戸,御府内備考,大名家史料,城下町,組合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04544,東京理科大学,伊藤 裕久,中近世における社家町の空間構造に関する研究ー春日大社社家町を主な素材として,本研究では、18世紀後期に建設された春日大社旧祢宜・藤間家住宅の建築遺構および藤間家史料などの文献史料の分析を通じて、春日大社社家町の町並景観と居住形態の変容過程と特徴について検討した。とくに、社家町の大半が焼失した1717年の高畑大火の前後の変化に注目した。その結果、町家型から発展した社家住宅の成立過程が具体的に解明された。,基盤研究(C),小区分23040:建築史および意匠関連,春日大社,社家町,近世,居住形態,祢宜,藤間家住宅,町家型,出雲大社,吉備津神社,門前町,屋敷形態,屋敷分布,住居形態,伊勢神宮,社人屋敷,備前吉備津彦神社,備中吉備津神社,備後吉備津神社,窪八幡神社,領域構造,町並景観,社家住宅,杵築,中近世,空間構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
