awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04686,公益財団法人高輝度光科学研究センター,辻 成希,磁気コンプトン散乱による、ネオジム磁石のスピン・軌道磁化の定量解析,ネオジム磁石の、スピンと軌道モーメントの定量解析およびその保磁力を測定することが本研究での目的である。また、スピン・軌道モーメントおよびその保磁力の温度依存性（高温）を測定することも本研究での目的としている。そこで、磁気コンプトン散乱を用いてスピン磁気モーメントの保磁力の測定を行い、さらにその深さ依存性を測定することにより、表面付近において、加工の際の表面劣化により、保磁力が低下することを観測した。また、磁石の中心部分では、反磁界の影響で保磁力が若干低下することも明らかにした。また、スピン磁化の温度依存性の測定を行い、全磁化測定とは異なる温度依存性を示すことを観測した。,基盤研究(C),小区分26010:金属材料物性関連,磁性,磁気コンプトン散乱,ネオジム磁石,保磁力,磁気ヒステリシス,スピン・軌道分離,放射光,スピン軌道分離磁化測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04685,久留米工業大学,江藤 徹二郎,Ni基ホイスラー合金における圧力誘起相変態の研究,強磁性体Ni基ホイスラー合金の構造、輸送、磁気等の物性におよぼす組成、および圧力依存性について研究を行った。Ni2+xMnGa1-x試料を作製し、非化学量論組成において巨大な磁気熱量効果を有する磁気-構造相転移を観測した。また大きな磁歪を伴うプレマルテンサイト変態を摂氏0度以上で観測し、室温近傍での超磁歪材料の実現へ繋げることが可能となる。,基盤研究(C),小区分26010:金属材料物性関連,強磁性形状記憶合金,ホイスラー合金,Ni2MnGa,マルテンサイト変態,磁歪,相図,高圧,x線構造解析,高圧力,Ni基ホイスラー合金,磁性形状記憶,キュリー温度,電子・磁気物性,状態図,強磁性形状記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04684,熊本大学,北原 弘基,すべりおよび双晶変形による亜鉛のECAP中における組織形成機構の解明,亜鉛は生体吸収性に優れることから生体材料への応用が期待されている。しかしながら、その強度が低いため、結晶粒微細化による高強度化を試みた。結晶微細化には巨大ひずみ加工の一種であるECAP加工を用いた。亜鉛は低融点であるため、ECAP加工は0℃で実施した。ECAPを1パス実施するだけで降伏強度は2倍以上向上した。しかしながら、ECAPパスを繰り返しても、更なる高強度化はできなかった。一方で、室温の引張試験では粒界すべりによる高い伸びを示した。結晶粒微細化と集合組織の形成には、底面すべり、<c+a>二次錐面すべりおよび双晶が寄与することが明らかとなった。,基盤研究(C),小区分26010:金属材料物性関連,巨大ひずみ加工,結晶粒微細化,集合組織,粒界すべり,二次錐面すべり,微細化,再結晶,結晶塑性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04683,九州大学,稲垣 祐次,水晶振動子を用いた金属ナノ粒子における水素吸蔵量の低温・高水素圧下超精密測定,一般に物質による水素吸蔵の評価法は容量法と呼ばれる水素圧力をモニターする手法が採用されることが多い。本研究では容量法が適用できない環境、例えば極低温下や微量の試料の場合などで水素吸蔵特性が評価可能な手法を確立することを目的に水晶振動子マイクロバランスを採用して手法の確立を目指した。結果、試料マウント方法に若干の検討課題が残るものの、近い将来、十分に利用可能なレベルまで到達することができた。,基盤研究(C),小区分26010:金属材料物性関連,水素吸蔵,ナノ粒子,超伝導,水晶振動子,水素吸蔵合金,機械的振動法,磁性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04682,九州大学,吉岡 聰,XAFS-XRD同時測定からの水素吸蔵ダイナミクス,Pd金属の水素吸蔵過程での局所構造と相変化について，XAFSとXRDによって観察した．Pd L3吸収端近傍でXAFSおよびXRDを水素雰囲気下の同一環境下測定するために，試料セルを設計・製作した．XRDでは，水素吸蔵を示す格子定数の系統的な膨張およびalpha相からbeta相へ転移の際に生じるプラトー領域が観察され，さらにそれらの圧力が増圧と減圧過程で異なるヒステリシスも示された．一方のXAFS実験では，吸収端がシフトし，Pd-H間の結合生成を示すピークが出現した．このようなXAFSスペクトル変化にもプラトー領域やヒステリシスが現れ，格子膨張と電子状態変化の相関がみられた．,基盤研究(C),小区分26010:金属材料物性関連,水素吸蔵,X線吸収分光,X線回折,Pd,XAFS,XRD,相転移,その場観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04681,九州大学,有田 誠,変調光照射ケルビンフォース顕微鏡による半導体光励起キャリアの動的挙動マッピング,本研究では、走査型プローブ顕微鏡の一種で材料表面の電位や仕事関数をナノスケールで観察できるケルビンフォース顕微鏡（KFM）に強度変調した光照射を組み合わせることで、半導体材料におけるキャリアの光励起状態のマッピングを試みた。変調光照射と光応答成分抽出回路を既存のKFM装置と組み合わせ、試料の表面電位信号の中から変調光に対応した周波数成分を抽出・描画する構成でシステムを試作した。酸化チタン薄膜上に金のパターンを蒸着した試料に対して検証を行ったところ、酸化チタンのバンドギャップ値より大きな光子エネルギーに対応した波長の光に対して光応答が観察され、形状、表面電位と同時に２次元描画することに成功した。,基盤研究(C),小区分26010:金属材料物性関連,KFM,光励起,薄膜,半導体,ＳＰＭ,ＫＦＭ,光応答,ＫＰＦＭ,光変調,酸化チタン,SPM,光照射,ケルビンフォース顕微鏡,キャリア,走査型プローブ顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04680,長岡技術科学大学,武田 雅敏,低温合成したナノ結晶を用いた金属六ホウ化物の微細組織化による熱電特性向上,金属六ホウ化物SrB6の熱伝導率を低減し熱電特性を向上させるために，ナノ結晶を合成し，それを用いて微細組織を有する焼結体を作製した．SrCl2とNaBH4を出発原料として低温合成する方法，酸化物をMgで還元する方法を用いてナノ結晶を合成し，従来よりも低温で緻密な焼結体が得られることを明らかにした．これにより34%ー54%熱伝導率を低減させることができた．特に，マグネシウム還元により合成した試料では，従来と同等の電気的特性を有しており，キャリア濃度の調整により更なる熱電特性向上が見込まれる．,基盤研究(C),小区分26010:金属材料物性関連,熱電変換材料,金属六ホウ化物,ナノ結晶,微細組織,複合組織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04679,秋田大学,肖 英紀,メカニカルアロイング法による新規スキルミオン物質の創製,磁気スキルミオンと呼ばれるナノスケール磁気渦構造が、次世代磁気メモリの担体として期待されている。B20型構造をもつ遷移金属ゲルマニドは典型的なスキルミオンホスト材料であり、近年精力的に研究されているが、 ほとんどの場合これらの合成には高温高圧合成法が必要であり、元素選択が極めて限定的であった。そこで本研究は、より簡便に、かつ幅広い物質選択を可能にする合成手法として、メカニカルアロイング法をスキルミオン物質探索に応用することを目的とした。メカニカルアロイング法により、種々の2元系および3元系遷移金属ゲルマニドにおけるB20型構造の形成を明らかにした。,基盤研究(C),小区分26010:金属材料物性関連,スキルミオン,合金,磁性,電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04678,東北大学,吉岡 匠哉,希土類永久磁石材料の高性能化に向けた電子論,"本研究課題では, 希土類永久磁石における磁気特性の微視的・定量的な理論的記述を確立し, 高性能磁石開発の指針を与えることを目的とする. まず, 局在4f電子と伝導電子が磁気的相互作用をもつモデルを構築し, 実験で観測されるスピン再配列転移を再現することを明らかにした.",基盤研究(C),小区分26010:金属材料物性関連,希土類永久磁石,金属磁性,磁性理論,電子論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04677,東北大学,藤田 伸尚,複雑合金結晶の相形成マップと構造制御,Al-Pd-TM(遷移金属)系およびCd-Mg-RE(希土類)系において元素種やその混合比率が異なる合金試料を多数作製し、正二十面体準結晶および各種の近似結晶の相形成挙動を明らかにした。また、Cd-Mg-Ce系非従来型1/1近似結晶などの新規関連相を複数発見した。さらに、数種類の近似結晶に対して単結晶X線回折を用いた構造決定に成功した。一方、関連相のTM元素種によらない普遍的な形成挙動を抽出するために、Al-Pd-TM系状態図や実験結果から得た各相の組成を平均価電子濃度およびd軌道空席率を直交軸とする統一マップ上にプロットする新しい方法を検討した。,基盤研究(C),小区分26010:金属材料物性関連,準結晶,近似結晶,複雑合金,合金状態図,構造安定性,構造解析,結晶構造解析,構造相転移,荷電子濃度則,相平衡,構造形成マップ,価電子濃度則,軌道混成効果,原子半径比,荷電子濃度,二相共存,荷電子数,正二十面体準結晶,相図,第一原理計算,相形成マップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
