awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04793,兵庫県立工業技術センター,柴原 正文,大気圧ヘリウムプラズマ照射を援用した光触媒反応向上による水素発生プロセスの開発,市販の酸化チタン皮膜に可視光応答性を付与するため、窒素イオンドープによる不純物準位を発現させてバンドギャップを狭小化する事を検討した。窒素イオンの作製には既存のチャンバー方式大気圧プラズマ照射装置を活用した。当装置内で発生するプラズマはVHFで励起した誘電体バリア放電であり、試料表面下へ正の窒素イオンを引き寄せる事ができない。絶縁材料の酸化チタンに直流負バイアス印加も不適である事から、RFバイアスを印加し正イオンを試料表面に引き寄せる事を考えた。VHFプラズマ中にRFプラズマを重畳することで反応活性種の発生量が増加する事を期待した。また、平均自由行程が長い低真空領域でのプラズマ照射を適用した。,基盤研究(C),小区分26050:材料加工および組織制御関連,酸化チタン,表面改質,プラズマ,光触媒,大気圧プラズマ,可視光応答性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04792,地方独立行政法人大阪産業技術研究所,足立 振一郎,セラミックス複合積層造形物への低温プラズマ処理によるS相の研究,オーステナイト系ステンレス合金鋼とタングステンカーバイド粒子の複合材料による積層造形物の耐摩耗性および耐腐食性の改善を目的として，低温プラズマ窒化処理，浸炭処理および浸炭・窒化連続処理を検討した．その結果，ステンレス合金鋼部に窒素および炭素が過飽和に固溶した拡張オーステナイト相(S相)が形成し，表面硬さの向上および耐腐食性の改善が認められた．また，ステンレス合金鋼のニッケル，クロムおよびモリブデンの組成がS相の特性に及ぼす効果，および積層造形物に特有の金属組織がS相に及ぼす影響について検討した．,基盤研究(C),小区分26050:材料加工および組織制御関連,低温プラズマ窒化処理,低温プラズマ浸炭処理,レーザメタルデポジション,オーステナイト系ステンレス鋼,タングステンカーバイド,耐摩耗,耐腐食,レーザクラッド,低温窒化処理,低温浸炭処理,複合材料,積層造形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04791,地方独立行政法人大阪産業技術研究所,谷 淳一,精密合成プロセスによる層状Zintl相半導体の微細組織制御と熱電特性の解明,"本研究では、層状構造を有するII-V族半導体のZintl相Mg3(Sb,Bi)2に着目した。液体封止剤を用いた合成手法、放電プラズマ焼結法による1段階合成同時焼結法を開発し、マグネトロンスパッタ法によるMg3Sb2多結晶薄膜の作製に成功した。バルク材料では、酸化物還元法と放電プラズマ焼結法を組み合わせることで、Y、Sc、Laなどの希土類元素のドーピングを行い、熱電特性の向上を図ることができた。薄膜材料では、Mg3Sb2の構造はアモルファス、立方晶、六方晶の３つ状態が存在し、その微細組織や熱電特性はターゲットのMg/Sb組成や基板温度などの成膜条件によって大きく影響を受けた。",基盤研究(C),小区分26050:材料加工および組織制御関連,熱電変換材料,放電プラズマ焼結,スパッタリング,輸送特性,微細組織制御,合成,薄膜,ジントル相,結晶・組織制御,Zintl相,粉末冶金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04790,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),大越 昌幸,真空紫外レーザーによる次世代型電気自動車用スマート窓材の開発,本研究では、シリコーン系ハードコートが施されたポリカーボネート（PC）表面に、波長157 nmのフッ素レーザーを照射することにより、耐摩耗性のみならず、耐熱性・耐紫外線性を有する、次世代型電気自動車用PC窓材の開発を行った。また、開発したPC窓材表面に耐候性・耐スクラッチ性を有する微小電極としてのAl薄膜を位置選択的に形成するレーザー微細加工技術を確立して、微小スマートスピーカーの埋め込みを指向した新たなスマート窓材開発のための基礎的成果を得た。,基盤研究(C),小区分26050:材料加工および組織制御関連,スマート窓,ポリカーボネート,シリコーン,フッ素レーザー,エキシマランプ,耐熱性,超撥水性,微小電極,レーザー,表面改質,スマート窓材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04789,地方独立行政法人東京都立産業技術研究センター,紋川 亮,精密ナノインプリント法を用いたインフルエンザ検査チップの開発,近年，局在プラズモン共鳴（LSPR）を利用したバイオセンサーは，迅速かつ簡便に生体相互作用を検出できる簡易検査チップとして期待されている。LSPRセンサーの実用化をさらに進めるためには、LSPRチップを大量に生産する方法を構築する必要がある。そこで本研究では、UVナノインプリント技術を用いたLSPRチップの量産化に関する研究を行ってきた。その結果、従来のチップ作製方法では量産性に問題があり、金ナノパターン形状やLSPR特性の再現性、レジスト残渣の除去方法に問題があることがわかった。本研究では，これらの問題を解決するため，量産に適した再現性のあるLSPRチップ作製法を確立した。,基盤研究(C),小区分26050:材料加工および組織制御関連,バイオセンサ,局在プラズモン共鳴,インフルエンザウイルス,ナノインプリント法,金ナノパターンチップ,ナノインプリント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04788,国立研究開発法人産業技術総合研究所,古嶋 亮一,セラミックスと高エントロピー合金の複合化による新規高温硬質材料の創製,複数の金属からなる高エントロピー合金(HEA) に着目し、代表的な硬質材料である超硬合金では困難で1000℃以上の大気中でも機械的特性に優れた新規セラミックス－HEA複合材料の開発を行った。全ての元素が混ざり合い合金として形成するための理論と作製したHEAの耐酸化性の評価から候補となるHEA構成元素を絞り込み、耐熱性と濡れ性、反応性の観点からHEAの複合化に適したセラミックスを選定した。結果として、TiN-TiCrNbMoTaとTiC-CrFeCoNiMoが高温特性に優れた硬質複合材料であることがわかった。これらの複合体の作製プロセスを最適化することでさらなる特性の向上が期待できる。,基盤研究(C),小区分26050:材料加工および組織制御関連,高エントロピー合金,セラミックス,粉末調製,高温強度,結晶構造,延性・脆性,耐熱性,組成制御,粉末混合,メカニカルアロイング,硬さ,強度,靭性,アーク溶融,エンタルピー,エントロピー,原子半径,酸化,室温曲げ強度,高温曲げ強度,高温硬質材料,セラミックス材料,高温機械的特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04787,国立研究開発法人産業技術総合研究所,黄 新ショウ,時効析出を活用したマグネシウム合金板材の深絞り成形性向上,本研究では、弱い集合組織と優れた成形性を持つAZ61マグネシウム合金高温圧延材に対し、時効処理が圧延材の組織、室温～225℃の深絞り成形性と引張特性などに与える影響を調査した。その結果、時効材は時効条件や成形温度によるが、未時効材よりも高い深絞り成形性を得ることが可能であると確認した。特に、β相（Mg17Al12）析出粒子を多く含む175℃96時間の時効材は100℃の比較的に低い成形温度でも、深絞り成形性が著しく向上し、高強度を持ちながら、未時効材よりも優れた深絞り成形性が得られることを明らかにした。,基盤研究(C),小区分26050:材料加工および組織制御関連,マグネシウム合金,圧延,時効,成形性,時効析出,変形双晶,集合組織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04786,国立研究開発法人理化学研究所,片平 和俊,大気圧プラズマ援用クーラントの機能発現メカニズム解明と高機動システム化,大気圧プラズマジェットを援用することで，加工中のクーラント効果を促進させ，微細ダイヤモンド工具の加工性能を最大限に引き出す手法の開発を行った．とくに，プラズマ化された活性種と，加工フロントにおける被加工物/工具/チップとの化学反応を精緻に制御するとともに，加工面/工具面の詳細な化学分析を通じて，プラズマの機能発現メカニズムを解明することを目的とした．とくに，ナノ多結晶ダイヤモンドエンドミルによる高純度SiC加工におけるプラズマ援用クーラントの適用を実行し，その効果を確認した．,基盤研究(C),小区分26050:材料加工および組織制御関連,大気圧プラズマ,ダイヤモンド工具,超精密加工,表面改質,微細加工,フェムト秒レーザ,光学素子,ピコレベル加工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04785,国立研究開発法人日本原子力研究開発機構,諸岡 聡,物質拡散による応力形成プロセスのその場観測技術の開発とそのメカニズムの解明,本研究では鉄基地の表面に対して窒素を浸透させた際の応力形成プロセスのその場観測技術の開発と，その応力形成メカニズムについて調査を行った．種々の条件でガス窒化処理を行うと，平板の場合は表面に窒素が浸透して，従来の報告通り，表面硬さの上昇や大きな圧縮残留応力が付与されることを確認した．一方，薄板や粉末の鋼の場合は窒素を浸透させても圧縮残留応力が付与されないことを明らかにした．その理由として，放射光X線回折法による窒素雰囲気における加熱その場観測技術を用いて，窒素の浸透のみでは大きな弾性ひずみの増加を与えないことを明らかにした．得られた知見は，鋼の表面硬化技術に重要な指針を与えることを示唆している．,基盤研究(C),小区分26050:材料加工および組織制御関連,窒化,オーステナイト系ステンレス鋼,圧縮残留応力,X線応力測定,放射光,中性子,その場測定,浸炭,応力,オーステナイト,放射光X線回折測定,中性子回折測定,放射光白色X線回折測定,その場観測,ステンレス鋼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04784,関西大学,春名 匠,ブルーレーザー型局部水素検出用走査型レーザー電解顕微鏡による水素脆化機構の解明,本研究では鉄鋼材料中に不均一に移動する水素をin-situに検出可能な局部水素分布検出用走査型ブルーレーザー電解顕微鏡の開発に取り組んだ．光学顕微鏡，半導体ブルーレーザー発振器，電動X-Yステージ，小型電気化学的水素透過試験装置でこの装置を構成し，0.03 mmの有効位置分解能と微小レーザー照射領域における単位時間当たりの水素移動量の定量化を実現した．さらに，Fe板に対する水素検出感度がNiめっき面より非Niめっき面で高いこと，ならびに水素移動量が結晶粒内で多く，結晶粒界ではほとんど観測されないことを明らかにした．,基盤研究(C),小区分26050:材料加工および組織制御関連,水素検出用走査型レーザー電解顕微鏡,水素脆化,局在水素,水素検出,高強度鋼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
