awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04878,筑波大学,野田 真史,機械学習と第一原理計算を用いた新規光・電子機能性デバイスの創生,ENZ(epsilon-near-zero)材料は、非線形光学応答を利用した光吸収物質として注目を集めており、集光技術や高分解能顕微鏡などの工学分野への応用が期待されている。その中でもITO(Inzium Tin Oxide)は高い導電性と透明度を持つ物質として注目されている。ITOは酸化インジウムと酸化スズの合金であるため、まずは酸化スズと酸化インジウムの物性について、実時間・実空間第一原理計算手法プログラムを用い過去の文献を再現できるかを調べた。昨年度は、酸化スズについては状態密度と誘電関数を調べ、ほぼ再現するに至った。また、酸化インジウムについては状態密度がほぼ一致した。本年度は、酸化インジウムの誘電関数が過去の文献を再現できるかを調べ、ほぼ再現するに至った。,基盤研究(C),小区分28020:ナノ構造物理関連,第一原理計算,機械学習,光学応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04877,日本大学,高瀬 浩一,光触媒／多波長吸収金属ナノワイヤーコアシェルアレイによる可視光利用高効率水素生成,本研究では、紫外線のみに応答する光触媒物質である酸化チタンを可視光応答させるために、金ナノ粒子に誘起される局在表面プラズモンで生成された半導体／金属界面のエネルギー障壁を越えることのできる高エネルギー電子の利用を目指し、酸化チタン薄膜／金ナノワイヤー複合体の作製を行い、その光触媒能を評価した。金ナノ粒子に比べ、金ナノワイヤーは、複数の波長の光を吸収できる特徴をもつとともに、光触媒反応の被表面積が大きい特徴をもつ。作製した複合体を水中に入れ、可視光下で生成された気体を分析した結果、当初の期待通り水素が発生していることが確認された。,基盤研究(C),小区分28020:ナノ構造物理関連,局在表面プラズモン,金ナノワイヤー,酸化チタン,水分解,水素生成,金ナノワイヤー／酸化チタンコアシェル構造,酸化チタン／金ナノワイヤーコアシェル構造,金ナノワイヤー作成,表面プラズモン,光触媒／ナノワイヤー　コアシェル,ナノワイヤー,金属ナノワイヤー,光触媒,可視光線応答,プラズモン吸収,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04876,宮崎大学,碇 哲雄,非発光電子遷移損失からみた半導体量子構造太陽電池における量子井戸の優位性,高い光電変換効率を持つ半導体量子構造太陽電池においてどのようなナノ構造が今後の研究対象として優位であるかについて、非発光電子遷移の観点から実験および理論計算で議論した。研究は三つの方面から行った。液滴エピタキシ法で作製したAlGaAs量子ドット、歪み緩和層を挿入したInGaAs/GaAsP、そして、量子細線と同じような構造を持つWoW型InGaAs/GaAsP構造である。これらに対し、光励起キャリアの緩和過程を理論計算も加味して解明し、構造を精密に作製できる量子井戸作製から出発し変調した構造を用いることで、ナノ構造太陽電池デバイスの高効率かつ安定なものを作製できる指針を示すことができた。,基盤研究(C),小区分28020:ナノ構造物理関連,量子井戸,量子ドット,太陽電池基礎,光物性,量子細線,太陽電池応用,光電変換効率,光電変換効率の優位性,太陽電池への応用,非発光電子遷移,太陽電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04875,九州大学,光田 暁弘,スピンナノ素子の圧力効果研究の確立,磁性体のナノ構造上で発現するスピン自由度に起因する新しい現象を発掘・探求するスピントロニクス分野が注目され、センサーやメモリーなどの応用も含めて盛んに研究されている。本研究では、スピントロニクス分野ではこれまで余り行われてこなかった圧力効果の実験を行う上での様々な問題を乗り越え、交換バイアス型スピンバルブ素子の巨大磁気抵抗効果や強磁性共鳴によるスピンポンピングに伴う諸現象の圧力効果を測定することに成功した。圧力効果はその他の実験条件を保ちながら現象の変化を追いかけることが可能であり、両現象の機構について物理的な考察を進めることができた。,基盤研究(C),小区分28020:ナノ構造物理関連,スピントロニクス,圧力効果,圧力,スピン分極率,強磁性共鳴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04874,東北大学,冨松 透,マルチスケールな電子状態制御による量子ホール効果相転移の研究,電子の局在や内在ポテンシャルの不均一性が関係する量子ホール効果相転移現象の解明のために (1)マクロな電子状態の制御に加え、(2)AFM 探針の局所電界を利用するミクロな電子状態制御の下で、マルチスケールな 2DEG の伝導特性評価を行った。内在局所ポテンシャルの相転移に及ぼす影響を調べるため、不純物分布の異なる高移動度及び低移動度の量子井戸構造試料の抵抗特性を比較した。,基盤研究(C),小区分28020:ナノ構造物理関連,二次元電子系輸送現象,量子ホール効果,走査ゲート顕微法,局所電界制御,相転移,電子散乱,局所電子散乱,相転移現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04873,北海道大学,江上 喜幸,原子層状物質における電流誘起によるバレー偏極生成に関する第一原理研究,本研究課題では、原子層状物質における電流誘起バレー偏極生成を行い、そのメカニズムと偏極の大きさを決める支配的ファクターを、第一原理計算に基づく数値シミュレーションによって明らかにすることを目指した。そのために、数十万原子を含むような大規模系における電子輸送シミュレーションを可能とする新たなアルゴリズムの開発を行った。これにより、長距離電子輸送シミュレーションが可能となり、グラフェン上に形成された電流経路における電子輸送特性の解析を行った。,基盤研究(C),小区分28020:ナノ構造物理関連,第一原理計算,電子輸送特性,Green関数,グラフェン,カーボンナノチューブ,大規模計算,化学修飾,電子輸送,原子層状物質,スピン軌道相互作用,バレー偏極,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04872,北海道大学,坂口 紀史,近距離Casimir力の起源となる表面プラズモン振動モードのEELS解析と力評価,近距離Casimir力の評価のために重要となる金属平板間の表面プラズモン相互作用を明らかにする目的で、誘電体をAgで挟んだMIM構造を作製しEELS測定により相互作用の強さとギャップ間隔の関係について解析した。Ag/誘電体層界面に励起される表面プラズモン共鳴エネルギーはそれぞれ3.3eVおよび3.0eVとなり、屈折率が大きいほど共鳴エネルギーは低エネルギー側にシフトするした。MIM構造では、ギャップ間隔が狭くなるほど共鳴エネルギーは高エネルギー側にシフトした。ギャップ間隔が100nm以下の金属板間においては表面プラズモン相互作用がCasimir効果に大きな影響を及ぼすことが実験的に示された。,基盤研究(C),小区分28020:ナノ構造物理関連,表面プラズモン共鳴,STEM-EELS,金属平板,MIM構造,Casimir力,近距離Casimir力,表面プラズモン,ナノギャップ,カシミール力,EELS,EELS解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K05201,国立研究開発法人産業技術総合研究所,植田 暁子,遷移金属ダイカルコゲナイドにおけるスピン・フォノン制御の理論研究,遷移金属ダイカルコゲナイド(TMD)半導体の単層膜は、電気的な制御性に優れ、空間反転対称性の破れに起因した特異な物性を示すことから、その特性を活かしたエレクトロニクス、スピントロニクスが研究されている。また、フォノン状態も空間反転対称性の破れにより、擬スピン状態を示す。本研究では、円偏極したフォノンと電子の軌道やスピンの自由度との相互作用が、電気、磁気、熱特性に与える影響を理論的な手法を用いて考察する。さらに、バレーを介したスピン・フォノン間の角運動量の変換を利用したスピンとフォノンの相互制御を研究し、新機能デバイスの提案を行う。,基盤研究(C),小区分28020:ナノ構造物理関連,二次元層状物質,二硫化硫黄,電子格子相互作用,ケルディッシュグリーン関数法,スピン帯磁率,スピン軌道相互作用,スピン・フォノン相互作用,遷移金属ダイカルコゲナイド,2次元層状物質,デバイスシミュレーション,スピン・フォノン変換,スピン・フォノン相関,フォノン,スピン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K05200,東京理科大学,本間 芳和,ヘテロナノ空間に束縛された水の構造と機能,本研究では雰囲気制御原子間力顕微鏡及びヘテロダイン検出和周波発生分光法を用い、シリカなど親水性基板と疎水性のグラフェンやグラファイトなどとの「ヘテロナノ界面」に形成される構造水の構造を明らかにする。「ヘテロナノ界面」は，親水性と疎水性がせめぎ合うナノ空間であり，その中で水がどのような秩序構造を取り得るかは，学術的に大変興味深いトピックスであるだけでなく，ナノ細孔での濡れや流れの制御，摩擦特性の制御においても重要な基礎的知見を与えるものである。,基盤研究(C),小区分28020:ナノ構造物理関連,構造水,疎水性,親水性,グラフェン,石英,カーボンナノチューブ,原子間力顕微鏡,和周波発生分光法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K05199,慶應義塾大学,佐藤 徹哉,4d/5d金属薄膜中量子井戸状態の電気的操作を用いた隣接磁性薄膜の磁気異方性制御,磁気デバイスの省エネルギー化への要求から電場を用いた磁気異方性制御が注目されている。本研究では、PdおよびPtの(100)薄膜に生じる量子井戸(QW)状態を電場で操作し、それにより隣接するFeおよびL10-FePd強磁性薄膜の磁気異方性制御を行う手法を提案し、実証する。QW状態はフェルミエネルギーまたは界面位相シフトを電場で操作することで変化することから、その変化に伴う隣接強磁性薄膜の電子状態の変調を通して磁気異方性を制御することが可能である。この手法を用いた磁気異方性制御の実証に加えて、その起源を放射光実験および第一原理計算等を用いて解明する。,基盤研究(C),小区分28020:ナノ構造物理関連,量子井戸,Pd超薄膜,Pt超薄膜,磁気異方性,電気的手法,磁性制御,放射光実験,4d/5d遷移金属,超薄膜,磁気異方性制御,"Pd, Pt超薄膜",第一原理計算,電場印加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
