awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04931,国立研究開発法人量子科学技術研究開発機構,前川 雅樹,スピン偏極陽電子消滅法による空孔誘起磁性の光励起効果の解明および磁気特性制御,原子空孔の局在スピンの高感度検出が可能なスピン偏極陽電子消滅法を用いて、空孔誘起磁性におけるカチオン原子空孔説から予測される窒化ガリウム(GaN)の強い磁性発現と、光照射による荷電状態変化・磁性制御を検証し、カチオン原子空孔説の妥当性を調べた。窒素イオン照射ではGaNには磁性はほとんど誘起されず、原子空孔にも顕著なスピンの局在は見られなかった。光照射による変化にも乏しく、カチオン原子単空孔の磁性誘起は非常に弱い。一方で、ガドリニウム照射で生成したGaGdNでは、空孔クラスターが発生した場合に顕著な磁性強化が検出された。空孔誘起磁性は単空孔以外の欠陥構造でも誘発されることが明らかとなった。,基盤研究(C),小区分29010:応用物性関連,陽電子消滅,空孔誘起磁性,スピン偏極陽電子,イオンビーム照射,d0強磁性,カチオン原子空孔,窒化ガリウム,ガドリニウム注入,酸化亜鉛,原子空孔,半導体物性,磁性制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04930,国立研究開発法人理化学研究所,青山 哲也,有機デバイスの革新的製造プロセスのための分子配向2次元パターニング技術の開発,掃引パターンを制御可能なXY自動ステージを利用し、2次元精密ラビング装置を開発した。チエノキノイド薄膜トランジスタをラビングした後に冷間等方圧加圧(CIP)したところ、移動度の向上が確認された。X線回折の測定と量子化学計算による解析から、π-πスタッキング変化が移動度増大の要因であることが明らかになった。,基盤研究(C),小区分29010:応用物性関連,分子配向,ナノ・マイクロ科学,有機トランジスタ,有機光エレクトロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04929,近畿大学,田中 仙君,三元混合有機層を用いた透明太陽電池の開発,本研究では、可視光の一部を透過しつつも発電能力をもつ半透明有機太陽電池の高効率化に取り組んだ。当初目指していた３元混合層（ベースとなるバルクヘテロ型有機半導体層に対して適切な分子をドーピングした層）による高効率化については、素子形成過程における熱処理が性能を大幅に劣化させることがわかった。これを回避するための素子形成過程および素子構成を検討したが、研究期間中に決定的な解決策は得られなかった。一方で、半透明太陽電池への光照射方向と発電特性の関係を詳細に調べることで、発電状況下での電荷の移動特性についての知見が得られることを見出した。,基盤研究(C),小区分29010:応用物性関連,有機薄膜太陽電池,半透明太陽電池,有機太陽電池,三元混合,有機半導体,透明太陽電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04928,秋田県立大学,能勢 敏明,液晶の電気光学効果を利用した顕微鏡観察・計測システムの開発,液晶の位相変調効果と偏光回転効果を利用した二つの顕微鏡観察・計測システムの開発を行った。第一は「複屈折画像観察・測定システム」であり、液晶セルを顕微鏡に組込んで位相シフト法を導入する事により高精度な複屈折画像観察を実現すると共に、45°の偏光回転を生じる液晶セルを更に組合わせて全方位の複屈折画像測定を実現した。第二は「微分干渉観察・計測システム」であり、90°TN液晶の横ずれ効果と偏光回転効果を組み合わせて、横ずれ量や背景の明るさが電子的に調整可能となる微分干渉顕微鏡を開発した。さらに、TN液晶のねじれ方向切替によって全方位の微分干渉画像を電子的に取得できる可能性を実証した。,基盤研究(C),小区分29010:応用物性関連,液晶,複屈折イメージング,微分干渉イメージング,微分干渉観察,複屈折,DICプリズム,電気光学効果,光計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04927,佐賀大学,江良 正直,自己組織性有機無機量子井戸を用いたキャビティポラリトンデバイス,本基盤研究(C)(18K04927) における研究成果の概要は以下の通り。,基盤研究(C),小区分29010:応用物性関連,自己組織性量子井戸,ハロゲン化鉛系層状ペロブスカイト,キャビティポラリトン,レーザ,非線形光学材料,ラングミュア―ブロジェット法,太陽電池,ハロゲン化鉛系ペロブスカイト,ハイブリッド励起子,有機・無機量子井戸,Langmuir-Blodgett法,レーザー,発光デバイス,光非線形材料,有機無機量子井戸,自己組織性,ポラリトンレーザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04926,大阪大学,福島 鉄也,データ駆動型マテリアルデザインによる新奇高エントロピー合金材料の探索,我々は、スーパーコンピュータ「富岳」と、独自の第一原理計算コードである「AkaiKKR」を用いることにより、約15万個の磁性多元合金から成る広大な材料空間を自動網羅的に探索することで、電子状態、磁化、強磁性転移温度、電気抵抗率を含むユニークで利用価値の高い大規模物性データベースの構築を試みた。また、データベースに頻出パターンマイニング等のデータ科学手法を適用することにより、磁気特性を決定する支配因子や電気抵抗率の法則性の発見にも成功した。,基盤研究(C),小区分29010:応用物性関連,KKRグリーン関数法,コヒーレントポテンシャル近似,データ駆動型マテリアルデザイン,高エントロピー合金,自動ハイスループット材料計算,機械学習,第一原理計算,マテリアルデザイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04925,名古屋大学,Shin Jiyoung,Self-healing antiaromatic batteries,有機電池の電極物に利用可能な有機分子を探索する目的として新し有機分子を合成し、その物理/化学的特性を研究、報告した（論文4編、研究発表4回）。　反芳香と芳香族間の相互変換能可能な拡張π共役分系を有機電池の電極物として投入し研究報告した（論文１編）。高い充放電性能、電池寿命の延長、急速充電率、有機電極の高い耐久性を持つ優れたナトリウム-有機電池を開発、研究し報告した（論文１編、論文表紙、リチウム-有機電池関連研究発表２回）。電極物質内の有効な空間と高濃度電解質の輸液イオン流動性が電池性能影響することを見出だした（論文１編）。,基盤研究(C),小区分29010:応用物性関連,Porphyrinoid,electrochemistry,Li-organic battery,Na-organic battery,porphyrinoid,Dual ion battery,Dipyrrin,Co(III) complex,Diazepinopyrrolizine,Vibration spectroscopy,応用物性関連,有機電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04924,福井大学,浅野 貴行,均一粒径モリブデン酸銅におけるテトラクロミズムの複合環境下制御の解明,本研究は，クロミズム化合物の構造変化に伴う自発的な結晶粉砕によって生成された粒径サイスに起因する磁気的性質の解明を目的に実施した。クロミック磁性体であるCuMoO4に着目し，元素置換による人為的な粒径制御を試みた。その結果，CuMoO4の単結晶試料における自発的な粒径変化に起因する特異な磁気的性質を人為的に元素置換したCuMoO4の粉末試料を用いて再現することに成功した。また，流星ボールミルやゾル-ゲル法による粒径制御も試み，粒径制御のサイス幅の拡大を実現した,基盤研究(C),小区分29010:応用物性関連,クロミズム,モリブデン酸銅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04923,金沢大学,小田 竜樹,スピン密度磁気双極子相互作用を考慮した密度汎関数法の開発と応用,スピン分極密度汎関数理論(SP-DFT)の枠組みで磁気双極子相互作用(MDI)エネルギーを、スピン密度ともに自己無撞着に決定する計算手法開発に成功した。自己無撞着計算に成功したことにより、外部磁場を顕わに印加した系の磁性解析を可能にした。応用では、スピントロニクス材料であるFe/MgO界面を有する強磁性ナノ薄膜やCo/Ni基強磁性ナノ多層膜において、実験結果を定性的および定量的に説明する結果を得た。これにより、これまで我々が開発した計算手法が、薄膜磁性を非経験的計算より明らかにする有用な手法であることを示した。,基盤研究(C),小区分29010:応用物性関連,磁気異方性エネルギー,スピン軌道相互作用,スピントロニクス,マルチフェロイクス,ノンコリニアスピン密度汎関数理論,スピン分極密度汎関数理論,形状磁気異方性,磁気双極子相互作用,密度汎関数法,ノンコリニア磁気構造,傾角磁気構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04922,横浜国立大学,梅原 出,圧力で制御されたメタ磁気熱量効果の研究,巨大な熱磁気量効果を示すGd5SixGe5-xの系に注目した。初年度は、（１）このシステムでGd5Ge4の高圧下での磁気特性を吟味すること。（２）磁気熱量測定用の圧力セルを作成する事　の２点を重視して研究を行なった。加えて、関連物質の開発も行った。（１）Gd5Ge4の高圧下での磁気特性について　①チョコラルスキー法による単結晶の育成に成功した。②既に開発済みの小型圧力セルを用いて圧力下での磁化測定を行った。③上記の研究結果により、c軸方向では基底状態が反強磁性状態にあったものが0.5GPa以下の比較的低い圧力下で強磁性に変化する事が分かった。（２）磁気熱量測定用の圧力セルを作成した。（３）関連物質の作製Gd5Ge4の関連物質であるNd5Si4やPr5Si4の単結晶が同様の育成方法で育成する事ができた。さらに、これらの物質の磁気特性・電気特性の実験的研究を行った。結晶構造を反映した極めて異方的な磁気特性を有している事、水素の液化を計画する際は磁気転移点、磁気特性がこの目的によく合致していることなどが分かった。２年目から最終年度においては、初年度の成果に基づき、磁気冷凍冷却実験が行えるセルを開発し、MPMSに実装した。結果、極めて有効な磁気冷凍実装システムの構築に成功した。このシステムを用い、Gd5Ge4の磁気冷却テストを行った。Gd5Ge4は、磁化測定の結果から、極めて良好な磁気冷凍が期待されていたが、実装試験の結果は、磁化測定の結果から期待される冷却能力を有さないことがわかった。これは、現在行われている磁気特性の測定のみから、磁気冷凍能力を議論する研究のトレンドに警鐘を鳴らす結果となっている。初年度、単結晶育成に成功した、Nd5Si4やPr5Si4について、右手系、左手系のカイラリティの作り分けができることが判明し、今後の磁性物理学に新たな道を開き得る系を発見した。,基盤研究(C),小区分29010:応用物性関連,熱磁気量効果,圧力,単結晶,磁気冷凍,メタ磁性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
