awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04949,地方独立行政法人大阪産業技術研究所,池田 慎吾,遷移金属硫化物の電析およびエネルギーデバイスに向けた構造制御,簡便で低コストな製造法として電析法により硫化モリブデン薄膜を成膜する手法を新たに確立した。得られた硫化モリブデン薄膜はリチウムイオン電池やナトリウムイオン電池用正極として、現行の正極材料であるコバルト酸リチウムの実効容量を上回る容量特性を示した。特に、リチウムイオン電池用正極としては繰り返し充放電や高速充放電に対する安定性にも優れていた。さらに、硫酸水溶液中における電気分解による水素発生電極触媒としても有用性が示されるなど、本研究課題で作製した硫化モリブデン薄膜は種々のエネルギーデバイスにおける要素部材として応用が期待される。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,硫化モリブデン,リチウムイオン電池,正極材料,電析,エネルギーデバイス,水素製造,ナトリウムイオン電池,水素発生電極,水素発生,電極触媒,遷移金属硫化物,電極,薄膜電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04948,公益財団法人若狭湾エネルギー研究センター,鈴木 耕拓,大気ERDAを用いたセラミック水素吸蔵材の原理解明,リチウムジルコネート等のセラミックは、大気中の水蒸気および二酸化炭素を吸収し、加熱により水素ガスを生成することが知られている。このメカニズムを解明するため、イオンビーム分析により、表面から内部への元素分布および元素量を測定した。リチウムジルコネート内部まで水素が存在していることが測定され、またリチウムが表面付近で凝集していることも判明した。イオンビーム分析やX線回折等の結果から、セラミック表面で水素・リチウム置換による水酸化リチウムの生成、そして水酸化リチウムと二酸化炭素の反応により炭酸リチウム層が生成されることを示唆した。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,イオンビーム分析,水素,リチウム化合物,X線回折,ガス分析,リチウムジルコネート,TOF-ERDA,XRD,加熱ガス分析,In-air ERDA,セラミック,大気中分析,ERDA,水素吸蔵材,Ｉｎ-Ａｉｒ-ＥＲＤＡ,リチウム酸化物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04947,国立研究開発法人産業技術総合研究所,池浦 広美,低次元有機半導体材料の光酸化ドーピング手法の開発,有機半導体における分子のドーピングメカニズムの解明は、有機半導体の低い導電率を改善し、高機能な有機デバイスを作製するための新たな手法の開拓において、必要不可欠であるにもかかわらず、無機半導体のドーピングと比べてほとんど理解が進んでいない。グラフェンなどの低次元材料をはじめ、高分子のような単一分子鎖にも適応可能な化学修飾を利用した新たな光ドーピング手法の構築を目指し、メカニズムの解明と原理構築のための基礎研究を行った。その結果、有機半導体の光酸化ドーピングによって、無機半導体の伝導メカニズムと同様のバンド伝導が発現することを見出した。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,有機半導体,ドーピング,放射光,電子状態,Ｘ線吸収分光,電子分光,X線吸収分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04946,国立研究開発法人産業技術総合研究所,簑原 誠人,ディラック電子系アンチペロブスカイト酸化物薄膜の作製と電子状態評価,物質中で質量のない粒子として振る舞うディラック電子を有する物質群は、極めて高い移動度を持つことから、次世代エレクトロニクス材料としての応用が期待されている。本研究では、ディラック電子系材料の１つと期待されるアンチペロブスカイト型酸化物Ca3SnO薄膜の作製とその電子状態評価を行なったものである。成長時の基板温度と酸素分圧の精密制御によって、Ca3SnO単結晶薄膜を得ることに成功した。得られた試料の電子状態評価を行なったところ、Snの価数は通常取りうるSn4+やSn2+ではなく、Sn4-が主な構成要素であることを見出した。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,スズ酸化物,PLD,薄膜成長,電子状態評価,酸化物エレクトロニクス,薄膜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04945,金沢工業大学,宮田 俊弘,超低コスト高効率pnヘテロ及びホモ接合Cu2O系太陽電池に関する研究,本研究の成果を以下にまとめる。【①新規なn型及びi型半導体薄膜材料の開発】新規なi型もしくはn型半導体材料の探索においては、Zn-Ge-O系半導体薄膜をベースに半導体層の種類と光電変換特性との関係を明らかにした。しかしながら、上記の材料の中には変換効率１０％を超える物質を見出すことはできなかった。【②Cu2Oシートの荷電子制御およびｎ形半導体薄膜成膜技術の高度化】Naを含有する化合物等の雰囲気中で熱処理を行うことにより、Cu2Oシートの低抵抗化を実現できた。また、PLD法やゾル・ゲル法等の化学的な成膜技術においては、半導体薄膜/Cu2Oシート界面状態の基本的な制御技術を確立できた。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,太陽電池,酸化物半導体,薄膜,酸化銅,温成膜,大面積成膜,亜酸化銅,低温成膜,パネル試作,長期安定性,酸化亜鉛,酸化スズ,酸化ゲルマニウム,酸化ガリウム,Cu2O,ｐｎ接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04944,国立研究開発法人産業技術総合研究所,赤池 幸紀,無秩序化した有機ヘテロ界面を導く電子的および構造的要因の解明,有機エレクトロニクスの機能発現に重要な異種有機半導体の界面（有機ヘテロ界面）の構造が不均一化する分子的起源を、走査トンネル顕微鏡(STM)と紫外光電子分光(UPS)を併用して解明した。フッ素化銅フタロシアニン(F16CuPc)／セキシチオフェン(6T)界面の形成の様子をSTMで実測することで、無秩序構造の実態を初めて明らかにしたことに加え、構造無秩序化に、分子の剛直性、異分子間相互作用、分子サイズが与える影響を明らかにした。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,有機半導体ヘテロ界面,構造無秩序化,局所構造観察,走査トンネル顕微鏡,有機ヘテロ界面,界面電荷,界面構造,和周波発生分光,無秩序化,分子配列,有機へテロ界面,表面エネルギー,界面混合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04943,東京電機大学,大越 康晴,窒素含有DLCの細胞接着促進および生体内における内膜化に及ぼす物性効果の解明,ダイヤモンド状炭素（DLC: Diamond-like Carbon）は生体適合性被膜処理として実用化に向けた開発が飛躍的に進展し，近年では，窒素，酸素，フッ素などの第3元素をドープし，使用用途に特化した高機能化が図られている．本研究では，窒素含有DLC（N-DLC）の基本構造（散乱長密度およびsp2構造比率）に対し，細胞接着および増殖性を表面特性として評価した．その結果，窒素含有によって散乱長密度およびsp2構造比率が容易に制御可能となり，これに伴って，表面層の酸素官能基形成が変化することで，細胞接着・増殖性および内膜化が表面機能として制御されることが示唆された．,基盤研究(C),小区分29020:薄膜および表面界面物性関連,ダイヤモンド状炭素膜,細胞親和性,窒素含有,窒素含有DLC,細胞機能,表面機能,DLC:N,内膜化,sp3/sp2,生体内環境,細胞接着性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04942,慶應義塾大学,渋田 昌弘,Microspot光電子顕微鏡による表面プラズモンのイメージング,次世代のフォトニクスやエレクトロニクスを支える無輻射の物理現象である表面プラズモンポラリトン(SPP)は、金属－誘電体の界面で光速に近い速度で伝搬する電荷の集団振動であり、これを精密に可視化する技術が求められている。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,表面プラズモンポラリトン,光電子顕微鏡,フェムト秒レーザー,プラズモニックデバイス,半導体ナノ粒子,表面プラズモン,フェムト秒ダイナミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04941,九州大学,Anton V.Visikovs,,周期表の III、IV、および V 族の高密度三角格子 2D 材料は、安定であるとは予想されませんでした。 私たちの研究は、重要な基板相互作用 (SiC 基板) により、この形態が最も安定していることを示しています。 これらの物質における電子相互作用は、非常に特異な性質を持っています。 三角形構造にもかかわらず、堅牢なディラック電子分散が形成されます。 スピン偏極状態には 2 種類あります。 今までに見られなかった現象。 これは、電子相互作用における対称性に関する私たちの理解を変えます。 この基本的な特性は、将来のスピントロニクス デバイスで使用できます。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,Spin polarization,Dirac materials,2D layer,semiconductors,boron,triangular lattice,borophene,stanene,spin-orbit coupling,Rashba effect,SiC,graphene,Dirac material,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04940,岡山大学,堀場 律子,酸化物界面における強誘電性揺らぎによる超伝導特性への影響,LaAlO3/SrTiO3界面における超伝導物性に強誘電性の揺らぎを導入するため、基板を量子常誘電体として知られるSrTiO3から強誘電相転移を示すCaドープSrTiO3に置き変えたLaAlO3/CaxSr1-xTiO3を作製した。界面に発現する金属伝導や超伝導特性を調べた結果、常伝導状態の抵抗率の温度変化では強誘電相転移にともなう異常が観測され、さらに低温では超伝導転移が観測された。LaAlO3/CaxSr1-xTiO3の超伝導転移温度（Tc）の最高値はLaAlO3/SrTiO3の系よりわずかに上昇する程度であったが、常伝導状態での伝導度に対するTcの相図は異なることを明らかにした。,基盤研究(C),小区分29020:薄膜および表面界面物性関連,超伝導,酸化物界面,強誘電性,酸化物薄膜界面,強誘電特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
