awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K04965,国立研究開発法人物質・材料研究機構,西川 慶,大容量金属負極のための超マイクロ電極を利用したリチウム金属の電析機構の解明,次世代二次電池の負極材料として有力な候補であるリチウム金属の電析反応機構の解明のため、超微小電極上でのリチウム金属電析実験を行った。電析されたリチウム金属の3次元構造解析を行い、リチウムイオン電池に汎用的に使われている電解液中において電析させたリチウムは均一な径を有する柱状の形態を有し、基板である銅表面に至るまで非常に密な構造を有することを確認した。その表面被膜に関しては、cryo-STEM-EELS分析によって、LiFを主成分とした厚さが 20～30nmの皮膜であることを確認した。本研究で積み重ねた測定ノウハウは、リチウム金属の電析形態および表面の被膜分析に有効に活用することが期待できる。,基盤研究(C),小区分30010:結晶工学関連,リチウム金属,電析,電池,結晶成長,超微小電極,電子顕微鏡観察,表面皮膜,核生成,デンドライト,物質移動現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04964,阿南工業高等専門学校,小曽根 崇,テンプレート構造体構築によるスピンクロスオーバー化合物合成の新奇手法確立,本研究では、二次元層状構造を持つ固相のアクア錯体にピリジン系配位子(L)の溶液を含侵させて、固相―液相で交換反応を実験した。固相の層状構造を維持したままアクア配位子からLのみを置換する設計的構造制御を検討した。,基盤研究(C),小区分30010:結晶工学関連,配位高分子,置換反応,アクア錯体,スピンクロスオーバー,配位子置換反応,自己組織化,ホストーゲスト化学,錯体の合成,配位高分子合成,結晶構造評価,配位子脱離,錯体,MOF,構造物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04963,豊田工業大学,小島 信晃,新規層状化合物バッファを適用したSi上GaAsエピ成長、および薄層剥離の研究,本研究は、III-V族化合物半導体デバイスの大幅な低コスト化を目指して、層状化合物中間層を介してSi基板上にGaAsを成膜し、GaAs層を薄層剥離することを目的にしている。課題はGaAs層の高品質化であり、本研究テーマでは、微傾斜基板の原子ステップが結晶成長過程に与える影響を明らかにすることを目指した。その結果、層状化合物の結晶成長方位を単一方向に揃えるためには、基板の傾斜方向が重要であることを明らかにした。さらに、成膜したGaAsをSi基板上から剥離できることを見出した。,基盤研究(C),小区分30010:結晶工学関連,化合物半導体,層状化合物,エピタキシャル成長,結晶成長,分子線エピタキシー,エピタキシャルリフトオフ,X線回折,結晶欠陥,薄層剥離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04962,静岡理工科大学,小澤 哲夫,窒素プラズマによるAlN転換層形成機構の解明と反応性スパッタによる単結晶成長技術,"本研究では, 窒素プラズマによるAlN転換層形成機構を利用して、rf反応性スパッタリング法であってもAlN(0002)配向性のあるAlN膜の形成に成功した. さらに, AlN成長過程におけるチャンバー内圧力, 窒素流量比の依存性を明らかにした.",基盤研究(C),小区分30010:結晶工学関連,反応性RFスパッタ,AlN,InAlN,窒化物半導体,結晶成長,混晶,単結晶,単結晶成長,反応性スパッタリング,AlN／Al2O3,RF反応性スパッタ,サファイア,窒素プラズマ,ナノロッド,InAlN混晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04961,学習院大学,横山 悦郎,不純物効果による結晶成長速度の自発的振動の数理モデル構築,不凍糖タンパク質（AFGP）の氷への吸着の時間遅れ効果を取り入れ、AFGPの吸着量と成長速度の関係から成長速度が振動する新たな理論モデルを構築した。１分子のAFGPには多くの吸着結合子が存在する。従って全ての吸着結合子が氷界面の吸着子と結合するまでには時間が必要と予想される。この完全に吸着するまでに要する時間を吸着の遅延効果とし、この効果を取り入れた常微分方程式（時間依存する吸着式）を数値解析的に解くと、AFGP分子の氷界面への吸着量が時間に関して減衰振動することを示せた。更に振動周期は時間遅れの増加とともに大きくなることがわかった。,基盤研究(C),小区分30010:結晶工学関連,結晶成長速度,氷結晶,不凍糖タンパク質,過冷却水,自発的振動,ラングミュア吸着等温式,遅延時間,不純物効果,時間依存したラングミュア吸着等温式,遅延時間効果,自発振動,氷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04960,徳島大学,鈴木 良尚,生体内塩濃度条件下でのタンパク質の結晶化と結晶構造解析,本研究では、結晶化条件の違いにより、有意に3次元立体分子構造が変化するということをおもに沈殿剤の有無によって実証し、論文化した。また、沈殿剤フリーに近い条件では結晶化の前段階として液液相分離が起こり、分離後の濃厚相における結晶化は、過飽和度を同じにしても結晶成長速度がけた違いに速くなるという現象を新たに発見した。また、そのような高成長速度で結晶化した結晶にしては大変回折分解能の高い高品質結晶（例えば0.1 nmよりも高い回折分解能）が得られることも明らかにした。,基盤研究(C),小区分30010:結晶工学関連,ニワトリ卵白リゾチーム,グルコースイソメラーゼ,液液相分離,平均二乗変位,沈殿剤フリー,生理食塩水,分子クラウディング,平均二乗偏差,斜方晶系結晶,正方晶系結晶,生体内,タンパク質,結晶化,結晶構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04959,鳥取大学,市野 邦男,ワイドバンドギャップ硫化物半導体におけるバンド端エネルギー制御と電気伝導性制御,ワイドバンドギャップ硫化物半導体のZnSをベースとするZnMgSTe 4元混晶を作製し，各バンド端エネルギーを制御することで，p型化とバンドギャップ制御の両立を目指した．結晶成長条件の検討により広い組成範囲の結晶が得られ，バンドギャップの制御を確認した．また，Nアクセプタを添加したp型ZnMgSTeの抵抗率が，ZnSTeと同様，主にTe組成に依存することがわかった．これらの結果は提案モデルの妥当性を示すと考えられる．,基盤研究(C),小区分30010:結晶工学関連,電気伝導性制御,ワイドバンドギャップ,バンド端エネルギー,硫化物半導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04958,和歌山大学,宇野 和行,高品質なα型酸化ガリウム系薄膜による量子ヘテロ構造物性の研究,本研究ではα型酸化ガリウム(α-Ga2O3)結晶の成長にミストCVD法を用いた。高品質なα-Ga2O3薄膜とα-(AlGa)2O3混晶薄膜，ヘテロ構造の作製を，結晶成長機構を明らかにしつつ実施した。その結果，以下の結果を得た。(1)α-Ga2O3およびα-(AlGa)2O3混晶薄膜は，GaおよびAlイオンのアセチルアセトナート錯体化と配位子交換により生じる。(2)Alイオンの錯体化速度を定量的に明らかにした。(3)スズにメモリ効果があることを見出した。,基盤研究(C),小区分30010:結晶工学関連,α型酸化ガリウム,ミストCVD法,結晶成長機構,錯体化速度,結晶成長メカニズム,配位子交換,アセチルアセトナート錯体化速度,スズのメモリ効果,ドーピング技術,結晶成長,量子井戸構造,パワーデバイス,深紫外デバイス,酸化物半導体,量子構造,光物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04957,三重大学,河村 貴宏,高品質バルクGaN成長に適した気相成長条件および結晶成長プロセスの解明,本研究ではOVPE法によるバルクGaN単結晶の成長機構の解明を目的として、第一原理計算を用いて(1) O不純物の吸着・脱離反応を含めたGaN成長プロセスの解明と(2) GaN成長における表面再構成とその面方位依存性に関する解析、の2つの研究を行った。(1)ではGaN結晶表面に吸着したO不純物の脱離エネルギーは大きく、OとOHの形では脱離は起こりにくいがH2Oに還元することで脱離しやすくなることを示した。(2)ではOVPE成長条件下ではGa分圧が増加するにしたがってO不純物を取り込みやすい(1-101)表面構造が現れやすくなることから、結晶に取り込まれるO不純物量が増加することを示した。,基盤研究(C),小区分30010:結晶工学関連,窒化ガリウム,第一原理計算,不純物,OVPE成長,結晶成長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K04956,山梨大学,鍋谷 暢一,マルチバンドギャップ半導体のバンド構造制御と高効率太陽電池の作製,禁制帯中に中間バンドをもつマルチバンドギャップ半導体では中間バンドを介して光を吸収し自由キャリアを生成できる。本研究では、ZnTeに局在準位を形成する酸素(O)を添加し局在準位を高密度化して中間バンドを制御する。,基盤研究(C),小区分30010:結晶工学関連,太陽電池,格子歪,マルチバンドギャップ半導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
