awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05135,国立研究開発法人理化学研究所,隅田 有人,ホウ素アート錯体の性質に基づく再利用可能な有機基転移剤の開発,今回、剛直かつ高い平面性を示す五環性ホウ素化合物ボラセンに対して強い求核剤を作用させることで、安定に取り扱えるホウ素アート錯体を見出した。このホウ素上に載せた有機基は選択的に反応に利用できる。特に可視光照射下、直接的に励起され、炭素-ホウ素結合が均等開裂することで、有機基由来のアルキルラジカルが生じることを明らかとした。これは光のみを契機とした炭素ラジカルの新たな発生法として有機合成に新たな手法を与える。,基盤研究(C),小区分33020:有機合成化学関連,ホウ素アート錯体,直接光励起,アルキルラジカル,有機ホウ素化合物,可視光,直接励起,一電子還元剤,光レドックス触媒,有機ホウ素,クロスカップリング,環状ホウ素化合物,鈴木－宮浦クロスカップリング,リサイクル,ホウ素アート,パラジウム触媒,鈴木-宮浦クロスカップリング,再利用可能,有機基転移剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05134,岡山理科大学,折田 明浩,小分子型可視光アンテナ色素：反芳香族ペンタレンの自在合成と光学材料への応用,"電子供与基と求引基を置換した可視光吸収アセチレン色素を合成した。この色素に単層カーボンナノチューブ（single wall carbon nanotube, SWCNT）と強力な親和性をもつフェロセンを置換し、自在に色素－SWCNT複合材料を簡便に調製する方法を開発した。また、アルコキシ基の置換位置が異なる一連のパイ拡張ピレン光触媒を合成し、光触媒の還元力をチューニングすることで、ジエンなどやや不安定なオレフィンの還元的合成に成功した。",基盤研究(C),小区分33020:有機合成化学関連,アセチレン,ペンタレン,渡環反応,光反応,光触媒,ピレン,アントラセン,フェナントレン,スルホン,オレフィン,クリック反応,アミノトリアゾール,ペリレン,エテニルスルホン,色素,ホスホリル,保護,アミノ,アンテナ分子,可視光色素,反芳香族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05133,関西学院大学,田辺 陽,次世代クライゼン縮合・関連反応の開発および有用特異化合物合成への応用,Claisen 縮合は教科書有機化学である．しかし従来塩基法の反応性は一般的に低く，その適用範囲は非常に限られていた．,基盤研究(C),小区分33020:有機合成化学関連,クライゼン縮合,不斉クライゼン縮合,四塩化チタン,四塩化ジルコニウム,脱水型チタン=クライゼン縮合,ホルミル化反応,ドミノ反応,フラノンアヌレーション反応,"α,β-不飽和エステル類",立体補完的・パラレル合成,医薬品合成への応用,多成分連結反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05132,近畿大学,前川 智弘,硫黄化合物を用いる高活性なハロゲン化反応の開発とその応用,本研究では、硫黄化合物であるフェニルチオトリメチルシランをN-ブロモスクシンイミドととも用いることで、従来反応性が低かったＮ－ブロモスクシンイミドの反応性を大きく向上させることを見出し、以下の成果を得た。,基盤研究(C),小区分33020:有機合成化学関連,ハロゲン化,硫黄化合物,活性化,N-ハロスクシンイミド,複素環,臭素化,塩素化,芳香環のハロゲン化,臭素化剤,芳香環の臭素化,ハロゲン化反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05131,関西大学,西山 豊,レニウム触媒を用いた、環境調和型炭素‐炭素、炭素‐ヘテロ原子結合形成反応の開発,レニウム錯体の触媒作用に基づく、安価かつ容易に入手可能なアルコールならびに、アルコール誘導体を炭素源とする、炭素－炭素、炭素－ヘテロ原子結合の新規触媒的形成反応の開発を行った。その結果、レニウム錯体を用いることで従来の触媒では困難とされた様々な炭素－炭素、炭素－ヘテロ原子結合の開発に成功した。,基盤研究(C),小区分33020:有機合成化学関連,レニウム,触媒反応,アルコール,π共役芳香族分子,ジヒドロイソキノリン,イソキノリン,多環式芳香族化合物,炭素,有機ケイ素化合物,ヘテロ原子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05130,明治薬科大学,高取 和彦,希土類元素およびチタンの誘起する新規骨格形成反応の開発と生物活性化合物の合成研究,"本研究では、希土類元素およびチタンの誘起する新規骨格形成反応の開発と生物活性化合物の全合成を検討した。その結果、以下の成果を得ることができた。1. α-(メシルオキシメチル)シクロブタノンの環拡大反応に成功した。2. SmI2による連続環化反応と環拡大1,2-転位反応を駆使し、ゾアパトリン類のジアステレオマーを合成した。3. 環拡大1,2―転位、酸化的アリル転位の繰返しによるヒプノフィリンの形式合成を達成した。4. 低原子価Tiによる分子内シアノヒドリン―エポキシドカップリング反応を開発し、マルスペリン Aの全合成を達成した。",基盤研究(C),小区分33020:有機合成化学関連,ラジカル反応,骨格形成,サマリウム,チタン,テルペン,転位反応,環拡大転位反応,マルスペリン,低原子価チタン,ヨウ化サマリウム,トリキナン,カウラン,ロンギピネン,環拡大反応,"1,2-転位反応",エポキシドーケトンカップリング,Ti反応剤,コリンエステラーゼ阻害活性,アルツハイマー病治療薬,環拡大,転位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05129,東京理科大学,木村 力,マグネシウムカルベノイドの求電子的な反応性を活用する合成反応の開発,マグネシウムカルベノイドは、一つの炭素にマグネシウムと塩素が結合した反応中間体である。一般に、炭素―金属結合を含む化学種は求核的な反応性を有するが、マグネシウムカルベノイドには求電子的な反応性がある。マグネシウムカルベノイドが有する求電子的な反応性を活かした有機反応について研究した。また、DFT計算を利用してマグネシウムカルベノイドの特異な反応性について調べた。,基盤研究(C),小区分33020:有機合成化学関連,マグネシウムカルベノイド,求電子的反応,Grignard試薬,有機硫黄化学,スルホキシド,DFT計算,有機金属化学,求核置換反応,"1,2-水素移動",シクロプロパノール,増炭反応,環化反応,転位反応,挿入反応,求電子性,反応開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05128,東京薬科大学,松本 隆司,酵素触媒を利用した不斉非対称化反応による光学活性トリプチセン誘導体の合成,<BR>,基盤研究(C),小区分33020:有機合成化学関連,光学活性化合物,有機合成,酵素触媒,不正非対称化,キラルテンプレート,不斉非対称化,トリプチセン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05127,慶應義塾大学,佐藤 隆章,"アミド基を基盤とした1,3-双極子合成法の開発と応用","本研究は、アミド基を1,3-双極子等価体として利用する合成法の開発に取り組んだ。まず初めに、N-ヒドロキシアミドに対しIr触媒を用いた還元的ニトロン合成と、有機リチウム試薬を用いた求核的ニトロン合成法を開発した。次に、開発した反応を含窒素天然物へ応用し、シリンドリシンCの全合成を達成した。Ir触媒による手法は、アゾメチンイリド合成への展開が可能であり、アスピドスペルミジンの全合成を達成した。",基盤研究(C),小区分33020:有機合成化学関連,有機合成化学,天然物化学,アミド基,求核付加反応,"1,3-双極子",アミド,ニトロン,アゾメチンイリド,天然物の全合成 ３．研究課題名,天然物の全合成,有機化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05126,長崎大学,石原 淳,ルイス酸テンプレートを基軸とする多官能基化環状化合物の効率的合成とその応用展開,"ルイス酸テンプレートは、分子内に存在する金属原子が基質と反応剤を活性化すると共に、反応点を接近させるため、効率的に反応を促進する。しかし、これまで化学量論量の試薬が必要であり、大きな課題であった。本研究ではペンタジエノールを基質として反応条件を徹底的に精査した結果、MS-4A存在下、H8-BINOL, MeMgBr, Me2Znを用いることで、世界初の触媒的ルイス酸テンプレートDiels-Alder反応に成功した。さらに本ルイス酸テンプレート反応を種々の多官能基化環状化合物への合成に応用した。その結果、抗腫瘍天然物イグジクオリドの高効率的な全合成に成功した。",基盤研究(C),小区分33020:有機合成化学関連,有機合成,天然物合成,触媒,Diels-Alder 反応,ルイス酸,Diets-Alder反応,ヘテロDiets-Alder 反応,触媒反応,ルイス酸テンプレート,ヘテロDiels-Alder反応,Diels-Alder反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
