awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05196,国立研究開発法人産業技術総合研究所,加藤 愛,医用材料に吸着する超微量タンパク質の高感度絶対定量法の開発,本研究では医用材料に吸着した超微量タンパク質の絶対量の高感度かつ高精度な定量法を開発するため、「同位体希釈質量分析を利用したアミノ酸分析（IDMS-AAA法）の改良」「汎用的なタンパク質吸着抑制界面の一つである親水性高分子固定界面の固定化法の最適化」「微量タンパク質の吸着量を定量するのに適した評価系の構築」を行った。親水性高分子固定化処理を施したカバーグラスにモデルタンパク質を吸着させた場合、ほぼ期待通りのオーダーで微量の吸着量を定量可能であることが分かったが、絶対値や再現性などの定量性に課題が見られたことから、固定化法や評価系のプロトコールなどを改良し、引き続き研究開発を行う。,基盤研究(C),小区分34020:分析化学関連,タンパク質,吸着,定量,アミノ酸分析,絶対定量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05195,国立研究開発法人産業技術総合研究所,呉 純,グアニンと脱塩基サイトに着目したターゲットリシーケンス法の確立,5-メチルシトシンの脱メチル化は、遺伝子の転写を調節するスイッチである。バーキットリンパ腫細胞の脱メチル化反応の中間体であるグアニン/脱塩基部位を分析するために、まず4-アジドフェニルグリオキサールを用いて脱塩基サイトにあるグアニンとの環化を行った。 続いてアジド-シュタウディンガーライゲーションを用いてDNA断片のビオチンを行った。さらに磁石ビーズによって回収されたDNA断片はPCRによって増幅された。次世代シーケンシングによる分析の結果、リンパ腫細胞のゲノムDNA中に多数のグアニン/脱塩基部位の存在が検出された。,基盤研究(C),小区分34020:分析化学関連,５－ヒドロキシメチルシトシン,メチルシトシン,グアニン塩基,ビオチン,次世代シーケンサー,アジド - シュタウディンガーライゲーション,クリック反応,表面プラズモン共鳴アッセイ,生物発光アッセイ法,グアニン基,グアニン,脱塩基,シトシン,脱メチル化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05194,国立研究開発法人産業技術総合研究所,新澤 英之,高分子鎖の動的変形を検出するレオ・オプティカル近赤外分光イメージング装置,プラスチックの変形時の構造変化を分子レベルで計測するレオ・オプティカル近赤外分光法の開発を推進した。従来のレオ・オプティカル近赤外分光では、引張によって機械変形が進む部位と近赤外光を照射しスペクトル計測を行う箇所が必ずしも一致しないために、測定の再現性の向上が求められていた。本研究では測定対象を局所的に加熱し、変形の起点となる箇所を生じさせることで計測の精度と確度の大幅な向上を達成した。本技術は各種の高分子に対して適用し、優れた機械強度の発現メカニズムの解明へと繋がった。,基盤研究(C),小区分34020:分析化学関連,近赤外分光法,レオロジー,引張試験,二次元相関分光法,高分子,引っ張り試験,近赤外イメージング,ポリマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05193,大阪大学,豊嶋 厚史,新たな核医学治療に用いられる超微量元素アスタチンの新奇な分光分析法の開発,本研究では極微量のアスタチン(At)化合物に適用できる新しいキャビティリングダウン(CRD)分光装置を開発し、揮発性At化合物の性質を明らかにする事が目的である。まずCRDチェンバーを用いて同族元素であるヨウ素の分光実験を行い、信号の観測に成功した。次にAt試料のチェンバー導入法を検討し、テフロンチューブ製導入管ならびに加熱したガラス管で構成した光学キャビティを用いることによってAt化合物を気体分子として効率的に分析部に導入できることを明らかにした。また、At化合物の石英ガラスとテフロンチューブへの吸着特性についての知見を得た。これは医学応用に向けた装置開発等において有用な情報である。,基盤研究(C),小区分34020:分析化学関連,アスタチン,分光分析,乾式分離,揮発性化合物,キャビティリングダウン分光,吸光分析,分光測定,核医学治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05192,国立研究開発法人物質・材料研究機構,冨中 悟史,ナノ物質の未知構造解析手法の研究：二体分布関数を用いた解析アルゴリズムの構築,髪の毛の数百分の一という超微小なサイズのナノマテリアルについて、その機能の本質を知るには原子の配置を理解する必要がある。原子配置を精密に知る手法としてはX線回折法が一般的であるが、従来のバルク材料と違いナノマテリアルでは回折法は本質的な限界があり、構造未知のナノマテリアルの原子配置の解析は限界があった。そこで本研究では、回折法の限界に縛られない二体分布関数に着目し、そのデータから構造情報を取り出すアルゴリズムの研究を行った。主に局所的な対称性の解析と構造の初期構造モデルの推定を行い、最小二乗法やベイズ最適化により原子位置の精密化を行う手法の検討を行った。,基盤研究(C),小区分34020:分析化学関連,ナノマテリアル,構造解析,X線分析,二体分布関数,ナノ物質,未知構造,X線,機械学習,未知構造解析,X線散乱,ナノ材料,X線構造解析,アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05191,国立研究開発法人物質・材料研究機構,吉川 英樹,Ｘ線光電子分光による材料組織と化学状態の自動解析技術の開発,XPSシミュレーターSESSAを使用し、多層膜等の内部構造を持つ試料について、各構造要素の形状、組成、化合物種を多様に変化させて、ビッグデータとしてのXPSスペクトル群を自動計算するスクリプトを制作した。シミュレートされた各XPSスペクトルは、全エネルギー帯でのバックグラウンド成分を含むサーベイスペクトル及び内殻準位スペクトルから構成されており、実験結果を精密に再現するものである。本シミュレーターで得たスペクトル結果と実測結果とを照合して試料内部構造をする推定するデータ駆動型のデータ解析を行うために、シミュレーション結果にも適応可能なスペクトルの数理モデル化手法の開発を行った。,基盤研究(C),小区分34020:分析化学関連,XPS,シミュレーター,数理モデル化,情報量規準,XPSシミュレーター,スパースモデリング,Ⅹ線エネルギー可変XPS,硬Ⅹ線光電子分光,情報量基準,Ｘ線光電子分光,シミュレータ,評価関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05190,公益財団法人豊田理化学研究所,冨宅 喜代一,質量分析機能を備えた気相核磁気共鳴分光装置の開発,気相イオンの一般的な構造解析法の創生を目指して質量分析機能を備えた気相NMR分光装置の開発を進めた。本研究では先行研究で独自に開発したイオンの減速法や速度選別等の冷却法に加え新たに速度分散補償技術を実験とシミュレーション計算を基にして開発し、本NMR法の基礎となる気相イオンの極低温冷却法を確立した。また磁気共鳴検出の要となる周波数掃引と励起法を整備し、試料イオンの発生、冷却過程と同期して動作する磁場励起システムを完成した.これらの技術を総合して気相NMR装置を構築し、初めて気相NMR検出の原理検証実験を試みた。,基盤研究(C),小区分34020:分析化学関連,気相イオン,質量分析,核磁気共鳴,イオンサイクロトロン共鳴,極低温冷却,核磁気共鳴分光,極低温イオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05189,分子科学研究所,上村 洋平,発光検知型走査透過X線顕微分光法の開発と薄膜デバイスのオペランド観測,,基盤研究(C),小区分34020:分析化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05188,崇城大学,齋田 哲也,うつ病バイオマーカーであるエタノールアミンリン酸の酵素免疫測定法の開発研究,本研究では、ベンゾイル化エタノールアミンリン酸（EAP）に対する抗体を用いて、EAPに特異的な競合型酵素免疫測定法（ELISA）を開発することに成功した。このELISAは、ヒト血漿中の0.3μM以下のEAP濃度を測定するのに十分な感度を有していた。血中のEAP濃度は2.0～3.0μMで、うつ病発症時には1.5μMまで低下することが報告されている。それゆえ，本ELISAは，うつ病の診断におけるEAPの定量化に十分な感度を持つと考えられる。さらに、抗EAP抗体は、ベンゾイル化EAPに高い親和性を示した。したがって、本ELISAは、ヒト血漿中におけるEAPの定量法として貴重な新しい分析法となる。,基盤研究(C),小区分34020:分析化学関連,酵素免疫測定法,うつ病,バイオマーカー,エタノールアミンリン酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05187,甲南大学,岩月 聡史,水溶性ホウ素の分離・回収・検出機能を兼ね備えた三元ハイブリッド機能樹脂の開発,本研究では、水溶性ホウ素の分離、回収、検出機能をすべて兼ね備えた高次機能化樹脂である「キレート配位子－陽イオン－センサー三元ハイブリッド機能樹脂」を開発した。本樹脂は、pH10程度において市販樹脂と同等のホウ素捕集能を有し、かつ高濃度の金属イオンが共存しても捕集能は保持された。一方、ホウ素捕集量に応じて樹脂色が変化し、比色検出樹脂として使用可能であった。さらに、ホウ素の吸脱着と比色検出は複数回繰り返すことが可能であった。以上のように、本研究の三元ハイブリッド機能樹脂は、水溶性ホウ素の分離回収技術と検出技術の両方を同時に実現する新たな分離分析技術として有望な樹脂であることが明らかになった。,基盤研究(C),小区分34020:分析化学関連,固相抽出,ホウ素,分離技術,検出技術,樹脂開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
