awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05267,国立研究開発法人産業技術総合研究所,細貝 拓也,オペランド計測技術の新規開発による有機EL発光機構の直接解明,有機ELの駆動中における電荷キャリアおよび励起子のダイナミクスを明らかにするため、電界励起の過渡吸収分光法および二重共鳴和周波発生(SFG)法の装置開発を行った。過渡吸収分光法は試料の作製が期間内に間に合わなかったものの、SFGは三重項-三重項アニヒレーション(TTA)を発光機構のベースとする有機EL素子に適用することで、発光層と電子ブロック層界面での電荷蓄積、およびAl電極から注入された電子の挙動を確認することができた。関連して熱活性型遅延蛍光材料、室温燐光材料、エキサイプレックス材料などの先端光材料の発光機構を過渡吸収分光法を用いて明らかにした。,基盤研究(C),小区分35030:有機機能材料関連,時間分解分光,過渡吸収分光法,和周波分光法,電界励起,有機デバイス,デバイス駆動ダイナミクス,有機EL,励起状態ダイナミクス,電界発光,キャリアダイナミクス,オペランド分光計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05266,沖縄科学技術大学院大学,Qi Yabing,,メタルハライド・ペロブスカイト（PVSK）太陽電池の研究が進められていますが、この太陽電池技術を実用化に向けて前進させるためには、高い太陽エネルギー変換効率、長期安定性を持つスケールアッププロセスの開発が重要です。私たちの研究から得られた主な成果は以下の通りです。(1)ハイブリッド化学蒸着法（HCVD）に適したPVSK太陽電池材料の合成、(2)PVSK太陽電池モジュールの製造、(3)メチルアミンガスの処理。,基盤研究(C),小区分35030:有機機能材料関連,金属ハロゲン化物ペロブスカイト,太陽光発電技術,スケールアップ試験,太陽光パネル,ハイブリッド化学蒸着,稼働寿命,パッシベーション効果,太陽エネルギー,Metal halide perovskite,Photovoltaic technology,Solar module,Up-scaling,Chemical vapor deposit,All-inorganic perovskite,Operational stability,Passivation,Scanning tunneling micro,Solar cell,Chemical vapor depositio,Methylamine-treatment,Stability,Perovskite,Solar Cell,Large Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05265,立命館大学,堤 治,発光団凝集体の秩序構造制御による高効率白色発光材料の創製,液晶の秩序と無秩序の調和をとるために，発光性高分子液晶やフルカラー発光を示すディスコチック液晶性金錯体などを合成し，発光特性と秩序度・凝集構造の相関を考察した。さらに，液晶の特徴である配向性を利用した偏光白色発光材料への展開やキラル液晶の屈折率周期構造を利用した波長可変レーザー発振材料への展開も行った。本研究では，発光性高分子液晶が固体状態で白色発光を示すこと，および，磨砕などの力学刺激により発光色変化を示すことを見いだした。また，発光挙動が単結晶サイズにも依存することを見いだした。,基盤研究(C),小区分35030:有機機能材料関連,発光,液晶,凝集誘起発光,金錯体,結晶,高分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05264,大阪府立大学,藤原 秀紀,複素環を有するTTF誘導体を用いた外場応答型伝導体の開発,"窒素原子が磁性金属原子へ強く配位可能な1,3,4-チアジアゾールやピリジン、ピラジン、ピリミジンなどの複素環を置換した各種TTF誘導体を合成した。また、その各種カチオンラジカル塩を作製し、その結晶構造と伝導性・磁気的性質、特に磁性遷移金属アニオンとの相互作用を明らかにした。また、ジアザキノイド骨格を有する拡張型TTF誘導体を開発し、その構造と光学的、電子的性質を明らかにした。特に、印加電場の違いによって鮮やかな色調変化を示すエレクトロクロミック特性を有することや、窒素原子の導入による蛍光性の発現、凝集誘起発光挙動なども明らかにした。",基盤研究(C),小区分35030:有機機能材料関連,有機伝導体,伝導性,磁性,πーｄ相互作用,TTF,複素環,X線構造解析,光機能性,分子性伝導体,外場応答性,プロトン移動,分子内電子移動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05263,香川大学,磯田 恭佑,イオン伝導部位を有する含窒素型π共役分子による有機混合伝導体の構築,本研究では、電子およびイオン輸送部位を有する電子ーイオン混合伝導体の開発を目的としている。本年度は、合成した化合物を電解合成し、単結晶の合成およびその他の物性評価を行なった。化合物と電解質を含む溶液の電解合成により、深緑色の単結晶が得られた。単結晶X線構造解析より、クラウンエーテル部位におけるNaイオンやKイオンの包摂が確認され、さらにはpi-共役部位内の窒素原子にも金属イオンが配位した架橋型配位高分子であることが分かった。また、使用するpi共役分子の種類と電解質の組み合わせにより配位高分子の構造を制御することが確認された。,基盤研究(C),小区分35030:有機機能材料関連,有機ラジカルアニオン,電子アクセプター,電子輸送,超分子化学,電子ーイオン混合伝導体,電子ーイオン混合伝導,クラウンエーテル,イオン認識,自己組織化,液晶,イオン電子混合伝導体,電子－イオン混合伝導体,N-Heteroacene,π共役分子,ホストゲスト化学,アニオンラジカル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05262,京都工芸繊維大学,山田 重之,階層的超分子形成を利用した電界円偏光発光分子の新規合成法の開拓,本研究課題では，キラルな棒状液晶分子の円盤状超分子化に基づく分子設計を行い，液晶相変化による凝集構造制御を鍵とした電界円偏光発光分子の合成手法の開拓と確立を目的としている。本研究により，加熱と冷却により相転移を引き起こし，液晶状態でらせん状凝集構造を形成するキラル液晶性発光分子を開発できた。またカルボキシ基を導入することで水素結合性のダイマー形成により高発光効率の液晶性発光分子を開発した。さらにキラル側鎖を有する含フッ素トランカルボン酸を開発を検討したが，比較的優れた光学特性を有するものにキラル液晶性の発現には至らなかった。,基盤研究(C),小区分35030:有機機能材料関連,フッ素,液晶,発光,液晶性発光,凝集構造,キラル,非共有結合性相互作用,非共有結合,円偏光発光,電荷輸送,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05261,京都大学,佐藤 徹,高次三重項経由蛍光機構による第4世代有機EL素子の構築,高効率な深青色ELを発現するDABNAと呼ばれる分子の発光機構が、FvHT機構によるものであることを示し、新規なFvHT分子を設計・合成・評価した。また、ホスト分子の振電相互作用解析ならびに蛍光とリン光のスペクトルのシミュレーションを行い、発光分子との組み合わせによる機能発現を解明した。さらに、固体中での励起子生成の過程に着目し、自発的対称性の破れによる電荷分離状態の形成を明らかにするとともに、凝集誘起発光増強がエキシマーの局所的対称性に由来するものであることを明らかにした。また、crude adiabatic近似に基づく内部転換速度定数を計算する理論を構築し、発光性有機ラジカルに適用した。,基盤研究(C),小区分35030:有機機能材料関連,有機EL,発光分子,振電相互作用,振電相互作用密度,輻射遷移,無輻射遷移,熱活性型遅延蛍光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05260,京都大学,中野 義明,多孔質構造を利用したp型、および、n型有機熱電材料の開発,"(EDO-TTF-I)2ClO4について、電気抵抗率、ゼーベック係数、熱伝導率の同時測定を行った。電気抵抗率、ゼーベック係数は、室温から相転移温度の190 K付近までは、半導体的挙動、190 K以下では金属的挙動を示した。一方、熱伝導率は、室温で0.5～1 W K-1 m-1と小さな値を示し、相転移温度で大きな変化はなかった。したがって、本物質の熱伝導率は格子熱導率に支配されている。また、超分子相互作用を活用した新規p型、n型材料の開発を目的とし、EDO-TTF-X2 (X = Br, I)、X2BTBT (X = Br, I)、クアテルチオフェン誘導体、TCNQ誘導体やその錯体を検討した。",基盤研究(C),小区分35030:有機機能材料関連,分子性導体,超分子化学,ハロゲン結合,水素結合,熱電材料,電荷秩序,分子性固体,ヨウ素結合,多孔質,廃熱利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05259,滋賀医科大学,古荘 義雄,イオンー有機構造体（IOF）は金属ー有機構造体（MOF）に代わりうるか,金属ー有機構造体（Metal-Organic Framework; MOF）に代わりうる新しい多孔性３次元有機集積体の構築法の開発を目指し、環境によっては弱い共有結合並みの安定性を有する水素結合性イオン結合を用いたイオンー有機構造体（IOF）の構築を試みた。合成高分子や生体高分子をベースとする様々な超分子集合体の構築について検討した結果、アミジンやグアニジンとカルボン酸やリン酸エステルから形成される水素結合性イオン結合を利用すると、従来のものよりも安定な超分子集合体が得られることが明らかになった。,基盤研究(C),小区分35030:有機機能材料関連,イオン結合,アミジン,カルボン酸,グアニジン,超分子ポリマーゲル,ポリプレックス,イオンー有機構造体,水素結合,動的粘弾性,自己組織化,ビグアナイド,リン酸,ホスホロアミダイト,イオン有機構造体,超分子ポリマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05258,山梨大学,小川 和也,強発光二光子吸収色素の開発と設計原理の確立,カルバゾールの直鎖状分子とそれに対応する環状分子を合成することによって、環形成効果に対する光特性の影響を調査した。本実験は合成と同時に理論計算を行うことによって、今後、理論レベルでの蛍光スペクトルの予測に大きく役立つと考えている。また、一番重要な点はガウシアンで平面環状分子と計算されたものは直鎖状分子と異なり、強い青色発光を示したことである。このことは環形成によって通常もたらせるπ共役系の拡張によるレッドシフトとは異なるアプローチから発光強度の強い波長帯を変えることができることを示唆している。,基盤研究(C),小区分35030:有機機能材料関連,フルオレン,発光,カルバゾール,蛍光色素,色素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
