awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05328,公益財団法人九州先端科学技術研究所,宇田 泰三,認知症治療に向けた２機能型スーパー抗体酵素の開発,本研究はアミロイドベータ (A-beta)およびタウタンパクの両方を分解するヒト型スーパー抗体酵素の取得から始め、次いで、それらの可変領域部分をリンカーで繋げたscFv様分子を遺伝子工学的に作製した。ついでA-betaおよびタウのFRET-抗原を合成し、これらに対する分解活性（ペプチダーゼ活性）を調べた。その結果、このscFv様分子は両抗原を同時に分解することが分かり所期の目的を達成した。さらに、このscFv様分子の95番目に存在するPro95を欠失させる変異を導入したところ、その酵素活性は4-5倍程向上し、かつ、A-betaの凝集を完全に阻止した。これは所期の計画を上回る成果であった,基盤研究(C),小区分37010:生体関連化学,beta-amyloid,Tau protein,catalytic antibody,two functional,スーパー抗体酵素,β-amyloid,Tauタンパク質,認知症,scFv様分子,抗体酵素,アミロイド,タウ蛋白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05327,宇部工業高等専門学校,廣原 志保,セラノスティクスがん医療のためのPET-BNCTデュアル機能性ポルフィリンの開発,本研究は、がんセラノスティクス薬剤の開発として、がん予防、がん診断およびがん治療能を有する様々な色素を内包した高分子ミセルを合成した。フッ素クロリンH2-TFPCを内包した高分子ミセルは、in vitro評価において高いがん診断(PDD)効果と高いがん治療(PDT)効果を示し、がんセラノスティクス薬剤として期待できることが分かった。またsubphthalocyanine内包高分子ミセルは高いPDT効果を示すという問題はあったが、in vitroでのBNCT感受性は確認できた。,基盤研究(C),小区分37010:生体関連化学,セラノスティクス,高分子ミセル,色素,ポルフィリン誘導体,がん診断,がん治療,がんセラノスティクス,機能性色素,高分子ポリマー,色素内包高分子ミセル,水溶性,がん集積性,がん治療効果,セラノスティクスがん医療,PET,BNCT,ポルフィリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05326,久留米大学,佐藤 秀明,生物に必須なポルフィリン環の構築メカニズムの解明：テトラピロールの生成と環化,8種の酵素が進める動物のヘム生合成経路のうち、第3段階で働くヒドロキシメチルビランシンターゼ（HMBS）は、ジピロメタン補因子に4分子の基質を順次縮合して生成物を合成する。本研究では、テトラピロールの構築について理解を深めるため、HMBSの反応機構について構造生物学的手法により検討した。ホロ型および補因子に1~4分子の基質を連結した反応中間体（ES1~ES4）を単離し、そのうちのホロ型とES2、またそれらと基質誘導体との複合体について結晶構造解析に成功した。得られた立体構造からHMBS反応の分子機構を考察した。特にピロール鎖の構築は、単一の基質結合部位での縮合反応の繰り返しで進むと判明した。,基盤研究(C),小区分37010:生体関連化学,ヘム生合成,ポルフィリン生合成,テトラピロール,Ｘ線結晶構造解析,酵素反応機構,結晶構造解析,タンパク質間相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05325,甲南大学,中野 修一,核酸の非構造部位の機能的役割と分子クラウディング効果の解明,細胞内部のクラウディング環境が核酸の非構造部位に与える影響をin vitro実験により検討した。様々な種類の有機化合物あるいはタンパク質が作り出す分子環境における核酸構造の熱力学的安定性を調べた結果、嵩高いカチオン性物質は、DNAやRNAが形成する構造の非構造部位と優先的に結合し、長鎖の一本鎖ループ部位を有する二重鎖と四重鎖を安定化させることを見出した。さらに、ハンマーヘッドリボザイムの触媒活性を向上させることや、グアニン四重鎖の構造変化を引き起こすことも明らかにした。以上の成果から、細胞内部の分子環境では核酸の非構造部位は構造体形成に積極的に関わる可能性が示された。,基盤研究(C),小区分37010:生体関連化学,DNA二重鎖,グアニン四重鎖,ハンマーヘッドリボザイム,一本鎖ループ,塩基性タンパク質,テトラアルキルアンモニウムイオン,ポリアミン,分子クラウディング,シトシン四重鎖,キメラ核酸,アルキルアンモニウム,DNA四重鎖,テトラペンチルアンモニウムイオン,グアニン四重鎖結合タンパク質,DNA四重鎖構造,RGG配列ペプチド,DNAループ,熱安定性,生体ポリアミン,DNA非標準構造,ジアミン化合物,DNA,RNA,構造安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05324,慶應義塾大学,川上 了史,人工球状タンパク質超分子を用いたナノスケール相分離の実現とその応用,人工タンパク質ナノ粒子TIP60は中空構造を有する分子である。TIP60の内部空間を疎水化すれば、内部空間に水に溶けない難溶性分子を水中で分散できるカプセルとして、あるいは、外部表面を疎水化すれば有機溶媒に溶けるカプセルとして利用できるのではないかと考え、研究を進めてきた。その結果、内部空間の疎水化と疎水性分子の内包、水中での分散には成功した。外部表面については、疎水性分子ではなく、両親媒性ポリマーのPEGで修飾すると、アルコール溶媒中に分散ができるところまで確認できた。,基盤研究(C),小区分37010:生体関連化学,ナノ粒子,自己組織化,化学修飾,相分離,タンパク質,光増感剤,タンパク質ナノ粒子,超分子,蛋白質超分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05323,兵庫県立大学,高田 忠雄,DNA構造をテンプレートとしたπ共役分子集積体の構築と光機能材料への応用,DNA内部に分子の結合と反応空間を酵素的に発生させ、光機能性分子を共有結合で位置特異的に導入した人工DNAを合成した。発光色素であるチアゾールオレンジ(TO)を導入したDNAを作製し、隣接塩基配列とTOの分子数によって、発光のon-offと発光波長を制御できることが示された。分子イメージングを可能とする発光性核酸センサーとしての応用が期待される。,基盤研究(C),小区分37010:生体関連化学,DNA,蛍光,酵素反応,自己組織化,テンプレート合成,ペリレンジイミド,ポルフィリン,チアゾールオレンジ,バイオセンサー,化学センサー,機能分子,光電子移動,光デバイス,分子エレクトロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05322,兵庫県立大学,山名 一成,近接場光を利用した超高感度DNAセンサーの開発,DNAの二本鎖形成を利用することで、金ナノ粒子を表面修飾した電極を作製し、近接場光を利用した光電流発生システムを開発した。電極と金ナノ粒子を連結するDNAに間にペリレンジイミド(PDI)を修飾し、プラズモン吸収に対応する光を照射することによって生じる光電気化学応答の観測を行った。金ナノ粒子の存在によって、光電流強度が大幅に増加し、また増強程度がPDIの位置に依存することを見出した。金ナノ粒子による光電流増幅メカニズムは、DNAを利用した光バイオセンサーの発展に有用であると期待される。,基盤研究(C),小区分37010:生体関連化学,DNA,バイオセンサー,光電流,電気化学,医療診断,プラズモニクス,近接場光,分子認識,金属ナノ粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05321,兵庫県立大学,澤井 仁美,ヒトの鉄吸収に関わる膜タンパク質の立体構造を基盤とした生細胞での構造機能相関解析,食物に含まれる鉄イオンは、十二指腸の粘膜上皮細胞の腸管腔側に局在する膜貫通型鉄還元酵素Dcytbにより還元された後、二価金属トランスポーターDMT1によって細胞内に吸収される。本研究では、ヒト由来Dcytbの構造情報を生きている状態の細胞で検証することを目的として機能評価系を構築した。それを用いて、Dcytbの鉄還元反応に重要な領域の同定や鉄イオンの吸収を向上させる食品成分のスクリーニングを行った。その結果、フルクトースやリンゴ酸の添加により、細胞レベルでは鉄イオンの吸収効率が向上することなどを明らかにできた。今後は、これらの化合物の作用機序を分子レベルで詳しく解明する必要がある。,基盤研究(C),小区分37010:生体関連化学,鉄代謝,鉄還元酵素,鉄イオンの吸収,ヒト腸管モデル細胞,ヘム,金属トランスポーター,ヘム酵素,Ｘ線結晶構造解析,構造機能相関,Caco-2-kh細胞,膜タンパク質,構造機能解析,鉄吸収,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05320,鹿児島大学,加藤 太一郎,キラルフリーなホタル生物発光を実現する細胞株の作製とバイオイメージングへの展開,ホタル生物発光ではルシフェリン基質の不斉によって発光活性は著しく異なる。本研究において申請者は、ルシフェリン基質の不斉に関係なくD-体L-体いずれからでも効率よく発光するキラルフリー発光細胞を作製することを目指した研究を行った。この目的を達成するために、ホタル体内におけるD-ルシフェリン生合成経路を模倣したデラセミ化反応を活用することとし、標的としたルシフェラーゼ恒常発現Hela細胞に外来性チオエステラーゼを導入するとともに、内在性の遺伝子のノックダウンすることを試みた。検討の結果、非天然型のL-体からでも微弱ながら発光活性を有する候補細胞株を得ることができた。,基盤研究(C),小区分37010:生体関連化学,ホタル生物発光,ホタルルシフェラーゼ,チオエステラーゼ,立体反転,デラセミ化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05319,九州大学,麻生 真理子,ターンオン蛍光を伴う部位特異的リジン修飾、クロスリンク形成と蛋白質研究への応用,蛋白質の相互作用検出への応用を目的に、標的蛋白質のリジン残基を、周囲の環境をモニターする蛍光基に変換する修飾分子の開発を行った。核酸部を結合したリジン修飾分子を用いて、核酸結合性標的蛋白質のリジン残基の蛍光基への変換に成功した。核酸の結合の有無により、蛍光強度の変化がみられることを確認した。蛍光基の構造修飾を行い、安定性が向上した蛍光分子を得た。また、新規有用蛋白質創出を目指し蛍光と有用な機能を同時に蛋白質に導入する分子の開発を検討した。,基盤研究(C),小区分37010:生体関連化学,リジン修飾,環境応答型蛍光,反応性核酸,ソルバトクロミック蛍光,蛋白質修飾,蛍光,リジン残基,蛋白質,リジン,蛍光修飾,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
