awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05346,和歌山県立医科大学,茂里 康,モリアオガエル泡巣（卵塊）の精密解析：泡立ち機能成分の同定・最適化,本研究課題では、モリアオガエルが産卵時に形成する泡巣の特異的な性質・謎に注目した。そこで質量分析法・次世代シーケンサー等の解析手法を駆使したところ、泡巣中に少なくとも22種類の新規タンパク質が存在し、それらのアミノ酸・遺伝子配列の解読に成功した。相同性検索の結果、22種類のタンパク質は、「受精・抗ストレス・抗炎症関連」、「抗菌・抗ウイルス関連」、「保湿・潤滑・細胞保護・構造体維持関連」に類似・分類できる事が判明した。また還元剤を用いた実験から、泡巣の形成にはジスルフィド結合が重要な働きを担っている事を明らかにした。,基盤研究(C),小区分37020:生物分子化学関連,モリアオガエル,泡巣,タンパク質,ジスルフィド結合,酸化,還元,モリアオアガエル,次世代シーケンサー,質量分析法,プロテオーム解析,エドマン分解,ミトコンドリア,輸卵管,質量分析,トランスクリプトーム解析,LC-MS/MS,RNA,トランスクリプトーム,プロテオーム,泡立ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05345,国立研究開発法人理化学研究所,石渡 明弘,合成糖鎖-タンパク質複合体のNMR手法による酵素基質切断部位解析,本課題『合成糖鎖-タンパク質複合体の NMR 手法による酵素基質切断部位解析』では、a) 酵素基質糖鎖の化学合成 と b) 分析手法を用いた解析、について研究を行った。複雑なアラビナンフラグメント基質の調製、得られた基質遊離状態の構造解析を行い、切断部位特異性などの検証を行なった。NMRによる結合解析手法の検討は、糖プローブ-酵素間の結合の強さが影響してしまって、今回検討した系では評価が困難であると考えているが、NMRによる酵素反応追跡、基質-酵素複合体の結晶構造の構造情報からの結合状態解析、生成物の構造解析などを組み合わせ、新規アラビナン分解酵素群の機能解析を行うことができた。,基盤研究(C),小区分37020:生物分子化学関連,合成糖鎖,酵素,糖鎖-タンパク質複合体,NMR,相互作用解析,有機合成化学,生体分子,構造解析,糖鎖,NMR 相互作用解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05344,神戸学院大学,日高 興士,プロテアーゼを標的とするリムーバブル阻害剤の創製,プロテアーゼ阻害剤はタンパク質分解酵素としての機能解明や様々な疾患の治療薬として広く使用される。しかし、一旦結合した阻害剤はタンパク質変性や希釈を行わないと取り除くことはできないことから、抑制されたプロテアーゼの酵素活性を取り戻すことは困難である。本研究課題では、HIVプロテアーゼ、カテプシンD、トリプシンを標的に各種阻害剤にビオチンを直接的に繋ぐことにより、酵素活性を自在に制御する「リムーバブル阻害剤」を創製した。さらに、リムーバブル阻害剤をアフィニティー精製と組み合わせるHIVや癌の画期的な診断薬や、凝集ペプチドを分解するプロテアーゼ医薬品の開発に繋がる成果を得た。,基盤研究(C),小区分37020:生物分子化学関連,プロテアーゼ,酵素活性,リムーバブル阻害剤,ビオチン,ストレプトアビジン,トリプシン,アミロイドベータ,HIVプロテアーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05343,麻布大学,紙透 伸治,小分子化合物を用いた活性窒素による神経細胞傷害機構の解明,活性窒素種による神経細胞傷害は、アルツハイマー病やパーキンソン病などの神経変性疾患との関連性が知られている。活性窒素種による神経細胞傷害から細胞を保護する小分子化合物を真菌の二次代謝産物中から探索し、新規化合物であるpestalotioquinol Aを発見した。さらに、この化合物は過酸化水素などの活性酸素種に対しては保護効果を示さず、活性窒素種に対して特異的に細胞保護作用を示すことが明らかになり、ユニークな作用機序をもつことが示唆された。,基盤研究(C),小区分37020:生物分子化学関連,神経保護物質,微生物二次代謝産物,活性窒素種,二次代謝産物,神経保護,微生物代謝産物,活性窒素,天然物,神経変性疾患,標的タンパク質,作用機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05342,上智大学,新倉 貴子,アルツハイマー病病態改善ペプチド因子による中枢神経系における抗老化作用機構の解明,アルツハイマー病の病態改善作用を持つペプチド因子ヒューマニンの脳における生理的機能に着目して解析を進めた。マウスにヒューマニンを投与すると、記憶に関与する脳領域である海馬での神経伝達物質の量が一過性に増加した。また、同時に認知機能を促進させることがわかった。また、ヒューマニンが神経細胞に直接作用することで神経伝達物質の放出を促進させることが明らかとなった。,基盤研究(C),小区分37020:生物分子化学関連,ペプチド,生理活性分子,神経伝達物質,認知機能,生物活性分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05341,工学院大学,大野 修,海洋生物由来がん細胞リプログラミング機構調節物質の探索,沖縄県石垣市産シアノバクテリアOkeania sp.より単離した新規キヌレニン産生阻害剤KNP-1の各種NMRスペクトルを解析し、平面構造を決定した。また、KNP-1を構成する各アミノ酸とvalic acid、βアミノ酸を単離し、Marfey法とキラルカラムによる分析により、9か所の不斉点の立体化学を決定し、KNP-1の構造を解明した。,基盤研究(C),小区分37020:生物分子化学関連,リプログラミング,キヌレニン,シアノバクテリア,KNP-1,βアミノ酸,栄養飢餓,グルタミン,panaxcerol B,がん,低栄養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05340,学習院大学,中村 顕,新奇糖転移酵素によるS-結合型糖鎖修飾の構造基盤の解明,タンパク質の糖修飾はリン酸化などと並び重要な共有結合性の化学修飾である。一般的にはアスパラギン残基やセリン・スレオニン残基の側鎖への糖付加が知られているが、近年、システイン残基側鎖チオール基へのS-結合型糖付加が報告された。本研究では、化学的・生物学的安定性の高いS-結合型糖修飾のメカニズムを詳細に解明することを目的として、細菌由来のペプチド性抗生物質生合成酵素であるS-結合型糖転移酵素に着目し、その構造解析を行った。,基盤研究(C),小区分37020:生物分子化学関連,抗生物質,ペプチド,糖転移酵素,構造生物学,結晶構造解析,X線結晶構造解析,糖転移反応,S-結合型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05339,静岡県立大学,吉村 文彦,高密度四級不斉炭素を有する多環式天然物アンドラスチンCの全合成と機能解明,生物活性発現機構の詳細な解明をめざして、四級不斉炭素が密集した天然物アンドラスチンCとブラシリカルジンA-Dの全合成に取り組んだ。シアノ基の特性に着目した反応設計を行い、シアノアニオンの分子内共役付加反応と分子内シアノエン反応を用いる四級不斉炭素の構築法を開発できた。そして、本反応を鍵反応に用いてブラシリカルジンA-Dの網羅的な不斉全合成を達成した。また、アンドラスチンCのAB環およびBCD環部分構造の合成に成功した。,基盤研究(C),小区分37020:生物分子化学関連,アンドラスチン,ブラシリカルジン,全合成,四級不斉炭素,シアノ基,ニトリル,シアノエン反応,ハリコニン,エン反応,N-シリルケテンイミン,塩素化,スルフェニル化,天然物,アンドラスチンC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05338,横浜市立大学,石川 裕一,天然由来シグナル伝達経路阻害物質の活性中核構造の解明,構造の類似した天然有機化合物の活性発現に必要な最小基本構造（活性中核構造）の解明をめざし、Taepeenin DとScopadulciolの合成に取り組んだ。既知の化合物から容易に誘導可能な共通の合成中間体を活用し、ジアセトキシヨードベンゼンを用いた分子内エーテル環化反応やロビンソン環化反応を行うことで、Taepeenin DおよびScopadulciolの、それぞれABC環部分の合成に成功した。,基盤研究(C),小区分37020:生物分子化学関連,テルペノイド,構造活性相関,シグナル伝達経路阻害剤,天然有機化合物,シグナル伝達経路,ケミカルバイオロジー,Taepeenin D,Scopadulciol,シグナル伝達,ヘッジホッグシグナル,Wntシグナル,タエペエニンD,ウィントシグナル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05337,琉球大学,照屋 俊明,沖縄産海洋生物由来の糖取り込み促進活性物質の探索と作用機序の解明,沖縄県糸満市の海岸で採集した海洋ラン藻Okeania sp.からmabuniamideを単離し、その化学構造式を推定した。また、mabuniamideを全合成し、その化学構造式が正しいことを明らかにした。MabunimamideはL6筋管細胞への糖取り込み促進活性と、熱帯熱マラリア原虫3D7に対して抗マラリア活性を示した。また同じく沖縄県糸満市の海岸で採集した海洋ラン藻Caldora penicillataからkomesuamideとodopenicillatamideを単離し、それぞれの化学構造式を明らかにした。得られた化合物はどちらもL6筋管細胞への糖取り込み促進活性を示した。,基盤研究(C),小区分37020:生物分子化学関連,海洋ラン藻,筋管細胞,mabuniamide,komesuamide,odopenicillatamide,海洋シアノバクテリア,L6筋管細胞,リポペプチド,AMP活性化プロテインキナーゼ,L6筋芽細胞,グルコーストランスポータータイプ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
