awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05366,国立研究開発法人理化学研究所,近藤 恭光,ケミカルアレイによる膜結合蛋白質発現細胞を用いたリガンド探索手法の開発,ケミカルアレイは、スライドガラス上に化合物を固定化して、標的蛋白質に結合する化合物をハイスループットスクリーニングする技術として開発した。膜結合蛋白質をサンプル対象とする細胞結合アッセイの基礎的な処理条件を確立するために、ケミカルアレイ法およびSPRイメージング法での種々の条件を検討した。また、並行して、細胞内カルシウムイオン測定法によるスクリーニング条件の確立も行い、受容体の応答を増強する天然化合物の探索を行い、ある植物抽出物に増強効果があることを発見した。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,ケミカルアレイ,膜結合蛋白質,リガンド,ハイスループットスクリーニング,膜受容体,細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05365,徳島文理大学,山本 博文,革新的な海藻養殖を可能にする藻類成長因子サルーシンのケミカルバイオロジー研究,近年，海水温の上昇や水質の変化が引き金となって天然に自生する大型藻類は減少し深刻な問題となっている。このような背景のもと，大型緑藻類に分類されるアオサ藻に対して、その生育を促す効果が確認されたサルーシンに着目し、そのメカニズムを解明するための分子ツール合成を試みた。既に得られている知見を基に，サルーシンのジピコリン酸部位にリンカーとなるアリルメチルエーテルを化学修飾し，種々の機能性分子を担持した。この構造活性相関研究に基づいた分子設計を通じて，磁気ビーズ担持型サルーシンをはじめ，ビオチンおよび光感受性官能基を担持したメチルサルーシン，新規蛍光標識型サルーシンの合成に成功した。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,分子ツール,構造活性相関研究,葉状体形成促進活性,サルーシン,磁気ビーズ,還元的アミノ化反応,ジピコリン酸,緑色蛍光化合物,光親和性プローブ,遊走子,藻類成長促進因子,全合成,ケミカルバイオロジー,構造活性相関,陸上養殖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05364,兵庫医療大学,所 美雪,アフィニティ技術により同定した新規標的分子Rabを制御する抗アレルギー薬の創製,SH-2251はTh2細胞からのIL-5産生を強力に阻害し、in vivoでも有効な低分子化合物だが機序は不明だった。独自アフィニティ樹脂AquaFirmusを用い、特異的結合蛋白質Rab1A、1B、5C、8、11B、35、10、12を同定し、Western Blottingやビアコアにて特異性、親和性(0.28-1.3ｎM)を確認した。タンパクの強発現やノックダウント細胞におけるIL-5産生や化合物の影響への変化を確認したが、明確な結論付けが出来なかった。より強い化合物合成を進める中で、ターゲット探索等で用いたリンカー付加部分も重要であった可能性から、現在新たなターゲットを見いだしつつある。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,アレルギー,低分子化合物,アフィニティ樹脂,Rab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05363,立命館大学,古徳 直之,海洋天然物を基軸とするがん細胞増殖メカニズムの解明と創薬への展開,海洋天然物arenastatin Aの標的タンパク質の一つであるEXD3の機能阻害が、ガン細胞の増殖のみを阻害できることに着目し、本化合物由来のケミカルプローブを用いた選択的ラベル化によってEXD3の詳細な機能評価が可能になると考え、目的の機能を有するプローブの設計に向けた誘導体合成と構造活性相関研究を行なった。その結果、EXD3との結合に関与する部位の特定および細胞毒性発現に必要な立体配座の解明に成功し、有効なプローブの設計につながる重要な知見を得た。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,海洋天然物,ガン細胞増殖メカニズム,作用機序解明,細胞内ラベル化,抗ガン剤,抗がん剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05362,東京薬科大学,藤川 雄太,がん細胞におけるGSTP1の機能解明を目指すGSTP1蛍光プローブ群の創製,本研究では、がんマーカー酵素であるGSTP1を標的とし、特性の異なる蛍光プローブを開発した。既存の蛍光プローブに必要であったプロドラッグ化を行わずとも培養細胞に適用できるプローブPs-TG3を開発し、細胞イメージングに成功した。また、赤橙色GSTP1蛍光プローブであるPs-CFの開発にも成功した。Ps-CFはがんマーカー酵素であるGGTを標的とする緑色蛍光プローブと併用でき、GSTP1とGGT活性の同時検出を可能とする。本結果はGSTP1を含む複数種のがんマーカー酵素の同時検出を可能とすることから、今後微小がん検出やGSTP1のメカニズムを明らかにする上で重要な知見と考えられる。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,蛍光プローブ,GST,グルタチオン,レドックス,GSTP1,ナフタルイミド,GSTP,酵素,蛍光イメージング,光誘起電子移動,薬物代謝酵素,ケミカルバイオロジー,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05361,昭和薬科大学,伊藤 俊将,水素-重水素交換反応を利用した共有結合型リガンドの評価法の開発研究,医薬品はタンパク質に結合しその振る舞いを変えることで薬効を示す。一般的な医薬品と結合相手のタンパク質の結合様式は可逆的であるが，一部の医薬品は共有結合を通して不可逆的な結合特性をもっている。代表的なものにアスピリンやペニシリンなどがあり，重要な薬も少なくない。共有結合性医薬品の開発はスクリーニングの制限のため難しかったが，本研究成果は水素-重水素交換反応を利用したタンパク質のゆらぎの変化に着目することで共有結合性を有する候補化合物の抽出に関する簡易的な手法を提案するものである。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,水素-重水素交換反応,共有結合,医薬品開発,水素重水素交換反応,HDX,共有結合型医薬品開発,FBDD,核内受容体,PPAR,VDR,アルブミン,RXR,共有結合性化合物,コバレントモディファイア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05360,芝浦工業大学,幡野 明彦,チミジンホスホリラーゼ応答型蛍光プローブによる癌細胞特異的イメージング,血管新生は癌細胞の増殖の第一歩であり，この段階を検出できれば早期発見に繋がる。チミジンホスホリラーゼ（ＴＰ）は血管新生因子であり癌細胞の増殖や転移に関わっている。ＴＰ観察は，癌細胞の早期検出マーカーになると考えた。本研究では，血管新生因子であるＴＰの酵素活性に応答する蛍光プローブを開発し，癌細胞の初期進展過程の可視化を行うことを目標とした。まず，ＴＰにより蛍光強度が変化する診断薬として，チミジンに蛍光色素としてダンシル基，消光剤としてダブシル基を共有結合させることを試みた。合成したプローブを用いてＴＰ応答活性を評価したところ，１時間で45％程度の過リン酸分解反応が進行することがわかった。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,チミジンホスホリラーゼ,過リン酸分解反応,蛍光プローブ,癌診断,癌マーカー,有機合成,血管新生因子,ＴＰ応答型癌検出プローブ,蛍光色素,蛍光共鳴エネルギー移動,酵素活性,ピリミジンヌクレオシドホスホリラーゼ,ダンシル基,反応転換率,蛍光団,過リン酸分解,癌細胞,血管新生,蛍光イメージング,癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05359,熊本大学,小橋川 敬博,耐性変異克服へ向けた「キナーゼドメイン間相互作用阻害型」新規キナーゼ阻害剤の創製,受容体型チロシンキナーゼの一種であるFGFR1のキナーゼドメイン間相互作用面に結合するヘリックス-ループ-ヘリックス構造を持つペプチド (HLHペプチド)を作製した。このペプチドがFGFR1のキナーゼドメインに結合すること、FGFR1の自己リン酸化を亢進することを見出した。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,線維芽細胞増殖因子受容体,チロシンキナーゼ,二量体,2量体,阻害ペプチド,阻害剤,ATP結合ポケット,キナーゼドメイン間相互作用,FGFR,自己リン酸化,活性化ループ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05358,九州工業大学,坂本 寛,生体内遊離ヘムの計測と細胞内イメージング,細胞内の遊離ヘムは濃度依存的に異なる生理的機能を示すことから，その定量法の確立が求められている。我々はこれまでにヘムに高い親和性を示すヘムオキシゲナーゼ１（HO-1）を母体として蛍光色素を化学修飾または蛍光タンパク質を融合したヘムセンサーを開発してきた。このセンサーはヘム-HO-1複合体に特有の吸収波長と蛍光タンパク質の蛍光波長との重なりに起因するエネルギー移動による消光を検出原理としている。本研究では，これまでのセンサーを改良するとともにHO-1とシトクロムP450還元酵素との特異的分子間相互作用を利用したFRETヘムセンサーを開発した。また，細胞内ヘムのバイオイメージングも検討した。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,ヘム,センサー,プローブ,FRET,イメージング,酵素,ケミカルバイオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05357,広島大学,石田 敦彦,癌転移の鍵酵素・CaMKPを分子標的とする低毒性癌転移阻害薬創製のための基礎研究,申請者らが発見したCaMキナーゼホスファターゼ（CaMKP、別名 PPM1F/POPX2）は、最近の研究により、がん細胞の浸潤・遊走を制御する鍵酵素であることが明らかになってきた。本酵素の特異的阻害剤の探索研究の一環として、最近、ユニークな阻害様式を示す化合物群を同定した。これらの特異的阻害剤は細胞毒性も低いので、副作用の少ないがん転移阻害剤、あるいはその開発のためのリーディング化合物になることが期待できる。本研究計画では、これらの有用性を示すことにより、がん細胞の完全撲滅ではなく、がんの転移・浸潤を効果的に抑制して、がんと共存するという新しい概念に基づく“制がん剤”の可能性を提示する。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,ホスファターゼ,阻害剤,遊走,乳がん細胞,細胞毒性,CaMキナーゼ,カルボニル化,細胞極性,CaMキナーゼⅠδ,プロテインホスファターゼ,プロテインキナーゼ,細胞遊走,自己リン酸化,CaMキナーゼⅠ,転移浸潤,遊走アッセイ,特異的阻害剤,がん転移・浸潤,構造ー機能層間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05356,大阪大学,樺山 一哉,ウイルス感染細胞モデルにおける脂質ラフト解析,本研究では多様に変異するウイルスに対し、変異対応型センサーセルを構築するために、細胞表面の糖鎖のみを組換え可能なHaloTagを用いた合成糖鎖提示細胞を作製した。この細胞にインフルエンザ表面分子であるヘマグルチニン(HN)を作用させたところ、ヒト型のH1N1および鳥型のH5N1それぞれに対して、特異的糖鎖構造を提示した細胞による結合能の違いを、生細胞イメージングで観察することに成功した。これは固定された支持体ではなく、脂質ラフトのようなパッチ構造を形成しやすい生細胞を用いたことが重要であると考える。今後は使用する細胞の選択や解析条件の至適化により、上記センサーセルの高感度化を目指したい。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,HaloTag,ヘマグルチニン,合成糖鎖,インフルエンザウイルス,シアル酸,生細胞イメージング,膜流動性,脂質ラフト,相分離リポソーム,FRAP解析,ウイルス,糖鎖,蛍光顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05355,大阪大学,村田 亜沙子,小分子で駆動する－１リボソームフレームシフトとタンパク質の輸送局在制御への応用,本研究は，小分子で駆動する－1リボソーマルフレームシフト（－1PRF）を介した，融合タンパク質合成制御ツールの開発を目的とした。－1PRFは，同一mRNA上の読み枠の異なる複数のタンパク質が融合タンパク質として合成される仕組みである。本研究は，－1PRFの誘導に必須のシュードノット構造を小分子NCTn誘導体で誘起することにより，融合タンパク質の合成を制御することを目指した。その実証として，標的タンパク質のシグナル配列を含む領域の翻訳をNCTn依存的に停止させ，細胞内の局在変化を誘導した。また，－1PRF効率を最大化するシュードノット配列を探索した。,基盤研究(C),小区分37030:ケミカルバイオロジー関連,リボソーマルフレームシフト,RNA二次構造,翻訳制御,合成小分子,小分子,RNA２次構造,－１リボソームフレームシフト,タンパク質輸送・局在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
