awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05381,国立研究開発法人農業・食品産業技術総合研究機構,下田 宜司,植物プロテアーゼによるマメ科根粒のエイジング機構の解明,本研究では、マメ科植物と根粒菌の共生器官である根粒の老化の分子メカニズムを明らかにする。そのために申請者らがマメ科変異体の解析から見出した２つの根粒特異的プロテアーゼ（アスパラギン酸プロテアーゼとシステインプロテアーゼ）を、それぞれ窒素固定活性の維持、及び老化誘導の中核因子と位置づけ、それらの機能を解析を行った。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,マメ科植物,根粒菌,共生,老化,プロテアーゼ,根粒共生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05380,国立研究開発法人農業・食品産業技術総合研究機構,林 晋平,コメのヒ素濃度を低下させる新規変異遺伝子の機能解明,土壌中のヒ素はイネの根から吸収されコメに蓄積する。コメのヒ素蓄積を抑える未知の仕組みを解明するため、コメのヒ素濃度が低減したコシヒカリの変異体las1とlas3を解析した。las1の解析により、イネ組織内のヒ素の流れに影響を与える新しいタンパク質の存在を明らかにした。また、las3の解析により、低酸素状態の根で働く代謝酵素アルコールデヒドロゲナーゼ2の活性が失われると、出穂期のヒ素輸送体の働きが抑えられ、コメを含む地上部組織のヒ素濃度が低減することを解明した。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,ヒ素,米,イネ,土壌,変異,変異体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05379,国立研究開発法人国際農林水産業研究センター,永利 友佳理,乾燥ストレス初期に誘導されるリン酸欠乏応答の生理学的意義の解明,水分欠乏は、植物の生育や生存を脅かす最も深刻な環境ストレスである。本研究では、圃場で生じるマイルドな乾燥ストレス応答の理解を目的として、圃場の乾燥ストレスを受けたダイズにおいて見いだした新規知見について、シロイヌナズナを用いて詳細に解析した。経時的な土壌水分変動に対する、地上部のバイオマス量、リン酸含量や植物ホルモン含量の測定およびトランスクリプトーム解析を実施した。その結果、マイルドな乾燥ストレスが進行する際に、リン酸欠乏応答がABA応答に先行して生じることを明らかにした。また、変異体を用いた解析により、乾燥ストレスにおけるリン酸欠乏応答遺伝子発現の生理学的意義に関する知見を得た。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,乾燥ストレス,リン酸欠乏,ABA,圃場,リン酸,リン酸欠乏応答,シロイヌナズナ,ダイズ,RNA-seq,世代促進,栄養欠乏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05378,公益財団法人環境科学技術研究所,海野 佑介,土壌に蓄積するscyllo-イノシトールリン酸の動態に関わる微生物学的要因の解明,イノシトール6リン酸（IP6）は、土壌蓄積有機態リンの主要形態であり、リン利用効率を低下させる主要因の一つである。土壌中においてIP6は、myo-IP6とscyllo-IP6という2つの光学異性体として存在するが、これまでscyllo-IP6の動態に関与する微生物学的要因は明らかになっていなかった。そこで本研究では、scyllo-IP6資化性土壌細菌を単離し、その機能を解析することにより、土壌中における資化性細菌の分布及び分解機序を明らかにした。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,イノシトールリン酸資化性細菌,土壌リン循環,光学異性体,土壌微生物,フィチン酸,根圏イメージング,メタゲノム,メタゲノミクス,イノシトールリン酸,C-11,土壌のリン循環,土壌リン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05377,北里大学,浦口 晋平,根端メリステムを有害元素から防御する分子メカニズムの解析,本研究は，根の発達を制御する根端メリステムに着目し，モデル植物シロイヌナズナを用いて有害元素の根端に対する毒性を解析した。まず，有害元素毒性の表現型解析のための培地条件の最適化を行った。続いて，有機水銀化合物の一種であるフェニル水銀が無機水銀と同様の機序，すなわちファイトケラチン（重金属リガンド）の生合成を誘導・結合によって無毒化されることを明らかにした。ファイトケラチン合成遺伝子AtPCS1は主に根の表皮細胞に発現した。一方，毒性の機序は化学形態によって異なり，根端メリステムの細胞周期・細胞分裂の撹乱，さらに上流のイベントとしてオーキシン恒常性の異常が毒性のターゲットとして示唆された。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,有害金属,根端メリステム,ファイトケラチン,cad1-3,細胞周期,オーキシン,シロイヌナズナ,根端分裂組織,有害元素,DNA損傷,メリステム,細胞型,植物,細胞毒性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05376,宮崎大学,佐伯 雄一,フィリピンの土着ダイズ根粒菌のゲノム多様性と群集構造解析,"熱帯のダイズ根粒菌の多様性を評価する目的で、フィリピン11地点の土壌から根粒菌を分離し、解析を行った。全分離株はBradyrhizobium属根粒菌に分類された。その分布と群集構造に影響する環境因子は湛水であり、土壌理化学性が続いた。結果、非湛水土壌にはB. elkanii が、湛水土壌にはB. diazoefficiens, B. japonicum が優占した。分離株の窒素固定活性を測定した結果、フィリピンの栽培環境で有用根粒菌として期待される根粒菌を見出した。また、塩ストレス下における根粒菌の共生能を検証した結果、Sinorhizobium属根粒菌の塩ストレス下における優占化を示した。",基盤研究(C),小区分38010:植物栄養学および土壌学関連,ダイズ,根粒菌,Bradyrhizobium,Sinorhizobium,群集構造,共生窒素固定,環境傾度,熱帯,フィリピン,塩ストレス,親和性,多様性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05375,岡山大学,江崎 文一,植物のアルミニウム耐性はエピジェネチィック発現制御により、どの様に発動するのか？,,基盤研究(C),小区分38010:植物栄養学および土壌学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05374,京都大学,稲葉 尚子,根粒菌ーマメ科植物共生系における共生生物間の鉄輸送システムの解明,ダイズ根粒の感染細胞内シンビオソーム膜局在鉄輸送体の機能解析のため、CRISPR/Cas9を用いたゲノム編集によるダイズ毛状根形質転換系を確立した。シンビオソーム膜局在GmDMT1欠失変異体を作成し、液体培養により増殖させることができた。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,共生,輸送体,鉄,マメ科植物,シンビオソーム,ミヤコグサ,根粒菌,鉄輸送,根粒,マメ科,NRAMP,ダイズ,毛状根,鉄輸送体,Agrobacterium rhizogenes,共生菌,微量元素,根粒共生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05373,名古屋大学,田畑 亮,鉄欠乏に応答した根－葉－根間の長距離シグナル伝達機構解明,植物は、土壌中の根の一部が局所的な鉄欠乏におちいったとき、周りに十分な鉄が存在する根にその情報を伝え、鉄吸収を相補的に促進させることで、個体全体の鉄含量を一定に保つ巧みなシステムを持つ。しかしながら、その器官間コミュニケーションを制御する分子実態はこれまで明らかにされていなかった。本研究では、不均一な土壌環境を模倣したSplit-root培養法を用いた時系列トランスクリプトーム解析から、葉から根へ移動して鉄吸収を活性化する器官間移動性の候補分子としてIRON MAN（IMA/FEP）を同定した。接木実験から、IMAは葉で発現誘導されることで、根の鉄吸収を促進していることが明らかになった。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,植物,シロイヌナズナ,鉄欠乏応答,器官間シグナル伝達,環境ストレス応答,長距離シグナル,IMAペプチド,クマリン合成,ペプチド,システインリッチペプチド,植物栄養学,土壌環境ストレス,無機栄養吸収,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05372,名古屋大学,渡邉 健史,水田土壌における微好気性鉄酸化細菌の鉄酸化特性および群集動態の解析,本研究では水田のGallionellaceae科の微好気性鉄酸化細菌を対象に、鉄酸化細菌の生育とともに形成した鉄酸化物の特徴と、土壌中での微好気性鉄酸化細菌群集の動態を解析した。分離菌株を対象とした解析により、微好気性鉄酸化細菌はフェリハイドライトを主体とした鉄酸化物を形成すること、また、菌株によっては樹枝状の構造物を形成させることを示した。また、土壌中での群集動態の解析により、微好気性鉄酸化細菌群集は、土壌中での鉄の酸化還元状態の変化と対応して変化することを明らかにし、Gallionellaceae科鉄酸化細菌が、水田土壌の鉄酸化過程に関わっていることを示唆する結果を得た。,基盤研究(C),小区分38010:植物栄養学および土壌学関連,水田,鉄,鉄酸化細菌,鉄酸化,水田土壌,群集構造解析,鉄水酸化物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
