awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05608,国立研究開発法人農業・食品産業技術総合研究機構,提箸 祥幸,イネ幼苗期の順化型低温耐性メカニズムの解明,熱帯起源の植物であるイネは、低温順化機構を持たないと考えられてきたが、イネが低温順化により高レベルの低温耐性（順化型低温耐性）を獲得することを確認し、その低温耐性に関与する低温順化応答の候補を複数明らかにしている。本研究は、これまで詳細に解析されていなかった熱帯起源のイネの順化型低温耐性に焦点を当て、ジャポニカイネとインディカイネの両品種間に存在する順化型低温耐性の違いをもたらす分子機構を明らかにするとともに、それらの順化型低温耐性の差異に関与する遺伝子領域を明らかにすることを目的とした。,基盤研究(C),小区分39020:作物生産科学関連,イネ,幼苗期,順化型低温耐性,インディカ,ジャポニカ,低温順化,低温ストレス耐性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05607,国立研究開発法人農業・食品産業技術総合研究機構,西本 完,イネ科牧草に特有なオリゴ糖ロリオースの生合成経路及び代謝機構に関する研究,本研究は、イネ科牧草であるライグラス類に特異的に存在するロリオースと呼ばれるオリゴ糖を対象としたものである。はじめに、イタリアンライグラス種子からロリオース標準品をグラムスケールで調製することに成功した。続いて、ロリオースがイネ科植物の中でもLolium属およびFestuca属に限定的に存在していることを確認した。さらに、種子中では登熟の進行に合わせて含有量が増大することを突き止めるとともに、発芽過程においては分解されることを見出した。これらの成果により、ロリオースの生合成・代謝機構の概要が明らかとなった。,基盤研究(C),小区分39020:作物生産科学関連,ロリオース,ライグラス,loliose,Lolium,Loliose,イネ科牧草,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05606,国立研究開発法人農業・食品産業技術総合研究機構,鈴木 達郎,ソバ野生種より見出した穂発芽耐性極強系統の難穂発芽メカニズム推定に関する研究,応募者は穂発芽抵抗性が強いとされるソバ野生種の中に穂発芽抵抗性が極めて強い系統があることを発見した。通常の難穂発芽系統は殻をむくと発芽するがこの系統は殻をむいても発芽しないことから新規の穂発芽抵抗性を有する可能性がある。,基盤研究(C),小区分39020:作物生産科学関連,ソバ,穂発芽,メカニズム,品種開発,遺伝子発現,休眠,野生種,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05605,国立研究開発法人農業・食品産業技術総合研究機構,黒田 昌治,窒素追肥に応答するアミラーゼ遺伝子群の機能解明と育種素材利用,"窒素追肥、それに応答して発現が上昇する3つのアミラーゼ遺伝子（Amy3E, BAMY3、BAMY5）、デンプン構造形成の3者の関係性解明を目指した。その結果、追肥によってデンプンの鎖長分布が変化することを明らかにしたが、デンプン粒の外観構造に変化は見られなかった。機能検証に向けた遺伝子改変系統として、(1)ゲノム編集により上記遺伝子を多重破壊した系統、(2)胚乳特異的にBAMY3、BAMY5を過剰発現する系統、(3)9つのBAMY遺伝子のプロモーター領域とGUSを融合させて遺伝子導入した系統、を作出した。これらの系統では、コメの外観に顕著な変化は見られなかった。",基盤研究(C),小区分39020:作物生産科学関連,コメ,品質,窒素肥料,アミラーゼ,デンプン,遺伝子発現,ゲノム編集,イネ,窒素追肥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05604,国立研究開発法人農業・食品産業技術総合研究機構,中田 克,オオムギの高度耐雪性とフルクタン含有量及びフルクタン関連遺伝子多型の関係解明,国内オオムギ約100 品種・系統の5つのフルクタン代謝酵素遺伝子には，それぞれ6 から10 の遺伝子型が存在しており，それらの遺伝子型の組み合わせによりフルクタン含量に差が見られた．フルクタン含量と耐雪性には高い相関があり，越冬前の茎葉のフルクタン含量が高いほど耐雪性に優れていた．特に耐雪性に優れる品種・系統群は特徴的な遺伝子型の6-SFT遺伝子を有しており，また，1-FEH の遺伝子型により耐雪性が高い・中程度・低い品種・系統群に分けられた．耐雪性が最も高い品種・系統群に特徴的な6-SFT の遺伝子型，および1-FEH の各遺伝子型を識別するdCAPS マーカーを開発した．,基盤研究(C),小区分39020:作物生産科学関連,オオムギ,フルクタン,越冬性,DNAマーカー,遺伝子型,耐雪性,遺伝子多型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05603,近畿大学,山根 浩二,塩ストレス下におけるオルガネラの細胞内三次元配置変化と耐塩性との関連性の解明,異なる耐塩性を有するPokkaliと日本晴を用い，塩ストレス下における葉緑体 (Chl)，ミトコンドリア (Mit)，ペルオキシソーム (Per)，それぞれのオルガネラ間の膜接触と耐塩性との関連性を調べた．品種によらず，膜接触面積は塩ストレス下において有意に増加していたが，Mitの形と大きさに品種間差があった．塩処理区におけるPokkaliのMitは，体積と表面積が有意に増加し，大きく伸び広がった一つのMitがChlやPerとの接触面積を増加させていた．このことから，塩ストレス下におけるMitの形状と，それに関連したオルガネラ間の協調強化が耐塩性に重要であることが示唆された．,基盤研究(C),小区分39020:作物生産科学関連,イネ,三次元再構築,塩ストレス,葉緑体,ミトコンドリア,ペルオキシソーム,電子顕微鏡,3次元構造,オルガネラ,3次元再構築,立体像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05602,名城大学,平野 達也,イネの稈や葉鞘における出穂後のデンプン分解に係わる遺伝子の機能解析,イネの稈や葉鞘などの茎部に出穂期までに蓄積したデンプンは、出穂後に分解され、コメの登熟に必要な炭水化物の一部として利用される。β-アミラーゼをコードするOsBAM2とOsBAM5が同時に発現抑制された系統では、稈や葉鞘のデンプン含量が出穂期以降に一時的に大きく増加した。また、インド型多収品種タカナリでは、α－アミラーゼをコードするRAmy2Aの発現抑制により出穂後の葉鞘におけるデンプン含量の低下が大きく遅れ、さらに登熟歩合も有意に低下した。以上のことから、これら遺伝子は出穂後の稈や葉鞘におけるデンプン分解において重要な役割を担っていると考えられる。,基盤研究(C),小区分39020:作物生産科学関連,イネ,稈と葉鞘,デンプン分解,非構造性炭水化物,α－アミラーゼ,β－アミラーゼ,葉鞘,α-アミラーゼ,β-アミラーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05601,日本大学,磯部 勝孝,ダイズの莢先熟発生メカニズムの解明とモデル式の構築,ダイズは播種期によって莢先熟の発生状況が異なるが、それは生育後期の環境条件の違いが影響していると考えられている。一般的に7月播種に比べ6月播種は莢先熟の発生が著しい。しかし、今回の研究では7月播きではダイズの莢先熟の発生はR4期以降の高温によって促進された。一方、6月播きでは莢先熟の発生はR4期の低温によって抑制された。また、6月に播種して生育後期に遮光をしても莢先熟の発生は抑制されることはなかった。このように生育後期の環境条件を変化させると莢先熟の発生状況は変化するが、それは木部液で地上部に輸送されるサイトカイニン量が大きく影響していると考えられた。,基盤研究(C),小区分39020:作物生産科学関連,ダイズ,莢先熟,サイトカイニン,生育後期,気温,光条件,環境条件,木部液,環境変化,播種期,モデル式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05600,東海大学,松浦 朝奈,低酸素条件下における雑穀の冠根の酸素獲得機構の解明,アワ，コルネ，テフ，およびヒエを用いて，不定根の酸素獲得機構と個体の成長との関係を調べた。低酸素耐性2種（テフとヒエ）の根の成長、葉と茎の窒素含有率、および植物あたりのナトリウム含有量は、低酸素処理によって変化しなかった。一方、低酸素感受性２種（コルネとアワ）では、根の成長、葉と茎の窒素含有率が減少し、植物全体のナトリウム含有率が増加した。低酸素耐性２種の不定根の中心柱の面積の割合（酸素消費）は、低酸素感受性２種よりも小さく、恒常的に破生通気組織が発達（酸素供給）した。一方，ROLバリア（酸素漏出防止）を構成すると考えられているスベリンやリグニンには明らかな種間差異は認められなかった．,基盤研究(C),小区分39020:作物生産科学関連,雑穀,種間差異,スベリン,成長,低酸素耐性,破生通気組織,不定根,リグニン,耐湿性,根毛,養水分吸収,低酸素,通気組織,millet,grain yield,hypoxic stress,aerenchyma,冠根,酸素濃度,ナトリウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05599,大阪府立大学,松村 篤,ダイズの低リン耐性を向上する生理学的機序：生育相別のリン獲得・利用機構の基盤構築,多くの研究者が共通して利用できるダイズコアコレクションを用いてダイズのリン栄養に関する情報を集積することを目的とした。本研究では、ダイズのリン獲得に関与する根系構造の変化、ダイズのリン吸収を促進するアーバスキュラー菌根菌との共生、難溶性リンの利用能などの諸形質について世界のダイズコアコレクション内での品種間差異を明らかにし、各形質に関して有望と思われる品種を特定した。,基盤研究(C),小区分39020:作物生産科学関連,ダイズ,遺伝資源,リン吸収,根系構造,アーバスキュラー菌根菌,難溶性リン,低リン耐性,難溶性無機態リン,ダイズコアコレクション,リン,菌根菌,有機酸,根系発達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
