awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05666,岡山県農林水産総合センター生物科学研究所,向原 隆文,ナス近縁野生種が有する青枯病抵抗性遺伝子の同定,青枯病はナス科作物の重要病害であるにも関わらず、抵抗性遺伝子に関する知見が少ない。ナス属植物が持つ青枯病抵抗性遺伝子の同定を目的に世界各地から収集されたナス系統を探索し、強度青枯病抵抗性を持つナスNo. 98系統を見出した。No. 98系統はナス青枯病菌（phylotype I）の特定のAvrエフェクターを認識し、強度抵抗性を発揮していた。また、ナスが認識するジャガイモ青枯病菌（phylotype IV）Avrエフェクターの同定にも成功した。交配解析から、本研究で見出した２つの青枯病抵抗性遺伝子はいずれも優性1遺伝子支配であり、NBS-LRR抵抗性タンパク質遺伝子である可能性が強く示唆された。,基盤研究(C),小区分39040:植物保護科学関連,青枯病,抵抗性,エフェクター,NBS-LRR抵抗性タンパク質,ナス,抵抗性遺伝子,Avr,トルバム・ビガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05665,国立研究開発法人農業・食品産業技術総合研究機構,高橋 章,イネにおけるETI誘導制御に必須なシグナル因子の同定と機能解析,植物の真性抵抗性遺伝子（R遺伝子）の活性化により誘導されるETI（effector-triggered immunity）の発動制御因子の特定及びその分子機構の解明を目指し、イネいもち病菌に対するETIの誘導が不完全なイネ変異体3系統について、原因遺伝子の単離を進めた。本研究期間中に、3つの変異体の原因遺伝子が特定され、そのうち2つは同一遺伝子の異なるアリル変異であることが明らかとなった。これらの遺伝子は、いもち病菌に対するR遺伝子“Pish”によるETI制御に関与しており、Pishと直接的な相互作用をする可能性があるタンパク質をコードしていることが示唆された。,基盤研究(C),小区分39040:植物保護科学関連,イネ,抵抗性遺伝子,ETI,変異体,いもち病菌,Rタンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05664,国立研究開発法人農業・食品産業技術総合研究機構,西澤 洋子,いもち病菌の病原力因子Rbf1の分子機能解明を目指した標的因子の探索,イネいもち病菌が感染時特異的に分泌するRbf1タンパク質の作用機構の解明を目指し、その作用部位を解析した。Rbf1をイネの細胞間隙あるいは細胞内に発現しうる形質転換イネを作製し、その葉いもち病抵抗性を評価した。その結果、分泌シグナル付きのRBF1遺伝子を導入したイネでは抵抗性が有意に低下したことから、Rbf1がイネ細胞間隙で機能することが示唆された,基盤研究(C),小区分39040:植物保護科学関連,いもち病菌,イネ,病原性,イネ-いもち病菌相互作用,病原力遺伝子,RBF1,いもち病,感染機構,病原力因子,エフェクター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05663,国立研究開発法人農業・食品産業技術総合研究機構,田淵 宏朗,サツマイモネコブセンチュウのレース判別用DNAマーカーの開発,サツマイモネコブセンチュウ(以下線虫と略)のレース決定は、サツマイモへの接種法により行われているため時間と労力がかかる。そこで本研究では短時間で簡易にレース判別が可能なDNAマーカーの開発を目指した。そのために、新規に線虫系統を確立して接種法によりレースを決定した。また、既存の系統も用いて40系統のDNA多型解析を行ったが、レース特異的な多型部の同定はできなかった。しかし、系統数が1増える毎にレース特異的なDNA多型部位の候補数を約1/2に減らせるため、各レースにつき約20系統の解析を行えば多型部位を数カ所程度まで絞り込める可能性があることが分かった。,基盤研究(C),小区分39040:植物保護科学関連,サツマイモネコブセンチュウ,レース,DNAマーカー,サツマイモ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05662,国立研究開発法人農業・食品産業技術総合研究機構,吉田 重信,植物病害抑制効果を持つ微生物の複合種バイオフィルム形成による発病抑制効果の安定化,複合種バイオフィルム（BF）形成による新たな生物的防除法開発の基盤情報を得ることを目的に、トマト灰色かび病の発病抑制能を持つ細菌株Pseudomonas sp. 62AP4株に対して安定的に複合種BFを形成する細菌株を探索した。その結果、62AP4株との共培養によりBF形成を促進する細菌株62HD-25株をトマト生息細菌群の中から見出し、これら両菌株によるBF中の62AP4株の局在や定着様式およびBFの最適形成条件を明らかにした。さらに、両菌株を共接種したトマト葉では灰色かび病の発病が抑制され、その抑制活性はBF形成による灰色かび病菌の分生子発芽抑制活性に基づく可能性を明らかにした。,基盤研究(C),小区分39040:植物保護科学関連,バイオフィルム,バイオコントロール,複合種,生物的防除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05661,公益財団法人岩手生物工学研究センター,藤崎 恒喜,難防除植物RNAウイルスの伝搬機構の解明と感染系の確立,リンドウこぶ症は新種のリンドウこぶ症関連ウイルス（GKaV）による病害と考えられるが、感染実験系がなくGKaVの伝搬機構も不明である。土壌細菌からGKaVのシグナルが検出されたため、その細菌をリンドウに接種したが、GKaVを感染させることには成功しておらず、GKaV感染への関与は明らかではない。一方、本課題で弱症状リンドウ株等が得られ、今後の解析で有用な材料となると考えられる。この他、本課題を介して偶然見出されたシクテウォーターボーンウイルス(SWBV) の低温依存的増殖特性を利用して高精度にウイルス感染を制御可能な新規の植物―ウイルス間相互作用実験系を確立することができた。,基盤研究(C),小区分39040:植物保護科学関連,RNAウイルス,リンドウこぶ症,土壌伝搬,GKaV,ウイルス伝搬,土壌細菌,メタゲノム,弱毒株,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05660,公益財団法人岩手生物工学研究センター,舘田 知佳,病原菌由来因子による宿主気孔形成制御機構の解明,気孔侵入型のリンドウ葉枯病菌（Septoria gentianae）による宿主植物の気孔密度制御を介した感受性誘導機構を解明することを目的として、感染葉で機能するリンドウ葉枯病菌由来の病原性因子の探索と機能解析を行った。リンドウ葉枯病菌のゲノム解析および同菌感染時のトランスクリプトーム解析から、Candidate secreted effector proteins（CSEPs）として146候補因子を同定し、そのうち少なくともCSEP49がリンドウ葉の気孔形成を促進することを明らかにした。,基盤研究(C),小区分39040:植物保護科学関連,感受性誘導,糸状菌,リンドウ,気孔侵入型病原体,リンドウ葉枯病菌,気孔密度,病害抵抗性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05659,北九州工業高等専門学校,牧野 伸一,ウイロイド1本鎖環状RNAの合成手法の確立と分子化学的研究,残念ながら、まだ形になる実績は上がっていない。,基盤研究(C),小区分39040:植物保護科学関連,RNA,ウイロイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05658,龍谷大学,奥野 哲郎,静菌的殺菌剤フェリムゾンの作用機構解明に基づく耐性菌の出ない薬剤ターゲットの提示,耐性菌の出現回避は、農業における病害管理にとって重要である。殺菌剤フェリムゾンは、いもち病を含むイネの病害防除に使用されてきたが、いまだに薬剤耐性株の出現は報告されていない。本研究では、フェリムゾン感受性に関わる遺伝子として銅輸送系のICT1遺伝子とCCC2I遺伝子をウリ類炭疽病菌とイネいもち菌において同定した。分子生物学的及細胞学的分析により、ICT1とCCC2からなる銅輸送系の機能障害はフェリムゾン感受性低下につながる一方、付着器のメラニン化低下による病原性喪失にもつながることが分かった。すなわち、フェリムゾンに対する感受性と病原性発現との間にトレードオフの関係があることが分かった。,基盤研究(C),小区分39040:植物保護科学関連,殺菌剤,フェリムゾンゾン,作用機作,銅トランスポーター,いもち病菌,ウリ類炭疽病菌,静菌作用,耐性菌問題,フェリムゾン,薬剤耐性,ウリ類炭疽病,メラニン化,イネいもち病菌,静菌的防除剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05657,東京農業大学,齋藤 宏昌,イネいもち病抵抗性NLRタンパク質による病原菌エフェクター認識の分子機構の解明,いもち病を防除するアプローチとして、細胞内免疫受容体をコードするイネ抵抗性遺伝子を用いた抵抗性品種の利用が実施されている。植物のNLRsに組み込まれている特殊な領域（ID）は、病原体から分泌されたエフェクターを直接認識し、免疫反応を誘導する。イネの免疫受容体ペアであるPik-1/Pik-2とRGA5/RGA4はいずれもIDとしてHMA領域を持ち、この領域でいもち病菌エフェクターAVR-PikとAVR-Piaをそれぞれ認識する。本研究では、Pikp-HMA領域がAVR-Piaと結合し、Pikp-1/Pikp-2はミスマッチのAVR-Piaに対して免疫反応を誘導することを明らかにした。,基盤研究(C),小区分39040:植物保護科学関連,イネいもち病,細胞内免疫受容体,抵抗性遺伝子,NLRs,エフェクター,ID,HMA,AVR,エフェクタータンパク質,NLR受容体,免疫反応,イネいもち病菌,AVR-Pik,Pik-1,HMA領域,OsHIPP19,NLRペア,Nicotiana benthamiana,過敏感細胞死,植物免疫反応,P-loop,MHDモチーフ,Magnaporthe oryzae,タンパク質－タンパク質相互作用,NLR,integrated domain,植物免疫,宿主－病原体相互作用,NLRタンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,
