awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05682,国立研究開発法人農業・食品産業技術総合研究機構,上地 奈美,ハリオタマバエ類の複雑な寄主植物利用の実態解明および共生菌との関係の検証,様々な植物にゴール(虫こぶ）を形成するタマバエ類のうち、多くの植食性タマバエ類は、特定の植物を寄主として利用する。一方で、ハリオタマバエ属は複数の植物を利用する。そこで、このハリオタマバエ属に着目し、タマバエの中では珍しい幅広い植物の利用の実態および、それを伴う生活史の解明を試みた。とくに、共生糸状菌の存在に着目し、共生菌の分離や同定も試みた。その結果、栽培ブドウの果実に寄生するブドウミタマバエが、関東以北に広く分布する可能性を示すことができた。また、アオキミタマバエのゴールから共生糸状菌は、これまで日本で記録されていた同属種とは異なる新種である可能性が示唆された。,基盤研究(C),小区分39050:昆虫科学関連,タマバエ科,ハリオタマバエ,ゴール,生活史,共生菌,ゴール形成性タマバエ,分布,寄主植物,ブドウミタマバエ,grape berry gall midge,ハリオタマバエ属,Asphondylia,Botryosphaeria,ノブドウミタマバエ,タマバエ,ブドウ,新規発生,バーコーディング領域,ゴール形成性,寄主交代,共生糸状菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05681,国立研究開発法人農業・食品産業技術総合研究機構,安河内 祐二,産卵選好性に関わるアワノメイガ属嗅覚受容体遺伝子の探索,チョウ目昆虫には農作物を食害する最大のグループであるが、産卵する成虫がどのように食草を見つけているのかは、明らかではない。嗅覚をつかさどる全遺伝子を遺伝的に近縁だが食草が異なるグループ間で網羅的に比較することにより、食草を検知することに関わる遺伝子の同定を目指した。具体的には、アワノメイガ属を対象にして、次世代シーケンサーを用いた解析を食性の異なる96個体、53遺伝子について行い、候補となる遺伝子を数個見出した。あわせて、これらの遺伝子の染色体上の位置も明らかにした。,基盤研究(C),小区分39050:昆虫科学関連,嗅覚受容体,アワノメイガ,食性,アンプリコンシーケンシング,FISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05680,南九州大学,新谷 喜紀,細胞質因子起因の性比異常現象：２種のチョウ目昆虫における原因とその機構の追求,農業害虫であるガ類のハスモンヨトウにおける雌に偏った性比異常系統を発見して累代飼育をしてきた．本種の性比異常のメカニズムはオス殺しであり，その原因因子は母系伝播性のウイル ス(SlSRVと命名)であることを発見した．SlSRVのゲノムにコードされるRNAポリメラーゼのアミノ酸配列を用いて系統解析を行ったところ，SlSRVはTombusviridaeやCarmotetraviridaeに近縁であることが分かった．本ガは毎年日本に飛来するものの日本本土での越冬は稀だとされる．このような生活史の本種において，野外でこのウイルスの感染虫の再捕獲を試みたところ，1～2％の個体からSlSRVが検出された．,基盤研究(C),小区分39050:昆虫科学関連,ガ類,ハスモンヨトウ,RNAウイルス,性比異常,オス殺し,ウイルス,RNA-seq解析,原因因子,チョウ目,微生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05679,日本大学,西村 知良,アリを共通の捕食者とするアリガタバチと寄主カツオブシムシの３者系共進化の解明,本研究では寄生蜂キアシアリガタバチが寄主ヒメマルカツオブシムシ幼虫の有害な毛をアリなどの捕食者への防衛戦略として利用するという寄主―寄生蜂―アリの３者系の仮説を調べた。まずハチを誘引する寄主の物質を定性的に確認したが特定できなかった。寄主の毛のアリへの有害性とハチへの無害性を行動実験で明らかにした。有害性は毛の絡みつきによることと、その毛の特徴的な微細構造を電子顕微鏡で確認した。またハチが毛に対応する生理学的コストは少なかった。系統解析のためにハチの遺伝子の一部を明らかにした。このように、この３者系では特にハチが寄主に対して特徴的な性質を持つことが分かったが、仮説全体の立証は今後の課題である。,基盤研究(C),小区分39050:昆虫科学関連,生理学的コスト,誘引物質,微細構造,寄生行動,生涯産卵数,時間的コスト,ベイトトラップ,共進化,３者系,アリガタバチ,カツオブシムシ,アリ,行動生態学,寄生蜂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05678,首都大学東京,朝野 維起,昆虫外骨格に硬さをもたらす仕組みの生物学的分子基盤,昆虫の外骨格はキチン繊維及びキチン結合タンパク質から構成される非細胞性マトリクスである。マルチ銅オキシデース２と呼ばれる、昆虫独自に進化した酸化酵素により、これら外骨格成分が架橋されて連結し高分子化することが、硬化メカニズムの要だと考えられていた。本研究では、架橋される側のタンパク質性因子を同定し、その役割を明らかにすることを目的とした。大型昆虫から得られた配列情報から、これまでほとんど注目されていなかった成分を見出した。また、マルチ銅オキシデース２による反応以外に、外骨格硬化に関わる反応系の存在を示唆する結果も得られた。その他、昆虫進化と外骨格形成のしくみとの関係について考察を行った。,基盤研究(C),小区分39050:昆虫科学関連,外骨格,進化,硬化反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05677,佐賀大学,龍田 勝輔,広食性昆虫（ハスモンヨトウ）の味覚受容システムの解明,広食性のハスモンヨトウ幼虫は花卉・蔬菜類の農作物を加害する重要害虫であるにも関わらず、その摂食行動を制御する味覚・嗅覚等の化学情報受容メカニズムは未解明である。,基盤研究(C),小区分39050:昆虫科学関連,広食性昆虫,味覚,塩受容,摂食行動,ハスモンヨトウ,昆虫,電気生理実験,塩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05676,佐賀大学,吉賀 豊司,線虫による細胞性免疫回避メカニズムの解明,線虫による昆虫の細胞性免疫回避機構について検討した。昆虫の血球活性化を抑制する因子について分離を行い、脂質様物質を部分精製した。同様の物質は昆虫病原性線虫だけでなく、複数の自活性線虫でも検出され、この抑制因子は様々な線虫に存在することが示唆された。また、非寄生性線虫のC. elegansはハチノスツズリガ幼虫の体内で包囲化されないことに関して、包囲される変異体のスクリーニングを行なったが、変異体は得られなかった。さらに、C. elegansをハチノスツヅリガ幼虫に注入したところ血球数が減少する現象について検討したところ、線虫が血球を摂食しているためであることが明らかとなった。,基盤研究(C),小区分39050:昆虫科学関連,自然免疫,昆虫,線虫,血球,包囲反応,細胞性免疫,spreading,生体防御,免疫,寄生虫,包囲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05675,岡山大学,早川 徹,新規な殺蚊Cry46Abトキシンの作用機構とトキシン間シナジー効果の解明,Cry46Abは既知の３ドメイン型Cryトキシンと同様にカチオン選択的な小孔を形成することが判明した。また膜貫入領域を標的とする変異導入解析の結果から、トキシン小孔のカチオン選択性と殺虫活性の強さの間に相関関係がみられた。一方、優先的に透過させるカチオンの順位はトキシン毎に異なることが判明した。カチオンの細胞内流入は浸透圧ショックのほかアポトーシスなどを誘導する可能性があり、この違いが「殺虫活性の助長」や「抵抗性昆虫の出現抑制」を引き出す要因になっている可能性がある。この疑問の答えを得るにはトキシンの膜貫入領域を標的とする変異導入解析を進める必要がある。,基盤研究(C),小区分39050:昆虫科学関連,Bacillus thuringiensis,Mosquitocidal Cry toxin,Cry46Ab,Mosquito larvae,Channel-pores,Cry4Aa,Cry4Ba,Cry11Aa,Cry11Ba,Channel解析,Cry46Ab toxin,single-channel解析,Mosquitocidal toxin,Synergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05674,金沢大学,岩見 雅史,前胸腺刺激ホルモン細胞の神経活動による昆虫発生タイミング制御機構の解明,昆虫の幼虫は各齢において十分なサイズに達してから次の齢へと脱皮・変態する。発生タイミングが内外の環境によって適応的に制御される機構の全貌は未だに不明のままである。本研究は，「なぜ昆虫の幼虫は適切なタイミングで脱皮・変態するのか？」という疑問をPTTH細胞の生理特性に着目して解くことを目的とした。本研究では，電気生理学的手法によるPTTH細胞の神経活動の解析・PTTH細胞の神経活動を制御するシグナル因子の解析・PDFおよびPDF受容体のノックアウト系統の作出と解析・PTTH細胞の神経活動制御による発生タイミング制御の検討を行い，上記の疑問の一端を解き明かした。,基盤研究(C),小区分39050:昆虫科学関連,PTTH,エクジソン,神経活動,PDF,ペプチド,脱皮,変態,発生タイミング,カイコガ,発生・分化,脱皮・変態,ホルモン,神経分泌,神経科学,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05673,富山大学,土田 努,コナジラミ類の複合共生系に見られる”菌細胞内棲み分け”の多様性と形成機構の解析,タバココナジラミの菌細胞内には、宿主の生存や繁殖に必須の役割を担う、2種類の共生細菌が同一細胞内の異なる空間に棲み分けていることが知られていた。本課題では、コナジラミ類における”細胞内棲み分け”の機構や、一般性や進化を明らかにすることを試みた。イメージング解析により、菌細胞棲み分けは、小胞体を介して行われていることが示された。また、近縁種を対象とした解析により、菌細胞内棲み分けはコナジラミに広く存在しているが、内部の共生細菌は度々置き換わっていることが示された。,基盤研究(C),小区分39050:昆虫科学関連,コナジラミ,菌細胞,共生細菌,棲み分け,複合内部共生系,共生系の進化,内部共生,細胞内棲み分け,タバココナジラミ,マイクロハビタット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
