awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K05716,独立行政法人国立文化財機構奈良文化財研究所,中島 義晴,近世末期から近代に生じた日本庭園の意匠の地域性と現代への継承―出雲地方を中心に,近世末期から近代にかけて日本のいくつかの地域において、地域独特の意匠をもつ庭園群がつくられた。本研究で主な対象とした出雲地方には、住宅などの座敷に面する平坦地を白砂敷きとして、短冊石という細長い長方形の切石や円形の石を飛石に用いて主景とする庭園が数多くあり、それらの意匠が現代も地域に深く根付いている。,基盤研究(C),小区分39070:ランドスケープ科学関連,出雲地方,近世庭園,近代庭園,庭園の地域性,庭園文化の継承,飛石,書院,茶の湯,短冊石,出雲地方の庭園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05715,南九州大学,平岡 直樹,ヴェルサイユ宮殿庭園の管理運営手法と復元対象年代の設定について,ヴェルサイユ庭園を取り上げ、運営や維持管理手法の特徴と課題を検証した。その結果、化学薬品使用禁止の方針に則った庭園の維持管理が、大型機械導入等による合理化や維持管理水準の引き下げなどにより積極的に進められていること、トピアリー整形や古い鉛管水路網等の補修業務が、伝統技術の継承であると同時に他所で同様な技術者養成がなされていないため熟練技術者確保のために必要不可欠であること、具体的な施設や技術面では伝統の継承をはかる一方で、環境対応、予算執行、法令順守、効率化等は最新の理念を積極的に取り入れていること、復元対象年代の設定には、計画担当者と現場担当者で意見の相違があることがわかった。,基盤研究(C),小区分39070:ランドスケープ科学関連,ヴェルサイユ庭園,アンドレ・ル・ノートル,フランス平面幾何学式庭園,トピアリー,庭園管理,庭園復元,ヴェルサイユ宮殿・博物館管財局,化学薬品使用禁止,フランス,ヴェルサイユ宮殿,平面幾何学式庭園,庭園技術,ソウギョ,トリアノン,マルリー,オランジュリー,鉛管工,WTO政府調達協定,EPV,グリホサート系除草剤,ネオニコチノイド系農薬,メセナ,チュイルリー公園,リュクサンブール公園,フォンテンブロー宮殿,王の菜園,ヴェルサイユ,ル・ノートル,フランス式庭園,幾何学式庭園,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05714,東海大学,竹内 真一,樹体内の水移動の実測に基づいて樹冠や根系の縮減を抑えた樹木移植法の検討,樹木の移植に際して，樹冠部では強剪定が行われ，根系は大きく縮減されることが多い。なるべく大きな根鉢を作成することが，移植後の樹木の順調生育を達成する近道であるが，根系をすべて掘り出すのは不可能である。本研究では，水流により丁寧に根系を掘り出し，通常よりも大きな根鉢を作成することで，順調な生育を可能とすることを樹液流計測により明らかとした。　さらに，掘り出した根鉢を大型電子天秤上で秤量することにより樹体の蒸散量を連続計測する根鉢秤量法を提案し，樹体内の水分移動を計測する樹液流計測法の精緻な検定を行い，有効な手法であることを明らかにした。,基盤研究(C),小区分39070:ランドスケープ科学関連,樹液流計測,キャリブレーション,根系縮減,根鉢秤量法,HR法,グラニエ法,樹木移植,樹液流速,カラタネオガタマ,スギ,HFD法,樹液流,ヒートパルス,移植,冷水付与,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05713,恵泉女学園大学,宮内 泰之,街路花壇への宿根草及び在来種の導入と植物の生育過程を生かす花壇づくりに関する研究,本研究では、宿根草、在来種を用いて地域性や植物の生育過程を生かした花壇を街路に創出することを目的として調査、実験を行った。,基盤研究(C),小区分39070:ランドスケープ科学関連,街路花壇,宿根草,在来種,花壇ボランティア,多摩地域,自生植物,花壇園芸,草花,在来植物,栽培実験,市民ボランティア,コミュニティガーデン,アンケート調査,リーフレット,コミュニティーガーデン,ガーデンシティ,学名,ボーダー花壇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05712,東京農業大学,粟野 隆,日本統治時代の台湾に築造された日本式庭園の保存状況と空間的特徴に関する研究,本研究では、日本統治時代の台湾に築造された庭園の保存に資する基礎資料を作成した。具体的には、本研究では台北における日本人住宅の庭園の配置と特徴的な空間構成・意匠を把握し、日本統治時代に台湾で活動した66名の造園技術者の全体像とそのうちのひとり、清水半平の詳細な造園活動を把握した。さらに、台北市に残存する旧尾辻国吉邸庭園の保存修復に関する検討を実施した。研究成果は、学術論文として発表しつつ、『日本統治時代における台湾の日本庭園と造園技術者の足跡』という報告書としてとりまとめた。,基盤研究(C),小区分39070:ランドスケープ科学関連,台湾,近代庭園,日本統治時代,東アジア近代庭園史,日本式庭園,海外の日本庭園,近代和風庭園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05711,兵庫県立大学,赤澤 宏樹,官・民・市民協働による街路樹の多面的な価値創出と管理の可能性,本研究では街路樹の多面的な効果を経済価値に置き換えて試算し，そこへの市民や事業者の関わり・意向の影響を分析することを通じて，多面的な価値の創出の可能性を明らかにすることを目的とした。,基盤研究(C),小区分39070:ランドスケープ科学関連,街路樹,官・民・市民協働,維持管理計画,多面的価値,貨幣価値,i-Tree,経済的評価,維持管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05710,兵庫県立大学,平田 富士男,公園リノベーション時代の造園技術者に必要な新職能のオーラルヒストリーによる具体化,本研究では、新規整備事業とはその進め方が根本的に異なる都市公園のリノベーション事業の構造を明らかにし、そこでの課題と解決方法を明らかにするため、リノベーション事業の担当者へのヒアリング等をつうじて、その事業内容を構図化した。そのうえで、その事業の各段階で事業担当者がどのような業務に課題意識を持っているのか、またその課題を解決するための方策の方向性について検討した。特に、民間事業の導入にあたっては、その公園の設置目的を明らかにすること、そのための過去の事業資料の適正な保存を進める必要があること、そのために都市公園台帳を活用することが有効であることなどを明らかにした。,基盤研究(C),小区分39070:ランドスケープ科学関連,公園リノベーション,Park-PFI,民活導入,公園リニューアル,造園事業者の職能,公文書,都市公園台帳,リノベーション,公園再整備,公園での事業事業,パークPFI,造園技術者の職能,公文書保存,公園での民間事業事業,パークＰＦＩ,公園での民間事業,オーラルヒストリー,造園技術者教育,ルーブリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05709,兵庫県立大学,黒田 有寿茂,塩湿地の生物多様性保全に向けた絶滅惧植物数種における種子発芽・生育立地特性の解明,絶滅危惧の状況にある塩湿地植物の種子発芽特性と生育立地特性を明らかにするために、発芽試験と野外調査を行った。発芽試験の対象としたキク科ヨモギ属のフクドArtemisia fukudoおよびイグサ科イグサ属のドロイJuncus gracillimusについて、温度・光条件に関する休眠・発芽特性、海流散布の可能性、永続的な埋土種子集団の形成可能性、種子保存の可能性のほか、これら絶滅危惧種を含む塩湿地植物計14種のフェノロジー、塩湿地植生の帯状構造、現地における年間の地温データなど、域内・域外保全方法の検討に資する有用な知見・情報を得ることができた。,基盤研究(C),小区分39070:ランドスケープ科学関連,生物多様性保全,塩湿地植物,絶滅危惧種,種子発芽特性,生育立地特性,域内保全,域外保全,塩湿地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05708,首都大学東京,古川 聡子,壁面緑化用コケパネルの病害調査と健全育成法に関する研究,ヒートアイランド現象改善のための都市緑化資材として、コケ類、ツタ類に着目し基礎的な研究を行った。蘚苔類による緑化施工現場の調査では、多くの屋上面法面で軽度以上の障害が観察された。その中から数種の病原菌が単離されたが、大規模な障害の原因は病害よりも法面の角度や日照が影響を与えることが分かった。ツタ類に関しては、湿度、温度、日照がどのような環境であっても病害はほとんど観察されず植栽方法を検討することにより緑化資材として有効であることが改めて示唆された。イタドリに関しては、病害が広く観察されたが、成長が速く、全国いたるところで生育可能であることから緑化資材として適切である可能性が見いだされた。,基盤研究(C),小区分39070:ランドスケープ科学関連,都市緑化,コケ類,法面,スナゴケ,壁面緑化,コケパネル,都市緑化植物,緑化植物病害,コケパネル健全育成条件,植物病害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K05707,大阪大学,松本 邦彦,重要文化的景観選定を通じた小集落のエリアマネジメント推進に関する研究,本研究は、文化財保護法に基づく重要文化的景観選定後の地域の自律的まちづくりの推進実現を目標に、選定地区で実施される様々な活動が、保全の範疇を越えて広く地域のまちづくり推進に与えた影響を明らかにした。主な研究成果としては、「近江八幡の水郷」に分布するヨシ原を対象に、管理の現状および伝統産業従事者等の将来意向を調査し、保全に要する労働力と費用を明らかにした研究等のほか、棚田景観を有する選定区域での規制実態や景観配慮のチベーションが高まりにくい構造の解明、文化庁ほかの補助事業導入の現状とその制度的課題を明らかにした。,基盤研究(C),小区分39070:ランドスケープ科学関連,文化的景観,重要文化的景観,エリアマネジメント,担い手,財源,文化財,維持管理,ガイドツアー,組織,一元管理,協議システム,クラウドファンディング,近江八幡,景観保全,景観整備,修景,集落,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
