awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K06175,国立研究開発法人産業技術総合研究所,平野 研,分子輪投げによる環状DNA1分子の直接リアルタイム解析,本研究課題においては、環状DNA1分子を「輪」の状態で観察し、直接リアルタイム解析可能な手法を達成することを目的とした。従来は直鎖のDNA1分子観察により様々な発見や現象の解明が成されてきた。しかし、生体内でもう一つの重要なゲノムDNAの構造である「環状」DNAについては、その1分子観察手法自体が開発されていない状況である。本研究課題では、独自の分子輪投げデバイ スにより、環状DNA1分子を輪投げの要領でマイクロピラーに引っ掛け「輪」の状態で捕捉し観察する手法を提供する。これにより 周囲溶液環境等との相互作用など、環状DNAの構造・形態変化のダイナミクスについてリアルタイム観察の達成を目指す。,基盤研究(C),小区分43040:生物物理学関連,ゲノム,DNA,直鎖,環状,1分子,マイクロ流体デバイス,分子輪投げ,1分子DNA,環状DNA,1分子ダイナミクス解析,生物物理,ナノバイオ,マイクロ・ナノ流体デバイス,DNA１分子,マイクロ・ナノデバイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06174,国立研究開発法人量子科学技術研究開発機構,新井 栄揮,磁気受容蛋白質複合体の会合制御による構造機能相関の解明,ISCA1は、クリプトクロムとともに、磁気を知覚する感覚（磁覚）の機構を担う可能性がある蛋白質である。本研究では、ISCA1の構造・物性を明らかにするために、磁場印加・非印加条件下においてX線小角散乱解析を実施した。その結果、(i)カワラバト由来ISCA1は構造多型性を有し、二種類の構造（球状と棒状）を形成すること、(ii)球状のISCA1は柱状自己会合体を形成し、その会合面に鉄硫黄クラスターを結合して磁化率や磁気異方性を増大しうること、(iii) ISCA1柱状自己会合体の成長は磁場によって制御されることなどが明らかになった。得られた知見は、磁覚の蛋白質分子基盤の解明に資する。,基盤研究(C),小区分43040:生物物理学関連,タンパク質,立体構造,X線小角散乱,磁覚,X線結晶解析,円偏光二色性,タンパク質・核酸の構造・動態・機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06173,国立研究開発法人量子科学技術研究開発機構,石田 恒,分子動力学シミュレーションによるヌクレオソームの構造変化メカニズム解析,分子動力学シミュレーションを用いた自由エネルギー計算により、染色体セントロメア領域にあるCENP-AヌクレオソームのDNA解離は、通常のヌクレオソームのDNA解離に比べて起こりやすいことがわかった。更に、RNAポリメラーゼが生成するねじれ力を模した力を通常のヌクレオソームDNAの両端に作用させる分子動力学シミュレーションを実施した。その結果、左巻きのねじれの力を加えると、DNAはヒストンから離れやすくなり、逆に右巻きのねじれの力を加えると、DNAはヒストンから離れにくくなった。その原因は、DNA二重らせん構造という幾何学的特性とDNAの物性的特性（柔らかさ、曲がりやすさ）によることがわかった。,基盤研究(C),小区分43040:生物物理学関連,ヌクレオソーム,DNA,構造変化,遺伝子発現,ねじれ,分子動力学シミュレーション,自由エネルギー計算,DNA解離,ヒストン,自由エネルギー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06172,国立研究開発法人理化学研究所,重松 秀樹,電位依存性チャネルの作動原理の直接観察,クライオ電子顕微鏡単粒子解析法によりイオン透過孔の構造変化を直接観察することに成功した。今回利用した試料は蛍光を利用した機能解析にも供され、数分間、膜電位を維持する事が確認されている。ここで確立された手法は、他の膜タンパク質にもそのまま適用する事が可能であり、その機能に伴う構造変化をより生理的な条件下であるリポソームを用いて解析する事が可能であることを示している。,基盤研究(C),小区分43040:生物物理学関連,クライオ電子顕微鏡,構造生物学,イオンチャネル,電位依存性,膜電位,可視化,構造・機能相関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06171,分子科学研究所,向山 厚,時計タンパク質の機能から探るシアノバクテリア生物時計の環境適応メカニズム,本研究はシアノバクテリアの概日時計の進化的多様性の解明に向けた実験研究である。,基盤研究(C),小区分43040:生物物理学関連,生物時計,シアノバクテリア,KaiC,ATPase,概日時計,時計タンパク質,進化・多様性,分子進化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06170,京都産業大学,津下 英明,クライオ電子顕微鏡とX線結晶構造解析による二成分毒素トランスロコンの構造機能解析,ウェルシュ菌の二成分毒素はアクチンをADPリボシル化する酵素成分のIaと、Iaを膜を介して細胞内に透過させる膜結合成分Ibからなる。cryo-EMを用いた単粒子解析により、Ib膜孔およびIaが結合したIb膜孔の高分解能の構造を明らかにした。この結果、Ib膜孔は酵素成分Iaが通過する直径6オングストロームしかない部分(φクランプ)を持ち、透過のためIaのN末端は解けていることを明らかにした。,基盤研究(C),小区分43040:生物物理学関連,ウェルシュ菌,二成分毒素,タンパク質膜透過,ADPリボシル化,ディフィシル菌,クライオ電子顕微鏡,単粒子解析,超分子複合体,イオタ毒素,膜結合,アンフォールド,膜孔,トランスロコン,複合体構造解析,ADPリボシルトランスフェラーゼ,フォールディング,膜孔形成毒素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06169,光産業創成大学院大学,横田 浩章,ヘリカーゼの多量体形成・DNA巻き戻し機能・化学力学共役機構の相関関係の解明,大腸菌のDNA修復タンパク質である非六量体型ヘリカーゼUvrDについて、単量体モデルが提唱された研究で用いられた変異体が野生型UvrDと同様に多分子でおそらく多量体を形成してDNAを巻き戻していること、およびDNA巻き戻し活性が高いUvrD変異体のDNA結合分子数が野生型UvrDよりも多いことを、蛍光1分子イメージングによって明らかにした。,基盤研究(C),小区分43040:生物物理学関連,1分子計測,ナノバイオ,核酸,酵素反応,１分子計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06168,光産業創成大学院大学,平野 美奈子,細胞内イオン環境の光制御のための新規光感受性イオンチャネルの創製,本研究では、非侵襲な光での細胞内イオン環境制御による細胞機能操作を目指して、特定の波長の光で活性が制御される新規光感受性イオンチャネルを創製することを目的とした。光感受性イオンチャネルの構成要素となる光活性化アデニル酸シクラーゼ（PAC）の構造機能相関を調べ、光感受性に関与する部位を同定したほか、特定の部位の光依存的な構造変化を明らかにした。これらの情報はPACとカリウムチャネルを融合させた光感受性キメラチャネル変異体の設計に役立つと考えられる。また、簡便なチャネル電流測定法と光照射装置を組み合わせ、光感受性キメラチャネル変異体の光依存的な活性を効率的に調べることができる系を確立した。,基盤研究(C),小区分43040:生物物理学関連,光遺伝学,イオンチャネル,オプトジェネティクス,光感受性タンパク質,構造機能相関,光感受性蛋白質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06167,金沢工業大学,辰巳 仁史,偏光と超高解像度顕微鏡でアクチン線維が張力センサーとして働くメカニズムを解明する,蛍光分子と偏光イメージング顕微鏡でアクチン線維が備えている力学受容の仕組みを解明した。アクチン線維を独自の偏光顕微鏡の観察面に緩やかに固定して観察した。アクチン線維に結合した磁気ビーズを電磁石により牽引することで、アクチン線維に張力を発生させた。アクチン線維は、ねじれ角(α)の揺らぎと局所的な曲げ(β)の揺らぎが同時に見られ、力付加により、ねじれと曲げの揺らぎが同時に抑制された。これは張力上昇によりねじれ揺らぎの減少があることを示すだけでなく、理論的に予想された、ねじれと曲げの分子レベルでのカップリングを実験的に明らかにすることができた。,基盤研究(C),小区分43040:生物物理学関連,アクチン線維,力学受容,メカノセンサー,一分子イメージング,一分子力学刺激,偏光測定,分子揺らぎ,メカノバイオロジー,偏光,ねじれ,曲げ,力学刺激受容機構,機械刺激,一分子,蛍光,顕微鏡,量子ドット,張力センサー,一分子計測,超高解像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K06166,東邦大学,伊関 峰生,新規光操作ツールの創出をめざした光活性化アデニル酸シクラーゼの機能解析と機能改変,本研究は、光活性化アデニル酸シクラーゼ（PAC）の機能改変および新規類似タンパク質の機能解析を進めることにより、光遺伝学ツールとしての有用性を高めることを目的としたものである。最近バクテリアゲノム上に見出された16のPAC類似遺伝子について機能解析を進め、うち7つは光で活性化されるアデニル酸シクラーゼとして機能することを明らかにした。これらの中には温度感受性や最大速度の異なるものがあり、光遺伝学ツールのレパートリーを増やす意味で重要である。,基盤研究(C),小区分43040:生物物理学関連,光活性化アデニル酸シクラーゼ,光遺伝学,フラビン,cAMP,オプトジェネティクス,光センサー,アデニル酸シクラーゼ,光センサータンパク質,光応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
